energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.45153001,0.28217844,1.38756577,0.00281776,0.16379818,0.32603465,0.64637782,0.01824242,0.14562108
-5.99399700,2.49245826,0.28443720,1.41066911,0.00262831,0.16856221,0.33469686,0.65700921,0.01815493,0.14976057
-5.98799400,2.54009337,0.28778544,1.43735899,0.00244665,0.17408424,0.34518939,0.66896291,0.01815444,0.15474110
-5.98199100,2.59515206,0.29234527,1.46798467,0.00227520,0.18038503,0.35757439,0.68248615,0.01825010,0.16059381
-5.97598799,2.65817411,0.29821313,1.50279887,0.00211607,0.18745871,0.37185967,0.69780068,0.01844801,0.16733085
-5.96998499,2.72950294,0.30545728,1.54194769,0.00197101,0.19527129,0.38799632,0.71509744,0.01875097,0.17494417
-5.96398199,2.80927123,0.31411583,1.58546334,0.00184140,0.20376022,0.40587833,0.73453166,0.01915840,0.18340488
-5.95797899,2.89739189,0.32419537,1.63325974,0.00172822,0.21283493,0.42534404,0.75621858,0.01966635,0.19266307
-5.95197599,2.99355451,0.33567013,1.68513130,0.00163205,0.22237844,0.44617946,0.78022967,0.02026759,0.20264817
-5.94597299,3.09722759,0.34848185,1.74075488,0.00155311,0.23225010,0.46812353,0.80658927,0.02095188,0.21326979
-5.93996998,3.20766624,0.36254018,1.79969489,0.00149123,0.24228927,0.49087479,0.83527191,0.02170623,0.22441922
-5.93396698,3.32392520,0.37772374,1.86141156,0.00144588,0.25231985,0.51409967,0.86619995,0.02251539,0.23597138
-5.92796398,3.44487686,0.39388184,1.92527195,0.00141623,0.26215561,0.53744177,0.89924203,0.02336225,0.24778731
-5.92196098,3.56923368,0.41083674,1.99056361,0.00140115,0.27160605,0.56053195,0.93421198,0.02422837,0.25971703
-5.91595798,3.69557449,0.42838662,2.05651027,0.00139926,0.28048254,0.58299889,0.97086860,0.02509459,0.27160290
-5.90995498,3.82237396,0.44630908,2.12228932,0.00140896,0.28860461,0.60447957,1.00891633,0.02594151,0.28328310
