energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.34656773,0.00865633,0.88798635,0.15885049,0.03719632,0.80265829,0.70243269,1.45042531
-5.99399700,3.44029303,0.00889095,0.90576235,0.15989592,0.03966914,0.83707391,0.72213960,1.47270307
-5.98799400,3.53738729,0.00914080,0.92250202,0.16106635,0.04223462,0.87494802,0.74253157,1.49356600
-5.98199100,3.63865302,0.00940891,0.93825645,0.16244635,0.04489125,0.91669842,0.76383408,1.51316332
-5.97598799,3.74488412,0.00969838,0.95309611,0.16411705,0.04763839,0.96271847,0.78627656,1.53165552
-5.96998499,3.85684369,0.01001230,0.96711004,0.16615382,0.05047641,1.01336435,0.81008549,1.54921158
-5.96398199,3.97524132,0.01035367,0.98040460,0.16862401,0.05340671,1.06894207,0.83547704,1.56600646
-5.95797899,4.10070943,0.01072528,0.99310172,0.17158488,0.05643168,1.12969448,0.86264961,1.58221854
-5.95197599,4.23377923,0.01112964,1.00533642,0.17508170,0.05955450,1.19578872,0.89177616,1.59802693
-5.94597299,4.37485605,0.01156886,1.01725352,0.17914610,0.06277887,1.26730430,0.92299665,1.61360812
-5.93996998,4.52419493,0.01204456,1.02900356,0.18379468,0.06610857,1.34422235,0.95641080,1.62913219
-5.93396698,4.68187677,0.01255773,1.04073788,0.18902803,0.06954698,1.42641649,0.99207142,1.64475809
-5.92796398,4.84778625,0.01310863,1.05260293,0.19483000,0.07309644,1.51364559,1.02997843,1.66062837
-5.92196098,5.02159238,0.01369673,1.06473418,0.20116756,0.07675763,1.60554925,1.07007417,1.67686318
-5.91595798,5.20273296,0.01432057,1.07724972,0.20799096,0.08052888,1.70164598,1.11224001,1.69355410
-5.90995498,5.39040432,0.01497774,1.09024396,0.21523448,0.08440548,1.80133488,1.15629465,1.71075795
-5.90395198,5.58355743,0.01566480,1.10378185,0.22281760,0.08837914,1.90390076,1.20199442,1.72849105
-5.89794897,5.78090145,0.01637728,1.11789389,0.23064674,0.09243743,2.00852299,1.24903562,1.74672444
-5.89194597,5.98091564,0.01710971,1.13257234,0.23861731,0.09656344,2.11428800,1.29705907,1.76538061
-5.88594297,6.18186992,0.01785563,1.14776906,0.24661634,0.10073555,2.22020537,1.34565691,1.78433189
-5.87993997,6.38185418,0.01860769,1.16339496,0.25452531,0.10492742,2.32522692,1.39438139,1.80340116
-5.87393697,6.57881573,0.01935778,1.17932146,0.26222330,0.10910816,2.42826845,1.44275555,1.82236487
-5.86793397,6.77060416,0.02009716,1.19538383,0.26959027,0.11324272,2.52823338,1.49028542,1.84095858
-5.86193097,6.95502190,0.02081665,1.21138637,0.27651035,0.11729246,2.62403747,1.53647323,1.85888474
-5.85592796,7.12987886,0.02150682,1.22710918,0.28287507,0.12121592,2.71463369,1.58083113,1.87582272
-5.84992496,7.29304896,0.02215820,1.24231621,0.28858629,0.12496972,2.79903646,1.62289493,1.89144036
-5.84392196,7.44252616,0.02276154,1.25676426,0.29355889,0.12850956,2.87634414,1.66223716,1.90540678
-5.83791896,7.57647786,0.02330798,1.27021231,0.29772290,0.13179138,2.94575910,1.69847884,1.91740560
-5.83191596,7.69329319,0.02378933,1.28243080,0.30102521,0.13477247,3.00660460,1.73129960,1.92714799
-5.82591296,7.79162434,0.02419823,1.29321032,0.30343063,0.13741261,3.05833792,1.76044554,1.93438479
-5.81990995,7.87041923,0.02452833,1.30236925,0.30492233,0.13967518,3.10055939,1.78573451,1.93891706
-5.81390695,7.92894435,0.02477447,1.30975991,0.30550168,0.14152812,3.13301712,1.80705870,1.94060449
-5.80790395,7.96679710,0.02493277,1.31527304,0.30518750,0.14294485,3.15560757,1.82438440,1.93937111
-5.80190095,7.98390745,0.02500075,1.31884024,0.30401481,0.14390499,3.16837214,1.83774903,1.93520820
-5.79589795,7.98052938,0.02497735,1.32043440,0.30203308,0.14439490,3.17149020,1.84725566,1.92817401
-5.78989495,7.95722297,0.02486294,1.32006818,0.29930418,0.14440807,3.16526920,1.85306540,1.91839061
-5.78389195,7.91482839,0.02465930,1.31779062,0.29590008,0.14394533,3.15013235,1.85538804,1.90603779
-5.77788894,7.85443351,0.02436961,1.31368225,0.29190041,0.14301482,3.12660473,1.85447165,1.89134472
-5.77188594,7.77733680,0.02399829,1.30784899,0.28739006,0.14163180,3.09529843,1.85059138,1.87457962
-5.76588294,7.68500761,0.02355096,1.30041532,0.28245682,0.13981833,3.05689736,1.84403844,1.85603832
-5.75987994,7.57904549,0.02303428,1.29151718,0.27718921,0.13760273,3.01214222,1.83510947,1.83603215
-5.75387694,7.46114059,0.02245583,1.28129505,0.27167459,0.13501898,2.96181631,1.82409704,1.81487613
-5.74787394,7.33303638,0.02182397,1.26988775,0.26599748,0.13210591,2.90673215,1.81128157,1.79287802
-5.74187094,7.19649619,0.02114768,1.25742725,0.26023830,0.12890643,2.84771941,1.79692507,1.77032890
-5.73586793,7.05327447,0.02043641,1.24403497,0.25447233,0.12546657,2.78561408,1.78126694,1.74749587
-5.72986493,6.90509326,0.01969993,1.22981971,0.24876905,0.12183458,2.72124891,1.76452186,1.72461726
-5.72386193,6.75362430,0.01894822,1.21487736,0.24319175,0.11805999,2.65544497,1.74687987,1.70190056
-5.71785893,6.60047672,0.01819130,1.19929255,0.23779731,0.11419262,2.58900433,1.72850845,1.67952324
-5.71185593,6.44718986,0.01743911,1.18314184,0.23263632,0.11028176,2.52270355,1.70955639,1.65763633
-5.70585293,6.29523078,0.01670144,1.16649856,0.22775322,0.10637523,2.45728796,1.69015922,1.63637039
-5.69984992,6.14599572,0.01598775,1.14943875,0.22318669,0.10251866,2.39346660,1.67044573,1.61584365
-5.69384692,6.00081442,0.01530716,1.13204777,0.21897001,0.09875478,2.33190772,1.65054519,1.59617144
-5.68784392,5.86095655,0.01466829,1.11442728,0.21513157,0.09512282,2.27323485,1.63059483,1.57747650
