energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.45931222,0.01503940,0.19633041,0.65968350,0.57616200,0.94434120,0.53136481,0.00776006,1.11136684
-5.99399700,2.48805122,0.01411607,0.20114926,0.67342973,0.57488660,0.95986213,0.54228847,0.00791340,1.12282447
-5.98799400,2.51547389,0.01322817,0.20615108,0.68714168,0.57339105,0.97383969,0.55304115,0.00806234,1.13394362
-5.98199100,2.54158980,0.01238086,0.21135135,0.70074130,0.57176325,0.98626526,0.56363139,0.00821105,1.14463711
-5.97598799,2.56650226,0.01157826,0.21676600,0.71416647,0.57011032,0.99717567,0.57409387,0.00836432,1.15485297
-5.96998499,2.59040657,0.01082357,0.22241040,0.72737144,0.56855771,1.00665154,0.58448827,0.00852734,1.16457650
-5.96398199,2.61358213,0.01011920,0.22829819,0.74032601,0.56724691,1.01481349,0.59489653,0.00870553,1.17382944
-5.95797899,2.63637878,0.00946690,0.23444009,0.75301347,0.56633160,1.02181657,0.60541880,0.00890429,1.18266646
-5.95197599,2.65919840,0.00886782,0.24084264,0.76542764,0.56597271,1.02784305,0.61616816,0.00912877,1.19116918
-5.94597299,2.68247271,0.00832262,0.24750714,0.77756912,0.56633233,1.03309406,0.62726451,0.00938360,1.19943825
-5.93996998,2.70663868,0.00783151,0.25442873,0.78944121,0.56756703,1.03778036,0.63882797,0.00967266,1.20758403
-5.93396698,2.73211295,0.00739428,0.26159568,0.80104569,0.56982076,1.04211283,0.65097208,0.00999882,1.21571647
-5.92796398,2.75926669,0.00701031,0.26898897,0.81237885,0.57321786,1.04629302,0.66379726,0.01036377,1.22393489
-5.92196098,2.78840212,0.00667857,0.27658220,0.82342794,0.57785632,1.05050424,0.67738476,0.01076784,1.23231828
-5.91595798,2.81973195,0.00639757,0.28434175,0.83416829,0.58380190,1.05490353,0.69179131,0.01120989,1.24091663
-5.90995498,2.85336265,0.00616539,0.29222715,0.84456128,0.59108316,1.05961484,0.70704485,0.01168727,1.24974388
-5.90395198,2.88928205,0.00597963,0.30019175,0.85455312,0.59968780,1.06472354,0.72314126,0.01219582,1.25877275
-5.89794897,2.92735192,0.00583739,0.30818341,0.86407451,0.60956040,1.07027252,0.74004231,0.01272995,1.26793173
-5.89194597,2.96730540,0.00573530,0.31614536,0.87304119,0.62060169,1.07625986,0.75767478,0.01328275,1.27710434
-5.88594297,3.00874928,0.00566951,0.32401704,0.88135514,0.63266940,1.08263801,0.77593063,0.01384625,1.28613052
-5.87993997,3.05117075,0.00563576,0.33173480,0.88890638,0.64558060,1.08931450,0.79466832,0.01441160,1.29481024
-5.87393697,3.09394828,0.00562940,0.33923264,0.89557529,0.65911558,1.09615405,0.81371487,0.01496942,1.30290876
-5.86793397,3.13636583,0.00564554,0.34644277,0.90123515,0.67302288,1.10298186,0.83286893,0.01551008,1.31016360
-5.86193097,3.17763007,0.00567910,0.35329607,0.90575495,0.68702566,1.10958804,0.85190435,0.01602407,1.31629262
-5.85592796,3.21688984,0.00572498,0.35972256,0.90900223,0.70082875,1.11573302,0.87057452,0.01650233,1.32100290
-5.84992496,3.25325738,0.00577816,0.36565175,0.91084603,0.71412662,1.12115375,0.88861709,0.01693660,1.32400021
-5.84392196,3.28583073,0.00583387,0.37101317,0.91115977,0.72661160,1.12557063,0.90575929,0.01731973,1.32499848
-5.83791896,3.31371705,0.00588772,0.37573699,0.90982418,0.73798245,1.12869505,0.92172362,0.01764593,1.32372921
-5.83191596,3.33605616,0.00593586,0.37975488,0.90673023,0.74795277,1.13023739,0.93623400,0.01791103,1.31995036
