energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,1.27971766,0.00608936,0.06308855,0.12551058,0.55421906,0.29138138,0.01088627,0.79899118
-5.99399700,1.34571994,0.00598068,0.06573962,0.12136648,0.56534039,0.31304219,0.01137271,0.84062139
-5.98799400,1.41367327,0.00592392,0.06895237,0.11800242,0.57599812,0.33547243,0.01187446,0.88278969
-5.98199100,1.48265148,0.00590961,0.07269307,0.11527065,0.58598786,0.35841159,0.01238450,0.92493943
-5.97598799,1.55169375,0.00592820,0.07692347,0.11302622,0.59511962,0.38158253,0.01289537,0.96649608
-5.96998499,1.61981521,0.00597027,0.08160014,0.11113063,0.60321777,0.40469460,0.01339928,1.00687416
-5.96398199,1.68601863,0.00602675,0.08667383,0.10945489,0.61012057,0.42744743,0.01388821,1.04548494
-5.95797899,1.74930724,0.00608913,0.09208893,0.10788206,0.61567984,0.44953520,0.01435404,1.08174488
-5.95197599,1.80869881,0.00614960,0.09778302,0.10630917,0.61976056,0.47065143,0.01478868,1.11508483
-5.94597299,1.86324067,0.00620118,0.10368670,0.10464865,0.62224089,0.49049417,0.01518420,1.14495967
-5.93996998,1.91202551,0.00623786,0.10972367,0.10282915,0.62301259,0.50877147,0.01553301,1.17085840
-5.93396698,1.95420783,0.00625463,0.11581114,0.10079592,0.62198189,0.52520702,0.01582796,1.19231433
-5.92796398,1.98902046,0.00624753,0.12186068,0.09851072,0.61907086,0.53954584,0.01606258,1.20891511
-5.92196098,2.01579091,0.00621368,0.12777941,0.09595135,0.61421920,0.55155984,0.01623115,1.22031233
-5.91595798,2.03395694,0.00615122,0.13347161,0.09311080,0.60738641,0.56105322,0.01632892,1.22623036
-5.90995498,2.04308092,0.00605931,0.13884067,0.08999614,0.59855405,0.56786728,0.01635219,1.22647399
-5.90395198,2.04286238,0.00593805,0.14379146,0.08662719,0.58772808,0.57188488,0.01629846,1.22093481
-5.89794897,2.03314831,0.00578838,0.14823276,0.08303499,0.57494096,0.57303402,0.01616652,1.20959567
-5.89194597,2.01394066,0.00561200,0.15208001,0.07926023,0.56025338,0.57129065,0.01595653,1.19253333
-5.88594297,1.98540066,0.00541123,0.15525802,0.07535157,0.54375543,0.56668052,0.01567000,1.16991892
-5.87993997,1.94784962,0.00518893,0.15770356,0.07136403,0.52556703,0.55928000,0.01530985,1.14201606
-5.87393697,1.90176602,0.00494837,0.15936782,0.06735735,0.50583749,0.54921567,0.01488033,1.10917671
-5.86793397,1.84777867,0.00469309,0.16021848,0.06339453,0.48474419,0.53666289,0.01438697,1.07183481
-5.86193097,1.78665621,0.00442679,0.16024137,0.05954042,0.46249031,0.52184313,0.01383644,1.03049769
-5.85592796,1.71929292,0.00415325,0.15944153,0.05586053,0.43930161,0.50502021,0.01323642,0.98573560
-5.84992496,1.64669129,0.00387619,0.15784377,0.05241988,0.41542249,0.48649553,0.01259544,0.93816972
-5.84392196,1.56994181,0.00359923,0.15549243,0.04928211,0.39111123,0.46660239,0.01192266,0.88845880
-5.83791896,1.49020052,0.00332578,0.15245058,0.04650865,0.36663478,0.44569952,0.01122768,0.83728508
-5.83191596,1.40866508,0.00305900,0.14879847,0.04415808,0.34226319,0.42416406,0.01052032,0.78533980
-5.82591296,1.32655000,0.00280174,0.14463144,0.04228552,0.31826398,0.40238422,0.00981040,0.73330885
-5.81990995,1.24506194,0.00255652,0.14005721,0.04094219,0.29489649,0.38075175,0.00910754,0.68185899
-5.81390695,1.16537575,0.00232552,0.13519283,0.04017498,0.27240666,0.35965451,0.00842099,0.63162505
-5.80790395,1.08861209,0.00211056,0.13016118,0.04002604,0.25102224,0.33946942,0.00775941,0.58319860
-5.80190095,1.01581726,0.00191309,0.12508746,0.04053245,0.23094869,0.32055580,0.00713079,0.53711832
-5.79589795,0.94794588,0.00173423,0.12009551,0.04172585,0.21236584,0.30324962,0.00654230,0.49386235
-5.78989495,0.88584684,0.00157480,0.11530431,0.04363209,0.19542551,0.28785847,0.00600025,0.45384282
-5.78389195,0.83025298,0.00143531,0.11082480,0.04627096,0.18025000,0.27465762,0.00551001,0.41740269
-5.77788894,0.78177459,0.00131604,0.10675698,0.04965576,0.16693156,0.26388720,0.00507602,0.38481475
-5.77188594,0.74089689,0.00121704,0.10318762,0.05379314,0.15553276,0.25575044,0.00470185,0.35628290
-5.76588294,0.70798135,0.00113823,0.10018857,0.05868278,0.14608778,0.25041315,0.00439019,0.33194539
-5.75987994,0.68327079,0.00107937,0.09781569,0.06431729,0.13860438,0.24800424,0.00414297,0.31187988
-5.75387694,0.66689768,0.00104018,0.09610852,0.07068209,0.13306664,0.24861739,0.00396144,0.29611011
-5.74787394,0.65889556,0.00102034,0.09509071,0.07775552,0.12943808,0.25231352,0.00384630,0.28461373
-5.74187094,0.65921277,0.00101955,0.09477103,0.08550891,0.12766534,0.25912422,0.00379778,0.27733109
-5.73586793,0.66772813,0.00103759,0.09514517,0.09390696,0.12768195,0.26905569,0.00381579,0.27417459
-5.72986493,0.68426781,0.00107435,0.09619790,0.10290806,0.12941224,0.28209328,0.00390006,0.27503828
-5.72386193,0.70862286,0.00112988,0.09790584,0.11246485,0.13277527,0.29820626,0.00405019,0.27980728
-5.71785893,0.74056666,0.00120441,0.10024045,0.12252478,0.13768843,0.31735276,0.00426583,0.28836688
-5.71185593,0.77987165,0.00129841,0.10317112,0.13303078,0.14407087,0.33948455,0.00454669,0.30061079
-5.70585293,0.82632479,0.00141259,0.10666841,0.14392195,0.15184647,0.36455166,0.00489269,0.31644844
-5.69984992,0.87974100,0.00154795,0.11070695,0.15513423,0.16094622,0.39250655,0.00530395,0.33581104
-5.69384692,0.93997419,0.00170577,0.11526810,0.16660104,0.17131016,0.42330761,0.00578085,0.35865614
-5.68784392,1.00692531,0.00188760,0.12034209,0.17825385,0.18288856,0.45692201,0.00632402,0.38497054
-5.68184092,1.08054707,0.00209529,0.12592956,0.19002271,0.19564247,0.49332767,0.00693434,0.41477143
-5.67583792,1.16084496,0.00233097,0.13204227,0.20183664,0.20954355,0.53251418,0.00761286,0.44810566
-5.66983492,1.24787437,0.00259698,0.13870311,0.21362393,0.22457321,0.57448271,0.00836078,0.48504707
-5.66383192,1.34173384,0.00289587,0.14594512,0.22531236,0.24072108,0.61924477,0.00917932,0.52569188
-5.65782891,1.44255422,0.00323031,0.15380972,0.23682936,0.25798283,0.66681976,0.01006960,0.57015218
-5.65182591,1.55048418,0.00360303,0.16234400,0.24810209,0.27635744,0.71723131,0.01103251,0.61854770
-5.64582291,1.66567213,0.00401675,0.17159736,0.25905758,0.29584398,0.77050251,0.01206857,0.67099590
-5.63981991,1.78824521,0.00447408,0.18161741,0.26962281,0.31643798,0.82664997,0.01317771,0.72760071
-5.63381691,1.91828578,0.00497737,0.19244544,0.27972491,0.33812764,0.88567685,0.01435914,0.78844022
-5.62781391,2.05580626,0.00552867,0.20411165,0.28929142,0.36088981,0.94756512,0.01561109,0.85355356
-5.62181091,2.20072306,0.00612952,0.21663029,0.29825069,0.38468603,1.01226700,0.01693071,0.92292760
-5.61580790,2.35283079,0.00678092,0.22999503,0.30653240,0.40945881,1.07969616,0.01831383,0.99648369
-5.60980490,2.51177760,0.00748314,0.24417476,0.31406820,0.43512822,1.14971867,0.01975480,1.07406521
-5.60380190,2.67704298,0.00823562,0.25911018,0.32079258,0.46158896,1.22214427,0.02124641,1.15542634
-5.59779890,2.84791904,0.00903693,0.27471122,0.32664371,0.48870822,1.29671830,0.02277976,1.24022261
-5.59179590,3.02349657,0.00988462,0.29085571,0.33156453,0.51632422,1.37311467,0.02434424,1.32800393
-5.58579290,3.20265679,0.01077523,0.30738921,0.33550385,0.54424583,1.45093033,0.02592748,1.41821049
-5.57978989,3.38406986,0.01170426,0.32412637,0.33841748,0.57225319,1.52968178,0.02751552,1.51017203
-5.57378689,3.56620089,0.01266619,0.34085365,0.34026932,0.60009948,1.60880384,0.02909284,1.60311100
-5.56778389,3.74732382,0.01365457,0.35733345,0.34103252,0.62751385,1.68765123,0.03064264,1.69614959
-5.56178089,3.92554364,0.01466211,0.37330953,0.34069037,0.65420550,1.76550311,0.03214705,1.78832113
-5.55577789,4.09882666,0.01568086,0.38851363,0.33923725,0.67986895,1.84157078,0.03358752,1.87858544
-5.54977489,4.26503834,0.01670243,0.40267293,0.33667922,0.70419018,1.91500861,0.03494515,1.96584818
-5.54377189,4.42198800,0.01771819,0.41551819,0.33303454,0.72685375,1.98492811,0.03620115,2.04898369
-5.53776888,4.56747906,0.01871963,0.42679214,0.32833392,0.74755045,2.05041481,0.03733730,2.12686073
-5.53176588,4.69936340,0.01969861,0.43625791,0.32262048,0.76598543,2.11054769,0.03833641,2.19837031
-5.52576288,4.81559794,0.02064771,0.44370695,0.31594952,0.78188642,2.16442045,0.03918283,2.26245484
-5.51975988,4.91430147,0.02156057,0.44896635,0.30838794,0.79501179,2.21116414,0.03986286,2.31813745
