energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.23414652,1.19549299,1.91476341,0.01336694,0.11276794,0.02534950,0.85036452,0.70538732,0.19261837
-5.99399700,3.20407749,1.16140109,1.91918686,0.01364725,0.10990211,0.02503930,0.83222316,0.69163700,0.18695051
-5.98799400,3.17058268,1.12638057,1.92142038,0.01395897,0.10681781,0.02465978,0.81317836,0.67702483,0.18107204
-5.98199100,3.13365375,1.09063480,1.92119155,0.01430225,0.10353163,0.02421303,0.79338167,0.66170690,0.17501499
-5.97598799,3.09334158,1.05438434,1.91825576,0.01467692,0.10006356,0.02370270,0.77300587,0.64585668,0.16881873
-5.96998499,3.04976417,1.01786706,1.91240575,0.01508245,0.09643693,0.02313395,0.75224393,0.62966282,0.16252992
-5.96398199,3.00311319,0.98133740,1.90348110,0.01551786,0.09267818,0.02251339,0.73130719,0.61332623,0.15620205
-5.95797899,2.95365904,0.94506453,1.89137738,0.01598174,0.08881653,0.02184880,0.71042279,0.59705662,0.14989474
-5.95197599,2.90175429,0.90932978,1.87605477,0.01647221,0.08488348,0.02114901,0.68983054,0.58106860,0.14367275
-5.94597299,2.84783541,0.87442314,1.85754590,0.01698704,0.08091222,0.02042353,0.66977926,0.56557754,0.13760474
-5.93996998,2.79242278,0.84063929,1.83596245,0.01752368,0.07693699,0.01968236,0.65052281,0.55079535,0.13176192
-5.93396698,2.73611882,0.80827318,1.81150031,0.01807945,0.07299236,0.01893563,0.63231590,0.53692641,0.12621652
-5.92796398,2.67960405,0.77761539,1.78444279,0.01865163,0.06911254,0.01819334,0.61540982,0.52416366,0.12104027
-5.92196098,2.62363084,0.74894747,1.75516141,0.01923767,0.06533071,0.01746514,0.60004821,0.51268525,0.11630284
-5.91595798,2.56901459,0.72253734,1.72411400,0.01983529,0.06167835,0.01676003,0.58646289,0.50265146,0.11207034
-5.90995498,2.51662201,0.69863489,1.69183958,0.02044270,0.05818474,0.01608623,0.57486978,0.49420229,0.10840387
-5.90395198,2.46735638,0.67746774,1.65894983,0.02105862,0.05487645,0.01545101,0.56546493,0.48745536,0.10535824
-5.89794897,2.42213942,0.65923726,1.62611698,0.02168244,0.05177701,0.01486057,0.55842062,0.48250439,0.10298071
-5.89194597,2.38188996,0.64411480,1.59405813,0.02231414,0.04890662,0.01432002,0.55388152,0.47941788,0.10130990
-5.88594297,2.34749953,0.63223803,1.56351618,0.02295434,0.04628197,0.01383333,0.55196087,0.47823810,0.10037487
-5.87993997,2.31980531,0.62370751,1.53523791,0.02360412,0.04391614,0.01340336,0.55273669,0.47898028,0.10019428
-5.87393697,2.29956115,0.61858338,1.50994971,0.02426487,0.04181860,0.01303188,0.55624813,0.48163182,0.10077566
-5.86793397,2.28740764,0.61688229,1.48833198,0.02493805,0.03999521,0.01271963,0.56249195,0.48615169,0.10211493
-5.86193097,2.28384246,0.61857464,1.47099308,0.02562490,0.03844832,0.01246639,0.57141939,0.49246980,0.10419596
-5.85592796,2.28919236,0.62358222,1.45844411,0.02632613,0.03717689,0.01227107,0.58293354,0.50048667,0.10699046
-5.84992496,2.30358838,0.63177654,1.45107571,0.02704161,0.03617663,0.01213175,0.59688747,0.51007326,0.11045790
-5.84392196,2.32694578,0.64297793,1.44913809,0.02777001,0.03544016,0.01204579,0.61308340,0.52107132,0.11454586
-5.83791896,2.35895018,0.65695570,1.45272548,0.02850852,0.03495726,0.01200988,0.63127311,0.53329418,0.11919049
-5.83191596,2.39905117,0.67342961,1.46176598,0.02925263,0.03471507,0.01202014,0.65115977,0.54652838,0.12431736
-5.82591296,2.44646439,0.69207262,1.47601756,0.02999596,0.03469833,0.01207215,0.67240154,0.56053608,0.12984254
-5.81990995,2.50018261,0.71251532,1.49507071,0.03073019,0.03488969,0.01216106,0.69461675,0.57505847,0.13567400
-5.81390695,2.55899601,0.73435177,1.51835789,0.03144509,0.03527000,0.01228163,0.71739093,0.58982011,0.14171335
