energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,0.46834934,0.00332165,0.05299027,0.22349083,0.06394516,0.16767849,0.06747592,0.00296620,0.19859603
-5.99399700,0.45571999,0.00291047,0.05228198,0.22058109,0.06146245,0.16113766,0.06682615,0.00305844,0.19330610
-5.98799400,0.44581055,0.00255468,0.05169491,0.21824249,0.05936337,0.15563391,0.06677425,0.00318343,0.18921203
-5.98199100,0.43844046,0.00225475,0.05118982,0.21631961,0.05761168,0.15107554,0.06734807,0.00334532,0.18624519
-5.97598799,0.43343532,0.00201075,0.05072672,0.21465545,0.05616968,0.14736746,0.06858477,0.00354918,0.18434068
-5.96998499,0.43064548,0.00182249,0.05026695,0.21309976,0.05500069,0.14441768,0.07053378,0.00380109,0.18344534
-5.96398199,0.42996251,0.00168962,0.04977489,0.21151663,0.05407130,0.14214317,0.07325921,0.00410828,0.18352473
-5.95797899,0.43133295,0.00161182,0.04921959,0.20979112,0.05335322,0.14047490,0.07684161,0.00447918,0.18456904
-5.95197599,0.43476851,0.00158881,0.04857607,0.20783458,0.05282486,0.13936169,0.08137885,0.00492336,0.18659742
-5.94597299,0.44035224,0.00162047,0.04782625,0.20558852,0.05247225,0.13877292,0.08698601,0.00545150,0.18966056
-5.93996998,0.44824026,0.00170683,0.04695958,0.20302693,0.05228965,0.13869989,0.09379416,0.00607521,0.19384139
-5.93396698,0.45865906,0.00184804,0.04597329,0.20015691,0.05227947,0.13915584,0.10194794,0.00680679,0.19925384
-5.92796398,0.47189812,0.00204434,0.04487222,0.19701784,0.05245184,0.14017466,0.11160194,0.00765895,0.20603956
-5.92196098,0.48829837,0.00229599,0.04366846,0.19367902,0.05282358,0.14180839,0.12291589,0.00864438,0.21436288
-5.91595798,0.50823680,0.00260314,0.04238051,0.19023603,0.05341687,0.14412370,0.13604877,0.00977528,0.22440405
-5.90995498,0.53210773,0.00296569,0.04103242,0.18680607,0.05425752,0.14719746,0.15115190,0.01106282,0.23635107
-5.90395198,0.56030182,0.00338319,0.03965254,0.18352251,0.05537301,0.15111173,0.16836136,0.01251660,0.25039043
-5.89794897,0.59318335,0.00385464,0.03827233,0.18052895,0.05679041,0.15594837,0.18778985,0.01414396,0.26669723
-5.89194597,0.63106707,0.00437837,0.03692500,0.17797301,0.05853419,0.16178356,0.20951844,0.01594943,0.28542496
-5.88594297,0.67419555,0.00495192,0.03564419,0.17600035,0.06062421,0.16868250,0.23358847,0.01793411,0.30669552
-5.87993997,0.72271809,0.00557189,0.03446277,0.17474895,0.06307377,0.17669455,0.25999405,0.02009514,0.33058990
-5.87393697,0.77667230,0.00623391,0.03341168,0.17434395,0.06588802,0.18584905,0.28867550,0.02242524,0.35713992
-5.86793397,0.83596924,0.00693252,0.03251899,0.17489340,0.06906263,0.19615200,0.31951421,0.02491236,0.38632152
-5.86193097,0.90038289,0.00766129,0.03180906,0.17648479,0.07258299,0.20758383,0.35232918,0.02753953,0.41804983
-5.85592796,0.96954470,0.00841274,0.03130196,0.17918270,0.07642378,0.22009816,0.38687562,0.03028478,0.45217645
-5.84992496,1.04294351,0.00917858,0.03101311,0.18302736,0.08054911,0.23362191,0.42284583,0.03312136,0.48848887
-5.84392196,1.11993110,0.00994978,0.03095300,0.18803429,0.08491307,0.24805642,0.45987245,0.03601803,0.52671240
-5.83791896,1.19973324,0.01071683,0.03112724,0.19419486,0.08946085,0.26327973,0.49753417,0.03893967,0.56651433
-5.83191596,1.28146591,0.01146999,0.03153663,0.20147766,0.09413022,0.27914981,0.53536385,0.04184802,0.60751027
-5.82591296,1.36415610,0.01219960,0.03217745,0.20983054,0.09885339,0.29550855,0.57285868,0.04470254,0.64927248
