energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,18.44396571,0.09885456,0.06156240,0.36226222,0.33653620,0.03709835,0.84087271,0.38922551,16.19510119
-5.99399700,17.77385017,0.09979018,0.06123020,0.36679540,0.33482021,0.03599614,0.84470471,0.38629011,15.52332030
-5.98799400,17.11324395,0.10045604,0.06095362,0.37134360,0.33395330,0.03502907,0.85024541,0.38387810,14.85863602
-5.98199100,16.46486839,0.10084951,0.06073466,0.37587066,0.33402156,0.03420895,0.85759433,0.38200436,14.20340846
-5.97598799,15.83168611,0.10097617,0.06057683,0.38036068,0.33513736,0.03354925,0.86689875,0.38069939,13.56012305
-5.96998499,15.21687891,0.10084997,0.06048509,0.38481727,0.33743659,0.03306478,0.87834907,0.38000863,12.93137911
-5.96398199,14.62380693,0.10049295,0.06046585,0.38926199,0.34107452,0.03277123,0.89217179,0.37999085,12.31986580
-5.95797899,14.05594910,0.09993462,0.06052682,0.39373213,0.34622039,0.03268469,0.90862025,0.38071563,11.72832481
-5.95197599,13.51682587,0.09921086,0.06067671,0.39827777,0.35305097,0.03282100,0.92796337,0.38226002,11.15950049
-5.94597299,13.00990679,0.09836262,0.06092491,0.40295842,0.36174317,0.03319517,0.95047282,0.38470443,10.61607877
-5.93996998,12.53850636,0.09743424,0.06128100,0.40783913,0.37246604,0.03382065,0.97640906,0.38812807,10.10061758
-5.93396698,12.10567274,0.09647159,0.06175421,0.41298648,0.38537239,0.03470871,1.00600664,0.39260392,9.61547177
-5.92796398,11.71407442,0.09552021,0.06235286,0.41846430,0.40059029,0.03586779,1.03945942,0.39819364,9.16271669
-5.92196098,11.36589031,0.09462334,0.06308365,0.42432952,0.41821481,0.03730287,1.07690608,0.40494247,8.74407419
-5.91595798,11.06270878,0.09382012,0.06395108,0.43062806,0.43830023,0.03901498,1.11841657,0.41287451,8.36084536
-5.90995498,10.80544073,0.09314393,0.06495681,0.43739115,0.46085310,0.04100071,1.16398003,0.42198847,8.01385365
-5.90395198,10.59425121,0.09262109,0.06609912,0.44463197,0.48582636,0.04325193,1.21349460,0.43225420,7.70340162
-5.89794897,10.42851329,0.09226977,0.06737239,0.45234303,0.51311485,0.04575553,1.26675965,0.44361011,7.42924386
-5.89194597,10.30678656,0.09209942,0.06876684,0.46049417,0.54255238,0.04849338,1.32347081,0.45596169,7.19057755
-5.88594297,10.22682192,0.09211048,0.07026826,0.46903144,0.57391055,0.05144233,1.38321811,0.46918114,6.98605142
-5.87993997,10.18559253,0.09229455,0.07185799,0.47787694,0.60689952,0.05457441,1.44548744,0.48310829,6.81379265
-5.87393697,10.17935022,0.09263494,0.07351309,0.48692968,0.64117072,0.05785720,1.50966557,0.49755271,6.67145064
-5.86793397,10.20370505,0.09310752,0.07520662,0.49606746,0.67632159,0.06125426,1.57504859,0.51229704,6.55625549
-5.86193097,10.25372533,0.09368187,0.07690813,0.50514987,0.71190218,0.06472572,1.64085383,0.52710143,6.46508867
-5.85592796,10.32405419,0.09432263,0.07858436,0.51402225,0.74742366,0.06822899,1.70623497,0.54170890,6.39456294
-5.84992496,10.40903872,0.09499098,0.08020000,0.52252062,0.78236829,0.07171955,1.77029995,0.55585155,6.34110813
-5.84392196,10.50286705,0.09564618,0.08171860,0.53047744,0.81620092,0.07515187,1.83213140,0.56925731,6.30105952
-5.83791896,10.59970904,0.09624709,0.08310360,0.53772795,0.84838128,0.07848029,1.89080879,0.58165710,6.27074583
-5.83191596,10.69385597,0.09675360,0.08431933,0.54411699,0.87837712,0.08166004,1.94543192,0.59279207,6.24657383
-5.82591296,10.77985521,0.09712792,0.08533207,0.54950597,0.90567746,0.08464822,1.99514488,0.60242072,6.22510707
-5.81990995,10.85263612,0.09733572,0.08611104,0.55377981,0.92980573,0.08740477,2.03915975,0.61032570,6.20313694
-5.81390695,10.90762393,0.09734698,0.08662937,0.55685354,0.95033230,0.08989336,2.07677943,0.61631998,6.17774422
-5.80790395,10.94083884,0.09713672,0.08686493,0.55867824,0.96688600,0.09208233,2.10741861,0.62025228,6.14635038
-5.80190095,10.94897850,0.09668547,0.08680098,0.55924615,0.97916429,0.09394543,2.13062253,0.62201163,6.10675787
-5.79589795,10.92948200,0.09597946,0.08642678,0.55859472,0.98694175,0.09546249,2.14608259,0.62153075,6.05717921
-5.78989495,10.88057484,0.09501075,0.08573796,0.55680929,0.99007657,0.09661996,2.15364846,0.61878845,5.99625513
-5.78389195,10.80129410,0.09377711,0.08473670,0.55402444,0.98851498,0.09741135,2.15333630,0.61381071,5.92306204
-5.77788894,10.69149417,0.09228181,0.08343176,0.55042368,0.98229338,0.09783741,2.14533270,0.60667067,5.83710953
-5.77188594,10.55183341,0.09053327,0.08183837,0.54623766,0.97153812,0.09790629,2.12999424,0.59748737,5.73832859
-5.76588294,10.38374252,0.08854473,0.07997790,0.54174074,0.95646314,0.09763338,2.10784264,0.58642347,5.62705140
-5.75987994,10.18937609,0.08633377,0.07787743,0.53724613,0.93736530,0.09704112,2.07955562,0.57368185,5.50398354
-5.75387694,9.97154837,0.08392191,0.07556913,0.53309950,0.91461784,0.09615855,2.04595358,0.55950133,5.37016962
