energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,0.57242897,0.16414819,0.41920130,0.01923803,0.00482522,0.00841987,0.06997264,0.10313694,0.02122681
-5.99399700,0.61822793,0.18173626,0.45740641,0.01838643,0.00538220,0.00756734,0.07437934,0.10589149,0.02342682
-5.98799400,0.67142324,0.20184104,0.50048982,0.01789607,0.00597900,0.00686629,0.08004915,0.11055589,0.02587145
-5.98199100,0.73204634,0.22454705,0.54849713,0.01775126,0.00661444,0.00630851,0.08698767,0.11713490,0.02855841
-5.97598799,0.80007803,0.24992556,0.60144180,0.01793315,0.00728673,0.00588478,0.09519101,0.12562185,0.03148262
-5.96998499,0.87544661,0.27803195,0.65930314,0.01842024,0.00799346,0.00558520,0.10464534,0.13599896,0.03463606
-5.96398199,0.95802468,0.30890245,0.72202350,0.01918882,0.00873157,0.00539957,0.11532621,0.14823724,0.03800762
-5.95797899,1.04762463,0.34255046,0.78950463,0.02021335,0.00949736,0.00531766,0.12719770,0.16229588,0.04158301
-5.95197599,1.14399312,0.37896251,0.86160312,0.02146679,0.01028647,0.00532942,0.14021159,0.17812123,0.04534465
-5.94597299,1.24680469,0.41809399,0.93812536,0.02292083,0.01109389,0.00542512,0.15430638,0.19564542,0.04927168
-5.93996998,1.35565491,0.45986479,1.01882198,0.02454621,0.01191403,0.00559549,0.16940644,0.21478475,0.05333998
-5.93396698,1.47005357,0.50415513,1.10338226,0.02631285,0.01274071,0.00583174,0.18542130,0.23543797,0.05752226
-5.92796398,1.58941835,0.55080163,1.19142880,0.02819016,0.01356726,0.00612561,0.20224508,0.25748456,0.06178823
-5.92196098,1.71306968,0.59959407,1.28251293,0.03014722,0.01438660,0.00646931,0.21975631,0.28078325,0.06610489
-5.91595798,1.84022726,0.65027291,1.37611118,0.03215305,0.01519129,0.00685549,0.23781806,0.30517081,0.07043681
-5.90995498,1.97000893,0.70252791,1.47162355,0.03417690,0.01597368,0.00727717,0.25627846,0.33046140,0.07474659
-5.90395198,2.10143241,0.75599814,1.56837367,0.03618854,0.01672603,0.00772766,0.27497177,0.35644651,0.07899533
-5.89794897,2.23342049,0.81027339,1.66561165,0.03815862,0.01744059,0.00820048,0.29371989,0.38289569,0.08314321
-5.89194597,2.36480995,0.86489735,1.76251960,0.04005901,0.01810979,0.00868931,0.31233444,0.40955816,0.08715014
-5.88594297,2.49436449,0.91937261,1.85822032,0.04186319,0.01872636,0.00918789,0.33061930,0.43616532,0.09097641
-5.87993997,2.62079184,0.97316741,1.95178911,0.04354662,0.01928346,0.00969004,0.34837369,0.46243423,0.09458341
-5.87393697,2.74276468,1.02572425,2.04226866,0.04508715,0.01977484,0.01018959,0.36539561,0.48807207,0.09793441
-5.86793397,2.85894529,1.07647009,2.12868684,0.04646535,0.02019494,0.01068041,0.38148577,0.51278137,0.10099524
-5.86193097,2.96801316,1.12482798,2.21007696,0.04766487,0.02053906,0.01115650,0.39645161,0.53626609,0.10373504
-5.85592796,3.06869480,1.17022979,2.28549985,0.04867270,0.02080338,0.01161197,0.41011163,0.55823820,0.10612692
-5.84992496,3.15979491,1.21212959,2.35406720,0.04947942,0.02098516,0.01204124,0.42229961,0.57842462,0.10814854
-5.84392196,3.24022758,1.25001723,2.41496515,0.05007937,0.02108269,0.01243908,0.43286873,0.59657427,0.10978264
-5.83791896,3.30904646,1.28343164,2.46747729,0.05047071,0.02109542,0.01280078,0.44169544,0.61246494,0.11101748
-5.83191596,3.36547259,1.31197317,2.51100612,0.05065549,0.02102391,0.01312234,0.44868284,0.62590966,0.11184706
-5.82591296,3.40891869,1.33531466,2.54509198,0.05063949,0.02086986,0.01340053,0.45376349,0.63676228,0.11227136
-5.81990995,3.43900887,1.35321049,2.56942872,0.05043210,0.02063606,0.01363314,0.45690149,0.64492209,0.11229631
-5.81390695,3.45559270,1.36550340,2.58387527,0.05004606,0.02032633,0.01381905,0.45809384,0.65033705,0.11193367
-5.80790395,3.45875321,1.37212861,2.58846267,0.04949709,0.01994543,0.01395835,0.45737077,0.65300569,0.11120080
-5.80190095,3.44880829,1.37311519,2.58339630,0.04880351,0.01949895,0.01405246,0.45479535,0.65297738,0.11012023
-5.79589795,3.42630540,1.36858441,2.56905310,0.04798576,0.01899320,0.01410412,0.45046204,0.65035096,0.10871921
-5.78989495,3.39201002,1.35874539,2.54597412,0.04706585,0.01843506,0.01411746,0.44449452,0.64527188,0.10702906
-5.78389195,3.34688826,1.34388806,2.51485267,0.04606680,0.01783186,0.01409790,0.43704272,0.63792783,0.10508453
-5.77788894,3.29208451,1.32437391,2.47651882,0.04501210,0.01719119,0.01405215,0.42827917,0.62854307,0.10292307
-5.77188594,3.22889521,1.30062492,2.43192084,0.04392505,0.01652082,0.01398803,0.41839499,0.61737176,0.10058409
-5.76588294,3.15873977,1.27311126,2.38210450,0.04282827,0.01582850,0.01391434,0.40759549,0.60469049,0.09810820
-5.75987994,3.08312996,1.24233816,2.32819113,0.04174314,0.01512186,0.01384072,0.39609561,0.59079042,0.09553653
-5.75387694,3.00363889,1.20883279,2.27135523,0.04068930,0.01440832,0.01377737,0.38411548,0.57596923,0.09291002
-5.74787394,2.92187058,1.17313138,2.21280227,0.03968427,0.01369494,0.01373490,0.37187610,0.56052332,0.09026881
-5.74187094,2.83943101,1.13576733,2.15374755,0.03874307,0.01298840,0.01372411,0.35959537,0.54474044,0.08765168
-5.73586793,2.75790131,1.09726047,2.09539619,0.03787799,0.01229492,0.01375568,0.34748451,0.52889307,0.08509558
-5.72986493,2.67881340,1.05810790,2.03892480,0.03709843,0.01162019,0.01384006,0.33574498,0.51323271,0.08263517
-5.72386193,2.60362826,1.01877650,1.98546467,0.03641079,0.01096940,0.01398719,0.32456589,0.49798519,0.08030250
-5.71785893,2.53371663,0.97969711,1.93608648,0.03581851,0.01034719,0.01420634,0.31412189,0.48334710,0.07812665
-5.71185593,2.47034205,0.94126046,1.89178629,0.03532215,0.00975764,0.01450593,0.30457154,0.46948340,0.07613346
-5.70585293,2.41464558,0.90381452,1.85347244,0.03491959,0.00920433,0.01489337,0.29605601,0.45652605,0.07434528
-5.69984992,2.36763201,0.86766315,1.82195319,0.03460623,0.00869025,0.01537491,0.28869810,0.44457372,0.07278072
-5.69384692,2.33015686,0.83306586,1.79792464,0.03437533,0.00821793,0.01595554,0.28260143,0.43369230,0.07145440
-5.68784392,2.30291415,0.80023822,1.78195890,0.03421831,0.00778933,0.01663884,0.27784975,0.42391627,0.07037675
-5.68184092,2.28642450,0.76935282,1.77449247,0.03412513,0.00740592,0.01742691,0.27450630,0.41525061,0.06955377
-5.67583792,2.28102374,0.74054059,1.77581488,0.03408465,0.00706861,0.01832024,0.27261316,0.40767313,0.06898684
