energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,8.77952197,0.18154158,0.06208399,0.90731071,0.87059059,0.16160212,2.30271026,0.85936688,3.82124450
-5.99399700,8.51580536,0.18008434,0.05962114,0.91173380,0.83582620,0.15645993,2.25439841,0.84520630,3.68004519
-5.98799400,8.24593995,0.17828517,0.05722640,0.91645663,0.80040840,0.15100231,2.20453699,0.83044306,3.53608496
-5.98199100,7.97296252,0.17620161,0.05492919,0.92147644,0.76470878,0.14528405,2.15371293,0.81530657,3.39091442
-5.97598799,7.69972321,0.17389447,0.05275571,0.92675986,0.72907952,0.13935967,2.10246998,0.80001893,3.24598809
-5.96998499,7.42884765,0.17142681,0.05072847,0.93224554,0.69384903,0.13328266,2.05130219,0.78479157,3.10264473
-5.96398199,7.16270932,0.16886286,0.04886596,0.93784797,0.65931835,0.12710488,2.00064966,0.76982246,2.96209318
-5.95797899,6.90341148,0.16626685,0.04718238,0.94346223,0.62575842,0.12087599,1.95089627,0.75529369,2.82540333
-5.95197599,6.65277703,0.16370178,0.04568765,0.94896923,0.59340797,0.11464302,1.90236910,0.74136943,2.69350146
-5.94597299,6.41234482,0.16122820,0.04438743,0.95424131,0.56247206,0.10844990,1.85533906,0.72819418,2.56716916
-5.93996998,6.18337093,0.15890286,0.04328326,0.95914750,0.53312108,0.10233720,1.81002242,0.71589107,2.44704503
-5.93396698,5.96683334,0.15677736,0.04237281,0.96355854,0.50549024,0.09634184,1.76658281,0.70456031,2.33362835
-5.92796398,5.76343866,0.15489681,0.04165017,0.96735092,0.47967939,0.09049687,1.72513340,0.69427762,2.22728404
-5.92196098,5.57363024,0.15329848,0.04110619,0.97041010,0.45575330,0.08483139,1.68573906,0.68509270,2.12824835
-5.91595798,5.39759673,0.15201056,0.04072880,0.97263251,0.43374230,0.07937049,1.64841832,0.67702770,2.03663492
-5.90995498,5.23528120,0.15105098,0.04050340,0.97392645,0.41364341,0.07413520,1.61314513,0.67007581,1.95244084
-5.90395198,5.08639086,0.15042647,0.04041320,0.97421183,0.39542194,0.06914263,1.57985052,0.66420011,1.87555285
-5.89794897,4.95040785,0.15013179,0.04043958,0.97341899,0.37901363,0.06440608,1.54842434,0.65933273,1.80575366
-5.89194597,4.82660203,0.15014931,0.04056249,0.97148681,0.36432745,0.05993526,1.51871729,0.65537462,1.74272864
-5.88594297,4.71404659,0.15044894,0.04076076,0.96836041,0.35124901,0.05573660,1.49054363,0.65219602,1.68607319
-5.87993997,4.61163741,0.15098834,0.04101252,0.96398872,0.33964461,0.05181358,1.46368478,0.64963782,1.63530119
-5.87393697,4.51811719,0.15171375,0.04129555,0.95832243,0.32936595,0.04816721,1.43789418,0.64751398,1.58985481
-5.86793397,4.43210481,0.15256106,0.04158777,0.95131252,0.32025543,0.04479652,1.41290364,0.64561512,1.54911598
-5.86193097,4.35213052,0.15345748,0.04186760,0.94290970,0.31215191,0.04169914,1.38843132,0.64371326,1.51241978
-5.85592796,4.27667672,0.15432351,0.04211450,0.93306497,0.30489684,0.03887196,1.36419132,0.64156777,1.47906970
-5.84992496,4.20422388,0.15507531,0.04230945,0.92173147,0.29834064,0.03631183,1.33990492,0.63893235,1.44835469
-5.84392196,4.13330062,0.15562735,0.04243545,0.90886745,0.29234898,0.03401635,1.31531309,0.63556292,1.41956771
-5.83791896,4.06253653,0.15589524,0.04247805,0.89444042,0.28680902,0.03198464,1.29018989,0.63122604,1.39202535
-5.83191596,3.99071571,0.15579867,0.04242582,0.87843212,0.28163506,0.03021818,1.26435630,0.62570776,1.36508782
-5.82591296,3.91682902,0.15526427,0.04227085,0.86084402,0.27677368,0.02872162,1.23769388,0.61882220,1.33817859
-5.81990995,3.84012243,0.15422831,0.04200912,0.84170296,0.27220801,0.02750359,1.21015740,0.61041974,1.31080288
-5.81390695,3.76013918,0.15263913,0.04164078,0.82106636,0.26796088,0.02657742,1.18178589,0.60039429,1.28256405
-5.80790395,3.67675326,0.15045920,0.04117041,0.79902669,0.26409686,0.02596184,1.15271134,0.58868924,1.25317721
-5.80190095,3.59019212,0.14766659,0.04060702,0.77571463,0.26072293,0.02568143,1.12316434,0.57530175,1.22247901
-5.79589795,3.50104684,0.14425598,0.03996404,0.75130064,0.25798767,0.02576702,1.09347619,0.56028525,1.19043329
-5.78989495,3.41026856,0.14023900,0.03925905,0.72599457,0.25607905,0.02625583,1.06407702,0.54374973,1.15713197
-5.78389195,3.31915046,0.13564394,0.03851341,0.70004325,0.25522071,0.02719132,1.03548972,0.52586000,1.12279093
-5.77788894,3.22929543,0.13051491,0.03775177,0.67372595,0.25566683,0.02862282,1.00831962,0.50683177,1.08774103
-5.77188594,3.14256996,0.12491035,0.03700137,0.64734786,0.25769558,0.03060474,0.98324002,0.48692582,1.05241434
-5.76588294,3.06104581,0.11890117,0.03629133,0.62123182,0.26160154,0.03319551,0.96097404,0.46644037,1.01732632
-5.75987994,2.98693112,0.11256836,0.03565175,0.59570879,0.26768688,0.03645606,0.94227317,0.44570216,0.98305433
-5.75387694,2.92249375,0.10600049,0.03511286,0.57110728,0.27625194,0.04044795,0.92789336,0.42505643,0.95021362
-5.74787394,2.86997940,0.09929088,0.03470408,0.54774251,0.28758505,0.04523118,0.91856928,0.40485644,0.91943171
-5.74187094,2.83152772,0.09253491,0.03445318,0.52590580,0.30195219,0.05086156,0.91498792,0.38545280,0.89132216
-5.73586793,2.80908971,0.08582729,0.03438543,0.50585467,0.31958660,0.05738789,0.91776227,0.36718318,0.86645897
-5.72986493,2.80434942,0.07925961,0.03452288,0.48780427,0.34067870,0.06484890,0.92740622,0.35036281,0.84535261
-5.72386193,2.81865326,0.07291815,0.03488381,0.47192055,0.36536669,0.07327010,0.94431158,0.33527606,0.82842864
-5.71785893,2.85294936,0.06688203,0.03548225,0.45831544,0.39372807,0.08266060,0.96872820,0.32216950,0.81600982
-5.71185593,2.90773966,0.06122181,0.03632775,0.44704450,0.42577249,0.09301015,1.00074789,0.31124653,0.80830240
