energy_ev,total_up,In_p_up,In_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,5.90989541,1.55702403,0.02629374,3.29835155,4.99102101,0.19688800,0.00000000
-5.99399700,5.93884367,1.54849968,0.02655897,3.26626634,5.02700417,0.19838448,0.00000000
-5.98799400,5.95683969,1.53625381,0.02679378,3.22545700,5.05421326,0.19939192,0.00000000
-5.98199100,5.96427155,1.52055237,0.02700014,3.17669113,5.07283676,0.19992303,0.00000000
-5.97598799,5.96162841,1.50170098,0.02717998,3.12079545,5.08315354,0.19999438,0.00000000
-5.96998499,5.94949423,1.48003792,0.02733518,3.05863745,5.08553110,0.19962608,0.00000000
-5.96398199,5.92854006,1.45592668,0.02746747,2.99110837,5.08042199,0.19884137,0.00000000
-5.95797899,5.89951468,1.42974786,0.02757842,2.91910764,5.06835795,0.19766638,0.00000000
-5.95197599,5.86323318,1.40189072,0.02766941,2.84352866,5.04994169,0.19612987,0.00000000
-5.94597299,5.82056340,1.37274455,0.02774157,2.76524596,5.02583594,0.19426298,0.00000000
-5.93996998,5.77241040,1.34268988,0.02779578,2.68510374,4.99675020,0.19209902,0.00000000
-5.93396698,5.71969918,1.31209012,0.02783263,2.60390563,4.96342535,0.18967314,0.00000000
-5.92796398,5.66335615,1.28128356,0.02785242,2.52240575,4.92661669,0.18702208,0.00000000
-5.92196098,5.60428998,1.25057629,0.02785510,2.44130094,4.88707606,0.18418375,0.00000000
-5.91595798,5.54337242,1.22023607,0.02784038,2.36122425,4.84553366,0.18119686,0.00000000
-5.90995498,5.48141982,1.19048765,0.02780762,2.28273950,4.80268035,0.17810037,0.00000000
-5.90395198,5.41917595,1.16150944,0.02775597,2.20633708,4.75915101,0.17493295,0.00000000
-5.89794897,5.35729672,1.13343182,0.02768432,2.13243086,4.71550967,0.17173234,0.00000000
-5.89194597,5.29633719,1.10633708,0.02759141,2.06135618,4.67223670,0.16853463,0.00000000
-5.88594297,5.23674130,1.08026093,0.02747586,1.99336896,4.62971858,0.16537358,0.00000000
-5.87993997,5.17883434,1.05519546,0.02733622,1.92864584,4.58824034,0.16227978,0.00000000
-5.87393697,5.12281854,1.03109337,0.02717105,1.86728536,4.54798084,0.15927999,0.00000000
-5.86793397,5.06877142,1.00787321,0.02697897,1.80931014,4.50901080,0.15639632,0.00000000
-5.86193097,5.01664720,0.98542543,0.02675873,1.75467004,4.47129367,0.15364566,0.00000000
-5.85592796,4.96628092,0.96361884,0.02650923,1.70324633,4.43468907,0.15103909,0.00000000
-5.84992496,4.91739537,0.94230726,0.02622959,1.65485684,4.39895876,0.14858148,0.00000000
-5.84392196,4.86961063,0.92133607,0.02591918,1.60926214,4.36377511,0.14627124,0.00000000
-5.83791896,4.82245619,0.90054850,0.02557762,1.56617280,4.32873174,0.14410034,0.00000000
-5.83191596,4.77538563,0.87979128,0.02520483,1.52525766,4.29335657,0.14205447,0.00000000
-5.82591296,4.72779368,0.85891980,0.02480102,1.48615310,4.25712677,0.14011353,0.00000000
-5.81990995,4.67903565,0.83780240,0.02436674,1.44847334,4.21948589,0.13825229,0.00000000
-5.81390695,4.62844889,0.81632394,0.02390287,1.41182154,4.17986269,0.13644141,0.00000000
-5.80790395,4.57537613,0.79438854,0.02341062,1.37580155,4.13769147,0.13464851,0.00000000
-5.80190095,4.51919012,0.77192164,0.02289159,1.34003011,4.09243362,0.13283964,0.00000000
