energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.01895075,0.20156057,0.08103465,1.40771934,1.92618048,0.11296102,2.95965979,1.69103134,0.47685991
-5.99399700,7.09596367,0.20951222,0.08565494,1.45156352,1.90220881,0.11626774,3.01850550,1.70337098,0.49655211
-5.98799400,7.17227974,0.21747315,0.09060190,1.49563565,1.87940565,0.11932964,3.07527967,1.71317283,0.51623375
-5.98199100,7.24695258,0.22537006,0.09586659,1.53956516,1.85794254,0.12209292,3.12927212,1.72040962,0.53567564
-5.97598799,7.31895923,0.23312461,0.10143639,1.58296225,1.83794805,0.12450650,3.17976440,1.72507081,0.55463934
-5.96998499,7.38723934,0.24065490,0.10729562,1.62542790,1.81951181,0.12652332,3.22605112,1.72716848,0.57288167
-5.96398199,7.45073484,0.24787703,0.11342625,1.66656399,1.80268967,0.12810160,3.26746057,1.72674228,0.59015933
-5.95797899,7.50842820,0.25470664,0.11980855,1.70598323,1.78750938,0.12920590,3.30337386,1.72386333,0.60623347
-5.95197599,7.55937717,0.26106054,0.12642177,1.74331833,1.77397632,0.12980813,3.33324186,1.71863623,0.62087419
-5.94597299,7.60274454,0.26685824,0.13324478,1.77823036,1.76207873,0.12988817,3.35659911,1.71119937,0.63386486
-5.93996998,7.63782143,0.27202344,0.14025642,1.81041582,1.75179205,0.12943448,3.37307460,1.70172311,0.64500615
-5.93396698,7.66404340,0.27648556,0.14743585,1.83961230,1.74308196,0.12844427,3.38239889,1.69040601,0.65411984
-5.92796398,7.68099876,0.28018112,0.15476251,1.86560265,1.73590592,0.12692361,3.38440778,1.67746924,0.66105223
-5.92196098,7.68842909,0.28305502,0.16221592,1.88821736,1.73021313,0.12488720,3.37904232,1.66314947,0.66567714
-5.91595798,7.68622221,0.28506180,0.16977518,1.90733532,1.72594286,0.12235797,3.36634572,1.64769054,0.66789852
-5.90995498,7.67439841,0.28616669,0.17741820,1.92288281,1.72302129,0.11936646,3.34645716,1.63133449,0.66765249
-5.90395198,7.65309071,0.28634650,0.18512078,1.93483091,1.72135724,0.11595006,3.31960313,1.61431229,0.66490881
-5.89794897,7.62252065,0.28559030,0.19285547,1.94319126,1.72083701,0.11215208,3.28608670,1.59683491,0.65967174
-5.89194597,7.58297088,0.28389990,0.20059036,1.94801062,1.72131888,0.10802071,3.24627519,1.57908507,0.65198023
-5.88594297,7.53475641,0.28128992,0.20828791,1.94936419,1.72262780,0.10360791,3.20058681,1.56121019,0.64190728
-5.87993997,7.47819595,0.27778771,0.21590391,1.94734828,1.72455079,0.09896822,3.14947678,1.54331696,0.62955869
-5.87393697,7.41358543,0.27343280,0.22338661,1.94207250,1.72683356,0.09415759,3.09342364,1.52546768,0.61507089
-5.86793397,7.34117519,0.26827606,0.23067629,1.93365199,1.72917894,0.08923223,3.03291600,1.50767886,0.59860820
-5.86193097,7.26115252,0.26237860,0.23770525,1.92220021,1.73124760,0.08424749,2.96844063,1.48992195,0.58035929
-5.85592796,7.17363086,0.25581029,0.24439834,1.90782262,1.73266126,0.07925682,2.90047207,1.47212644,0.56053314
-5.84992496,7.07864674,0.24864809,0.25067404,1.89061187,1.73300876,0.07431086,2.82946439,1.45418519,0.53935456
-5.84392196,6.97616511,0.24097428,0.25644623,1.87064474,1.73185488,0.06945666,2.75584537,1.43596188,0.51705941
-5.83791896,6.86609308,0.23287447,0.26162650,1.84798124,1.72875197,0.06473698,2.68001330,1.41730029,0.49388966
-5.83191596,6.74830190,0.22443576,0.26612698,1.82266598,1.72325382,0.06018991,2.60233660,1.39803508,0.47008854
-5.82591296,6.62265600,0.21574488,0.26986360,1.79473191,1.71493154,0.05584843,2.52315602,1.37800359,0.44589592
-5.81990995,6.48904776,0.20688651,0.27275959,1.76420620,1.70339054,0.05174034,2.44278933,1.35705822,0.42154400
-5.81390695,6.34743592,0.19794189,0.27474916,1.73111796,1.68828793,0.04788822,2.36153804,1.33507864,0.39725357
-5.80790395,6.19788520,0.18898762,0.27578093,1.69550738,1.66934937,0.04430955,2.27969549,1.31198340,0.37323088
-5.80190095,6.04060450,0.18009480,0.27582117,1.65743555,1.64638449,0.04101697,2.19755573,1.28774005,0.34966508
-5.79589795,5.87598083,0.17132847,0.27485643,1.61699435,1.61929984,0.03801865,2.11542226,1.26237332,0.32672644
-5.78989495,5.70460622,0.16274734,0.27289547,1.57431551,1.58810860,0.03531862,2.03361600,1.23597074,0.30456521
-5.78389195,5.52729524,0.15440376,0.26997036,1.52957814,1.55293621,0.03291730,1.95248140,1.20868512,0.28331104
-5.77788894,5.34509110,0.14634386,0.26613650,1.48301402,1.51402149,0.03081187,1.87239025,1.18073367,0.26307303
-5.77188594,5.15925894,0.13860787,0.26147169,1.43490996,1.47171291,0.02899676,1.79374242,1.15239352,0.24394016
-5.76588294,4.97126584,0.13123050,0.25607409,1.38560692,1.42645993,0.02746400,1.71696333,1.12399360,0.22598205
-5.75987994,4.78274780,0.12424130,0.25005921,1.33549571,1.37879971,0.02620360,1.64249789,1.09590321,0.20925002
-5.75387694,4.59546477,0.11766501,0.24355601,1.28500912,1.32933967,0.02520381,1.57080115,1.06851759,0.19377822
-5.74787394,4.41124584,0.11152188,0.23670229,1.23461107,1.27873677,0.02445138,1.50232604,1.04224125,0.17958489
-5.74187094,4.23192730,0.10582776,0.22963972,1.18478299,1.22767427,0.02393168,1.43750895,1.01746968,0.16667359
-5.73586793,4.05928685,0.10059424,0.22250844,1.13600845,1.17683750,0.02362891,1.37675388,0.99457061,0.15503445
-5.72986493,3.89497767,0.09582866,0.21544192,1.08875665,1.12688937,0.02352617,1.32041635,0.97386563,0.14464538
-5.72386193,3.74046631,0.09153400,0.20856195,1.04346597,1.07844741,0.02360556,1.26878813,0.95561342,0.13547328
-5.71785893,3.59697789,0.08770884,0.20197436,1.00052847,1.03206304,0.02384837,1.22208388,0.93999535,0.12747524
-5.71185593,3.46545224,0.08434735,0.19576541,0.96027637,0.98820447,0.02423520,1.18043086,0.92710472,0.12059985
-5.70585293,3.34651357,0.08143934,0.18999921,0.92297124,0.94724394,0.02474623,1.14386244,0.91693999,0.11478859
-5.69984992,3.24045580,0.07897042,0.18471626,0.88879675,0.90944987,0.02536147,1.11231617,0.90940285,0.10997731
-5.69384692,3.14724454,0.07692240,0.17993314,0.85785530,0.87498439,0.02606118,1.08563684,0.90430124,0.10609794
