energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.80059247,0.24491965,0.00492615,0.26512193,0.81760544,1.19672931,0.40551511
-5.99399700,2.67676521,0.23641927,0.00474959,0.25226131,0.78363166,1.14148899,0.38682550
-5.98799400,2.54746312,0.22708823,0.00456460,0.23872556,0.74857462,1.08551793,0.36722671
-5.98199100,2.41482475,0.21713378,0.00437524,0.22469527,0.71306473,1.02979384,0.34701262
-5.97598799,2.28095872,0.20677164,0.00418560,0.21034772,0.67771970,0.97525362,0.32647264
-5.96998499,2.14789870,0.19621987,0.00399964,0.19585344,0.64313168,0.92277545,0.30588583
-5.96398199,2.01756150,0.18569274,0.00382117,0.18137330,0.60985523,0.87316234,0.28551548
-5.95797899,1.89170897,0.17539478,0.00365369,0.16705600,0.57839602,0.82712746,0.26560433
-5.95197599,1.77191471,0.16551522,0.00350034,0.15303600,0.54920072,0.78528135,0.24637054
-5.94597299,1.65953594,0.15622309,0.00336382,0.13943213,0.52264812,0.74812118,0.22800442
-5.93996998,1.55569130,0.14766298,0.00324633,0.12634652,0.49904173,0.71602226,0.21066593
-5.93396698,1.46124477,0.13995169,0.00314947,0.11386416,0.47860395,0.68923183,0.19448311
-5.92796398,1.37679601,0.13317589,0.00307425,0.10205287,0.46147215,0.66786545,0.17955120
-5.92196098,1.30267735,0.12739065,0.00302107,0.09096363,0.44769657,0.65190609,0.16593271
-5.91595798,1.23895726,0.12261916,0.00298966,0.08063139,0.43724039,0.64120609,0.15365817
-5.90995498,1.18545033,0.11885330,0.00297913,0.07107609,0.42998196,0.63549213,0.14272766
-5.90395198,1.14173349,0.11605527,0.00298799,0.06230396,0.42571924,0.63437326,0.13311295
-5.89794897,1.10716798,0.11416003,0.00301419,0.05430900,0.42417647,0.63735216,0.12476026
-5.89194597,1.08092665,0.11307862,0.00305519,0.04707458,0.42501304,0.64383927,0.11759354
-5.88594297,1.06202589,0.11270198,0.00310803,0.04057512,0.42783427,0.65316993,0.11151811
-5.87993997,1.04936133,0.11290549,0.00316943,0.03477779,0.43220409,0.66462398,0.10642464
-5.87393697,1.04174642,0.11355365,0.00323588,0.02964416,0.43765910,0.67744756,0.10219336
-5.86793397,1.03795284,0.11450519,0.00330376,0.02513180,0.44372378,0.69087642,0.09869829
-5.86193097,1.03675150,0.11561808,0.00336946,0.02119578,0.44992629,0.70416023,0.09581152
-5.85592796,1.03695303,0.11675446,0.00342948,0.01779002,0.45581445,0.71658698,0.09340730
-5.84992496,1.03744653,0.11778536,0.00348057,0.01486855,0.46097127,0.72750682,0.09136593
-5.84392196,1.03723526,0.11859487,0.00351978,0.01238653,0.46502961,0.73635441,0.08957730
-5.83791896,1.03546836,0.11908393,0.00354463,0.01030120,0.46768529,0.74266897,0.08794397
-5.83191596,1.03146735,0.11917331,0.00355313,0.00857261,0.46870828,0.74611134,0.08638375
-5.82591296,1.02474679,0.11880597,0.00354384,0.00716418,0.46795149,0.74647727,0.08483168
-5.81990995,1.01502829,0.11794849,0.00351593,0.00604317,0.46535685,0.74370648,0.08324149
-5.81390695,1.00224752,0.11659177,0.00346922,0.00518092,0.46095835,0.73788705,0.08158624
-5.80790395,0.98655399,0.11475087,0.00340412,0.00455301,0.45488202,0.72925489,0.07985845
-5.80190095,0.96830374,0.11246392,0.00332162,0.00413927,0.44734275,0.71818828,0.07806953
-5.79589795,0.94804503,0.10979048,0.00322329,0.00392371,0.43863806,0.70519760,0.07624860
-5.78989495,0.92649780,0.10680898,0.00311116,0.00389425,0.42913896,0.69091043,0.07444074
-5.78389195,0.90452732,0.10361375,0.00298765,0.00404249,0.41927837,0.67605266,0.07270478
-5.77788894,0.88311307,0.10031150,0.00285552,0.00436322,0.40953715,0.66142592,0.07111061
-5.77188594,0.86331371,0.09701741,0.00271771,0.00485400,0.40042848,0.64788222,0.06973615
-5.76588294,0.84622928,0.09385109,0.00257731,0.00551459,0.39248086,0.63629639,0.06866412
