energy_ev,total_up,Au_p_up,Au_d_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up
-6.00000000,0.77254581,0.07104694,0.48998256,0.05552503,0.00000000,0.02254431,0.10749903
-5.99399700,0.80090753,0.07403944,0.51142761,0.05943012,0.00000000,0.02304982,0.10577364
-5.98799400,0.83139574,0.07727380,0.53398443,0.06338080,0.00000000,0.02357583,0.10475101
-5.98199100,0.86359568,0.08069026,0.55738099,0.06733534,0.00000000,0.02412025,0.10439772
-5.97598799,0.89705676,0.08422334,0.58133087,0.07124923,0.00000000,0.02468065,0.10466712
-5.96998499,0.93130314,0.08780335,0.60553996,0.07507607,0.00000000,0.02525422,0.10550066
-5.96398199,0.96584534,0.09135798,0.62971338,0.07876884,0.00000000,0.02583771,0.10682939
-5.95797899,1.00019233,0.09481412,0.65356257,0.08228103,0.00000000,0.02642748,0.10857582
-5.95197599,1.03386376,0.09809978,0.67681219,0.08556796,0.00000000,0.02701945,0.11065582
-5.94597299,1.06640201,0.10114594,0.69920667,0.08858802,0.00000000,0.02760922,0.11298082
-5.93996998,1.09738348,0.10388851,0.72051620,0.09130392,0.00000000,0.02819210,0.11545996
-5.93396698,1.12642889,0.10627004,0.74054180,0.09368374,0.00000000,0.02876328,0.11800236
-5.92796398,1.15321193,0.10824132,0.75911937,0.09570189,0.00000000,0.02931793,0.12051927
-5.92196098,1.17746622,0.10976274,0.77612248,0.09733986,0.00000000,0.02985145,0.12292621
-5.91595798,1.19899003,0.11080529,0.79146386,0.09858671,0.00000000,0.03035961,0.12514488
-5.90995498,1.21764866,0.11135125,0.80509529,0.09943932,0.00000000,0.03083885,0.12710486
-5.90395198,1.23337442,0.11139450,0.81700619,0.09990237,0.00000000,0.03128648,0.12874509
-5.89794897,1.24616403,0.11094040,0.82722062,0.09998806,0.00000000,0.03170092,0.13001497
-5.89194597,1.25607382,0.11000533,0.83579312,0.09971553,0.00000000,0.03208192,0.13087514
-5.88594297,1.26321271,0.10861586,0.84280335,0.09911012,0.00000000,0.03243071,0.13129787
-5.87993997,1.26773351,0.10680753,0.84834992,0.09820237,0.00000000,0.03275016,0.13126713
-5.87393697,1.26982288,0.10462347,0.85254373,0.09702692,0.00000000,0.03304481,0.13077820
-5.86793397,1.26969048,0.10211270,0.85550106,0.09562134,0.00000000,0.03332090,0.12983701
-5.86193097,1.26755799,0.09932843,0.85733696,0.09402484,0.00000000,0.03358625,0.12845915
-5.85592796,1.26364841,0.09632621,0.85815913,0.09227709,0.00000000,0.03385012,0.12666866
-5.84992496,1.25817638,0.09316212,0.85806274,0.09041707,0.00000000,0.03412293,0.12449658
-5.84392196,1.25133983,0.08989121,0.85712655,0.08848205,0.00000000,0.03441590,0.12197948
-5.83791896,1.24331363,0.08656589,0.85541030,0.08650672,0.00000000,0.03474070,0.11915786
-5.83191596,1.23424534,0.08323476,0.85295391,0.08452255,0.00000000,0.03510893,0.11607466
-5.82591296,1.22425325,0.07994159,0.84977810,0.08255727,0.00000000,0.03553163,0.11277381
-5.81990995,1.21342691,0.07672465,0.84588674,0.08063466,0.00000000,0.03601871,0.10929898
-5.81390695,1.20182978,0.07361629,0.84127056,0.07877447,0.00000000,0.03657847,0.10569251
-5.80790395,1.18950395,0.07064294,0.83591203,0.07699257,0.00000000,0.03721699,0.10199454
-5.80190095,1.17647632,0.06782523,0.82979108,0.07530127,0.00000000,0.03793775,0.09824244
-5.79589795,1.16276610,0.06517847,0.82289134,0.07370978,0.00000000,0.03874113,0.09447043
-5.78989495,1.14839276,0.06271327,0.81520645,0.07222475,0.00000000,0.03962416,0.09070940
-5.78389195,1.13338411,0.06043639,0.80674602,0.07085097,0.00000000,0.04058027,0.08698695
-5.77788894,1.11778397,0.05835156,0.79754092,0.06959203,0.00000000,0.04159920,0.08332758
-5.77188594,1.10165887,0.05646049,0.78764763,0.06845109,0.00000000,0.04266707,0.07975299
-5.76588294,1.08510353,0.05476382,0.77715127,0.06743161,0.00000000,0.04376656,0.07628240
-5.75987994,1.06824483,0.05326203,0.76616731,0.06653801,0.00000000,0.04487729,0.07293296
-5.75387694,1.05124398,0.05195628,0.75484185,0.06577641,0.00000000,0.04597623,0.06972008
-5.74787394,1.03429718,0.05084922,0.74335047,0.06515522,0.00000000,0.04703840,0.06665776
-5.74187094,1.01763448,0.04994559,0.73189591,0.06468570,0.00000000,0.04803752,0.06375880
-5.73586793,1.00151735,0.04925279,0.72070455,0.06438248,0.00000000,0.04894688,0.06103500
-5.72986493,0.98623503,0.04878121,0.71002231,0.06426394,0.00000000,0.04974016,0.05849721
-5.72386193,0.97210005,0.04854456,0.70010984,0.06435253,0.00000000,0.05039240,0.05615529
-5.71785893,0.95944312,0.04855995,0.69123763,0.06467505,0.00000000,0.05088079,0.05401807
-5.71185593,0.94860792,0.04884795,0.68368111,0.06526269,0.00000000,0.05118561,0.05209320
-5.70585293,0.93994578,0.04943242,0.67771611,0.06615107,0.00000000,0.05129088,0.05038695
-5.69984992,0.93381063,0.05034035,0.67361478,0.06738006,0.00000000,0.05118506,0.04890406
-5.69384692,0.93055443,0.05160146,0.67164213,0.06899350,0.00000000,0.05086150,0.04764752
-5.68784392,0.93052293,0.05324781,0.67205326,0.07103875,0.00000000,0.05031873,0.04661847
-5.68184092,0.93405200,0.05531317,0.67509134,0.07356603,0.00000000,0.04956062,0.04581606
-5.67583792,0.94146439,0.05783246,0.68098614,0.07662765,0.00000000,0.04859623,0.04523743
-5.66983492,0.95306688,0.06084088,0.68995320,0.08027708,0.00000000,0.04743961,0.04487769
-5.66383192,0.96914769,0.06437313,0.70219340,0.08456778,0.00000000,0.04610928,0.04473009
-5.65782891,0.98997409,0.06846248,0.71789282,0.08955205,0.00000000,0.04462769,0.04478612
-5.65182591,1.01579011,0.07313973,0.73722280,0.09527963,0.00000000,0.04302039,0.04503582
-5.64582291,1.04681419,0.07843219,0.76033996,0.10179633,0.00000000,0.04131530,0.04546807
-5.63981991,1.08323688,0.08436262,0.78738618,0.10914263,0.00000000,0.03954174,0.04607097
-5.63381691,1.12521842,0.09094816,0.81848832,0.11735221,0.00000000,0.03772956,0.04683228
-5.62781391,1.17288618,0.09819933,0.85375770,0.12645071,0.00000000,0.03590826,0.04773985
-5.62181091,1.22633218,0.10611904,0.89328914,0.13645440,0.00000000,0.03410618,0.04878212
-5.61580790,1.28561040,0.11470176,0.93715971,0.14736916,0.00000000,0.03234976,0.04994857
-5.60980490,1.35073417,0.12393283,0.98542687,0.15918955,0.00000000,0.03066296,0.05123016
-5.60380190,1.42167352,0.13378782,1.03812629,0.17189810,0.00000000,0.02906677,0.05261974
-5.59779890,1.49835254,0.14423223,1.09526899,0.18546486,0.00000000,0.02757889,0.05411235
-5.59179590,1.58064664,0.15522125,1.15683814,0.19984712,0.00000000,0.02621358,0.05570545
-5.58579290,1.66837992,0.16669982,1.22278518,0.21498941,0.00000000,0.02498160,0.05739908
-5.57978989,1.76132238,0.17860287,1.29302561,0.23082367,0.00000000,0.02389032,0.05919579
-5.57378689,1.85918714,0.19085575,1.36743423,0.24726969,0.00000000,0.02294393,0.06110056
-5.56778389,1.96162766,0.20337492,1.44584009,0.26423564,0.00000000,0.02214373,0.06312047
-5.56178089,2.06823491,0.21606880,1.52802127,0.28161887,0.00000000,0.02148847,0.06526428
-5.55577789,2.17853470,0.22883881,1.61369956,0.29930680,0.00000000,0.02097479,0.06754188
-5.54977489,2.29198537,0.24158058,1.70253545,0.31717791,0.00000000,0.02059760,0.06996353
-5.54377189,2.40797579,0.25418527,1.79412355,0.33510292,0.00000000,0.02035047,0.07253916
