energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.18248490,-1.12673890,0.32262774,-0.31041531,0.21232162,-0.21210498,0.01309883,-0.01586161,0.25363894,-0.26572074,0.03273759,-0.02344574,0.38740897,-0.31753719
-5.99399700,1.22084621,-1.13060327,0.33268078,-0.31518479,0.21589239,-0.21110030,0.01299657,-0.01621485,0.25558914,-0.26257231,0.03418242,-0.02319764,0.41009061,-0.32612016
-5.98799400,1.26289417,-1.13687174,0.34457936,-0.32019586,0.22001791,-0.21047285,0.01288802,-0.01654254,0.25867812,-0.25991146,0.03577991,-0.02306259,0.43361195,-0.33544976
-5.98199100,1.30873934,-1.14541440,0.35857377,-0.32539966,0.22471167,-0.21023122,0.01277615,-0.01684171,0.26302784,-0.25775228,0.03753020,-0.02304722,0.45789889,-0.34541187
-5.97598799,1.35849203,-1.15605844,0.37491459,-0.33074593,0.22998413,-0.21037402,0.01266432,-0.01710883,0.26875425,-0.25610086,0.03943204,-0.02315702,0.48288644,-0.35587935
-5.96998499,1.41225441,-1.16860179,0.39384426,-0.33618756,0.23584189,-0.21089125,0.01255625,-0.01733995,0.27596306,-0.25495710,0.04148261,-0.02339655,0.50851900,-0.36671814
-5.96398199,1.47011119,-1.18282874,0.41558770,-0.34168578,0.24228687,-0.21176622,0.01245590,-0.01753083,0.28474545,-0.25431712,0.04367737,-0.02376971,0.53474959,-0.37779410
-5.95797899,1.53211907,-1.19852718,0.44034210,-0.34721586,0.24931563,-0.21297777,0.01236745,-0.01767715,0.29517390,-0.25417595,0.04600987,-0.02427998,0.56153795,-0.38898019
-5.95197599,1.59829508,-1.21550629,0.46826621,-0.35277309,0.25691874,-0.21450266,0.01229520,-0.01777481,0.30729824,-0.25453051,0.04847169,-0.02493064,0.58884762,-0.40016372
-5.94597299,1.66860401,-1.23361395,0.49946945,-0.35837860,0.26508031,-0.21631799,0.01224344,-0.01782009,0.32114193,-0.25538248,0.05105223,-0.02572500,0.61664197,-0.41125329
-5.93996998,1.74294535,-1.25275269,0.53400129,-0.36408467,0.27377742,-0.21840361,0.01221638,-0.01781005,0.33669883,-0.25674113,0.05373864,-0.02666652,0.64487929,-0.42218513
-5.93396698,1.82114008,-1.27289332,0.57184130,-0.36997919,0.28297969,-0.22074412,0.01221802,-0.01774266,0.35393031,-0.25862562,0.05651571,-0.02775896,0.67350721,-0.43292841
-5.92796398,1.90291800,-1.29408528,0.61289041,-0.37618883,0.29264882,-0.22333062,0.01225208,-0.01761715,0.37276303,-0.26106678,0.05936574,-0.02900630,0.70245683,-0.44348929
-5.92196098,1.98790616,-1.31646283,0.65696383,-0.38288050,0.30273809,-0.22616185,0.01232180,-0.01743413,0.39308734,-0.26410806,0.06226848,-0.03041279,0.73163667,-0.45391334
-5.91595798,2.07561921,-1.34024659,0.70378620,-0.39026092,0.31319187,-0.22924477,0.01242991,-0.01719576,0.41475645,-0.26780571,0.06520105,-0.03198268,0.76092705,-0.46428615
-5.90995498,2.16545241,-1.36573992,0.75298941,-0.39857400,0.32394521,-0.23259453,0.01257847,-0.01690582,0.43758648,-0.27222780,0.06813799,-0.03372008,0.79017531,-0.47473201
-5.90395198,2.25667818,-1.39332003,0.80411340,-0.40809581,0.33492343,-0.23623368,0.01276876,-0.01656969,0.46135740,-0.27745239,0.07105122,-0.03562856,0.81919216,-0.48541049
-5.89794897,2.34844693,-1.42342391,0.85661038,-0.41912730,0.34604188,-0.24019092,0.01300121,-0.01619433,0.48581516,-0.28356464,0.07391028,-0.03771084,0.84774970,-0.49651100
-5.89194597,2.43979274,-1.45652947,0.90985251,-0.43198467,0.35720597,-0.24449917,0.01327530,-0.01578809,0.51067477,-0.29065300,0.07668253,-0.03996833,0.87558132,-0.50824548
-5.88594297,2.52964447,-1.49313251,0.96314309,-0.44698777,0.36831136,-0.24919326,0.01358949,-0.01536054,0.53562461,-0.29880474,0.07933350,-0.04240064,0.90238387,-0.52083935
-5.87993997,2.61684237,-1.53372043,1.01573112,-0.46444677,0.37924469,-0.25430725,0.01394123,-0.01492216,0.56033183,-0.30810080,0.08182744,-0.04500515,0.92782210,-0.53452097
-5.87393697,2.70016029,-1.57874364,1.06682879,-0.48464760,0.38988463,-0.25987164,0.01432687,-0.01448405,0.58444880,-0.31861035,0.08412791,-0.04777651,0.95153542,-0.54951020
-5.86793397,2.77833299,-1.62858607,1.11563157,-0.50783677,0.40010346,-0.26591047,0.01474178,-0.01405758,0.60762055,-0.33038529,0.08619857,-0.05070619,0.97314688,-0.56600625
-5.86193097,2.85008794,-1.68353595,1.16134002,-0.53420612,0.40976922,-0.27243864,0.01518031,-0.01365404,0.62949286,-0.34345486,0.08800406,-0.05378210,0.99227408,-0.58417551
-5.85592796,2.91418068,-1.74375831,1.20318269,-0.56387828,0.41874829,-0.27945941,0.01563596,-0.01328423,0.64972109,-0.35782076,0.08951097,-0.05698828,1.00854159,-0.60413979
-5.84992496,2.96943229,-1.80927057,1.24043908,-0.59689354,0.42690858,-0.28696239,0.01610145,-0.01295818,0.66797905,-0.37345293,0.09068890,-0.06030469,1.02159438,-0.62596559
-5.84392196,3.01476788,-1.87992250,1.27246194,-0.63319887,0.43412305,-0.29492199,0.01656889,-0.01268476,0.68396808,-0.39028633,0.09151148,-0.06370705,1.03111171,-0.64965490
-5.83791896,3.04925419,-1.95538165,1.29869775,-0.67263964,0.44027356,-0.30329653,0.01702998,-0.01247146,0.69742559,-0.40821886,0.09195741,-0.06716689,1.03682085,-0.67513803
