energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,5.82055662,0.04039268,3.03429415,0.18016758,0.53253014,3.36479340,2.00629969
-5.99399700,5.60909644,0.04078756,2.92821016,0.17214048,0.51164158,3.25788520,1.95498100
-5.98799400,5.39349679,0.04115282,2.81998784,0.16400737,0.49036856,3.14853929,1.90242436
-5.98199100,5.17697278,0.04149001,2.71126454,0.15588533,0.46901631,3.03847518,1.84952990
-5.97598799,4.96246502,0.04180005,2.60353794,0.14788218,0.44786282,2.92925593,1.79711227
-5.96998499,4.75256924,0.04208301,2.49812917,0.14009373,0.42715294,2.82225023,1.74587773
-5.96398199,4.54948190,0.04233789,2.39615425,0.13260161,0.40709403,2.71860290,1.69640639
-5.95797899,4.35496308,0.04256255,2.29850436,0.12547173,0.38785316,2.61921467,1.64914018
-5.95197599,4.17031739,0.04275357,2.20583545,0.11875346,0.36955581,2.52473166,1.60437694
-5.94597299,3.99639271,0.04290632,2.11856722,0.11247940,0.35228627,2.43554461,1.56227078
-5.93996998,3.83359614,0.04301505,2.03689112,0.10666586,0.33608930,2.35179777,1.52283842
-5.93396698,3.68192579,0.04307308,1.96078687,0.10131381,0.32097323,2.27340675,1.48597140
-5.92796398,3.54101670,0.04307307,1.89004631,0.09641050,0.30691411,2.20008438,1.45145337
-5.92196098,3.41019826,0.04300740,1.82430363,0.09193129,0.29386076,2.13137353,1.41898178
-5.91595798,3.28856067,0.04286862,1.76307037,0.08784203,0.28174055,2.06668511,1.38819295
-5.90995498,3.17502718,0.04264991,1.70577370,0.08410140,0.27046553,2.00533993,1.35868940
-5.90395198,3.06842897,0.04234564,1.65179612,0.08066356,0.25993876,1.94661224,1.33006816
-5.89794897,2.96757952,0.04195183,1.60051501,0.07748060,0.25006051,1.88977320,1.30194883
-5.89194597,2.87134502,0.04146671,1.55134013,0.07450501,0.24073409,1.83413247,1.27400003
-5.88594297,2.77870815,0.04089111,1.50374767,0.07169180,0.23187112,1.77907596,1.24596303
-5.87993997,2.68882249,0.04022883,1.45730920,0.06900044,0.22339599,1.72409822,1.21767143
-5.87393697,2.60105531,0.03948685,1.41171449,0.06639635,0.21524936,1.66882824,1.18906591
-5.86793397,2.51501748,0.03867546,1.36678733,0.06385202,0.20739058,1.61304739,1.16020340
-5.86193097,2.43057915,0.03780818,1.32249371,0.06134774,0.19979902,1.55669922,1.13126009
-5.85592796,2.34787124,0.03690153,1.27894227,0.05887186,0.19247418,1.49989057,1.10252828
-5.84992496,2.26727302,0.03597468,1.23637717,0.05642065,0.18543475,1.44288443,1.07440699
-5.84392196,2.18938682,0.03504889,1.19516403,0.05399782,0.17871661,1.38608509,1.04738703
-5.83791896,2.11500157,0.03414685,1.15576968,0.05161371,0.17236995,1.33001644,1.02203096
