energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,3.60501154,0.00214630,0.07764248,2.22071115,2.33887869,0.43709705,0.35052584,0.74710593,0.00000000
-5.99399700,3.66809984,0.00220280,0.07963107,2.24155770,2.38548864,0.44363951,0.35464625,0.75371657,0.00000000
-5.98799400,3.73465543,0.00226197,0.08146770,2.26428944,2.43571642,0.44959019,0.35838651,0.76165791,0.00000000
-5.98199100,3.80427391,0.00232331,0.08309987,2.28887915,2.48938322,0.45490743,0.36166889,0.77083839,0.00000000
-5.97598799,3.87642655,0.00238632,0.08448077,2.31515875,2.54620615,0.45955718,0.36442049,0.78112267,0.00000000
-5.96998499,3.95045494,0.00245059,0.08557072,2.34281276,2.60578988,0.46351195,0.36657474,0.79233257,0.00000000
-5.96398199,4.02557151,0.00251573,0.08633839,2.37137910,2.66762300,0.46674973,0.36807280,0.80424985,0.00000000
-5.95797899,4.10086680,0.00258139,0.08676179,2.40025743,2.73107958,0.46925297,0.36886512,0.81662092,0.00000000
-5.95197599,4.17532373,0.00264727,0.08682905,2.42872507,2.79542647,0.47100771,0.36891277,0.82916338,0.00000000
-5.94597299,4.24783872,0.00271311,0.08653884,2.45595988,2.85983631,0.47200288,0.36818883,0.84157428,0.00000000
-5.93996998,4.31724938,0.00277871,0.08590057,2.48106915,2.92340612,0.47223000,0.36667950,0.85353986,0.00000000
-5.93396698,4.38236756,0.00284387,0.08493420,2.50312333,2.98518085,0.47168305,0.36438517,0.86474626,0.00000000
-5.92796398,4.44201674,0.00290847,0.08366983,2.52119274,3.04418105,0.47035880,0.36132111,0.87489085,0.00000000
-5.92196098,4.49507191,0.00297241,0.08214696,2.53438559,3.09943341,0.46825743,0.35751798,0.88369365,0.00000000
-5.91595798,4.54050018,0.00303566,0.08041352,2.54188540,3.15000294,0.46538338,0.35302199,0.89090818,0.00000000
-5.90995498,4.57740004,0.00309823,0.07852469,2.54298580,3.19502512,0.46174652,0.34789464,0.89633124,0.00000000
-5.90395198,4.60503735,0.00316017,0.07654153,2.53712100,3.23373652,0.45736336,0.34221219,0.89981118,0.00000000
-5.89794897,4.62287602,0.00322161,0.07452952,2.52389047,3.26550239,0.45225837,0.33606460,0.90125406,0.00000000
-5.89194597,4.63060186,0.00328271,0.07255704,2.50307646,3.28983960,0.44646519,0.32955426,0.90062742,0.00000000
-5.88594297,4.62813814,0.00334370,0.07069379,2.47465374,3.30643409,0.44002776,0.32279415,0.89796154,0.00000000
-5.87993997,4.61565204,0.00340485,0.06900929,2.43879110,3.31515162,0.43300105,0.31590591,0.89334792,0.00000000
-5.87393697,4.59355158,0.00346646,0.06757144,2.39584469,3.31604153,0.42545162,0.30901740,0.88693517,0.00000000
-5.86793397,4.56247318,0.00352886,0.06644519,2.34634378,3.30933321,0.41745768,0.30226023,0.87892253,0.00000000
-5.86193097,4.52326042,0.00359238,0.06569137,2.29096991,3.29542572,0.40910874,0.29576706,0.86955124,0.00000000
-5.85592796,4.47693517,0.00365733,0.06536571,2.23053052,3.27487109,0.40050491,0.28966886,0.85909434,0.00000000
-5.84992496,4.42466264,0.00372401,0.06551795,2.16592866,3.24835228,0.39175564,0.28409218,0.84784525,0.00000000
-5.84392196,4.36771202,0.00379265,0.06619130,2.09813040,3.21665722,0.38297825,0.27915656,0.83610595,0.00000000
