energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.84323233,0.39675348,0.79450221,0.00274729,0.17343256,0.02655244,0.47462228
-5.99399700,1.85772085,0.40227548,0.80879392,0.00250118,0.18061391,0.02639000,0.46437372
-5.98799400,1.86852142,0.40700640,0.82134995,0.00227531,0.18729339,0.02614844,0.45375175
-5.98199100,1.87530328,0.41083117,0.83199042,0.00207029,0.19341942,0.02583666,0.44272359
-5.97598799,1.87786979,0.41365623,0.84060553,0.00188651,0.19895974,0.02546667,0.43127060
-5.96998499,1.87617294,0.41541447,0.84716273,0.00172414,0.20390351,0.02505338,0.41939094
-5.96398199,1.87032245,0.41606931,0.85171112,0.00158319,0.20826260,0.02461420,0.40710132
-5.95797899,1.86058898,0.41561780,0.85438283,0.00146353,0.21207214,0.02416857,0.39443799
-5.95197599,1.84740096,0.41409234,0.85539111,0.00136492,0.21539015,0.02373738,0.38145685
-5.94597299,1.83133494,0.41156119,0.85502519,0.00128707,0.21829614,0.02334228,0.36823269
-5.93996998,1.81309980,0.40812733,0.85364187,0.00122958,0.22088887,0.02300496,0.35485759
-5.93396698,1.79351501,0.40392599,0.85165410,0.00119201,0.22328310,0.02274643,0.34143856
-5.92796398,1.77348388,0.39912070,0.84951695,0.00117383,0.22560562,0.02258618,0.32809454
-5.92196098,1.75396260,0.39389807,0.84771148,0.00117445,0.22799048,0.02254150,0.31495281
-5.91595798,1.73592635,0.38846144,0.84672704,0.00119317,0.23057386,0.02262675,0.30214501
-5.90995498,1.72033385,0.38302381,0.84704284,0.00122919,0.23348851,0.02285276,0.28980290
-5.90395198,1.70809178,0.37780008,0.84910952,0.00128154,0.23685827,0.02322628,0.27805403
-5.89794897,1.70002068,0.37299928,0.85333149,0.00134916,0.24079273,0.02374959,0.26701750
-5.89194597,1.69682374,0.36881680,0.86005100,0.00143078,0.24538229,0.02442026,0.25679997
-5.88594297,1.69906009,0.36542730,0.86953444,0.00152498,0.25069409,0.02523103,0.24749210
-5.87993997,1.70712366,0.36297838,0.88196187,0.00163015,0.25676866,0.02616983,0.23916559
-5.87393697,1.72122870,0.36158545,0.89741992,0.00174454,0.26361779,0.02722010,0.23187087
-5.86793397,1.74140266,0.36132800,0.91589876,0.00186620,0.27122357,0.02836109,0.22563564
-5.86193097,1.76748683,0.36224735,0.93729310,0.00199310,0.27953867,0.02956844,0.22046423
-5.85592796,1.79914456,0.36434618,0.96140726,0.00212306,0.28848795,0.03081493,0.21633788
-5.84992496,1.83587686,0.36758962,0.98796415,0.00225387,0.29797127,0.03207120,0.21321589
-5.84392196,1.87704460,0.37190790,1.01661754,0.00238328,0.30786735,0.03330673,0.21103753
-5.83791896,1.92189603,0.37720049,1.04696731,0.00250907,0.31803859,0.03449079,0.20972477
-5.83191596,1.96959864,0.38334138,1.07857668,0.00262909,0.32833655,0.03559345,0.20918552
-5.82591296,2.01927357,0.39018529,1.11099074,0.00274134,0.33860783,0.03658654,0.20931738
-5.81990995,2.07003106,0.39757449,1.14375546,0.00284397,0.34870011,0.03744459,0.21001163
-5.81390695,2.12100548,0.40534592,1.17643614,0.00293537,0.35846808,0.03814573,0.21115740
-5.80790395,2.17138811,0.41333823,1.20863467,0.00301416,0.36777894,0.03867234,0.21264572
-5.80190095,2.22045663,0.42139853,1.24000471,0.00307925,0.37651733,0.03901167,0.21437338
-5.79589795,2.26759997,0.42938845,1.27026434,0.00312987,0.38458931,0.03915623,0.21624642
-5.78989495,2.31233772,0.43718937,1.29920560,0.00316554,0.39192553,0.03910400,0.21818317
-5.78389195,2.35433360,0.44470670,1.32670075,0.00318610,0.39848319,0.03885845,0.22011664
-5.77788894,2.39340258,0.45187286,1.35270502,0.00319166,0.40424701,0.03842832,0.22199631
-5.77188594,2.42951185,0.45864923,1.37725598,0.00318265,0.40922902,0.03782732,0.22378924
-5.76588294,2.46277585,0.46502673,1.40046971,0.00315972,0.41346737,0.03707352,0.22548041
-5.75987994,2.49344587,0.47102534,1.42253406,0.00312373,0.41702420,0.03618874,0.22707249
-5.75387694,2.52189493,0.47669245,1.44369931,0.00307574,0.41998277,0.03519772,0.22858482
-5.74787394,2.54859876,0.48210018,1.46426690,0.00301693,0.42244386,0.03412726,0.23005190
