energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,W_p_up,W_d_up
-6.00000000,2.61659629,0.00524743,1.84630433,0.06056929,0.00006924,1.61450860,0.93875257
-5.99399700,2.64145107,0.00518590,1.87017297,0.05940026,0.00007034,1.63348318,0.95594943
-5.98799400,2.65599746,0.00509209,1.88715783,0.05794713,0.00007112,1.64696272,0.96942183
-5.98199100,2.66082333,0.00496787,1.89761504,0.05624864,0.00007160,1.65522468,0.97926770
-5.97598799,2.65676936,0.00481572,1.90207694,0.05434861,0.00007181,1.65869607,0.98568135
-5.96998499,2.64490362,0.00463869,1.90123592,0.05229475,0.00007176,1.65794276,0.98894639
-5.96398199,2.62648778,0.00444027,1.89592202,0.05013722,0.00007150,1.65365338,0.98942517
-5.95797899,2.60293555,0.00422431,1.88707485,0.04792735,0.00007107,1.64661813,0.98754484
-5.95197599,2.57576511,0.00399488,1.87571082,0.04571618,0.00007051,1.63770305,0.98378079
-5.94597299,2.54654697,0.00375619,1.86288684,0.04355315,0.00006989,1.62782063,0.97863799
-5.93996998,2.51684941,0.00351244,1.84966190,0.04148487,0.00006924,1.61789785,0.97263103
-5.93396698,2.48818344,0.00326774,1.83705793,0.03955398,0.00006862,1.60884271,0.96626368
-5.92796398,2.46194943,0.00302600,1.82602167,0.03779819,0.00006809,1.60151070,0.96000897
-5.92196098,2.43938762,0.00279087,1.81738903,0.03624944,0.00006769,1.59667252,0.95429044
-5.91595798,2.42153450,0.00256562,1.81185337,0.03493334,0.00006746,1.59498429,0.94946568
-5.90995498,2.40918661,0.00235316,1.80993920,0.03386867,0.00006744,1.59696171,0.94581260
-5.90395198,2.40287347,0.00215592,1.81198232,0.03306718,0.00006766,1.60295907,0.94351919
-5.89794897,2.40284050,0.00197590,1.81811717,0.03253353,0.00006814,1.61315413,0.94267720
-5.89194597,2.40904265,0.00181463,1.82827202,0.03226542,0.00006888,1.62753949,0.94327986
-5.88594297,2.42114880,0.00167317,1.84217213,0.03225388,0.00006989,1.64592080,0.94522378
-5.87993997,2.43855679,0.00155215,1.85935060,0.03248373,0.00007116,1.66792189,0.94831489
-5.87393697,2.46041821,0.00145178,1.87916647,0.03293416,0.00007267,1.69299658,0.95227791
-5.86793397,2.48567171,0.00137191,1.90082918,0.03357947,0.00007438,1.72044658,0.95676906
-5.86193097,2.51308364,0.00131210,1.92342831,0.03438982,0.00007627,1.74944481,0.96139119
-5.85592796,2.54129392,0.00127159,1.94596721,0.03533221,0.00007828,1.77906305,0.96571071
-5.84992496,2.56886546,0.00124947,1.96739920,0.03637134,0.00008038,1.80830283,0.96927538
-5.84392196,2.59433507,0.00124467,1.98666475,0.03747067,0.00008249,1.83612829,0.97163235
-5.83791896,2.61626389,0.00125604,2.00272816,0.03859339,0.00008458,1.86149978,0.97234550
-5.83191596,2.63328549,0.00128245,2.01461248,0.03970342,0.00008657,1.88340689,0.97101156
-5.82591296,2.64415002,0.00132280,2.02143131,0.04076643,0.00008842,1.90089986,0.96727426
-5.81990995,2.64776300,0.00137616,2.02241651,0.04175070,0.00009007,1.91311821,0.96083614
-5.81390695,2.64321766,0.00144180,2.01694104,0.04262803,0.00009148,1.91931583,0.95146769
-5.80790395,2.62982003,0.00151925,2.00453636,0.04337450,0.00009259,1.91888183,0.93901370
-5.80190095,2.60710641,0.00160837,1.98490413,0.04397112,0.00009338,1.91135660,0.92339664
-5.79589795,2.57485297,0.00170942,1.95792215,0.04440437,0.00009382,1.89644296,0.90461734
-5.78989495,2.53307783,0.00182308,1.92364476,0.04466660,0.00009388,1.87401208,0.88275309
-5.78389195,2.48203582,0.00195049,1.88229798,0.04475626,0.00009357,1.84410452,0.85795351
-5.77788894,2.42220676,0.00209328,1.83426997,0.04467801,0.00009288,1.80692638,0.83043448
-5.77188594,2.35427784,0.00225353,1.78009751,0.04444257,0.00009183,1.76284118,0.80047059
-5.76588294,2.27912119,0.00243380,1.72044894,0.04406653,0.00009044,1.71235764,0.76838650
-5.75987994,2.19776740,0.00263703,1.65610465,0.04357184,0.00008874,1.65611428,0.73454765
-5.75387694,2.11137615,0.00286647,1.58793558,0.04298525,0.00008677,1.59486107,0.69935055
-5.74787394,2.02120485,0.00312562,1.51688057,0.04233755,0.00008458,1.52943913,0.66321318
-5.74187094,1.92857627,0.00341804,1.44392330,0.04166261,0.00008223,1.46075888,0.62656571
-5.73586793,1.83484609,0.00374725,1.37006934,0.04099643,0.00007976,1.38977748,0.58984163
-5.72986493,1.74137120,0.00411653,1.29632404,0.04037594,0.00007726,1.31747623,0.55346981
-5.72386193,1.64947961,0.00452872,1.22367169,0.03983786,0.00007478,1.24483841,0.51786724
-5.71785893,1.56044262,0.00498608,1.15305648,0.03941744,0.00007237,1.17282838,0.48343292
-5.71185593,1.47544998,0.00549002,1.08536558,0.03914728,0.00007012,1.10237238,0.45054260
-5.70585293,1.39558843,0.00604096,1.02141476,0.03905607,0.00006806,1.03434148,0.41954472
-5.69984992,1.32182432,0.00663817,0.96193669,0.03916762,0.00006625,0.96953723,0.39075729
-5.69384692,1.25499030,0.00727963,0.90757222,0.03949979,0.00006474,0.90868007,0.36446575
-5.68784392,1.19577662,0.00796195,0.85886452,0.04006379,0.00006356,0.85240095,0.34092182
-5.68184092,1.14472686,0.00868034,0.81625623,0.04086359,0.00006275,0.80123605,0.32034307
-5.67583792,1.10223807,0.00942864,0.78008938,0.04189556,0.00006230,0.75562458,0.30291327
-5.66983492,1.06856510,0.01019942,0.75060790,0.04314849,0.00006225,0.71590947,0.28878320
-5.66383192,1.04382871,0.01098418,0.72796247,0.04460378,0.00006258,0.68234073,0.27807199
-5.65782891,1.02802689,0.01177356,0.71221706,0.04623600,0.00006328,0.65508089,0.27086852
-5.65182591,1.02104866,0.01255768,0.70335707,0.04801370,0.00006433,0.63421218,0.26723298
-5.64582291,1.02268971,0.01332650,0.70129817,0.04990051,0.00006572,0.61974481,0.26719827
-5.63981991,1.03266888,0.01407023,0.70589551,0.05185646,0.00006741,0.61162579,0.27077107
-5.63381691,1.05064471,0.01477981,0.71695269,0.05383951,0.00006937,0.60974771,0.27793256
-5.62781391,1.07623108,0.01544736,0.73423000,0.05580716,0.00007156,0.61395692,0.28863852
-5.62181091,1.10901124,0.01606661,0.75745142,0.05771818,0.00007395,0.62406061,0.30281888
-5.61580790,1.14854945,0.01663334,0.78631010,0.05953430,0.00007650,0.63983252,0.32037667
-5.60980490,1.19439969,0.01714572,0.82047209,0.06122178,0.00007918,0.66101690,0.34118643
-5.60380190,1.24611112,0.01760463,0.85957812,0.06275285,0.00008198,0.68733067,0.36509208
-5.59779890,1.30323003,0.01801380,0.90324363,0.06410692,0.00008486,0.71846386,0.39190463
-5.59179590,1.36529850,0.01837987,0.95105712,0.06527141,0.00008782,0.75407835,0.42139973
-5.58579290,1.43184982,0.01871237,1.00257722,0.06624229,0.00009084,0.79380543,0.45331544
-5.57978989,1.50240146,0.01902344,1.05732883,0.06702422,0.00009393,0.83724237,0.48735045
-5.57378689,1.57644599,0.01932757,1.11479912,0.06763021,0.00009708,0.88394869,0.52316310
-5.56778389,1.65344103,0.01964105,1.17443359,0.06808097,0.00010032,0.93344254,0.56037141
-5.56178089,1.73279898,0.01998141,1.23563321,0.06840380,0.00010364,0.98519780,0.59855443
-5.55577789,1.81387762,0.02036672,1.29775298,0.06863117,0.00010705,1.03864246,0.63725511
-5.54977489,1.89597253,0.02081480,1.36010248,0.06879902,0.00011058,1.09315872,0.67598476
-5.54377189,1.97831218,0.02134237,1.42194893,0.06894484,0.00011423,1.14808522,0.71422932
-5.53776888,2.06005657,0.02196427,1.48252302,0.06910571,0.00011799,1.20272166,0.75145719
-5.53176588,2.14029992,0.02269259,1.54102751,0.06931626,0.00012187,1.25633596,0.78712866
-5.52576288,2.21807794,0.02353595,1.59664888,0.06960674,0.00012585,1.30817400,0.82070667
-5.51975988,2.29237969,0.02449880,1.64857147,0.07000133,0.00012991,1.35747169,0.85166855
-5.51375688,2.36216402,0.02558096,1.69599410,0.07051671,0.00013402,1.40346915,0.87951845
-5.50775388,2.42638031,0.02677721,1.73814835,0.07116093,0.00013814,1.44542663,0.90379985
-5.50175088,2.48399277,0.02807714,1.77431806,0.07193284,0.00014222,1.48264151,0.92410794
-5.49574787,2.53400761,0.02946518,1.80385930,0.07282183,0.00014619,1.51446597,0.94010116
-5.48974487,2.57550207,0.03092089,1.82621988,0.07380818,0.00014999,1.54032445,0.95151153
-5.48374187,2.60765415,0.03241935,1.84095782,0.07486378,0.00015356,1.55973045,0.95815337
-5.47773887,2.62977183,0.03393191,1.84775777,0.07595336,0.00015681,1.57230185,0.95992999
-5.47173587,2.64132054,0.03542700,1.84644481,0.07703608,0.00015968,1.57777417,0.95683808
-5.46573287,2.64194767,0.03687114,1.83699495,0.07806743,0.00016210,1.57601121,0.94896960
-5.45972986,2.63150283,0.03823005,1.81954166,0.07900135,0.00016402,1.56701254,0.93651104
-5.45372686,2.61005299,0.03946985,1.79437832,0.07979251,0.00016540,1.55091757,0.91974011
-5.44772386,2.57789149,0.04055823,1.76195602,0.08039854,0.00016619,1.52800574,0.89901978
-5.44172086,2.53554036,0.04146567,1.72287686,0.08078224,0.00016639,1.49869294,0.87479009
-5.43571786,2.48374542,0.04216644,1.67788268,0.08091354,0.00016600,1.46352392,0.84755767
-5.42971486,2.42346412,0.04263960,1.62783950,0.08077124,0.00016504,1.42316103,0.81788363
-5.42371186,2.35584622,0.04286974,1.57371798,0.08034431,0.00016355,1.37836934,0.78636979
-5.41770885,2.28220754,0.04284753,1.51657044,0.07963284,0.00016159,1.32999873,0.75364394
-5.41170585,2.20399777,0.04257004,1.45750504,0.07864850,0.00015924,1.27896321,0.72034449
-5.40570285,2.12276295,0.04204078,1.39765774,0.07741454,0.00015659,1.22621830,0.68710472
-5.39969985,2.04010391,0.04126954,1.33816304,0.07596534,0.00015375,1.17273691,0.65453731
-5.39369685,1.95763205,0.04027193,1.28012405,0.07434545,0.00015082,1.11948456,0.62321945
-5.38769385,1.87692379,0.03906877,1.22458310,0.07260837,0.00014793,1.06739469,0.59367881
-5.38169085,1.79947527,0.03768525,1.17249353,0.07081486,0.00014519,1.01734474,0.56638094
-5.37568784,1.72665905,0.03614994,1.12469368,0.06903107,0.00014272,0.97013387,0.54171825
-5.36968484,1.65968409,0.03449375,1.08188387,0.06732647,0.00014060,0.92646289,0.52000095
-5.36368184,1.59956067,0.03274882,1.04460725,0.06577166,0.00013894,0.88691718,0.50145017
-5.35767884,1.54707152,0.03094741,1.01323509,0.06443619,0.00013780,0.85195307,0.48619354
-5.35167584,1.50275019,0.02912088,0.98795714,0.06338640,0.00013722,0.82188809,0.47426321
-5.34567284,1.46686755,0.02729869,0.96877750,0.06268336,0.00013723,0.79689552,0.46559665
-5.33966983,1.43942706,0.02550762,0.95551622,0.06238102,0.00013784,0.77700334,0.46004002
-5.33366683,1.42016887,0.02377110,0.94781674,0.06252454,0.00013901,0.76209751,0.45735420
-5.32766383,1.40858278,0.02210873,0.94515893,0.06314890,0.00014070,0.75192966,0.45722329
-5.32166083,1.40392954,0.02053599,0.94687755,0.06427775,0.00014283,0.74612866,0.45926540
-5.31565783,1.40526978,0.01906412,0.95218534,0.06592252,0.00014530,0.74421583,0.46304540
-5.30965483,1.41149937,0.01770022,0.96020027,0.06808193,0.00014801,0.74562308,0.46808924
-5.30365183,1.42139007,0.01644743,0.96997579,0.07074170,0.00015082,0.74971346,0.47389953
-5.29764882,1.43363370,0.01530533,0.98053314,0.07387458,0.00015360,0.75580324,0.47997162
-5.29164582,1.44688840,0.01427039,0.99089453,0.07744070,0.00015620,0.76318485,0.48580997
-5.28564282,1.45982506,0.01333651,1.00011603,0.08138824,0.00015851,0.77114985,0.49094397
-5.27963982,1.47117233,0.01249564,1.00731890,0.08565432,0.00016037,0.77901111,0.49494282
-5.27363682,1.47975854,0.01173832,1.01171829,0.09016624,0.00016167,0.78612359,0.49742898
-5.26763382,1.48454915,0.01105437,1.01264823,0.09484302,0.00016231,0.79190296,0.49808961
-5.26163082,1.48467841,0.01043336,1.00958210,0.09959712,0.00016221,0.79584167,0.49668577
-5.25562781,1.47947443,0.00986514,1.00214792,0.10433653,0.00016130,0.79752195,0.49305900
-5.24962481,1.46847694,0.00934031,0.99013805,0.10896700,0.00015956,0.79662560,0.48713519
-5.24362181,1.45144752,0.00885051,0.97351306,0.11339450,0.00015696,0.79294037,0.47892566
-5.23761881,1.42837236,0.00838873,0.95240001,0.11752783,0.00015353,0.78636298,0.46852555
-5.23161581,1.39945787,0.00794948,0.92708530,0.12128128,0.00014932,0.77689893,0.45610969
-5.22561281,1.36511982,0.00752890,0.89800276,0.12457736,0.00014439,0.76465935,0.44192621
-5.21960980,1.32596678,0.00712477,0.86571763,0.12734937,0.00013884,0.74985516,0.42628832
-5.21360680,1.28277896,0.00673652,0.83090725,0.12954394,0.00013278,0.73278899,0.40956460
-5.20760380,1.23648346,0.00636511,0.79433944,0.13112319,0.00012633,0.71384526,0.39216823
-5.20160080,1.18812710,0.00601291,0.75684943,0.13206668,0.00011964,0.69347878,0.37454567
-5.19559780,1.13884777,0.00568357,0.71931625,0.13237276,0.00011286,0.67220228,0.35716506
-5.18959480,1.08984542,0.00538181,0.68263940,0.13205963,0.00010614,0.65057332,0.34050491
-5.18359180,1.04235333,0.00511328,0.64771650,0.13116561,0.00009964,0.62918067,0.32504309
-5.17758879,0.99761048,0.00488432,0.61542241,0.12974893,0.00009353,0.60863068,0.31124663
-5.17158579,0.95683521,0.00470184,0.58659025,0.12788683,0.00008795,0.58953361,0.29956224
-5.16558279,0.92120079,0.00457308,0.56199457,0.12567401,0.00008305,0.57249020,0.29040776
-5.15957979,0.89181270,0.00450547,0.54233668,0.12322042,0.00007898,0.55807853,0.28416454
-5.15357679,0.86968780,0.00450647,0.52823220,0.12064850,0.00007585,0.54684133,0.28117053
-5.14757379,0.85573526,0.00458338,0.52020065,0.11808989,0.00007378,0.53927368,0.28171431
-5.14157079,0.85073910,0.00474322,0.51865689,0.11568171,0.00007287,0.53581134,0.28602968
