energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-5.41170585,9.48301462,0.68324912,8.59680271,0.00738471,0.07352589,0.20859317,0.00000000,0.66713701,0.00000000
-5.40570285,9.32649763,0.68142469,8.44035631,0.00810173,0.07057290,0.20752657,0.00000000,0.66704061,0.00000000
-5.39969985,9.13860271,0.67872479,8.25402230,0.00901485,0.06767551,0.20591420,0.00000000,0.66554660,0.00000000
-5.39369685,8.92259677,0.67537443,8.04097897,0.01014077,0.06485804,0.20382704,0.00000000,0.66271971,0.00000000
-5.38769385,8.68248161,0.67165085,7.80507726,0.01149667,0.06214338,0.20136089,0.00000000,0.65867544,0.00000000
-5.38169085,8.42290663,0.66787896,7.55075415,0.01310012,0.05955310,0.19863570,0.00000000,0.65357850,0.00000000
-5.37568784,8.14905820,0.66442445,7.28292585,0.01496869,0.05710774,0.19579376,0.00000000,0.64763897,0.00000000
-5.36968484,7.86652974,0.66168483,7.00686449,0.01711966,0.05482688,0.19299686,0.00000000,0.64110633,0.00000000
-5.36368184,7.58117745,0.66007871,6.72806326,0.01956950,0.05272928,0.19042244,0.00000000,0.63426145,0.00000000
-5.35767884,7.29896713,0.66003358,6.45209467,0.02233338,0.05083286,0.18825882,0.00000000,0.62740712,0.00000000
-5.35167584,7.02581761,0.66197261,6.18446740,0.02542453,0.04915464,0.18669961,0.00000000,0.62085736,0.00000000
-5.34567284,6.76744640,0.66630081,5.93048646,0.02885358,0.04771062,0.18593763,0.00000000,0.61492605,0.00000000
-5.33966983,6.52922274,0.67339115,5.69512135,0.03262786,0.04651559,0.18615835,0.00000000,0.60991538,0.00000000
-5.33366683,6.31603258,0.68357095,5.48288616,0.03675070,0.04558277,0.18753324,0.00000000,0.60610455,0.00000000
-5.32766383,6.13215937,0.69710912,5.29773477,0.04122069,0.04492354,0.19021319,0.00000000,0.60373921,0.00000000
-5.32166083,5.98118372,0.71420459,5.14297380,0.04603102,0.04454703,0.19432230,0.00000000,0.60302206,0.00000000
-5.31565783,5.86590413,0.73497635,5.02119476,0.05116886,0.04445968,0.19995221,0.00000000,0.60410502,0.00000000
-5.30965483,5.78828001,0.75945542,4.93422645,0.05661487,0.04466488,0.20715738,0.00000000,0.60708305,0.00000000
-5.30365183,5.74939773,0.78757911,4.88310776,0.06234277,0.04516252,0.21595124,0.00000000,0.61199021,0.00000000
-5.29764882,5.74945949,0.81918770,4.86808040,0.06831916,0.04594867,0.22630372,0.00000000,0.61879767,0.00000000
-5.29164582,5.78779423,0.85402391,4.88860083,0.07450340,0.04701530,0.23814004,0.00000000,0.62741408,0.00000000
-5.28564282,5.86288955,0.89173498,4.94337005,0.08084779,0.04835007,0.25134107,0.00000000,0.63768812,0.00000000
-5.27963982,5.97244292,0.93187779,5.03037960,0.08729791,0.04993628,0.26574508,0.00000000,0.64941309,0.00000000
-5.27363682,6.11343033,0.97392662,5.14697226,0.09379321,0.05175291,0.28115113,0.00000000,0.66233355,0.00000000
-5.26763382,6.28219028,1.01728367,5.28991531,0.10026779,0.05377487,0.29732385,0.00000000,0.67615360,0.00000000
-5.26163082,6.47452079,1.06129206,5.45548455,0.10665141,0.05597329,0.31399957,0.00000000,0.69054668,0.00000000
-5.25562781,6.68578691,1.10525102,5.63955686,0.11287071,0.05831607,0.33089360,0.00000000,0.70516644,0.00000000
-5.24962481,6.91103615,1.14843293,5.83770943,0.11885061,0.06076851,0.34770845,0.00000000,0.71965836,0.00000000
-5.24362181,7.14511931,1.19010171,6.04532324,0.12451577,0.06329410,0.36414268,0.00000000,0.73367184,0.00000000
-5.23761881,7.38281369,1.22953212,6.25768893,0.12979229,0.06585531,0.37990017,0.00000000,0.74687208,0.00000000
-5.23161581,7.61894612,1.26602931,6.47011259,0.13460930,0.06841463,0.39469934,0.00000000,0.75895170,0.00000000
-5.22561281,7.84851307,1.29894819,6.67801965,0.13890070,0.07093542,0.40828207,0.00000000,0.76964142,0.00000000
-5.21960980,8.06679493,1.32771177,6.87705435,0.14260674,0.07338297,0.42042208,0.00000000,0.77871960,0.00000000
-5.21360680,8.26946212,1.35182811,7.06317313,0.14567559,0.07572536,0.43093224,0.00000000,0.78602024,0.00000000
-5.20760380,8.45267045,1.37090519,7.23272962,0.14806470,0.07793431,0.43967072,0.00000000,0.79143924,0.00000000
-5.20160080,8.61314360,1.38466326,7.38254961,0.14974203,0.07998597,0.44654576,0.00000000,0.79493863,0.00000000
-5.19559780,8.74824084,1.39294417,7.50999430,0.15068696,0.08186144,0.45151877,0.00000000,0.79654865,0.00000000
-5.18959480,8.85600831,1.39571748,7.61301034,0.15089107,0.08354730,0.45460574,0.00000000,0.79636774,0.00000000
-5.18359180,8.93521278,1.39308306,7.69016555,0.15035854,0.08503586,0.45587698,0.00000000,0.79456021,0.00000000
-5.17758879,8.98535699,1.38527000,7.74066939,0.14910626,0.08632528,0.45545510,0.00000000,0.79135190,0.00000000
-5.17158579,9.00667619,1.37263208,7.76437760,0.14716371,0.08741949,0.45351138,0.00000000,0.78702389,0.00000000
-5.16558279,9.00011608,1.35563959,7.76178087,0.14457248,0.08832803,0.45026078,0.00000000,0.78190436,0.00000000
-5.15957979,8.96729243,1.33486810,7.73397764,0.14138549,0.08906564,0.44595555,0.00000000,0.77635917,0.00000000
-5.15357679,8.91043366,1.31098421,7.68263153,0.13766601,0.08965180,0.44087795,0.00000000,0.77078105,0.00000000
-5.14757379,8.83230747,1.28472883,7.60991450,0.13348639,0.09011010,0.43533211,0.00000000,0.76557812,0.00000000
-5.14157079,8.73613370,1.25689848,7.51843703,0.12892653,0.09046763,0.42963541,0.00000000,0.76116180,0.00000000
-5.13556778,8.62548541,1.22832509,7.41116693,0.12407233,0.09075413,0.42410966,0.00000000,0.75793463,0.00000000
-5.12956478,8.50418097,1.19985482,7.29133923,0.11901380,0.09100126,0.41907223,0.00000000,0.75627825,0.00000000
-5.12356178,8.37617003,1.17232655,7.16235931,0.11384321,0.09124177,0.41482749,0.00000000,0.75654201,0.00000000
-5.11755878,8.24541664,1.14655062,7.02770218,0.10865315,0.09150860,0.41165878,0.00000000,0.75903231,0.00000000
-5.11155578,8.11578282,1.12328820,6.89081082,0.10353455,0.09183408,0.40982097,0.00000000,0.76400317,0.00000000
-5.10555278,7.99091605,1.10323215,6.75499669,0.09857476,0.09224903,0.40953394,0.00000000,0.77164822,0.00000000
-5.09954977,7.87414414,1.08698945,6.62334539,0.09385569,0.09278197,0.41097705,0.00000000,0.78209426,0.00000000
-5.09354677,7.76838067,1.07506601,6.49863057,0.08945206,0.09345822,0.41428471,0.00000000,0.79539662,0.00000000
-5.08754377,7.67604395,1.06785397,6.38323873,0.08542984,0.09429918,0.41954305,0.00000000,0.81153655,0.00000000
-5.08154077,7.59899220,1.06562195,6.27910736,0.08184482,0.09532154,0.42678796,0.00000000,0.83042051,0.00000000
-5.07553777,7.53847682,1.06850845,6.18767841,0.07874147,0.09653657,0.43600429,0.00000000,0.85188156,0.00000000
-5.06953477,7.49511523,1.07651851,6.10986832,0.07615200,0.09794953,0.44712632,0.00000000,0.87568273,0.00000000
-5.06353177,7.46888416,1.08952377,6.04605570,0.07409575,0.09955916,0.46003948,0.00000000,0.90152238,0.00000000
-5.05752876,7.45913328,1.10726592,5.99608643,0.07257890,0.10135726,0.47458324,0.00000000,0.92904120,0.00000000
-5.05152576,7.46461842,1.12936344,5.95929613,0.07159438,0.10332846,0.49055511,0.00000000,0.95783091,0.00000000
-5.04552276,7.48355331,1.15532143,5.93454840,0.07112226,0.10545019,0.50771566,0.00000000,0.98744424,0.00000000
-5.03951976,7.51367746,1.18454445,5.92028761,0.07113038,0.10769284,0.52579448,0.00000000,1.01740591,0.00000000
-5.03351676,7.55233792,1.21635186,5.91460378,0.07157530,0.11002012,0.54449681,0.00000000,1.04722436,0.00000000
-5.02751376,7.59658192,1.24999544,5.91530721,0.07240354,0.11238977,0.56351095,0.00000000,1.07640390,0.00000000
-5.02151076,7.64325716,1.28467884,5.92001001,0.07355317,0.11475442,0.58251603,0.00000000,1.10445683,0.00000000
-5.01550775,7.68911640,1.31957838,5.92621180,0.07495550,0.11706277,0.60119011,0.00000000,1.13091539,0.00000000
-5.00950475,7.73092316,1.35386473,5.93138656,0.07653708,0.11926104,0.61921845,0.00000000,1.15534304,0.00000000
