energy_ev,total_up,total_down,Bi_p_up,Bi_p_down,Bi_d_up,Bi_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.98445198,-0.98445199,0.44961041,-0.44961041,0.00292669,-0.00292669,0.31244902,-0.31244902,0.27942437,-0.27942437,0.16560332,-0.16560332,0.00000000,-0.00000000
-5.99399700,0.99156779,-0.99156780,0.44909953,-0.44909953,0.00288536,-0.00288536,0.30973107,-0.30973106,0.28119017,-0.28119017,0.16823798,-0.16823798,0.00000000,-0.00000000
-5.98799400,0.99632239,-0.99632239,0.44728230,-0.44728230,0.00284603,-0.00284603,0.30632196,-0.30632196,0.28225871,-0.28225871,0.17090129,-0.17090129,0.00000000,-0.00000000
-5.98199100,0.99886573,-0.99886573,0.44425277,-0.44425277,0.00281025,-0.00281025,0.30233495,-0.30233495,0.28267486,-0.28267486,0.17363004,-0.17363004,0.00000000,-0.00000000
-5.97598799,0.99938729,-0.99938729,0.44012585,-0.44012585,0.00277940,-0.00277940,0.29789146,-0.29789146,0.28249655,-0.28249655,0.17645823,-0.17645823,0.00000000,-0.00000000
-5.96998499,0.99810607,-0.99810607,0.43503238,-0.43503238,0.00275466,-0.00275466,0.29311664,-0.29311664,0.28179180,-0.28179181,0.17941453,-0.17941453,0.00000000,-0.00000000
-5.96398199,0.99526026,-0.99526026,0.42911410,-0.42911410,0.00273701,-0.00273701,0.28813507,-0.28813507,0.28063557,-0.28063557,0.18252027,-0.18252027,0.00000000,-0.00000000
-5.95797899,0.99109718,-0.99109718,0.42251854,-0.42251854,0.00272712,-0.00272712,0.28306694,-0.28306694,0.27910660,-0.27910660,0.18578777,-0.18578777,0.00000000,-0.00000000
-5.95197599,0.98586387,-0.98586387,0.41539418,-0.41539417,0.00272546,-0.00272546,0.27802473,-0.27802473,0.27728447,-0.27728447,0.18921935,-0.18921935,0.00000000,-0.00000000
-5.94597299,0.97979866,-0.97979865,0.40788599,-0.40788598,0.00273218,-0.00273218,0.27311060,-0.27311060,0.27524687,-0.27524687,0.19280702,-0.19280702,0.00000000,-0.00000000
-5.93996998,0.97312402,-0.97312402,0.40013150,-0.40013149,0.00274723,-0.00274723,0.26841439,-0.26841439,0.27306718,-0.27306718,0.19653264,-0.19653264,0.00000000,-0.00000000
-5.93396698,0.96604096,-0.96604096,0.39225748,-0.39225748,0.00277029,-0.00277029,0.26401240,-0.26401240,0.27081251,-0.27081251,0.20036884,-0.20036884,0.00000000,-0.00000000
-5.92796398,0.95872489,-0.95872488,0.38437734,-0.38437733,0.00280086,-0.00280086,0.25996685,-0.25996685,0.26854215,-0.26854215,0.20428035,-0.20428035,0.00000000,-0.00000000
-5.92196098,0.95132311,-0.95132311,0.37658922,-0.37658922,0.00283822,-0.00283822,0.25632584,-0.25632584,0.26630651,-0.26630651,0.20822578,-0.20822578,0.00000000,-0.00000000
-5.91595798,0.94395374,-0.94395374,0.36897487,-0.36897487,0.00288155,-0.00288155,0.25312398,-0.25312398,0.26414643,-0.26414643,0.21215961,-0.21215962,0.00000000,-0.00000000
-5.90995498,0.93670592,-0.93670592,0.36159910,-0.36159910,0.00292987,-0.00292987,0.25038328,-0.25038327,0.26209295,-0.26209295,0.21603444,-0.21603444,0.00000000,-0.00000000
-5.90395198,0.92964101,-0.92964101,0.35450989,-0.35450989,0.00298214,-0.00298214,0.24811430,-0.24811430,0.26016741,-0.26016741,0.21980304,-0.21980304,0.00000000,-0.00000000
-5.89794897,0.92279462,-0.92279462,0.34773899,-0.34773899,0.00303727,-0.00303727,0.24631752,-0.24631752,0.25838175,-0.25838174,0.22342036,-0.22342036,0.00000000,-0.00000000
-5.89194597,0.91617909,-0.91617909,0.34130293,-0.34130293,0.00309413,-0.00309413,0.24498458,-0.24498458,0.25673913,-0.25673913,0.22684520,-0.22684520,0.00000000,-0.00000000
-5.88594297,0.90978619,-0.90978619,0.33520431,-0.33520431,0.00315158,-0.00315158,0.24409951,-0.24409951,0.25523462,-0.25523462,0.23004147,-0.23004147,0.00000000,-0.00000000
-5.87993997,0.90358985,-0.90358985,0.32943329,-0.32943328,0.00320849,-0.00320849,0.24363967,-0.24363967,0.25385598,-0.25385598,0.23297903,-0.23297903,0.00000000,-0.00000000
-5.87393697,0.89754863,-0.89754863,0.32396917,-0.32396917,0.00326377,-0.00326377,0.24357652,-0.24357652,0.25258450,-0.25258450,0.23563396,-0.23563396,0.00000000,-0.00000000
-5.86793397,0.89160803,-0.89160802,0.31878211,-0.31878211,0.00331634,-0.00331634,0.24387612,-0.24387612,0.25139581,-0.25139581,0.23798842,-0.23798842,0.00000000,-0.00000000
-5.86193097,0.88570236,-0.88570235,0.31383468,-0.31383468,0.00336518,-0.00336518,0.24449935,-0.24449935,0.25026068,-0.25026068,0.24003004,-0.24003004,0.00000000,-0.00000000
-5.85592796,0.87975638,-0.87975638,0.30908349,-0.30908349,0.00340929,-0.00340929,0.24540196,-0.24540196,0.24914589,-0.24914589,0.24175097,-0.24175097,0.00000000,-0.00000000
-5.84992496,0.87368674,-0.87368674,0.30448073,-0.30448073,0.00344773,-0.00344773,0.24653449,-0.24653449,0.24801499,-0.24801499,0.24314664,-0.24314664,0.00000000,-0.00000000
-5.84392196,0.86740322,-0.86740322,0.29997566,-0.29997566,0.00347959,-0.00347959,0.24784215,-0.24784215,0.24682913,-0.24682913,0.24421440,-0.24421440,0.00000000,-0.00000000
-5.83791896,0.86081016,-0.86081016,0.29551604,-0.29551604,0.00350404,-0.00350404,0.24926476,-0.24926476,0.24554796,-0.24554796,0.24495223,-0.24495223,0.00000000,-0.00000000
-5.83191596,0.85380799,-0.85380798,0.29104954,-0.29104954,0.00352026,-0.00352026,0.25073684,-0.25073684,0.24413056,-0.24413056,0.24535743,-0.24535743,0.00000000,-0.00000000
-5.82591296,0.84629505,-0.84629505,0.28652515,-0.28652515,0.00352753,-0.00352753,0.25218798,-0.25218798,0.24253644,-0.24253644,0.24542573,-0.24542573,0.00000000,-0.00000000
-5.81990995,0.83816991,-0.83816991,0.28189454,-0.28189454,0.00352521,-0.00352521,0.25354343,-0.25354343,0.24072665,-0.24072665,0.24515054,-0.24515054,0.00000000,-0.00000000
-5.81390695,0.82933402,-0.82933402,0.27711339,-0.27711338,0.00351272,-0.00351272,0.25472518,-0.25472518,0.23866490,-0.23866490,0.24452275,-0.24452275,0.00000000,-0.00000000
-5.80790395,0.81969478,-0.81969477,0.27214269,-0.27214268,0.00348961,-0.00348961,0.25565327,-0.25565327,0.23631880,-0.23631880,0.24353087,-0.24353087,0.00000000,-0.00000000
-5.80190095,0.80916894,-0.80916893,0.26694995,-0.26694995,0.00345555,-0.00345555,0.25624760,-0.25624760,0.23366099,-0.23366099,0.24216160,-0.24216160,0.00000000,-0.00000000
-5.79589795,0.79768623,-0.79768623,0.26151029,-0.26151029,0.00341036,-0.00341036,0.25642990,-0.25642990,0.23067034,-0.23067034,0.24040081,-0.24040081,0.00000000,-0.00000000
-5.78989495,0.78519294,-0.78519293,0.25580731,-0.25580731,0.00335400,-0.00335400,0.25612608,-0.25612608,0.22733294,-0.22733294,0.23823489,-0.23823488,0.00000000,-0.00000000
-5.78389195,0.77165530,-0.77165530,0.24983377,-0.24983377,0.00328664,-0.00328664,0.25526862,-0.25526862,0.22364298,-0.22364297,0.23565220,-0.23565220,0.00000000,-0.00000000
