energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,0.79415297,0.09785933,0.61655077,0.00376287,0.00654259,0.00913609,0.00962688,0.15709344
-5.99399700,0.71157137,0.08626350,0.55734655,0.00322055,0.00569781,0.00774979,0.00823822,0.13759710
-5.98799400,0.63375985,0.07560746,0.50062855,0.00273866,0.00493325,0.00653683,0.00700393,0.11982626
-5.98199100,0.56104221,0.06588674,0.44679869,0.00231404,0.00424633,0.00548302,0.00591582,0.10374881
-5.97598799,0.49364127,0.05708462,0.39618061,0.00194310,0.00363366,0.00457431,0.00496451,0.08931234
-5.96998499,0.43168176,0.04917366,0.34901740,0.00162196,0.00309125,0.00379708,0.00413984,0.07644771
-5.96398199,0.37519644,0.04211745,0.30547255,0.00134660,0.00261459,0.00313832,0.00343121,0.06507268
-5.95797899,0.32413477,0.03587249,0.26563366,0.00111301,0.00219888,0.00258584,0.00282791,0.05509563
-5.95197599,0.27837385,0.03039012,0.22951868,0.00091728,0.00183914,0.00212850,0.00231946,0.04641922
-5.94597299,0.23773088,0.02561843,0.19708403,0.00075579,0.00153038,0.00175633,0.00189581,0.03894381
-5.93996998,0.20197651,0.02150408,0.16823416,0.00062523,0.00126770,0.00146071,0.00154763,0.03257073
-5.93396698,0.17084873,0.01799406,0.14283198,0.00052276,0.00104639,0.00123449,0.00126647,0.02720520
-5.92796398,0.14406671,0.01503726,0.12070980,0.00044604,0.00086207,0.00107210,0.00104486,0.02275892
-5.92196098,0.12134405,0.01258590,0.10168019,0.00039332,0.00071070,0.00096971,0.00087650,0.01915246
-5.91595798,0.10240144,0.01059681,0.08554653,0.00036351,0.00058871,0.00092524,0.00075630,0.01631715
-5.90995498,0.08697810,0.00903247,0.07211283,0.00035622,0.00049299,0.00093855,0.00068044,0.01419685
-5.90395198,0.07484205,0.00786200,0.06119267,0.00037182,0.00042096,0.00101147,0.00064642,0.01274932
-5.89794897,0.06579904,0.00706191,0.05261711,0.00041148,0.00037057,0.00114789,0.00065311,0.01194738
-5.89194597,0.05969999,0.00661672,0.04624137,0.00047719,0.00034035,0.00135388,0.00070074,0.01177977
-5.88594297,0.05644695,0.00651944,0.04195028,0.00057186,0.00032940,0.00163767,0.00079092,0.01225188
-5.87993997,0.05599759,0.00677196,0.03966248,0.00069927,0.00033742,0.00200978,0.00092664,0.01338611
-5.87393697,0.05836805,0.00738525,0.03933337,0.00086413,0.00036468,0.00248297,0.00111224,0.01522209
-5.86793397,0.06363435,0.00837947,0.04095671,0.00107206,0.00041207,0.00307226,0.00135341,0.01781654
-5.86193097,0.07193205,0.00978389,0.04456507,0.00132959,0.00048107,0.00379486,0.00165713,0.02124286
-5.85592796,0.08345436,0.01163672,0.05022892,0.00164411,0.00057375,0.00467003,0.00203165,0.02559041
-5.84992496,0.09844847,0.01398475,0.05805455,0.00202378,0.00069282,0.00571893,0.00248635,0.03096331
-5.84392196,0.11721011,0.01688272,0.06818070,0.00247743,0.00084156,0.00696434,0.00303168,0.03747886
-5.83791896,0.14007624,0.02039262,0.08077399,0.00301440,0.00102385,0.00843031,0.00367902,0.04526548
-5.83191596,0.16741600,0.02458264,0.09602308,0.00364438,0.00124416,0.01014176,0.00444049,0.05446008
-5.82591296,0.19961966,0.02952596,0.11413168,0.00437711,0.00150753,0.01212393,0.00532873,0.06520500
-5.81990995,0.23708599,0.03529926,0.13531044,0.00522213,0.00181954,0.01440184,0.00635670,0.07764432
-5.81390695,0.28020791,0.04198102,0.15976790,0.00618844,0.00218629,0.01699954,0.00753736,0.09191979
-5.80790395,0.32935690,0.04964951,0.18770049,0.00728412,0.00261437,0.01993946,0.00888339,0.10816625
-5.80190095,0.38486637,0.05838073,0.21928212,0.00851596,0.00311077,0.02324159,0.01040682,0.12650679
-5.79589795,0.44701445,0.06824603,0.25465327,0.00988897,0.00368285,0.02692270,0.01211871,0.14704764
-5.78989495,0.51600687,0.07930967,0.29391021,0.01140603,0.00433827,0.03099557,0.01402877,0.16987307
-5.78389195,0.59196032,0.09162641,0.33709465,0.01306745,0.00508483,0.03546819,0.01614497,0.19504032
-5.77788894,0.67488713,0.10523894,0.38418416,0.01487059,0.00593042,0.04034313,0.01847323,0.22257493
-5.77188594,0.76468184,0.12017557,0.43508393,0.01680953,0.00688286,0.04561690,0.02101705,0.25246649
-5.76588294,0.86111037,0.13644802,0.48962025,0.01887484,0.00794976,0.05127949,0.02377723,0.28466511
-5.75987994,0.96380250,0.15404940,0.54753606,0.02105340,0.00913830,0.05731402,0.02675160,0.31907875
-5.75387694,1.07224796,0.17295266,0.60848911,0.02332836,0.01045511,0.06369657,0.02993481,0.35557157
