energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,2.33021372,0.01864591,0.04241425,1.43767325,1.11911700,0.03771063,0.98544915
-5.99399700,2.34925302,0.01834449,0.04268678,1.45020360,1.13050469,0.03765083,0.99336926
-5.98799400,2.35668516,0.01793365,0.04276755,1.45570044,1.13595214,0.03739286,0.99647647
-5.98199100,2.35211063,0.01742150,0.04264767,1.45385718,1.13526380,0.03694160,0.99459327
-5.97598799,2.33540307,0.01681786,0.04232291,1.44453717,1.12837843,0.03630638,0.98765778
-5.96998499,2.30671533,0.01613390,0.04179372,1.42777943,1.11537213,0.03550065,0.97572667
-5.96398199,2.26647639,0.01538185,0.04106531,1.40379891,1.09645671,0.03454155,0.95897439
-5.95797899,2.21537939,0.01457456,0.04014741,1.37298100,1.07197364,0.03344933,0.93768843
-5.95197599,2.15436113,0.01372519,0.03905403,1.33587079,1.04238382,0.03224673,0.91226096
-5.94597299,2.08457376,0.01284686,0.03780306,1.29315718,1.00825333,0.03095833,0.88317706
-5.93996998,2.00734980,0.01195226,0.03641574,1.24565255,0.97023612,0.02960976,0.85100006
-5.93396698,1.92416184,0.01105346,0.03491610,1.19426884,0.92905388,0.02822702,0.81635441
-5.92796398,1.83657837,0.01016159,0.03333028,1.13999084,0.88547433,0.02683576,0.77990695
-5.92196098,1.74621749,0.00928668,0.03168587,1.08384767,0.84028839,0.02546060,0.74234705
-5.91595798,1.65470015,0.00843753,0.03001116,1.02688361,0.79428732,0.02412445,0.70436649
-5.90995498,1.56360449,0.00762160,0.02833443,0.97012907,0.74824061,0.02284805,0.66663977
-5.90395198,1.47442299,0.00684499,0.02668326,0.91457282,0.70287532,0.02164939,0.62980543
-5.89794897,1.38852360,0.00611243,0.02508388,0.86113633,0.65885765,0.02054339,0.59444910
-5.89194597,1.30711624,0.00542736,0.02356059,0.81065085,0.61677719,0.01954158,0.56108871
-5.88594297,1.23122539,0.00479197,0.02213518,0.76383793,0.57713440,0.01865195,0.53016231
-5.87993997,1.16166960,0.00420732,0.02082656,0.72129383,0.54033156,0.01787883,0.50201886
-5.87393697,1.09904823,0.00367350,0.01965035,0.68347807,0.50666727,0.01722298,0.47691198
-5.86793397,1.04373559,0.00318969,0.01861870,0.65070632,0.47633465,0.01668168,0.45499704
-5.86193097,0.99588225,0.00275438,0.01774009,0.62314761,0.44942298,0.01624898,0.43633127
-5.85592796,0.95542337,0.00236547,0.01701934,0.60082573,0.42592263,0.01591602,0.42087690
-5.84992496,0.92209323,0.00202040,0.01645768,0.58362464,0.40573297,0.01567140,0.40850710
-5.84392196,0.89544539,0.00171630,0.01605295,0.57129757,0.38867266,0.01550168,0.39901438
-5.83791896,0.87487758,0.00145008,0.01579988,0.56347933,0.37449215,0.01539188,0.39212106
-5.83191596,0.85966028,0.00121854,0.01569049,0.55970150,0.36288756,0.01532601,0.38749147
-5.82591296,0.84896798,0.00101848,0.01571463,0.55940988,0.35351567,0.01528765,0.38474540
-5.81990995,0.84191210,0.00084674,0.01586050,0.56198374,0.34600930,0.01526047,0.38347227
-5.81390695,0.83757433,0.00070026,0.01611535,0.56675627,0.33999267,0.01522884,0.38324566
-5.80790395,0.83503955,0.00057615,0.01646617,0.57303567,0.33509630,0.01517826,0.38363768
-5.80190095,0.83342719,0.00047172,0.01690050,0.58012633,0.33097085,0.01509585,0.38423273
-5.79589795,0.83192030,0.00038446,0.01740717,0.58734941,0.32729975,0.01497069,0.38464029
-5.78989495,0.82979138,0.00031212,0.01797718,0.59406250,0.32381011,0.01479417,0.38450639
-5.78389195,0.82642452,0.00025267,0.01860440,0.59967760,0.32028183,0.01456015,0.38352340
-5.77788894,0.82133325,0.00020431,0.01928641,0.60367718,0.31655469,0.01426512,0.38143806
-5.77188594,0.81417382,0.00016548,0.02002517,0.60562768,0.31253330,0.01390820,0.37805735
-5.76588294,0.80475377,0.00013482,0.02082765,0.60519040,0.30818998,0.01349111,0.37325243
-5.75987994,0.79303578,0.00011121,0.02170631,0.60212927,0.30356560,0.01301801,0.36696036
-5.75387694,0.77913692,0.00009371,0.02267956,0.59631561,0.29876840,0.01249530,0.35918385
-5.74787394,0.76332366,0.00008157,0.02377198,0.58772955,0.29397113,0.01193137,0.34998904
-5.74187094,0.74600298,0.00007421,0.02501441,0.57645851,0.28940654,0.01133628,0.33950165
-5.73586793,0.72771012,0.00007119,0.02644394,0.56269262,0.28536156,0.01072143,0.32790151
-5.72986493,0.70909344,0.00007223,0.02810363,0.54671743,0.28217034,0.01009920,0.31541601
-5.72386193,0.69089712,0.00007718,0.03004215,0.52890434,0.28020636,0.00948265,0.30231247
-5.71785893,0.67394208,0.00008598,0.03231319,0.50969897,0.27987398,0.00888514,0.28888990
-5.71185593,0.65910586,0.00009869,0.03497477,0.48960803,0.28159937,0.00832004,0.27547039
-5.70585293,0.64730183,0.00011542,0.03808834,0.46918504,0.28582130,0.00780046,0.26239033
-5.69984992,0.63945823,0.00013638,0.04171783,0.44901540,0.29298168,0.00733900,0.24999170
