energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,3.52096957,0.00457028,0.12323409,1.07734097,1.02883485,0.28601899,0.76034703,0.01462563,1.57292885
-5.99399700,3.46529627,0.00439853,0.12217419,1.06360138,1.01373065,0.28275148,0.74413602,0.01463898,1.55012516
-5.98799400,3.40619770,0.00421973,0.12081004,1.04862412,0.99949977,0.27885943,0.72606895,0.01462470,1.52667032
-5.98199100,3.34418550,0.00403660,0.11914205,1.03255313,0.98629754,0.27436795,0.70628376,0.01458248,1.50280626
-5.97598799,3.27979639,0.00385201,0.11717484,1.01554857,0.97424947,0.26931023,0.68494592,0.01451243,1.47876940
-5.96998499,3.21359248,0.00366897,0.11491761,0.99778507,0.96345248,0.26372795,0.66224738,0.01441521,1.45479024
-5.96398199,3.14615839,0.00349054,0.11238439,0.97944896,0.95397606,0.25767112,0.63840435,0.01429212,1.43109196
-5.95797899,3.07809532,0.00331987,0.10959397,0.96073447,0.94586329,0.25119757,0.61365403,0.01414513,1.40788801
-5.95197599,3.01001265,0.00316010,0.10656966,0.94183941,0.93913178,0.24437201,0.58825042,0.01397693,1.38537915
-5.94597299,2.94251774,0.00301431,0.10333884,0.92296058,0.93377471,0.23726475,0.56245944,0.01379090,1.36375005
-5.93996998,2.87620491,0.00288550,0.09993232,0.90428928,0.92976206,0.22995014,0.53655362,0.01359109,1.34316613
-5.93396698,2.81164439,0.00277652,0.09638355,0.88600734,0.92704226,0.22250487,0.51080670,0.01338214,1.32377079
-5.92796398,2.74937230,0.00269003,0.09272781,0.86828393,0.92554422,0.21500616,0.48548822,0.01316919,1.30568351
-5.92196098,2.68988221,0.00262841,0.08900126,0.85127346,0.92518000,0.20753010,0.46085860,0.01295777,1.28899907
-5.91595798,2.63361907,0.00259380,0.08524007,0.83511467,0.92584798,0.20015006,0.43716464,0.01275363,1.27378813
-5.90995498,2.58097575,0.00258801,0.08147959,0.81993112,0.92743662,0.19293537,0.41463585,0.01256261,1.26009909
-5.90395198,2.53229232,0.00261252,0.07775360,0.80583285,0.92982855,0.18595032,0.39348146,0.01239047,1.24796135
-5.89794897,2.48785805,0.00266847,0.07409370,0.79291924,0.93290501,0.17925353,0.37388838,0.01224273,1.23738964
-5.89194597,2.44791569,0.00275671,0.07052884,0.78128283,0.93655029,0.17289768,0.35601990,0.01212448,1.22838931
-5.88594297,2.41266767,0.00287779,0.06708502,0.77101375,0.94065608,0.16692965,0.34001516,0.01204030,1.22096207
-5.87993997,2.38228350,0.00303203,0.06378514,0.76220448,0.94512537,0.16139097,0.32598930,0.01199411,1.21511195
-5.87393697,2.35690783,0.00321957,0.06064901,0.75495464,0.94987586,0.15631861,0.31403412,0.01198907,1.21085103
-5.86793397,2.33666846,0.00344043,0.05769353,0.74937539,0.95484261,0.15174602,0.30421902,0.01202757,1.20820454
-5.86193097,2.32168367,0.00369465,0.05493293,0.74559312,0.95997989,0.14770433,0.29659234,0.01211117,1.20721510
-5.85592796,2.31206838,0.00398231,0.05237919,0.74375222,0.96526209,0.14422356,0.29118259,0.01224063,1.20794569
-5.84992496,2.30793870,0.00430369,0.05004241,0.74401659,0.97068376,0.14133394,0.28799980,0.01241599,1.21048139
-5.84392196,2.30941464,0.00465928,0.04793134,0.74656983,0.97625887,0.13906700,0.28703657,0.01263667,1.21492953
-5.83791896,2.31662074,0.00504993,0.04605378,0.75161390,0.98201930,0.13745654,0.28826907,0.01290153,1.22141839
-5.83191596,2.32968464,0.00547682,0.04441703,0.75936627,0.98801269,0.13653927,0.29165759,0.01320907,1.23009450
-5.82591296,2.34873362,0.00594154,0.04302827,0.77005561,0.99429993,0.13635511,0.29714698,0.01355755,1.24111854
-5.81990995,2.37388921,0.00644605,0.04189480,0.78391593,1.00095224,0.13694711,0.30466675,0.01394515,1.25466000
-5.81390695,2.40526013,0.00699262,0.04102420,0.80117955,1.00804813,0.13836087,0.31413090,0.01437006,1.27089088
-5.80790395,2.44293371,0.00758374,0.04042440,0.82206881,1.01567024,0.14064351,0.32543769,0.01483065,1.28997848
-5.80190095,2.48696610,0.00822199,0.04010355,0.84678689,1.02390219,0.14384217,0.33846923,0.01532549,1.31207745
-5.79589795,2.53737142,0.00890980,0.04006982,0.87550793,1.03282535,0.14800200,0.35309110,0.01585340,1.33732149
-5.78989495,2.59411027,0.00964929,0.04033098,0.90836666,1.04251571,0.15316381,0.36915207,0.01641345,1.36581455
-5.78389195,2.65707770,0.01044196,0.04089395,0.94544792,1.05304065,0.15936135,0.38648395,0.01700485,1.39762206
-5.77788894,2.72609120,0.01128843,0.04176420,0.98677634,1.06445567,0.16661829,0.40490176,0.01762688,1.43276213
-5.77188594,2.80087881,0.01218817,0.04294505,1.03230657,1.07680095,0.17494513,0.42420420,0.01827871,1.47119705
-5.76588294,2.88106797,0.01313918,0.04443697,1.08191439,1.09009783,0.18433610,0.44417461,0.01895922,1.51282532
-5.75987994,2.96617544,0.01413778,0.04623681,1.13538911,1.10434509,0.19476617,0.46458228,0.01966678,1.55747446
-5.75387694,3.05559896,0.01517840,0.04833710,1.19242770,1.11951525,0.20618845,0.48518439,0.02039906,1.60489492
-5.74787394,3.14861105,0.01625343,0.05072539,1.25263096,1.13555076,0.21853196,0.50572840,0.02115280,1.65475545
-5.74187094,3.24435579,0.01735317,0.05338370,1.31550225,1.15236050,0.23170016,0.52595497,0.02192366,1.70664018
-5.73586793,3.34184894,0.01846586,0.05628813,1.38044890,1.16981662,0.24557018,0.54560131,0.02270607,1.76004799
-5.72986493,3.43998218,0.01957781,0.05940861,1.44678682,1.18775205,0.25999297,0.56440507,0.02349316,1.81439422
-5.72386193,3.53753178,0.02067362,0.06270892,1.51374835,1.20595890,0.27479443,0.58210842,0.02427679,1.86901529
-5.71785893,3.63317222,0.02173653,0.06614690,1.58049335,1.22418816,0.28977763,0.59846253,0.02504755,1.92317627
-5.71185593,3.72549480,0.02274884,0.06967492,1.64612377,1.24215071,0.30472599,0.61323202,0.02579497,1.97608161
-5.70585293,3.81303121,0.02369241,0.07324062,1.70970111,1.25952020,0.31940748,0.62619957,0.02650770,2.02688897
-5.69984992,3.89428185,0.02454921,0.07678778,1.77026685,1.27593758,0.33357974,0.63717025,0.02717381,2.07472603
-5.69384692,3.96774827,0.02530189,0.08025755,1.82686493,1.29101766,0.34699589,0.64597566,0.02778112,2.11870998
-5.68784392,4.03196891,0.02593445,0.08358973,1.87856602,1.30435740,0.35941086,0.65247763,0.02831758,2.15796917
-5.68184092,4.08555718,0.02643273,0.08672422,1.92449260,1.31554596,0.37058816,0.65657135,0.02877167,2.19166624
-5.67583792,4.12724047,0.02678497,0.08960256,1.96384408,1.32417610,0.38030654,0.65818785,0.02913277,2.21902223
-5.66983492,4.15589877,0.02698226,0.09216945,1.99592112,1.32985669,0.38836654,0.65729582,0.02939153,2.23934044
-5.66383192,4.17060145,0.02701887,0.09437426,2.02014811,1.33222572,0.39459658,0.65390247,0.02954023,2.25202941
-5.65782891,4.17064061,0.02689253,0.09617240,2.03609314,1.33096340,0.39885829,0.64805371,0.02957301,2.25662405
-5.65182591,4.15555956,0.02660445,0.09752654,2.04348445,1.32580467,0.40105087,0.63983336,0.02948612,2.25280383
-5.64582291,4.12517529,0.02615937,0.09840766,2.04222282,1.31655068,0.40111442,0.62936163,0.02927800,2.24040756
-5.63981991,4.07959369,0.02556537,0.09879581,2.03238937,1.30307854,0.39903193,0.61679277,0.02894935,2.21944372
-5.63381691,4.01921688,0.02483360,0.09868060,2.01424828,1.28534890,0.39483002,0.60231208,0.02850308,2.19009609
-5.62781391,3.94474213,0.02397792,0.09806144,1.98824448,1.26341106,0.38857830,0.58613235,0.02794421,2.15272423
-5.62181091,3.85715221,0.02301442,0.09694745,1.95499613,1.23740509,0.38038746,0.56848975,0.02727970,2.10785876
-5.61580790,3.75769744,0.02196089,0.09535710,1.91528223,1.20756102,0.37040617,0.54963943,0.02651819,2.05619143
-5.60980490,3.64787005,0.02083631,0.09331764,1.87002576,1.17419499,0.35881690,0.52985091,0.02566974,1.99856049
-5.60380190,3.52937149,0.01966028,0.09086425,1.82027285,1.13770235,0.34583098,0.50940325,0.02474558,1.93593161
-5.59779890,3.40407400,0.01845243,0.08803905,1.76716856,1.09854825,0.33168286,0.48858035,0.02375775,1.86937520
-5.59179590,3.27397758,0.01723202,0.08488994,1.71193022,1.05725574,0.31662411,0.46766618,0.02271882,1.80004078
-5.58579290,3.14116380,0.01601742,0.08146937,1.65581888,1.01439214,0.30091705,0.44694033,0.02164166,1.72912933
-5.57978989,3.00774782,0.01482577,0.07783306,1.60010984,0.97055399,0.28482852,0.42667362,0.02053914,1.65786445
-5.57378689,2.87583016,0.01367273,0.07403870,1.54606294,0.92635131,0.26862385,0.40712410,0.01942395,1.58746322
-5.56778389,2.74744954,0.01257225,0.07014471,1.49489340,0.88239167,0.25256113,0.38853328,0.01830842,1.51910770
-5.56178089,2.62453802,0.01153647,0.06620907,1.44774389,0.83926464,0.23688608,0.37112269,0.01720440,1.45391774
-5.55577789,2.50887959,0.01057570,0.06228821,1.40565845,0.79752722,0.22182755,0.35509077,0.01612317,1.39292585
-5.54977489,2.40207312,0.00969846,0.05843607,1.36955872,0.75769064,0.20759367,0.34061014,0.01507540,1.33705473
-5.54377189,2.30550051,0.00891155,0.05470320,1.34022312,0.72020888,0.19436880,0.32782517,0.01407110,1.28709793
-5.53776888,2.22030046,0.00822023,0.05113614,1.31826913,0.68546937,0.18231110,0.31685001,0.01311966,1.24370390
-5.53176588,2.14734846,0.00762838,0.04777676,1.30413924,0.65378579,0.17155099,0.30776694,0.01222984,1.20736384
-5.52576288,2.08724301,0.00713867,0.04466186,1.29809059,0.62539335,0.16219013,0.30062525,0.01140982,1.17840336
-5.51975988,2.04029835,0.00675275,0.04182280,1.30018875,0.60044636,0.15430110,0.29544057,0.01066720,1.15697801
