energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,6.80818967,0.00524114,1.66092235,0.62588782,0.19849216,2.06460072,3.10926111,0.06406042,1.27268444
-5.99399700,6.83232104,0.00492645,1.69105642,0.62820568,0.19828399,2.09163209,3.15987702,0.05997485,1.25093712
-5.98799400,6.85691910,0.00462084,1.72150986,0.62780193,0.19816404,2.12099449,3.21102097,0.05606607,1.22880042
-5.98199100,6.88183138,0.00432492,1.75218657,0.62474152,0.19810757,2.15206567,3.26261214,0.05235142,1.20627420
-5.97598799,6.90669007,0.00403947,1.78289551,0.61915312,0.19808805,2.18411567,3.31441293,0.04884303,1.18337778
-5.96998499,6.93092555,0.00376539,1.81335179,0.61122661,0.19807912,2.21633317,3.36602759,0.04554823,1.16015594
-5.96398199,6.95379220,0.00350373,1.84318269,0.60120917,0.19805672,2.24785681,3.41690915,0.04246988,1.13668454
-5.95797899,6.97440533,0.00325562,1.87193838,0.58940019,0.19800122,2.27780986,3.46637477,0.03960702,1.11307552
-5.95197599,6.99178748,0.00302225,1.89910712,0.57614495,0.19789932,2.30533679,3.51362881,0.03695540,1.08948089
-5.94597299,7.00492184,0.00280487,1.92413409,0.56182753,0.19774577,2.32964000,3.55779285,0.03450810,1.06609530
-5.93996998,7.01281016,0.00260476,1.94644337,0.54686298,0.19754467,2.35001500,3.59794133,0.03225614,1.04315695
-5.93396698,7.01453224,0.00242317,1.96546172,0.53168897,0.19731024,2.36588243,3.63314125,0.03018908,1.02094672
-5.92796398,7.00930411,0.00226133,1.98064354,0.51675708,0.19706717,2.37681563,3.66249424,0.02829546,0.99978521
-5.92196098,6.99653183,0.00212041,1.99149551,0.50252401,0.19685018,2.38256242,3.68517893,0.02656336,0.98002778
-5.91595798,6.97585837,0.00200149,1.99760017,0.48944252,0.19670314,2.38306031,3.70049191,0.02498068,0.96205751
-5.90995498,6.94720094,0.00190555,1.99863718,0.47795263,0.19667745,2.37844456,3.70788525,0.02353554,0.94627626
