energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,0.60547601,0.11445893,0.25641922,0.01100641,0.02556887,0.10762577,0.19857875,0.10541864,0.00000000
-5.99399700,0.58980692,0.11009856,0.25245888,0.01102674,0.02525501,0.10479973,0.18950254,0.10189205,0.00000000
-5.98799400,0.57457377,0.10636604,0.24838737,0.01097143,0.02488439,0.10185734,0.18107689,0.09844505,0.00000000
-5.98199100,0.55946754,0.10319261,0.24409904,0.01084129,0.02444572,0.09875921,0.17314462,0.09503411,0.00000000
-5.97598799,0.54428538,0.10053903,0.23953344,0.01063885,0.02393319,0.09548295,0.16558261,0.09163200,0.00000000
-5.96998499,0.52892823,0.09839486,0.23467368,0.01036830,0.02334616,0.09202275,0.15830204,0.08822753,0.00000000
-5.96398199,0.51339488,0.09677701,0.22954338,0.01003528,0.02268872,0.08838851,0.15124738,0.08482476,0.00000000
-5.95797899,0.49777286,0.09572737,0.22420239,0.00964671,0.02196912,0.08460430,0.14439422,0.08144170,0.00000000
-5.95197599,0.48222685,0.09530982,0.21874140,0.00921056,0.02119912,0.08070646,0.13774619,0.07810853,0.00000000
-5.94597299,0.46698510,0.09560647,0.21327591,0.00873555,0.02039328,0.07674134,0.13133114,0.07486546,0.00000000
-5.93996998,0.45232457,0.09671343,0.20793974,0.00823091,0.01956827,0.07276271,0.12519684,0.07176032,0.00000000
-5.93396698,0.43855545,0.09873606,0.20287834,0.00770603,0.01874212,0.06882917,0.11940636,0.06884594,0.00000000
-5.92796398,0.42600548,0.10178382,0.19824214,0.00717024,0.01793349,0.06500148,0.11403337,0.06617752,0.00000000
-5.92196098,0.41500487,0.10596494,0.19418025,0.00663250,0.01716109,0.06133994,0.10915755,0.06380988,0.00000000
-5.91595798,0.40587198,0.11138084,0.19083455,0.00610122,0.01644299,0.05790201,0.10486025,0.06179493,0.00000000
-5.90995498,0.39890032,0.11812059,0.18833441,0.00558401,0.01579617,0.05474012,0.10122040,0.06017927,0.00000000
-5.90395198,0.39434704,0.12625551,0.18679216,0.00508757,0.01523605,0.05189983,0.09831101,0.05900202,0.00000000
-5.89794897,0.39242318,0.13583401,0.18629921,0.00461754,0.01477614,0.04941830,0.09619611,0.05829295,0.00000000
-5.89194597,0.39328576,0.14687686,0.18692312,0.00417845,0.01442777,0.04732313,0.09492813,0.05807098,0.00000000
-5.88594297,0.39703170,0.15937310,0.18870532,0.00377368,0.01419987,0.04563161,0.09454600,0.05834306,0.00000000
-5.87993997,0.40369370,0.17327669,0.19165970,0.00340550,0.01409889,0.04435033,0.09507359,0.05910340,0.00000000
-5.87393697,0.41323797,0.18850414,0.19577194,0.00307508,0.01412872,0.04347514,0.09651874,0.06033321,0.00000000
-5.86793397,0.42556367,0.20493317,0.20099954,0.00278260,0.01429067,0.04299148,0.09887274,0.06200074,0.00000000
