energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,4.94952826,0.18651405,0.09173107,0.64808719,0.75713947,1.11683925,1.12795842,0.17393614,1.98246914
-5.99399700,4.87148084,0.17825817,0.09582602,0.63696261,0.74973137,1.09223754,1.09939437,0.16993154,1.94908709
-5.98799400,4.79327533,0.17012613,0.10044319,0.62676441,0.74118898,1.06969490,1.07175116,0.16558886,1.91456533
-5.98199100,4.71611330,0.16219232,0.10560552,0.61772887,0.73155402,1.04974335,1.04537966,0.16095408,1.87937447
-5.97598799,4.64111774,0.15452165,0.11132703,0.61007312,0.72086920,1.03284657,1.02060600,0.15607185,1.84396303
-5.96998499,4.56932744,0.14716958,0.11761167,0.60399336,0.70918171,1.01939102,0.99772823,0.15098548,1.80875670
-5.96398199,4.50169576,0.14018251,0.12445235,0.59966401,0.69654703,1.00967945,0.97701438,0.14573695,1.77415933
-5.95797899,4.43909179,0.13359852,0.13183006,0.59723721,0.68303262,1.00392674,0.95870124,0.14036717,1.74055472
-5.95197599,4.38230202,0.12744823,0.13971322,0.59684246,0.66872125,1.00225764,0.94299377,0.13491627,1.70830844
-5.94597299,4.33203053,0.12175576,0.14805723,0.59858598,0.65371330,1.00470624,0.93006430,0.12942385,1.67776888
-5.93996998,4.28889643,0.11653964,0.15680423,0.60254957,0.63812809,1.01121703,0.92005149,0.12392928,1.64926679
-5.93396698,4.25342752,0.11181353,0.16588318,0.60878874,0.62210374,1.02164705,0.91305864,0.11847177,1.62311292
-5.92796398,4.22604971,0.10758682,0.17521027,0.61732997,0.60579561,1.03576930,0.90915146,0.11309046,1.59959343
-5.92196098,4.20707267,0.10386484,0.18468965,0.62816730,0.58937329,1.05327699,0.90835502,0.10782432,1.57896329
-5.91595798,4.19667234,0.10064891,0.19421462,0.64125826,0.57301623,1.07378882,0.91065057,0.10271185,1.56143773
-5.90995498,4.19487193,0.09793610,0.20366917,0.65651950,0.55690833,1.09685522,0.91597201,0.09779077,1.54718240
-5.90395198,4.20152307,0.09571875,0.21293004,0.67382249,0.54123172,1.12196560,0.92420291,0.09309758,1.53630303
-5.89794897,4.21628927,0.09398392,0.22186909,0.69298971,0.52616013,1.14855675,0.93517421,0.08866697,1.52883531
-5.89194597,4.23863383,0.09271272,0.23035617,0.71379179,0.51185243,1.17602237,0.94866323,0.08453134,1.52473600
-5.88594297,4.26781428,0.09187974,0.23826227,0.73594609,0.49844646,1.20372394,0.96439437,0.08072024,1.52387623
-5.87993997,4.30288495,0.09145258,0.24546288,0.75911715,0.48605384,1.23100280,0.98204195,0.07725988,1.52603774
-5.87393697,4.34270903,0.09139165,0.25184165,0.78291929,0.47475601,1.25719339,1.00123521,0.07417274,1.53091276
-5.86793397,4.38598076,0.09165019,0.25729391,0.80692167,0.46460166,1.28163754,1.02156583,0.07147725,1.53810809
-5.86193097,4.43125756,0.09217479,0.26173023,0.83065580,0.45560588,1.30369945,1.04259758,0.06918758,1.54715333
-5.85592796,4.47700154,0.09290614,0.26507964,0.85362548,0.44775100,1.32278119,1.06387814,0.06731356,1.55751348
-5.84992496,4.52162862,0.09378029,0.26729247,0.87531907,0.44098905,1.33833797,1.08495239,0.06586064,1.56860522
-5.84392196,4.56356347,0.09473020,0.26834269,0.89522345,0.43524579,1.34989300,1.10537675,0.06483002,1.57981651
-5.83791896,4.60129735,0.09568763,0.26822948,0.91283945,0.43042581,1.35705109,1.12473389,0.06421870,1.59052839
-5.83191596,4.63344602,0.09658528,0.26697810,0.92769794,0.42641877,1.35951065,1.14264695,0.06401972,1.60013807
-5.82591296,4.65880471,0.09735897,0.26463987,0.93937599,0.42310591,1.35707327,1.15879260,0.06422220,1.60808206
-5.81990995,4.67639676,0.09794999,0.26129121,0.94751231,0.42036688,1.34965067,1.17291217,0.06481155,1.61385818
-5.81390695,4.68551354,0.09830718,0.25703182,0.95182127,0.41808612,1.33726827,1.18482015,0.06576950,1.61704526
-5.80790395,4.68574286,0.09838895,0.25198195,0.95210472,0.41615868,1.32006539,1.19440960,0.06707414,1.61731945
-5.80190095,4.67698438,0.09816487,0.24627892,0.94826120,0.41449500,1.29829170,1.20165405,0.06869989,1.61446630
-5.79589795,4.65945082,0.09761689,0.24007291,0.94029176,0.41302441,1.27229995,1.20660571,0.07061749,1.60838795
-5.78989495,4.63365473,0.09674005,0.23352229,0.92830226,0.41169729,1.24253528,1.20939006,0.07279389,1.59910500
-5.78389195,4.60038123,0.09554271,0.22678856,0.91250183,0.41048564,1.20952129,1.21019703,0.07519224,1.58675309
-5.77788894,4.56064819,0.09404613,0.22003122,0.89319755,0.40938221,1.17384342,1.20926918,0.07777191,1.57157419
-5.77188594,4.51565559,0.09228361,0.21340258,0.87078540,0.40839830,1.13613024,1.20688745,0.08048858,1.55390329
