energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.92057946,1.12555245,0.70431004,0.00767890,0.08337800,0.76858110,0.00000000,0.45767060,0.25247241
-5.99399700,1.83458588,1.07246936,0.66471961,0.00696023,0.08257242,0.73654404,0.00000000,0.44706925,0.24680212
-5.98799400,1.74977841,1.02007112,0.62541205,0.00627499,0.08199684,0.70485210,0.00000000,0.43694581,0.24148169
-5.98199100,1.66697384,0.96872173,0.58677149,0.00562772,0.08169401,0.67375001,0.00000000,0.42732147,0.23659331
-5.97598799,1.58686233,0.91872655,0.54913706,0.00502181,0.08169702,0.64343491,0.00000000,0.41818199,0.23220038
-5.96998499,1.50999552,0.87032713,0.51279716,0.00445948,0.08202824,0.61405382,0.00000000,0.40947967,0.22834573
-5.96398199,1.43678072,0.82369898,0.47798595,0.00394193,0.08269873,0.58570336,0.00000000,0.40113697,0.22505053
-5.95797899,1.36748108,0.77895231,0.44488211,0.00346936,0.08370797,0.55843189,0.00000000,0.39305144,0.22231426
-5.95197599,1.30222161,0.73613566,0.41360960,0.00304117,0.08504401,0.53224358,0.00000000,0.38510192,0.22011542
-5.94597299,1.24100043,0.69524215,0.38424048,0.00265600,0.08668408,0.50710448,0.00000000,0.37715549,0.21841312
-5.93996998,1.18370425,0.65621791,0.35679943,0.00231194,0.08859539,0.48294980,0.00000000,0.36907489,0.21714937
-5.93396698,1.13012735,0.61897207,0.33126952,0.00200661,0.09073631,0.45969233,0.00000000,0.36072610,0.21625194
-5.92796398,1.07999262,0.58338770,0.30759912,0.00173732,0.09305777,0.43723116,0.00000000,0.35198554,0.21563755
-5.92196098,1.03297362,0.54933310,0.28570926,0.00150117,0.09550476,0.41546049,0.00000000,0.34274661,0.21521541
-5.91595798,0.98871646,0.51667272,0.26550127,0.00129513,0.09801802,0.39427778,0.00000000,0.33292529,0.21489072
-5.90995498,0.94686045,0.48527713,0.24686423,0.00111621,0.10053565,0.37359109,0.00000000,0.32246437,0.21456809
-5.90395198,0.90705664,0.45503163,0.22968193,0.00096144,0.10299478,0.35332505,0.00000000,0.31133642,0.21415466
-5.89794897,0.86898343,0.42584306,0.21383901,0.00082802,0.10533312,0.33342538,0.00000000,0.29954509,0.21356297
-5.89194597,0.83235897,0.39764456,0.19922620,0.00071329,0.10749041,0.31386176,0.00000000,0.28712498,0.21271323
-5.88594297,0.79694992,0.37039825,0.18574445,0.00061482,0.10940970,0.29462903,0.00000000,0.27414003,0.21153517
-5.87993997,0.76257664,0.34409588,0.17330787,0.00053040,0.11103849,0.27574674,0.00000000,0.26068066,0.20996937
-5.87393697,0.72911501,0.31875748,0.16184558,0.00045806,0.11232969,0.25725740,0.00000000,0.24685981,0.20796806
-5.86793397,0.69649511,0.29442838,0.15130239,0.00039605,0.11324238,0.23922335,0.00000000,0.23280820,0.20549550
