energy_ev,total_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,4.15730522,2.38913786,1.89738147,0.06325204,1.01811905,1.22394194,0.00000000
-5.99399700,4.45577813,2.53969168,2.03155717,0.06546258,1.10312846,1.29528971,0.00000000
-5.98799400,4.76069938,2.68914839,2.16797533,0.06743102,1.19283959,1.36489178,0.00000000
-5.98199100,5.07104371,2.83637815,2.30605891,0.06913942,1.28739769,1.43203656,0.00000000
-5.97598799,5.38575985,2.98025089,2.44522133,0.07057500,1.38693200,1.49601293,0.00000000
-5.96998499,5.70377966,3.11966007,2.58487537,0.07173074,1.49154385,1.55612714,0.00000000
-5.96398199,6.02402453,3.25354719,2.72444139,0.07260580,1.60129245,1.61172108,0.00000000
-5.95797899,6.34540842,3.38092620,2.86335458,0.07320583,1.71617871,1.66219122,0.00000000
-5.95197599,6.66683743,3.50090681,3.00107080,0.07354308,1.83612754,1.70700759,0.00000000
-5.94597299,6.98720578,3.61271598,3.13707092,0.07363638,1.96096942,1.74573211,0.00000000
-5.93996998,7.30538865,3.71571658,3.27086334,0.07351091,2.09042203,1.77803537,0.00000000
-5.93396698,7.62023260,3.80942252,3.40198498,0.07319786,2.22407310,1.80371118,0.00000000
-5.92796398,7.93054459,3.89350975,3.53000061,0.07273381,2.36136552,1.82268816,0.00000000
-5.92196098,8.23508109,3.96782257,3.65450103,0.07216008,2.50158596,1.83503751,0.00000000
-5.91595798,8.53253853,4.03237513,3.77510036,0.07152190,2.64385822,1.84097670,0.00000000
-5.90995498,8.82154696,4.08734797,3.89143299,0.07086742,2.78714225,1.84086844,0.00000000
-5.90395198,9.10066828,4.13307970,4.00315056,0.07024671,2.93023979,1.83521481,0.00000000
-5.89794897,9.36840028,4.17005432,4.10991951,0.06971065,3.07180717,1.82464650,0.00000000
-5.89194597,9.62318754,4.19888437,4.21141959,0.06930980,3.21037549,1.80990737,0.00000000
-5.88594297,9.86343951,4.22029082,4.30734351,0.06909318,3.34437805,1.79183458,0.00000000
-5.87993997,10.08755562,4.23508009,4.39739787,0.06910719,3.47218427,1.77133503,0.00000000
-5.87393697,10.29395677,4.24411918,4.48130535,0.06939442,3.59213935,1.74935858,0.00000000
-5.86793397,10.48112172,4.24830940,4.55880785,0.06999256,3.70260798,1.72686917,0.00000000
-5.86193097,10.64762668,4.24855968,4.62967026,0.07093340,3.80202042,1.70481457,0.00000000
-5.85592796,10.79218568,4.24576006,4.69368428,0.07224186,3.88891913,1.68409597,0.00000000
-5.84992496,10.91368947,4.24075598,4.75067185,0.07393510,3.96200359,1.66553837,0.00000000
-5.84392196,11.01124027,4.23432428,4.80048761,0.07602187,4.02017138,1.64986287,0.00000000
-5.83791896,11.08418028,4.22715121,4.84301994,0.07850186,4.06255352,1.63766190,0.00000000
