energy_ev,total_up,Ag_p_up,Ag_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,0.86769032,0.42626539,0.52778154,0.10182383,0.00220513,0.13839413,0.00000000
-5.99399700,0.77277921,0.37684848,0.47071107,0.09064801,0.00199462,0.12264632,0.00000000
-5.98799400,0.68569888,0.33218224,0.41820500,0.08042303,0.00179673,0.10830734,0.00000000
-5.98199100,0.60634165,0.29219054,0.37020700,0.07114017,0.00161181,0.09534669,0.00000000
-5.97598799,0.53453501,0.25676920,0.32662049,0.06278341,0.00144008,0.08372392,0.00000000
-5.96998499,0.47005952,0.22579929,0.28731873,0.05533180,0.00128162,0.07339198,0.00000000
-5.96398199,0.41266529,0.19915935,0.25215410,0.04876165,0.00113643,0.06430034,0.00000000
-5.95797899,0.36208668,0.17673639,0.22096626,0.04304853,0.00100444,0.05639776,0.00000000
-5.95197599,0.31805507,0.15843539,0.19358942,0.03816900,0.00088547,0.04963467,0.00000000
-5.94597299,0.28030956,0.14418713,0.16985835,0.03410202,0.00077930,0.04396509,0.00000000
-5.93996998,0.24860562,0.13395404,0.14961335,0.03083007,0.00068567,0.03934823,0.00000000
-5.93396698,0.22272156,0.12773426,0.13270406,0.02834005,0.00060427,0.03574952,0.00000000
-5.92796398,0.20246292,0.12556346,0.11899222,0.02662371,0.00053475,0.03314131,0.00000000
-5.92196098,0.18766467,0.12751452,0.10835331,0.02567780,0.00047679,0.03150302,0.00000000
-5.91595798,0.17819143,0.13369493,0.10067711,0.02550393,0.00043002,0.03082099,0.00000000
-5.90995498,0.17393539,0.14424178,0.09586727,0.02610797,0.00039409,0.03108770,0.00000000
-5.90395198,0.17481236,0.15931452,0.09383979,0.02749916,0.00036864,0.03230079,0.00000000
-5.89794897,0.18075572,0.17908529,0.09452059,0.02968884,0.00035333,0.03446143,0.00000000
-5.89194597,0.19170852,0.20372709,0.09784206,0.03268887,0.00034780,0.03757252,0.00000000
-5.88594297,0.20761394,0.23339998,0.10373889,0.03650970,0.00035170,0.04163642,0.00000000
