energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-4.25912956,2.00471244,0.00012271,0.72590405,0.24184368,0.24049651,1.61704646,0.73037719,0.00065342,0.38829192
-4.25312656,1.88394352,0.00011330,0.68539565,0.22694549,0.22576468,1.53054470,0.68235560,0.00064804,0.36458317
-4.24712356,1.76345540,0.00010490,0.64475067,0.21182262,0.21086936,1.44346899,0.63530544,0.00064012,0.34042040
-4.24112056,1.64434282,0.00009771,0.60423502,0.19666528,0.19600832,1.35634038,0.58964352,0.00062998,0.31611217
-4.23511756,1.52766141,0.00009194,0.56410714,0.18165931,0.18137703,1.26967827,0.54575651,0.00061803,0.29196360
-4.22911456,1.41441670,0.00008780,0.52461703,0.16698204,0.16716411,1.18399864,0.50400084,0.00060478,0.26826838
-4.22311156,1.30555445,0.00008549,0.48600491,0.15279859,0.15354731,1.09981093,0.46470305,0.00059080,0.24530168
-4.21710855,1.20195192,0.00008522,0.44849958,0.13925890,0.14069004,1.01761345,0.42816063,0.00057677,0.22331410
-4.21110555,1.10441042,0.00008723,0.41231644,0.12649543,0.12873861,0.93788778,0.39464276,0.00056342,0.20252688
-4.20510255,1.01364872,0.00009172,0.37765521,0.11462154,0.11782001,0.86109214,0.36439112,0.00055154,0.18312835
-4.19909955,0.93029750,0.00009893,0.34469760,0.10373052,0.10804046,0.78765427,0.33762016,0.00054193,0.16527171
-4.19309655,0.85489457,0.00010910,0.31360496,0.09389523,0.09948440,0.71796414,0.31451710,0.00053545,0.14907392
-4.18709355,0.78788076,0.00012244,0.28451600,0.08516829,0.09221408,0.65236688,0.29524115,0.00053291,0.13461570
-4.18109055,0.72959647,0.00013919,0.25754483,0.07758270,0.08626958,0.59115632,0.27992216,0.00053513,0.12194248
-4.17508754,0.68027871,0.00015955,0.23277933,0.07115272,0.08166911,0.53456943,0.26865852,0.00054285,0.11106607
-4.16908454,0.64005847,0.00018372,0.21027988,0.06587512,0.07840958,0.48278198,0.26151439,0.00055676,0.10196694
-4.16308154,0.60895871,0.00021187,0.19007868,0.06173044,0.07646745,0.43590554,0.25851638,0.00057744,0.09459693
-4.15707854,0.58689263,0.00024411,0.17217954,0.05868440,0.07579959,0.39398599,0.25964972,0.00060536,0.08888220
-4.15107554,0.57366264,0.00028053,0.15655825,0.05668931,0.07634434,0.35700351,0.26485431,0.00064083,0.08472636
-4.14507254,0.56895994,0.00032112,0.14316338,0.05568541,0.07802258,0.32487410,0.27402062,0.00068403,0.08201368
-4.13906953,0.57236518,0.00036583,0.13191763,0.05560218,0.08073904,0.29745244,0.28698600,0.00073494,0.08061218
-4.13306653,0.58335025,0.00041450,0.12271965,0.05635960,0.08438353,0.27453599,0.30353157,0.00079337,0.08037679
-4.12706353,0.60128159,0.00046688,0.11544612,0.05786936,0.08883252,0.25587023,0.32337995,0.00085891,0.08115232
-4.12106053,0.62542538,0.00052264,0.10995432,0.06003605,0.09395080,0.24115469,0.34619440,0.00093096,0.08277646
-4.11505753,0.65495481,0.00058131,0.10608482,0.06275833,0.09959343,0.23004982,0.37157933,0.00100872,0.08508266
