energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,8.36736580,0.06213414,0.88698754,0.63587755,0.54673681,3.47412907,3.61263377,0.07549484,2.67863246
-5.99399700,8.63379819,0.06309180,0.90743939,0.64266558,0.56481095,3.55660891,3.76725132,0.07735897,2.75021144
-5.98799400,8.89288540,0.06392409,0.92823459,0.64794071,0.58157710,3.63988860,3.92098264,0.07906302,2.81667022
-5.98199100,9.14155861,0.06462423,0.94903258,0.65162075,0.59681444,3.72254076,4.07222651,0.08058481,2.87724266
-5.97598799,9.37687378,0.06518717,0.96949397,0.65364968,0.61032262,3.80307423,4.21942881,0.08190601,2.93123831
-5.96998499,9.59607824,0.06560967,0.98929236,0.65399876,0.62192742,3.87997366,4.36111334,0.08301252,2.97805687
-5.96398199,9.79667842,0.06589037,1.00812625,0.65266741,0.63148621,3.95174201,4.49591349,0.08389475,3.01720254
-5.95797899,9.97650586,0.06602992,1.02573037,0.64968397,0.63889268,4.01694469,4.62260326,0.08454782,3.04829737
-5.95197599,10.13377826,0.06603102,1.04188602,0.64510602,0.64408089,4.07425348,4.74012647,0.08497175,3.07109300
-5.94597299,10.26715267,0.06589851,1.05642986,0.63902032,0.64702812,4.12248874,4.84762259,0.08517141,3.08548010
-5.93996998,10.37576814,0.06563937,1.06926066,0.63154221,0.64775644,4.16065804,4.94444808,0.08515650,3.09149475
-5.93396698,10.45927533,0.06526275,1.08034371,0.62281440,0.64633290,4.18798968,5.03019213,0.08494127,3.08932124
-5.92796398,10.51785123,0.06477985,1.08971253,0.61300515,0.64286810,4.20395955,5.10468590,0.08454416,3.07929105
-5.92196098,10.55219773,0.06420385,1.09746764,0.60230564,0.63751341,4.20830999,5.16800472,0.08398729,3.06187752
-5.91595798,10.56352345,0.06354967,1.10377249,0.59092675,0.63045656,4.20105972,5.22046285,0.08329581,3.03768645
-5.90995498,10.55350876,0.06283372,1.10884632,0.57909505,0.62191609,4.18250409,5.26260078,0.08249717,3.00744255
-5.90395198,10.52425498,0.06207362,1.11295443,0.56704825,0.61213467,4.15320534,5.29516537,0.08162027,2.97197228
-5.89794897,10.47821910,0.06128772,1.11639593,0.55503001,0.60137154,4.11397310,5.31908328,0.08069457,2.93218341
-5.89194597,10.41813612,0.06049473,1.11948962,0.54328438,0.58989455,4.06583564,5.33542867,0.07974919,2.88904206
-5.88594297,10.34693174,0.05971315,1.12255836,0.53204995,0.57797189,4.01000286,5.34538597,0.07881200,2.84354789
-5.87993997,10.26762835,0.05896083,1.12591269,0.52155387,0.56586405,3.94782250,5.35020912,0.07790874,2.79670828
