energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,0.52087860,-0.37231885,0.00555627,-0.00369131,0.06183702,-0.05149847,0.05950222,-0.06385369,0.11106395,-0.06393637,0.01481721,-0.01147905,0.14984967,-0.10185044,0.05528289,-0.04121196,0.06203486,-0.04752526
-5.99399700,0.51784061,-0.37509443,0.00547746,-0.00381447,0.06105705,-0.05128515,0.05972175,-0.06015734,0.11016367,-0.06624387,0.01448347,-0.01135533,0.14938920,-0.10470547,0.05491296,-0.04229677,0.06209545,-0.04596704
-5.98799400,0.51309929,-0.38162239,0.00536934,-0.00396669,0.06004517,-0.05164194,0.06002199,-0.05753030,0.10879159,-0.06901455,0.01407305,-0.01135938,0.14842499,-0.10839033,0.05437239,-0.04370699,0.06206763,-0.04508508
-5.98199100,0.50678414,-0.39117124,0.00523455,-0.00413993,0.05880908,-0.05246460,0.06038025,-0.05582904,0.10699001,-0.07213026,0.01358930,-0.01146717,0.14701171,-0.11271602,0.05368795,-0.04536305,0.06195183,-0.04477735
-5.97598799,0.49908270,-0.40301104,0.00507646,-0.00432631,0.05736448,-0.05364924,0.06078071,-0.05491369,0.10481356,-0.07547187,0.01303788,-0.01165461,0.14521928,-0.11749268,0.05289341,-0.04718484,0.06175479,-0.04494369
-5.96998499,0.49022656,-0.41642614,0.00489898,-0.00451818,0.05573349,-0.05509422,0.06121247,-0.05465047,0.10232630,-0.07892138,0.01242642,-0.01189803,0.14312879,-0.12253287,0.05202778,-0.04909307,0.06148777,-0.04548748
-5.96398199,0.48047643,-0.43072778,0.00470646,-0.00470824,0.05394295,-0.05670191,0.06166760,-0.05491370,0.09959871,-0.08236403,0.01176406,-0.01217456,0.14082823,-0.12765500,0.05113347,-0.05101071,0.06116476,-0.04631725
-5.95797899,0.47010708,-0.44526592,0.00450345,-0.00488960,0.05202272,-0.05838033,0.06213944,-0.05558742,0.09670445,-0.08569052,0.01106106,-0.01246258,0.13840795,-0.13268669,0.05025428,-0.05286441,0.06080071,-0.04734790
-5.95197599,0.45939272,-0.45944038,0.00429460,-0.00505593,0.05000404,-0.06004466,0.06262104,-0.05656660,0.09371721,-0.08879914,0.01032833,-0.01274207,0.13595636,-0.13746805,0.04943338,-0.05458590,0.06040997,-0.04850189
-5.94597299,0.44859352,-0.47271082,0.00408443,-0.00520151,0.04791804,-0.06161858,0.06310387,-0.05775803,0.09070773,-0.09159784,0.00957701,-0.01299490,0.13355583,-0.14185474,0.04871135,-0.05611335,0.06000487,-0.04971002
-5.93996998,0.43794369,-0.48460528,0.00387725,-0.00532139,0.04579438,-0.06303537,0.06357693,-0.05908077,0.08774111,-0.09400606,0.00881813,-0.01320517,0.13127903,-0.14572063,0.04812436,-0.05739253,0.05959461,-0.05091212
-5.93396698,0.42764176,-0.49472700,0.00367696,-0.00541140,0.04366023,-0.06423877,0.06402617,-0.06046624,0.08487447,-0.09595635,0.00806221,-0.01335941,0.12918594,-0.14896011,0.04770254,-0.05837793,0.05918445,-0.05205738
-5.92796398,0.41784318,-0.50275927,0.00348695,-0.00546831,0.04153937,-0.06518358,0.06443430,-0.06185809,0.08215510,-0.09739562,0.00731900,-0.01344674,0.12732151,-0.15148978,0.04746860,-0.05903353,0.05877525,-0.05310450
-5.92196098,0.40865556,-0.50846803,0.00331005,-0.00548980,0.03945172,-0.06583595,0.06478102,-0.06321157,0.07961922,-0.09828598,0.00659725,-0.01345899,0.12571405,-0.15324950,0.04743682,-0.05933342,0.05836329,-0.05402156
-5.91595798,0.40013663,-0.51170212,0.00314838,-0.00547454,0.03741302,-0.06617338,0.06504348,-0.06449273,0.07729117,-0.09860512,0.00590453,-0.01339074,0.12437458,-0.15420275,0.04761236,-0.05926209,0.05794052,-0.05478561
-5.90995498,0.39229476,-0.51239109,0.00300339,-0.00542218,0.03543483,-0.06618436,0.06519711,-0.06567733,0.07518327,-0.09834624,0.00524713,-0.01323930,0.12329690,-0.15433631,0.04799095,-0.05881445,0.05749499,-0.05538210
-5.90395198,0.38509200,-0.51054078,0.00287584,-0.00533332,0.03352481,-0.06586773,0.06521666,-0.06674956,0.07329616,-0.09751749,0.00463001,-0.01300454,0.12245847,-0.15365912,0.04855899,-0.05799553,0.05701158,-0.05580401
-5.89794897,0.37844920,-0.50622658,0.00276576,-0.00520945,0.03168707,-0.06523177,0.06507739,-0.06770054,0.07161967,-0.09614091,0.00405684,-0.01268882,0.12182205,-0.15220056,0.04929403,-0.05681991,0.05647299,-0.05605087
-5.89194597,0.37225296,-0.49958496,0.00267259,-0.00505288,0.02992283,-0.06429304,0.06475637,-0.06852679,0.07013413,-0.09425101,0.00353002,-0.01229667,0.12133789,-0.15000808,0.05016565,-0.05531087,0.05586075,-0.05612762
-5.88594297,0.36636397,-0.49080336,0.00259514,-0.00486666,0.02823103,-0.06307498,0.06423373,-0.06922865,0.06881201,-0.09189297,0.00305081,-0.01183454,0.12094654,-0.14714439,0.05113659,-0.05349931,0.05515635,-0.05604339
-5.87993997,0.36062619,-0.48010921,0.00253179,-0.00465443,0.02660917,-0.06160646,0.06349393,-0.06980872,0.06761983,-0.08912056,0.00261948,-0.01131051,0.12058190,-0.14368425,0.05216427,-0.05142250,0.05434241,-0.05581024
-5.87393697,0.35487663,-0.46775826,0.00248047,-0.00442029,0.02505399,-0.05992018,0.06252685,-0.07027048,0.06652031,-0.08599394,0.00223541,-0.01073385,0.12017462,-0.13971110,0.05320243,-0.04912268,0.05340372,-0.05544193
-5.86793397,0.34895500,-0.45402310,0.00243886,-0.00416869,0.02356231,-0.05805111,0.06132875,-0.07061697,0.06547450,-0.08257735,0.00189737,-0.01011473,0.11965547,-0.13531369,0.05420304,-0.04664569,0.05232822,-0.05495280
-5.86193097,0.34271316,-0.43918209,0.00240446,-0.00390426,0.02213167,-0.05603501,0.05990298,-0.07084986,0.06444400,-0.07893686,0.00160360,-0.00946380,0.11895878,-0.13058278,0.05511819,-0.04403944,0.05110781,-0.05435673
-5.85592796,0.33602373,-0.42350936,0.00237470,-0.00363169,0.02076100,-0.05390702,0.05826056,-0.07096871,0.06339309,-0.07513821,0.00135208,-0.00879186,0.11802563,-0.12560816,0.05590207,-0.04135265,0.04973897,-0.05366637
-5.84992496,0.32878782,-0.40726625,0.00234704,-0.00335560,0.01945117,-0.05170055,0.05642043,-0.07097055,0.06229064,-0.07124499,0.00114069,-0.00810949,0.11680674,-0.12047606,0.05651285,-0.03863348,0.04822320,-0.05289246
-5.84392196,0.32094159,-0.39069448,0.00231911,-0.00308042,0.01820545,-0.04944622,0.05440958,-0.07084980,0.06111192,-0.06731695,0.00096739,-0.00742681,0.11526509,-0.11526708,0.05691446,-0.03592853,0.04656724,-0.05204354
-5.83791896,0.31246154,-0.37401122,0.00228873,-0.00281029,0.01702992,-0.04717124,0.05226298,-0.07059861,0.05984012,-0.06340880,0.00083040,-0.00675317,0.11337800,-0.11005463,0.05707816,-0.03328192,0.04478310,-0.05112573
-5.83191596,0.30336849,-0.35740621,0.00225405,-0.00254900,0.01593377,-0.04489893,0.05002337,-0.07020730,0.05846759,-0.05956928,0.00072837,-0.00609698,0.11113878,-0.10490404,0.05698388,-0.03073455,0.04288790,-0.05014291
