energy_ev,total_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,10.66828507,9.17742020,6.38449607,0.05540304,1.87290326,2.00966587,0.00000000
-5.99399700,10.28416706,8.92219953,6.15973102,0.05266792,1.79510422,1.93919651,0.00000000
-5.98799400,9.88664401,8.65131703,5.92504783,0.05008747,1.71638518,1.86582986,0.00000000
-5.98199100,9.47970811,8.36733497,5.68330385,0.04768600,1.63712965,1.79054482,0.00000000
-5.97598799,9.06742153,8.07283803,5.43741964,0.04548610,1.55773646,1.71433603,0.00000000
-5.96998499,8.65382903,7.77040123,5.19030945,0.04350762,1.47861446,1.63819027,0.00000000
-5.96398199,8.24287909,7.46256557,4.94481755,0.04176685,1.40017740,1.56306544,0.00000000
-5.95797899,7.83835597,7.15182059,4.70366240,0.04027573,1.32283928,1.48987259,0.00000000
-5.95197599,7.44382410,6.84059275,4.46939017,0.03904128,1.24701013,1.41946128,0.00000000
-5.94597299,7.06258535,6.53123824,4.24433843,0.03806515,1.17309245,1.35260868,0.00000000
-5.93996998,6.69764944,6.22603857,4.03061035,0.03734345,1.10147817,1.29001206,0.00000000
-5.93396698,6.35171648,5.92719732,3.83005925,0.03686674,1.03254616,1.23228481,0.00000000
-5.92796398,6.02717072,5.63683652,3.64428276,0.03662022,0.96666021,1.17995534,0.00000000
-5.92196098,5.72608389,5.35699153,3.47462562,0.03658420,0.90416732,1.13346874,0.00000000
-5.91595798,5.45022631,5.08960336,3.32218985,0.03673464,0.84539618,1.09319056,0.00000000
-5.90995498,5.20108396,4.83650819,3.18785089,0.03704395,0.79065566,1.05941221,0.00000000
-5.90395198,4.97987961,4.59942393,3.07227819,0.03748191,0.74023325,1.03235762,0.00000000
-5.89794897,4.78759632,4.37993410,2.97595868,0.03801663,0.69439328,1.01219052,0.00000000
-5.89194597,4.62500173,4.17947004,2.89922202,0.03861563,0.65337481,0.99902205,0.00000000
-5.88594297,4.49267191,3.99929205,2.84226605,0.03924693,0.61738923,0.99291826,0.00000000
-5.87993997,4.39101366,3.84047083,2.80518164,0.03988010,0.58661743,0.99390729,0.00000000
-5.87393697,4.32028459,3.70387034,2.78797600,0.04048725,0.56120667,1.00198583,0.00000000
-5.86793397,4.28061037,3.59013306,2.79059371,0.04104392,0.54126710,1.01712489,0.00000000
-5.86193097,4.27199897,3.49966876,2.81293508,0.04152988,0.52686821,1.03927457,0.00000000
-5.85592796,4.29435176,3.43264740,2.85487145,0.04192969,0.51803511,1.06836779,0.00000000
-5.84992496,4.34747148,3.38899665,2.91625729,0.04223318,0.51474504,1.10432301,0.00000000
-5.84392196,4.43106732,3.36840417,2.99693896,0.04243568,0.51692416,1.14704581,0.00000000
-5.83791896,4.54475743,3.37032467,3.09676016,0.04253804,0.52444493,1.19642939,0.00000000
-5.83191596,4.68806896,3.39399121,3.21556407,0.04254659,0.53712422,1.25235395,0.00000000
-5.82591296,4.86043624,3.43843036,3.35319238,0.04247275,0.55472249,1.31468512,0.00000000
-5.81990995,5.06119717,3.50248049,3.50948112,0.04233263,0.57694422,1.38327131,0.00000000
-5.81390695,5.28958833,3.58481244,3.68425352,0.04214646,0.60343968,1.45794021,0.00000000
-5.80790395,5.54473896,3.68395177,3.87731000,0.04193784,0.63380839,1.53849447,0.00000000
-5.80190095,5.82566418,3.79830194,4.08841535,0.04173306,0.66760417,1.62470672,0.00000000
-5.79589795,6.13125744,3.92616777,4.31728333,0.04156019,0.70434188,1.71631404,0.00000000
-5.78989495,6.46028265,4.06577858,4.56355874,0.04144833,0.74350580,1.81301214,0.00000000
-5.78389195,6.81136583,4.21531065,4.82679746,0.04142670,0.78455940,1.91444939,0.00000000
-5.77788894,7.18298665,4.37290876,5.10644458,0.04152387,0.82695627,2.02022104,0.00000000
-5.77188594,7.57346980,4.53670641,5.40181127,0.04176695,0.87015186,2.12986379,0.00000000
-5.76588294,7.98097652,4.70484491,5.71205085,0.04218086,0.91361563,2.24285118,0.00000000
-5.75987994,8.40349639,4.87549097,6.03613497,0.04278768,0.95684292,2.35858990,0.00000000
-5.75387694,8.83883981,5.04685300,6.37283074,0.04360602,0.99936632,2.47641749,0.00000000
-5.74787394,9.28463159,5.21719596,6.72067986,0.04465049,1.04076561,2.59560169,0.00000000
-5.74187094,9.73830619,5.38485480,7.07798093,0.04593123,1.08067614,2.71534159,0.00000000
-5.73586793,10.19710531,5.54824644,7.44277625,0.04745357,1.11879488,2.83477102,0.00000000
-5.72986493,10.65807871,5.70588019,7.81284423,0.04921767,1.15488408,2.95296408,0.00000000
-5.72386193,11.11808906,5.85636660,8.18569882,0.05121838,1.18877205,3.06894310,0.00000000
-5.71785893,11.57382171,5.99842462,8.55859682,0.05344508,1.22035125,3.18168896,0.00000000
-5.71185593,12.02180045,6.13088701,8.92855419,0.05588167,1.24957358,3.29015363,0.00000000
-5.70585293,12.45840971,6.25270396,9.29237171,0.05850672,1.27644328,3.39327473,0.00000000
-5.69984992,12.87992405,6.36294499,9.64667032,0.06129364,1.30100777,3.48999196,0.00000000
-5.69384692,13.28254513,6.46079910,9.98793597,0.06421106,1.32334692,3.57926483,0.00000000
-5.68784392,13.66244602,6.54557334,10.31257317,0.06722329,1.34356146,3.66009124,0.00000000
-5.68184092,14.01582264,6.61669004,10.61696628,0.07029090,1.36176117,3.73152660,0.00000000
-5.67583792,14.33895128,6.67368282,10.89754680,0.07337150,1.37805354,3.79270253,0.00000000
-5.66983492,14.62825105,6.71619194,11.15086489,0.07642053,1.39253345,3.84284498,0.00000000
-5.66383192,14.88034965,6.74395901,11.37366268,0.07939219,1.40527467,3.88129080,0.00000000
-5.65782891,15.09215038,6.75682176,11.56294697,0.08224046,1.41632335,3.90750248,0.00000000
-5.65182591,15.26089835,6.75470903,11.71605878,0.08492014,1.42569406,3.92108049,0.00000000
-5.64582291,15.38424357,6.73763640,11.83073727,0.08738789,1.43336840,3.92177274,0.00000000
-5.63981991,15.46029851,6.70570281,11.90517565,0.08960329,1.43929622,3.90948107,0.00000000
-5.63381691,15.48768814,6.65908833,11.93806712,0.09152979,1.44339925,3.88426430,0.00000000
-5.62781391,15.46559045,6.59805321,11.92863923,0.09313561,1.44557691,3.84633811,0.00000000
-5.62181091,15.39376587,6.52293838,11.87667556,0.09439451,1.44571379,3.79607150,0.00000000
-5.61580790,15.27257442,6.43416704,11.78252408,0.09528636,1.44368832,3.73398017,0.00000000
-5.60980490,15.10298002,6.33224742,11.64709212,0.09579758,1.43938210,3.66071703,0.00000000
-5.60380190,14.88654152,6.21777611,11.47182849,0.09592140,1.43268926,3.57706017,0.00000000
-5.59779890,14.62539093,6.09144167,11.25869344,0.09565791,1.42352535,3.48389865,0.00000000
-5.59179590,14.32219942,5.95402779,11.01011801,0.09501386,1.41183520,3.38221650,0.00000000
-5.58579290,13.98013208,5.80641559,10.72895407,0.09400237,1.39759942,3.27307545,0.00000000
-5.57978989,13.60279293,5.64958424,10.41841690,0.09264241,1.38083915,3.15759672,0.00000000
-5.57378689,13.19416164,5.48460931,10.08202226,0.09095812,1.36161891,3.03694221,0.00000000
-5.56778389,12.75852369,5.31265848,9.72351957,0.08897811,1.34004747,2.91229562,0.00000000
-5.56178089,12.30039589,5.13498385,9.34682322,0.08673452,1.31627680,2.78484369,0.00000000
-5.55577789,11.82444901,4.95291092,8.95594354,0.08426216,1.29049922,2.65575791,0.00000000
-5.54977489,11.33542951,4.76782396,8.55491905,0.08159759,1.26294309,2.52617696,0.00000000
-5.54377189,10.83808200,4.58114809,8.14775134,0.07877821,1.23386727,2.39719022,0.00000000
-5.53776888,10.33707449,4.39432839,7.73834380,0.07584137,1.20355485,2.26982244,0.00000000
-5.53176588,9.83692781,4.20880669,7.33044524,0.07282367,1.17230651,2.14501998,0.00000000
-5.52576288,9.34195099,4.02599695,6.92759935,0.06976020,1.14043389,2.02363874,0.00000000
-5.51975988,8.85618398,3.84726021,6.53310079,0.06668405,1.10825342,1.90643411,0.00000000
-5.51375688,8.38334879,3.67388014,6.14995835,0.06362588,1.07608090,1.79405299,0.00000000
-5.50775388,7.92681032,3.50704036,5.78086598,0.06061361,1.04422712,1.68702834,0.00000000
-5.50175088,7.48954733,3.34780462,5.42818161,0.05767233,1.01299468,1.58577612,0.00000000
-5.49574787,7.07413409,3.19710063,5.09391418,0.05482424,0.98267598,1.49059498,0.00000000
-5.48974487,6.68273264,3.05570829,4.77971860,0.05208884,0.95355253,1.40166849,0.00000000
-5.48374187,6.31709527,2.92425286,4.48689843,0.04948304,0.92589524,1.31907010,0.00000000
-5.47773887,5.97857641,2.80320293,4.21641562,0.04702158,0.89996561,1.24277043,0.00000000
-5.47173587,5.66815266,2.69287325,3.96890657,0.04471729,0.87601743,1.17264679,0.00000000
-5.46573287,5.38644954,2.59343187,3.74470349,0.04258150,0.85429864,1.10849455,0.00000000
-5.45972986,5.13377301,2.50491066,3.54385995,0.04062443,0.83505307,1.05003989,0.00000000
-5.45372686,4.91014390,2.42721859,3.36617910,0.03885553,0.81852158,0.99695349,0.00000000
-5.44772386,4.71533315,2.36015644,3.21124352,0.03728376,0.80494231,0.94886453,0.00000000
-5.44172086,4.54889601,2.30343201,3.07844507,0.03591780,0.79454985,0.90537462,0.00000000
-5.43571786,4.41020345,2.25667480,2.96701371,0.03476621,0.78757304,0.86607098,0.00000000
-5.42971486,4.29846938,2.21944924,2.87604418,0.03383739,0.78423134,0.83053849,0.00000000
-5.42371186,4.21277281,2.19126598,2.80451972,0.03313952,0.78472995,0.79837029,0.00000000
-5.41770885,4.15207437,2.17159063,2.75133241,0.03268034,0.78925354,0.76917653,0.00000000
-5.41170585,4.11522733,2.15985020,2.71529984,0.03246685,0.79795918,0.74259126,0.00000000
-5.40570285,4.10098360,2.15543708,2.69517841,0.03250486,0.81096851,0.71827733,0.00000000
-5.39969985,4.10799576,2.15771138,2.68967353,0.03279862,0.82835975,0.69592947,0.00000000
