energy_ev,total_up,Au_p_up,Au_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,3.23835984,0.58024649,2.80305419,0.02274988,0.07273744,0.00222850,0.20667425
-5.99399700,3.19726152,0.57095328,2.76744240,0.02216403,0.07242025,0.00227919,0.20393736
-5.98799400,3.16070649,0.56166856,2.73638870,0.02147081,0.07226036,0.00232813,0.20089524
-5.98199100,3.12981071,0.55282306,2.71075151,0.02068018,0.07230669,0.00237587,0.19766299
-5.97598799,3.10556984,0.54482508,2.69128135,0.01980383,0.07260286,0.00242296,0.19435715
-5.96998499,3.08881015,0.53804481,2.67858223,0.01885482,0.07318499,0.00246987,0.19109090
-5.96398199,3.08014359,0.53279972,2.67307649,0.01784716,0.07407984,0.00251703,0.18796937
-5.95797899,3.07992940,0.52934199,2.67497506,0.01679542,0.07530317,0.00256469,0.18508527
-5.95197599,3.08824461,0.52784813,2.68425500,0.01571428,0.07685852,0.00261293,0.18251514
-5.94597299,3.10486514,0.52841152,2.70064577,0.01461817,0.07873645,0.00266164,0.18031618
-5.93996998,3.12925911,0.53103802,2.72362559,0.01352092,0.08091420,0.00271044,0.17852399
-5.93396698,3.16059285,0.53564494,2.75242825,0.01243541,0.08335599,0.00275876,0.17715118
-5.92796398,3.19775010,0.54206335,2.78606067,0.01137335,0.08601370,0.00280576,0.17618702
-5.92196098,3.23936364,0.55004366,2.82333063,0.01034505,0.08882815,0.00285041,0.17559810
-5.91595798,3.28385827,0.55926439,2.86288374,0.00935932,0.09173077,0.00289151,0.17532987
-5.90995498,3.32950342,0.56934353,2.90324803,0.00842336,0.09464571,0.00292775,0.17530921
-5.90395198,3.37447307,0.57985229,2.94288438,0.00754278,0.09749229,0.00295772,0.17544766
-5.89794897,3.41691029,0.59033051,2.98024025,0.00672162,0.10018756,0.00298006,0.17564532
-5.89194597,3.45499356,0.60030322,3.01380463,0.00596242,0.10264913,0.00299347,0.17579519
-5.88594297,3.48700186,0.60929763,3.04216136,0.00526639,0.10479791,0.00299679,0.17578782
-5.87993997,3.51137560,0.61685989,3.06403868,0.00463355,0.10656079,0.00298911,0.17551585
-5.87393697,3.52677090,0.62257097,3.07835267,0.00406289,0.10787312,0.00296980,0.17487860
-5.86793397,3.53210472,0.62606107,3.08424292,0.00355258,0.10868090,0.00293858,0.17378617
-5.86193097,3.52658934,0.62702195,3.08109889,0.00310016,0.10894256,0.00289559,0.17216305
-5.85592796,3.50975495,0.62521682,3.06857630,0.00270274,0.10863035,0.00284140,0.16995119
-5.84992496,3.48145978,0.62048743,3.04660307,0.00235715,0.10773120,0.00277703,0.16711212
-5.84392196,3.44188802,0.61275818,3.01537524,0.00206014,0.10624708,0.00270400,0.16362846
-5.83791896,3.39153622,0.60203709,2.97534346,0.00180849,0.10419489,0.00262426,0.15950442
-5.83191596,3.33118943,0.58841391,2.92719137,0.00159915,0.10160582,0.00254023,0.15476555
-5.82591296,3.26188881,0.57205532,2.87180730,0.00142932,0.09852424,0.00245475,0.14945767
-5.81990995,3.18489261,0.55319768,2.81025106,0.00129654,0.09500630,0.00237100,0.14364511
-5.81390695,3.10163290,0.53213775,2.74371777,0.00119869,0.09111811,0.00229252,0.13740833
-5.80790395,3.01366991,0.50922170,2.67350032,0.00113407,0.08693374,0.00222309,0.13084110
-5.80190095,2.92264634,0.48483308,2.60095248,0.00110136,0.08253303,0.00216672,0.12404732
-5.79589795,2.83024324,0.45938016,2.52745375,0.00109959,0.07799934,0.00212752,0.11713765
-5.78989495,2.73813902,0.43328322,2.45437737,0.00112812,0.07341736,0.00210970,0.11022610
-5.78389195,2.64797282,0.40696226,2.38306217,0.00118658,0.06887087,0.00211743,0.10342663
-5.77788894,2.56131262,0.38082550,2.31478854,0.00127478,0.06444081,0.00215483,0.09685000
-5.77188594,2.47962871,0.35525909,2.25075886,0.00139266,0.06020340,0.00222585,0.09060085
-5.76588294,2.40427217,0.33061823,2.19208184,0.00154018,0.05622856,0.00233418,0.08477512
-5.75987994,2.33645798,0.30721994,2.13976041,0.00171726,0.05257856,0.00248323,0.07945786
-5.75387694,2.27725222,0.28533753,2.09468241,0.00192366,0.04930693,0.00267596,0.07472147
-5.74787394,2.22756247,0.26519675,2.05761341,0.00215889,0.04645759,0.00291489,0.07062435
-5.74187094,2.18813062,0.24697369,2.02919073,0.00242219,0.04406435,0.00320191,0.06720996
-5.73586793,2.15952742,0.23079416,2.00991816,0.00271238,0.04215049,0.00353829,0.06450636
-5.72986493,2.14214806,0.21673445,2.00016088,0.00302787,0.04072866,0.00392452,0.06252602
-5.72386193,2.13620851,0.20482333,2.00014025,0.00336658,0.03980098,0.00436028,0.06126604
-5.71785893,2.14174238,0.19504505,2.00992849,0.00372596,0.03935926,0.00484434,0.06070871
-5.71185593,2.15859850,0.18734308,2.02944355,0.00410294,0.03938546,0.00537450,0.06082227
-5.70585293,2.18643957,0.18162454,2.05844455,0.00449400,0.03985228,0.00594756,0.06156204
-5.69984992,2.22474233,0.17776494,2.09652850,0.00489516,0.04072384,0.00655929,0.06287164
-5.69384692,2.27280011,0.17561332,2.14312911,0.00530210,0.04195662,0.00720443,0.06468450
-5.68784392,2.32972833,0.17499743,2.19751842,0.00571017,0.04350037,0.00787671,0.06692550
-5.68184092,2.39447376,0.17572898,2.25881209,0.00611452,0.04529931,0.00856891,0.06951275
-5.67583792,2.46582810,0.17760883,2.32597891,0.00651023,0.04729332,0.00927296,0.07235951
-5.66983492,2.54244621,0.18043199,2.39785507,0.00689233,0.04941926,0.00998004,0.07537612
-5.66383192,2.62286914,0.18399243,2.47316326,0.00725601,0.05161241,0.01068076,0.07847205
-5.65782891,2.70555181,0.18808761,2.55053656,0.00759666,0.05380794,0.01136533,0.08155792
-5.65182591,2.78889476,0.19252265,2.62854655,0.00791003,0.05594239,0.01202377,0.08454745
-5.64582291,2.87127918,0.19711413,2.70573502,0.00819224,0.05795517,0.01264615,0.08735938
-5.63981991,2.95110415,0.20169337,2.78064811,0.00843996,0.05979002,0.01322284,0.08991921
-5.63381691,3.02682472,0.20610928,2.85187177,0.00865040,0.06139633,0.01374477,0.09216076
-5.62781391,3.09698939,0.21023057,2.91806705,0.00882138,0.06273037,0.01420367,0.09402752
-5.62181091,3.16027558,0.21394737,2.97800377,0.00895137,0.06375635,0.01459232,0.09547376
-5.61580790,3.21552151,0.21717227,3.03059126,0.00903950,0.06444721,0.01490481,0.09646522
-5.60980490,3.26175329,0.21984065,3.07490485,0.00908555,0.06478520,0.01513672,0.09697966
-5.60380190,3.29820610,0.22191043,3.11020699,0.00908997,0.06476223,0.01528530,0.09700694
-5.59779890,3.32433870,0.22336116,3.13596235,0.00905381,0.06437983,0.01534960,0.09654882
-5.59179590,3.33984094,0.22419262,3.15184633,0.00897876,0.06364892,0.01533057,0.09561850
-5.58579290,3.34463401,0.22442291,3.15774693,0.00886702,0.06258930,0.01523111,0.09423978
-5.57978989,3.33886400,0.22408621,3.15376023,0.00872138,0.06122886,0.01505602,0.09244608
-5.57378689,3.32288923,0.22323020,3.14018007,0.00854508,0.05960259,0.01481200,0.09027917
-5.56778389,3.29726244,0.22191337,3.11748269,0.00834182,0.05775141,0.01450749,0.08778782
