energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.08757663,0.00003257,0.24025306,0.09360335,0.48050427,0.00000000,0.79688672,0.18584898
-5.99399700,1.01902882,0.00002969,0.21725400,0.09078708,0.46018895,0.00000000,0.74714618,0.17094578
-5.98799400,0.95187736,0.00002709,0.19604246,0.08752884,0.43862819,0.00000000,0.69844039,0.15686162
-5.98199100,0.88625627,0.00002474,0.17655257,0.08387384,0.41599997,0.00000000,0.65086761,0.14357896
-5.97598799,0.82230624,0.00002261,0.15870176,0.07987630,0.39250797,0.00000000,0.60452238,0.13107682
-5.96998499,0.76017913,0.00002072,0.14239724,0.07559775,0.36837689,0.00000000,0.55950036,0.11933333
-5.96398199,0.70004003,0.00001904,0.12754156,0.07110529,0.34384686,0.00000000,0.51590135,0.10832761
-5.95797899,0.64206691,0.00001760,0.11403744,0.06646974,0.31916739,0.00000000,0.47383058,0.09804122
-5.95197599,0.58644844,0.00001641,0.10179152,0.06176383,0.29459103,0.00000000,0.43339840,0.08845901
-5.94597299,0.53338051,0.00001550,0.09071740,0.05706061,0.27036714,0.00000000,0.39471863,0.07956963
-5.93996998,0.48306183,0.00001491,0.08073772,0.05243195,0.24673613,0.00000000,0.35790606,0.07136571
-5.93396698,0.43568941,0.00001469,0.07178572,0.04794738,0.22392436,0.00000000,0.32307327,0.06384388
-5.92796398,0.39145446,0.00001490,0.06380610,0.04367321,0.20213997,0.00000000,0.29032748,0.05700470
-5.92196098,0.35053899,0.00001562,0.05675564,0.03967198,0.18156975,0.00000000,0.25976750,0.05085261
-5.91595798,0.31311368,0.00001693,0.05060345,0.03600222,0.16237730,0.00000000,0.23148129,0.04539594
-5.90995498,0.27933709,0.00001896,0.04533110,0.03271853,0.14470223,0.00000000,0.20554434,0.04064706
-5.90395198,0.24935634,0.00002183,0.04093272,0.02987190,0.12866057,0.00000000,0.18201892,0.03662274
-5.89794897,0.22330915,0.00002568,0.03741507,0.02751029,0.11434613,0.00000000,0.16095435,0.03334457
-5.89194597,0.20132708,0.00003070,0.03479766,0.02567922,0.10183265,0.00000000,0.14238827,0.03083957
-5.88594297,0.18353952,0.00003707,0.03311288,0.02442256,0.09117660,0.00000000,0.12634860,0.02914080
-5.87993997,0.17007813,0.00004501,0.03240608,0.02378313,0.08242020,0.00000000,0.11285630,0.02828799
-5.87393697,0.16108121,0.00005475,0.03273562,0.02380326,0.07559462,0.00000000,0.10192841,0.02832807
-5.86793397,0.15669747,0.00006653,0.03417270,0.02452509,0.07072285,0.00000000,0.09358120,0.02931543
-5.86193097,0.15708862,0.00008063,0.03680088,0.02599057,0.06782225,0.00000000,0.08783324,0.03131200
-5.85592796,0.16243050,0.00009730,0.04071525,0.02824109,0.06690638,0.00000000,0.08470787,0.03438674
-5.84992496,0.17291214,0.00011681,0.04602107,0.03131672,0.06798609,0.00000000,0.08423504,0.03861484
-5.84392196,0.18873246,0.00013942,0.05283177,0.03525502,0.07106959,0.00000000,0.08645215,0.04407622
-5.83791896,0.21009458,0.00016538,0.06126633,0.04008942,0.07616163,0.00000000,0.09140370,0.05085344
-5.83191596,0.23719741,0.00019488,0.07144585,0.04584716,0.08326165,0.00000000,0.09913975,0.05902905
-5.82591296,0.27022479,0.00022811,0.08348946,0.05254701,0.09236107,0.00000000,0.10971302,0.06868227
-5.81990995,0.30933241,0.00026516,0.09750938,0.06019663,0.10343977,0.00000000,0.12317470,0.07988516
-5.81390695,0.35463283,0.00030609,0.11360553,0.06878989,0.11646203,0.00000000,0.13956912,0.09269824
-5.80790395,0.40617927,0.00035084,0.13185951,0.07830418,0.13137209,0.00000000,0.15892739,0.10716591
-5.80190095,0.46394881,0.00039930,0.15232836,0.08869791,0.14808965,0.00000000,0.18126032,0.12331167
-5.79589795,0.52782600,0.00045122,0.17503823,0.09990834,0.16650566,0.00000000,0.20655094,0.14113332
-5.78989495,0.59758751,0.00050627,0.19997833,0.11184997,0.18647859,0.00000000,0.23474701,0.16059863
-5.78389195,0.67288916,0.00056399,0.22709541,0.12441359,0.20783161,0.00000000,0.26575394,0.18164139
-5.77788894,0.75325609,0.00062383,0.25628919,0.13746613,0.23035098,0.00000000,0.29942864,0.20415844
-5.77188594,0.83807699,0.00068512,0.28740898,0.15085150,0.25378580,0.00000000,0.33557460,0.22800765
