energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,1.55172935,0.00119410,0.31276457,0.83066230,0.76841043,0.01659861,0.24180907
-5.99399700,1.72664999,0.00134060,0.34862656,0.92007453,0.86011117,0.01824355,0.26802659
-5.98799400,1.91597285,0.00149772,0.38778343,1.01654293,0.95997635,0.01993757,0.29587764
-5.98199100,2.11905300,0.00166508,0.43015888,1.11964133,1.06784990,0.02166484,0.32518005
-5.97598799,2.33505146,0.00184211,0.47563845,1.22884226,1.18347577,0.02340825,0.35571987
-5.96998499,2.56292986,0.00202809,0.52406674,1.34351637,1.30649017,0.02514975,0.38725293
-5.96398199,2.80144706,0.00222207,0.57524489,1.46293288,1.43641441,0.02687075,0.41950722
-5.95797899,3.04915820,0.00242293,0.62892820,1.58626116,1.57264866,0.02855256,0.45218582
-5.95197599,3.30441636,0.00262934,0.68482425,1.71257357,1.71446709,0.03017678,0.48497055
-5.94597299,3.56537735,0.00283976,0.74259164,1.84084974,1.86101474,0.03172572,0.51752606
-5.93996998,3.83000812,0.00305245,0.80183947,1.96998256,2.01130670,0.03318275,0.54950444
-5.93396698,4.09609927,0.00326548,0.86212791,2.09878600,2.16423009,0.03453266,0.58055026
-5.92796398,4.36128234,0.00347672,0.92297001,2.22600526,2.31854943,0.03576193,0.61030580
-5.92196098,4.62305235,0.00368392,0.98383498,2.35032922,2.47291594,0.03685890,0.63841669
-5.91595798,4.87879614,0.00388466,1.04415323,2.47040569,2.62588114,0.03781389,0.66453754
-5.90995498,5.12582690,0.00407646,1.10332315,2.58485945,2.77591524,0.03861931,0.68833782
-5.90395198,5.36142497,0.00425677,1.16071988,2.69231327,2.92143035,0.03926960,0.70950770
-5.89794897,5.58288483,0.00442302,1.21570601,2.79141163,3.06080853,0.03976117,0.72776385
-5.89194597,5.78756782,0.00457273,1.26764405,2.88084718,3.19243437,0.04009228,0.74285511
-5.88594297,5.97295959,0.00470350,1.31591057,2.95938920,3.31473148,0.04026292,0.75456800
-5.87993997,6.13673107,0.00481311,1.35991155,3.02591359,3.42620193,0.04027464,0.76273175
-5.87393697,6.27680118,0.00489958,1.39909853,3.07943340,3.52546764,0.04013034,0.76722295
-5.86793397,6.39139914,0.00496124,1.43298511,3.11912897,3.61131202,0.03983420,0.76796955
-5.86193097,6.47912404,0.00499676,1.46116291,3.14437649,3.68272049,0.03939152,0.76495404
-5.85592796,6.53899895,0.00500523,1.48331658,3.15477359,3.73891787,0.03880860,0.75821562
-5.84992496,6.57051709,0.00498620,1.49923693,3.15016088,3.77940109,0.03809272,0.74785140
-5.84392196,6.57367734,0.00493971,1.50883167,3.13063821,3.80396536,0.03725213,0.73401620
-5.83791896,6.54900706,0.00486630,1.51213301,3.09657448,3.81272234,0.03629599,0.71692111
-5.83191596,6.49757015,0.00476700,1.50930168,3.04861034,3.80610906,0.03523447,0.69683054
-5.82591296,6.42095939,0.00464339,1.50062709,2.98765322,3.78488679,0.03407873,0.67405803
-5.81990995,6.32127227,0.00449747,1.48652323,2.91486439,3.75012938,0.03284097,0.64896054
