energy_ev,total_up,total_down,Li_s_up,Li_s_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.42367846,-0.42367846,0.11685078,-0.11685078,0.00421557,-0.00421557,0.00427785,-0.00427785,0.08336932,-0.08336932,0.10671268,-0.10671268,0.26239310,-0.26239310,0.00000000,-0.00000000
-5.99399700,0.38740433,-0.38740433,0.10641854,-0.10641854,0.00378667,-0.00378667,0.00374926,-0.00374926,0.07620758,-0.07620758,0.09789423,-0.09789423,0.24016553,-0.24016553,0.00000000,-0.00000000
-5.98799400,0.35249141,-0.35249141,0.09634846,-0.09634846,0.00338542,-0.00338542,0.00330040,-0.00330040,0.06929609,-0.06929609,0.08940188,-0.08940188,0.21869739,-0.21869739,0.00000000,-0.00000000
-5.98199100,0.31934159,-0.31934160,0.08675516,-0.08675516,0.00301504,-0.00301504,0.00292170,-0.00292170,0.06270908,-0.06270908,0.08134435,-0.08134435,0.19825602,-0.19825602,0.00000000,-0.00000000
-5.97598799,0.28831840,-0.28831840,0.07773672,-0.07773672,0.00267811,-0.00267811,0.00260582,-0.00260582,0.05651367,-0.05651367,0.07382205,-0.07382205,0.17908175,-0.17908175,0.00000000,-0.00000000
-5.96998499,0.25974196,-0.25974196,0.06937415,-0.06937415,0.00237661,-0.00237661,0.00234738,-0.00234738,0.05076876,-0.05076876,0.06692556,-0.06692556,0.16138527,-0.16138527,0.00000000,-0.00000000
-5.96398199,0.23388647,-0.23388648,0.06173150,-0.06173150,0.00211196,-0.00211196,0.00214255,-0.00214255,0.04552437,-0.04552437,0.06073472,-0.06073472,0.14534633,-0.14534633,0.00000000,-0.00000000
-5.95797899,0.21097974,-0.21097974,0.05485647,-0.05485647,0.00188507,-0.00188507,0.00198885,-0.00198885,0.04082142,-0.04082142,0.05531829,-0.05531829,0.13111384,-0.13111384,0.00000000,-0.00000000
-5.95197599,0.19120444,-0.19120444,0.04878148,-0.04878148,0.00169643,-0.00169643,0.00188486,-0.00188486,0.03669195,-0.03669195,0.05073396,-0.05073396,0.11880701,-0.11880701,0.00000000,-0.00000000
-5.94597299,0.17470088,-0.17470088,0.04352507,-0.04352507,0.00154618,-0.00154618,0.00183003,-0.00183003,0.03315960,-0.03315960,0.04702876,-0.04702876,0.10851729,-0.10851730,0.00000000,-0.00000000
-5.93996998,0.16157053,-0.16157053,0.03909346,-0.03909346,0.00143417,-0.00143417,0.00182451,-0.00182451,0.03024033,-0.03024033,0.04423964,-0.04423964,0.10031092,-0.10031092,0.00000000,-0.00000000
-5.93396698,0.15188014,-0.15188014,0.03548214,-0.03548214,0.00136005,-0.00136005,0.00186900,-0.00186900,0.02794330,-0.02794330,0.04239417,-0.04239417,0.09423164,-0.09423164,0.00000000,-0.00000000
-5.92796398,0.14566596,-0.14566596,0.03267751,-0.03267751,0.00132331,-0.00132331,0.00196460,-0.00196460,0.02627182,-0.02627182,0.04151124,-0.04151124,0.09030360,-0.09030360,0.00000000,-0.00000000
-5.92196098,0.14293771,-0.14293771,0.03065834,-0.03065834,0.00132334,-0.00132334,0.00211276,-0.00211276,0.02522423,-0.02522423,0.04160164,-0.04160164,0.08853393,-0.08853393,0.00000000,-0.00000000
-5.91595798,0.14368203,-0.14368203,0.02939706,-0.02939706,0.00135943,-0.00135943,0.00231514,-0.00231514,0.02479485,-0.02479485,0.04266858,-0.04266858,0.08891514,-0.08891514,0.00000000,-0.00000000
-5.90995498,0.14786531,-0.14786531,0.02886077,-0.02886077,0.00143086,-0.00143086,0.00257353,-0.00257353,0.02497469,-0.02497469,0.04470791,-0.04470791,0.09142696,-0.09142696,0.00000000,-0.00000000
-5.90395198,0.15543582,-0.15543582,0.02901213,-0.02901213,0.00153682,-0.00153682,0.00288983,-0.00288983,0.02575215,-0.02575215,0.04770826,-0.04770826,0.09603781,-0.09603781,0.00000000,-0.00000000
-5.89794897,0.16632503,-0.16632503,0.02980986,-0.02980986,0.00167647,-0.00167647,0.00326592,-0.00326592,0.02711352,-0.02711352,0.05165095,-0.05165095,0.10270569,-0.10270569,0.00000000,-0.00000000
-5.89194597,0.18044837,-0.18044837,0.03120915,-0.03120915,0.00184891,-0.00184891,0.00370366,-0.00370366,0.02904338,-0.02904338,0.05650976,-0.05650976,0.11137882,-0.11137882,0.00000000,-0.00000000
-5.88594297,0.19770544,-0.19770544,0.03316183,-0.03316183,0.00205316,-0.00205316,0.00420482,-0.00420482,0.03152491,-0.03152491,0.06225065,-0.06225064,0.12199576,-0.12199576,0.00000000,-0.00000000
-5.87993997,0.21797998,-0.21797998,0.03561644,-0.03561644,0.00228812,-0.00228812,0.00477106,-0.00477106,0.03454006,-0.03454006,0.06883146,-0.06883146,0.13448548,-0.13448548,0.00000000,-0.00000000
-5.87393697,0.24113970,-0.24113970,0.03851830,-0.03851830,0.00255259,-0.00255259,0.00540388,-0.00540388,0.03806972,-0.03806972,0.07620170,-0.07620170,0.14876727,-0.14876727,0.00000000,-0.00000000
-5.86793397,0.26703624,-0.26703624,0.04180951,-0.04180951,0.00284521,-0.00284521,0.00610464,-0.00610464,0.04209384,-0.04209384,0.08430249,-0.08430248,0.16475073,-0.16475073,0.00000000,-0.00000000
-5.86193097,0.29550538,-0.29550538,0.04542911,-0.04542911,0.00316448,-0.00316448,0.00687454,-0.00687454,0.04659151,-0.04659151,0.09306662,-0.09306662,0.18233589,-0.18233589,0.00000000,-0.00000000
-5.85592796,0.32636772,-0.32636772,0.04931333,-0.04931333,0.00350872,-0.00350872,0.00771460,-0.00771460,0.05154116,-0.05154116,0.10241907,-0.10241907,0.20141361,-0.20141361,0.00000000,-0.00000000
