energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
0.99949975,4.08677611,0.02407760,0.11942712,0.00682775,0.00000000,1.94654209,2.10960551,1.86968918,0.00000000
1.00550275,4.14056043,0.02379135,0.12332720,0.00689671,0.00000000,1.95245079,2.12900904,1.90500697,0.00000000
1.01150575,4.19269798,0.02354406,0.12721242,0.00696013,0.00000000,1.95959374,2.15107765,1.93390667,0.00000000
1.01750875,4.24240168,0.02333201,0.13101458,0.00701760,0.00000000,1.96782214,2.17559895,1.95610574,0.00000000
1.02351176,4.28896646,0.02315145,0.13466490,0.00706882,0.00000000,1.97698953,2.20236595,1.97143629,0.00000000
1.02951476,4.33176222,0.02299861,0.13809507,0.00711359,0.00000000,1.98694036,2.23116111,1.97984616,0.00000000
1.03551776,4.37022704,0.02286960,0.14123853,0.00715176,0.00000000,1.99750047,2.26174268,1.98139685,0.00000000
1.04152076,4.40386160,0.02276045,0.14403178,0.00718319,0.00000000,2.00847049,2.29383421,1.97625830,0.00000000
1.04752376,4.43222582,0.02266713,0.14641579,0.00720779,0.00000000,2.01962242,2.32711830,1.96470096,0.00000000
1.05352676,4.45493801,0.02258557,0.14833755,0.00722543,0.00000000,2.03070000,2.36123489,1.94708545,0.00000000
1.05952976,4.47167708,0.02251178,0.14975146,0.00723601,0.00000000,2.04142264,2.39578448,1.92385022,0.00000000
1.06553277,4.48218751,0.02244200,0.15062081,0.00723938,0.00000000,2.05149287,2.43033607,1.89549774,0.00000000
1.07153577,4.48628689,0.02237279,0.15091899,0.00723544,0.00000000,2.06060671,2.46443930,1.86257990,0.00000000
1.07753877,4.48387526,0.02230121,0.15063066,0.00722408,0.00000000,2.06846639,2.49764022,1.82568301,0.00000000
1.08354177,4.47494556,0.02222501,0.14975252,0.00720525,0.00000000,2.07479441,2.52949939,1.78541308,0.00000000
1.08954477,4.45959386,0.02214271,0.14829388,0.00717896,0.00000000,2.07934811,2.55961133,1.74238174,0.00000000
1.09554777,4.43802852,0.02205376,0.14627684,0.00714533,0.00000000,2.08193363,2.58762388,1.69719339,0.00000000
1.10155078,4.41057682,0.02195859,0.14373611,0.00710457,0.00000000,2.08241825,2.61325606,1.65043375,0.00000000
1.10755378,4.37768808,0.02185866,0.14071843,0.00705706,0.00000000,2.08074018,2.63631315,1.60266010,0.00000000
1.11355678,4.33993237,0.02175638,0.13728158,0.00700330,0.00000000,2.07691497,2.65669786,1.55439332,0.00000000
1.11955978,4.29799397,0.02165508,0.13349304,0.00694398,0.00000000,2.07103806,2.67441649,1.50611178,0.00000000
1.12556278,4.25265915,0.02155883,0.12942831,0.00687993,0.00000000,2.06328291,2.68957953,1.45824695,0.00000000
1.13156578,4.20479847,0.02147224,0.12516896,0.00681213,0.00000000,2.05389479,2.70239635,1.41118061,0.00000000
1.13756878,4.15534356,0.02140020,0.12080038,0.00674168,0.00000000,2.04318038,2.71316399,1.36524351,0.00000000
1.14357179,4.10525945,0.02134763,0.11640954,0.00666977,0.00000000,2.03149361,2.72225050,1.32071525,0.00000000
1.14957479,4.05551333,0.02131912,0.11208254,0.00659764,0.00000000,2.01921852,2.73007369,1.27782513,0.00000000
1.15557779,4.00704119,0.02131867,0.10790229,0.00652652,0.00000000,2.00675005,2.73707631,1.23675386,0.00000000
1.16158079,3.96071402,0.02134940,0.10394624,0.00645764,0.00000000,1.99447379,2.74369910,1.19763582,0.00000000
