energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.88901454,-7.23560452,0.45144782,-0.55344851,0.87024341,-1.35456707,0.03678233,-0.06692285,0.40025635,-0.62941672,1.29597599,-1.75657398,0.83723038,-0.83649420,0.03532643,-0.07394281,1.80919223,-2.75321998
-5.99399700,4.95942926,-7.12725561,0.46522093,-0.56144516,0.88743288,-1.35245158,0.04040058,-0.06564123,0.40216010,-0.61914888,1.30046107,-1.72150188,0.85548046,-0.81648632,0.03477917,-0.07106412,1.84306535,-2.71684132
-5.98799400,5.05538112,-7.04749575,0.48050044,-0.57180252,0.90901811,-1.35517150,0.04434945,-0.06478477,0.40596833,-0.61080396,1.31218343,-1.69537116,0.87900714,-0.79881325,0.03446038,-0.06840944,1.88608444,-2.69215946
-5.98199100,5.17459174,-6.99434899,0.49706951,-0.58418869,0.93463076,-1.36239316,0.04859538,-0.06432083,0.41158411,-0.60409585,1.33054530,-1.67765944,0.90753421,-0.78324761,0.03435896,-0.06598555,1.93727335,-2.67849003
-5.97598799,5.31452523,-6.96529298,0.51468501,-0.59822319,0.96385415,-1.37368908,0.05309779,-0.06421035,0.41888827,-0.59870620,1.35491524,-1.66768651,0.94071427,-0.76952575,0.03446165,-0.06379375,1.99556469,-2.67491640
-5.96998499,5.47242130,-6.95736470,0.53308101,-0.61348761,0.99622977,-1.38855528,0.05780934,-0.06440891,0.42773914,-0.59429824,1.38463677,-1.66464740,0.97812955,-0.75735991,0.03475311,-0.06183049,2.05981613,-2.68032627
-5.96398199,5.64533019,-6.96727155,0.55197293,-0.62953702,1.03126460,-1.40642942,0.06267648,-0.06486798,0.43797247,-0.59053041,1.41903487,-1.66764669,1.01929361,-0.74645016,0.03521607,-0.06008810,2.12882752,-2.69345134
-5.95797899,5.83014996,-6.99150445,0.57106231,-0.64591182,1.06843917,-1.42670928,0.06764018,-0.06553604,0.44940149,-0.58706927,1.45742106,-1.67573310,1.06365445,-0.73649577,0.03583146,-0.05855549,2.20135889,-2.71290903
-5.95197599,6.02366692,-7.02644931,0.59004214,-0.66214968,1.10721626,-1.44877113,0.07263691,-0.06635974,0.46181740,-0.58360131,1.49909724,-1.68793291,1.11059924,-0.72720549,0.03657861,-0.05721894,2.27614935,-2.73724489
-5.94597299,6.22259928,-7.06849401,0.60860279,-0.67779729,1.14705019,-1.47198734,0.07759979,-0.06728503,0.47499055,-0.57984312,1.54335889,-1.70328121,1.15946081,-0.71830663,0.03743545,-0.05606278,2.35193682,-2.76497468
-5.93996998,6.42364411,-7.11412790,0.62643835,-0.69242161,1.18739637,-1.49574295,0.08245993,-0.06825830,0.48867230,-0.57554966,1.58949822,-1.72084993,1.20952613,-0.70955265,0.03837876,-0.05507018,2.42747838,-2.79462501
-5.93396698,6.62352738,-7.16003154,0.64325334,-0.70562034,1.22772108,-1.51945076,0.08714787,-0.06922735,0.50259777,-0.57052039,1.63680757,-1.73977189,1.26004676,-0.70072911,0.03938450,-0.05422372,2.50157093,-2.82477144
-5.92796398,6.81905622,-7.20315462,0.65876948,-0.71703131,1.26751109,-1.54256471,0.09159517,-0.07014248,0.51648953,-0.56460317,1.68458364,-1.75926018,1.31025111,-0.69165796,0.04042814,-0.05350600,2.57307170,-2.85407324
-5.92196098,7.00717260,-7.24078054,0.67273247,-0.72634058,1.30628294,-1.56459120,0.09573593,-0.07095740,0.53006212,-0.55769586,1.73213268,-1.77862240,1.35935842,-0.68220012,0.04148507,-0.05290010,2.64091831,-2.88130387
-5.91595798,7.18500710,-7.27057641,0.68491849,-0.73328902,1.34359162,-1.58509829,0.09950842,-0.07163010,0.54302742,-0.54974580,1.77877712,-1.79726975,1.40659405,-0.67225656,0.04253108,-0.05238994,2.70414764,-2.90537648
-5.90995498,7.34993147,-7.29062804,0.69514010,-0.73767720,1.37903841,-1.60372254,0.10285655,-0.07212363,0.55510073,-0.54074718,1.82386339,-1.81472063,1.45120567,-0.66176772,0.04354277,-0.05196055,2.76191313,-2.92536400
-5.90395198,7.49960826,-7.29945958,0.70325152,-0.73936852,1.41227770,-1.62017357,0.10573125,-0.07240682,0.56600727,-0.53073672,1.86677126,-1.83059941,1.49247994,-0.65071178,0.04449807,-0.05159821,2.81349997,-2.94051320
-5.89794897,7.63203625,-7.29603825,0.70915295,-0.73829047,1.44302259,-1.63423626,0.10809170,-0.07245480,0.57548901,-0.51978795,1.90692419,-1.84463052,1.52975900,-0.63910165,0.04537675,-0.05129051,2.85833767,-2.95025290
-5.89194597,7.74558980,-7.27976511,0.71279371,-0.73443411,1.47104921,-1.64577061,0.10990635,-0.07224943,0.58331143,-0.50800434,1.94380061,-1.85662874,1.56245637,-0.62698120,0.04616086,-0.05102634,2.89600958,-2.95419597
-5.88594297,7.83905105,-7.25045300,0.71417422,-0.72785173,1.49619958,-1.65470954,0.11115365,-0.07177953,0.58927009,-0.49551183,1.97694564,-1.86648643,1.59007147,-0.61442068,0.04683520,-0.05079572,2.92625915,-2.95213577
-5.87993997,7.91163339,-7.20829353,0.71334660,-0.71865308,1.51838302,-1.66105481,0.11182254,-0.07104103,0.59319651,-0.48245107,2.00598262,-1.87415874,1.61220240,-0.60151184,0.04738769,-0.05058969,2.94899254,-2.94403721
-5.87393697,7.96299530,-7.15381533,0.71041382,-0.70700006,1.53757609,-1.66487114,0.11191268,-0.07003681,0.59496332,-0.46896980,2.03062402,-1.87964785,1.62855632,-0.58836281,0.04780971,-0.05040009,2.96427754,-2.93002339
-5.86793397,7.99324358,-7.08783574,0.70552750,-0.69310044,1.55382093,-1.66627921,0.11143434,-0.06877652,0.59448831,-0.45521577,2.05068081,-1.88298738,1.63895707,-0.57509305,0.04809633,-0.05021937,2.97233866,-2.91035844
-5.86193097,8.00292545,-7.01140869,0.69888424,-0.67720077,1.56722216,-1.66544750,0.11040798,-0.06727604,0.59173718,-0.44133042,2.06606990,-1.88422788,1.64334965,-0.56182856,0.04824644,-0.05004038,2.97354843,-2.88542781
-5.85592796,7.99300916,-6.92577143,0.69072066,-0.65957873,1.57794230,-1.66258370,0.10886363,-0.06555698,0.58672484,-0.42744375,2.07681863,-1.88342459,1.64180136,-0.54869760,0.04826277,-0.04985624,2.96841505,-2.85571689
-5.84992496,7.96485312,-6.83229232,0.68130723,-0.64053547,1.58619572,-1.65792588,0.10683992,-0.06364594,0.57951524,-0.41367043,2.08306610,-1.88062797,1.63449931,-0.53582693,0.04815180,-0.04966019,2.95756650,-2.82178916
-5.84392196,7.92016396,-6.73242234,0.67094098,-0.62038807,1.59224122,-1.65173383,0.10438293,-0.06157364,0.57021954,-0.40010728,2.08506047,-1.87587784,1.62174453,-0.52333891,0.04792353,-0.04944564,2.94173142,-2.78426491
-5.83791896,7.86094416,-6.62765188,0.65993737,-0.59946242,1.59637337,-1.64428093,0.10154485,-0.05937407,0.55899287,-0.38683231,2.08315233,-1.86920118,1.60394267,-0.51134924,0.04759116,-0.04920614,2.92171715,-2.74380140
-5.83191596,7.78943049,-6.51947437,0.64862146,-0.57808685,1.59891269,-1.63584673,0.09838252,-0.05708357,0.54602955,-0.37390505,2.07778369,-1.86061378,1.58159155,-0.49996570,0.04717060,-0.04893552,2.89838536,-2.70107518
-5.82591296,7.70802468,-6.40935753,0.63731863,-0.55658658,1.60019490,-1.62671053,0.09495576,-0.05473986,0.53155708,-0.36136817,2.06947296,-1.85012537,1.55526596,-0.48928757,0.04667993,-0.04862807,2.87262575,-2.65676720
-5.81990995,7.61921833,-6.29872243,0.62634516,-0.53527903,1.60055942,-1.61714588,0.09132582,-0.05238120,0.51582919,-0.34925025,2.05879622,-1.83774771,1.52560028,-0.47940585,0.04613882,-0.04827882,2.84532869,-2.61155084
-5.81390695,7.52551438,-6.18892993,0.61599895,-0.51447015,1.60033751,-1.60741615,0.08755372,-0.05004555,0.49911795,-0.33756934,2.04636541,-1.82350486,1.49326939,-0.47040414,0.04556774,-0.04788376,2.81735735,-2.56608288
-5.80790395,7.42934757,-6.08127364,0.60655063,-0.49445154,1.59984038,-1.59777089,0.08369868,-0.04776985,0.48170558,-0.32633707,2.03280442,-1.80744453,1.45896859,-0.46235995,0.04498734,-0.04744021,2.78952035,-2.52099724
-5.80190095,7.33300695,-5.97697777,0.59823545,-0.47549838,1.59934750,-1.58844296,0.07981668,-0.04558944,0.46387609,-0.31556308,2.01872401,-1.78964959,1.42339329,-0.45534639,0.04441767,-0.04694707,2.76254574,-2.47690089
-5.79589795,7.23856321,-5.87719836,0.59124621,-0.45786786,1.59909585,-1.57964606,0.07595916,-0.04353756,0.44590709,-0.30525937,2.00469689,-1.77024851,1.38721913,-0.44943399,0.04387752,-0.04640511,2.73705741,-2.43437132
-5.78989495,7.14780380,-5.78302564,0.58572755,-0.44179799,1.59927025,-1.57157250,0.07217192,-0.04164499,0.42806221,-0.29544430,1.99123417,-1.74942365,1.35108323,-0.44469249,0.04338381,-0.04581713,2.71355478,-2.39395495
-5.78389195,7.06217859,-5.69548593,0.58177184,-0.42750658,1.59999539,-1.56439087,0.06849425,-0.03993983,0.41058432,-0.28614608,1.97876454,-1.72741646,1.31556734,-0.44119230,0.04295104,-0.04518813,2.69239671,-2.35616549
-5.77788894,6.98275843,-5.61554103,0.57941684,-0.41519013,1.60132983,-1.55824349,0.06495828,-0.03844733,0.39368986,-0.27740541,1.96761720,-1.70452899,1.28118333,-0.43900571,0.04259091,-0.04452528,2.67379050,-2.32148170
-5.77188594,6.91020855,-5.54408400,0.57864534,-0.40502249,1.60326237,-1.55324344,0.06158871,-0.03718990,0.37756446,-0.26927716,1.95800975,-1.68112108,1.24836169,-0.43820741,0.04231202,-0.04383784,2.65778650,-2.29034393
