energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Li_s_up,S_s_up,S_p_up
-6.00000000,0.03324790,0.00409789,0.00055838,0.00594628,0.00989567,0.00950861,0.00034504,0.00876525
-5.99399700,0.03345899,0.00337876,0.00064406,0.00525248,0.00896545,0.01095995,0.00039790,0.00959984
-5.98799400,0.03432114,0.00276667,0.00073781,0.00470230,0.00826448,0.01254471,0.00045571,0.01057822
-5.98199100,0.03578509,0.00224982,0.00083952,0.00428149,0.00777026,0.01425915,0.00051837,0.01169343
-5.97598799,0.03779784,0.00181685,0.00094890,0.00397607,0.00746030,0.01609654,0.00058570,0.01293658
-5.96998499,0.04030330,0.00145701,0.00106554,0.00377257,0.00731249,0.01804712,0.00065739,0.01429697
-5.96398199,0.04324305,0.00116030,0.00118889,0.00365827,0.00730534,0.02009815,0.00073309,0.01576221
-5.95797899,0.04655728,0.00091757,0.00131828,0.00362133,0.00741821,0.02223425,0.00081233,0.01731851
-5.95197599,0.05018591,0.00072055,0.00145300,0.00365092,0.00763151,0.02443777,0.00089462,0.01895109
-5.94597299,0.05407002,0.00056188,0.00159228,0.00373735,0.00792690,0.02668941,0.00097941,0.02064468
-5.93996998,0.05815340,0.00043510,0.00173540,0.00387221,0.00828744,0.02896905,0.00106618,0.02238421
-5.93396698,0.06238451,0.00033459,0.00188176,0.00404841,0.00869777,0.03125670,0.00115446,0.02415559
-5.92796398,0.06671851,0.00025553,0.00203091,0.00426031,0.00914431,0.03353356,0.00124384,0.02594658
-5.92196098,0.07111948,0.00019384,0.00218268,0.00450384,0.00961543,0.03578324,0.00133407,0.02774774
-5.91595798,0.07556273,0.00014609,0.00233724,0.00477652,0.01010163,0.03799300,0.00142511,0.02955339
-5.90995498,0.08003697,0.00010943,0.00249518,0.00507761,0.01059575,0.04015495,0.00151712,0.03136261
-5.90395198,0.08454635,0.00008152,0.00265759,0.00540809,0.01109309,0.04226719,0.00161056,0.03318003
-5.89794897,0.08911217,0.00006048,0.00282614,0.00577077,0.01159160,0.04433485,0.00170622,0.03501665
-5.89194597,0.09377400,0.00004477,0.00300306,0.00617022,0.01209186,0.04637081,0.00180520,0.03689032
