energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.99578937,-0.67809214,0.05981075,-0.05035801,0.00000000,-0.00000000,0.27084256,-0.19792441,0.07649793,-0.04524270,0.01075949,-0.00345514,0.52812473,-0.33926997
-5.99399700,1.03132004,-0.70953273,0.05970869,-0.04954245,0.00000000,-0.00000000,0.27867919,-0.20017421,0.08046715,-0.04790169,0.01216006,-0.00410735,0.55199463,-0.36320400
-5.98799400,1.06816589,-0.74440238,0.05994042,-0.04920798,0.00000000,-0.00000000,0.28802979,-0.20445365,0.08466667,-0.05086803,0.01365811,-0.00485057,0.57581978,-0.38811381
-5.98199100,1.10611628,-0.78223354,0.06048220,-0.04930653,0.00000000,-0.00000000,0.29877301,-0.21061140,0.08908366,-0.05412202,0.01524754,-0.00569083,0.59955730,-0.41380740
-5.97598799,1.14501789,-0.82256585,0.06131619,-0.04979121,0.00000000,-0.00000000,0.31079679,-0.21849303,0.09370720,-0.05764410,0.01692041,-0.00663332,0.62319441,-0.44009946
-5.96998499,1.18477418,-0.86496209,0.06243067,-0.05061815,0.00000000,-0.00000000,0.32399936,-0.22794637,0.09852826,-0.06141557,0.01866711,-0.00768212,0.64674678,-0.46681786
-5.96398199,1.22534130,-0.90902185,0.06381985,-0.05174807,0.00000000,-0.00000000,0.33828920,-0.23882600,0.10353931,-0.06541922,0.02047648,-0.00883998,0.67025532,-0.49380942
-5.95797899,1.26672064,-0.95439253,0.06548320,-0.05314742,0.00000000,-0.00000000,0.35358391,-0.25099660,0.10873384,-0.06963976,0.02233611,-0.01010814,0.69378148,-0.52094465
-5.95197599,1.30894863,-1.00077734,0.06742447,-0.05478918,0.00000000,-0.00000000,0.36980818,-0.26433534,0.11410571,-0.07406405,0.02423258,-0.01148614,0.71740133,-0.54812114
-5.94597299,1.35208416,-1.04793988,0.06965045,-0.05665324,0.00000000,-0.00000000,0.38689110,-0.27873320,0.11964835,-0.07868121,0.02615183,-0.01297167,0.74119854,-0.57526558
-5.93996998,1.39619425,-1.09570546,0.07216941,-0.05872638,0.00000000,-0.00000000,0.40476295,-0.29409518,0.12535389,-0.08348243,0.02807942,-0.01456054,0.76525661,-0.60233414
-5.93396698,1.44133870,-1.14395883,0.07498943,-0.06100186,0.00000000,-0.00000000,0.42335156,-0.31033959,0.13121223,-0.08846069,0.03000093,-0.01624663,0.78965065,-0.62931131
-5.92796398,1.48755431,-1.19263882,0.07811669,-0.06347870,0.00000000,-0.00000000,0.44257871,-0.32739650,0.13721006,-0.09361026,0.03190218,-0.01802192,0.81443901,-0.65620706
-5.92196098,1.53483947,-1.24172988,0.08155374,-0.06616059,0.00000000,-0.00000000,0.46235652,-0.34520531,0.14332997,-0.09892603,0.03376953,-0.01987664,0.83965511,-0.68305260
-5.91595798,1.58313981,-1.29125119,0.08529787,-0.06905462,0.00000000,-0.00000000,0.48258426,-0.36371185,0.14954956,-0.10440278,0.03559003,-0.02179940,0.86529979,-0.70989472
-5.90995498,1.63233557,-1.34124362,0.08933971,-0.07216975,0.00000000,-0.00000000,0.50314564,-0.38286489,0.15584072,-0.11003434,0.03735154,-0.02377745,0.89133464,-0.73678917
