energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.75513386,0.00233867,0.06937897,0.19203508,0.00123187,0.32594670,0.09936033,0.11656599
-5.99399700,0.82405463,0.00256977,0.07507900,0.20883919,0.00143435,0.35700714,0.10985269,0.12663592
-5.98799400,0.89559252,0.00281591,0.08083933,0.22604490,0.00167243,0.38957299,0.12108083,0.13695092
-5.98199100,0.96976499,0.00307884,0.08663589,0.24359663,0.00195277,0.42370617,0.13309733,0.14749234
-5.97598799,1.04668695,0.00336090,0.09245312,0.26145479,0.00228302,0.45951184,0.14596658,0.15825672
-5.96998499,1.12658797,0.00366505,0.09828615,0.27959972,0.00267187,0.49714465,0.15976545,0.16925897
-5.96398199,1.20982510,0.00399489,0.10414269,0.29803485,0.00312899,0.53681286,0.17458324,0.18053512
-5.95797899,1.29688985,0.00435472,0.11004443,0.31678859,0.00366504,0.57877979,0.19052085,0.19214406
-5.95197599,1.38840803,0.00474948,0.11602783,0.33591474,0.00429149,0.62336204,0.20768884,0.20416831
-5.94597299,1.48513131,0.00518469,0.12214423,0.35549118,0.00502054,0.67092405,0.22620452,0.21671350
-5.93996998,1.58791989,0.00566632,0.12845919,0.37561674,0.00586479,0.72186870,0.24618788,0.22990646
-5.93396698,1.69771583,0.00620066,0.13505086,0.39640610,0.00683700,0.77662398,0.26775654,0.24389185
-5.92796398,1.81550745,0.00679409,0.14200765,0.41798299,0.00794973,0.83562570,0.29101972,0.25882730
-5.92196098,1.94228538,0.00745284,0.14942495,0.44047165,0.00921487,0.89929686,0.31607148,0.27487718
-5.91595798,2.07899175,0.00818268,0.15740112,0.46398708,0.01064320,0.96802418,0.34298341,0.29220517
-5.90995498,2.22646430,0.00898864,0.16603298,0.48862433,0.01224384,1.04213269,0.37179718,0.31096583
-5.90395198,2.38537764,0.00987464,0.17541076,0.51444746,0.01402372,1.12185944,0.40251717,0.33129567
-5.89794897,2.55618466,0.01084320,0.18561291,0.54147877,0.01598701,1.20732772,0.43510368,0.35330381
-5.89194597,2.73906067,0.01189506,0.19670095,0.56968878,0.01813462,1.29852284,0.46946707,0.37706304
-5.88594297,2.93385363,0.01302894,0.20871455,0.59898778,0.02046367,1.39527113,0.50546321,0.40260148
-5.87993997,3.14004323,0.01424125,0.22166727,0.62921944,0.02296710,1.49722333,0.54289060,0.42989536
-5.87393697,3.35671172,0.01552593,0.23554300,0.66015706,0.02563338,1.60384359,0.58148949,0.45886345
-5.86793397,3.58252867,0.01687435,0.25029341,0.69150284,0.02844623,1.71440511,0.62094317,0.48936340
-5.86193097,3.81575143,0.01827531,0.26583667,0.72289050,0.03138467,1.82799313,0.66088159,0.52119034
-5.85592796,4.05424237,0.01971507,0.28205733,0.75389143,0.03442309,1.94351573,0.70088739,0.55407798
-5.84992496,4.29550313,0.02117760,0.29880764,0.78402413,0.03753149,2.05972243,0.74050412,0.58770223
-5.84392196,4.53672529,0.02264483,0.31591017,0.81276702,0.04067604,2.17523028,0.77924655,0.62168730
-5.83791896,4.77485604,0.02409709,0.33316168,0.83957384,0.04381960,2.28855674,0.81661278,0.65561417
-5.83191596,5.00667673,0.02551350,0.35033812,0.86389147,0.04692258,2.39815826,0.85209764,0.68903120
-5.82591296,5.22889138,0.02687259,0.36720057,0.88517910,0.04994381,2.50247325,0.88520703,0.72146632
-5.81990995,5.43822188,0.02815288,0.38350180,0.90292816,0.05284158,2.59996771,0.91547258,0.75244049
-5.81390695,5.63150613,0.02933345,0.39899338,0.91668219,0.05557474,2.68918200,0.94246614,0.78148188
-5.80790395,5.80579518,0.03039464,0.41343277,0.92605549,0.05810378,2.76877660,0.96581351,0.80814020
-5.80190095,5.95844575,0.03131859,0.42659038,0.93075008,0.06039201,2.83757544,0.98520692,0.83200049
-5.79589795,6.08720441,0.03208985,0.43825618,0.93056987,0.06240654,2.89460485,1.00041578,0.85269616
-5.78989495,6.19028036,0.03269583,0.44824567,0.92543165,0.06411931,2.93912677,1.01129535,0.86992041
-5.78389195,6.26640429,0.03312724,0.45640496,0.91537218,0.06550787,2.97066509,1.01779297,0.88343592
-5.77788894,6.31487131,0.03337836,0.46261498,0.90055130,0.06655610,2.98902415,1.01995173,0.89308238
-5.77188594,6.33556687,0.03344727,0.46679441,0.88125064,0.06725469,2.99429886,1.01791140,0.89878163
-5.76588294,6.32897510,0.03333591,0.46890166,0.85786832,0.06760140,2.98687633,1.01190670,0.90054037
-5.75987994,6.29616988,0.03305004,0.46893557,0.83090955,0.06760120,2.96742897,1.00226296,0.89845034
-5.75387694,6.23878938,0.03259913,0.46693506,0.80097382,0.06726610,2.93689970,0.98938938,0.89268618
-5.74787394,6.15899545,0.03199612,0.46297777,0.76873902,0.06661484,2.89647967,0.97377002,0.88350097
-5.74187094,6.05941949,0.03125709,0.45717773,0.73494321,0.06567242,2.84757950,0.95595287,0.87121979
-5.73586793,5.94309680,0.03040087,0.44968224,0.70036477,0.06446939,2.79179494,0.93653732,0.85623148
-5.72986493,5.81339159,0.02944864,0.44066811,0.66580161,0.06304105,2.73086798,0.91616023,0.83897895
-5.72386193,5.67391461,0.02842343,0.43033726,0.63205015,0.06142658,2.66664451,0.89548100,0.81994826
-5.71785893,5.52843576,0.02734963,0.41891194,0.59988485,0.05966801,2.60102956,0.87516593,0.79965686
-5.71185593,5.38079364,0.02625255,0.40662966,0.57003876,0.05780917,2.53594120,0.85587219,0.77864118
-5.70585293,5.23480403,0.02515785,0.39373778,0.54318575,0.05589465,2.47326411,0.83823172,0.75744396
-5.69984992,5.09416927,0.02409113,0.38048816,0.51992472,0.05396875,2.41480379,0.82283535,0.73660147
-5.69384692,4.96239039,0.02307746,0.36713166,0.50076630,0.05207443,2.36224242,0.81021755,0.71663102
-5.68784392,4.84268385,0.02214093,0.35391278,0.48612202,0.05025237,2.31709728,0.80084215,0.69801892
-5.68184092,4.73790471,0.02130426,0.34106449,0.47629635,0.04854008,2.28068282,0.79508940,0.68120916
-5.67583792,4.65047810,0.02058842,0.32880327,0.47148147,0.04697110,2.25407721,0.79324471,0.66659316
-5.66983492,4.58234086,0.02001221,0.31732459,0.47175490,0.04557434,2.23809447,0.79548973,0.65450069
-5.66383192,4.53489508,0.01959198,0.30679886,0.47707980,0.04437355,2.23326310,0.80189583,0.64519234
-5.65782891,4.50897540,0.01934127,0.29736794,0.48730797,0.04338688,2.23981198,0.81242066,0.63885375
-5.65182591,4.50483144,0.01927049,0.28914240,0.50218532,0.04262663,2.25766458,0.82690799,0.63559177
-5.64582291,4.52212665,0.01938669,0.28219947,0.52135966,0.04209915,2.28644185,0.84509111,0.63543278
-5.63981991,4.55995446,0.01969327,0.27658194,0.54439065,0.04180485,2.32547421,0.86659995,0.63832325
-5.63381691,4.61687190,0.02018981,0.27229800,0.57076167,0.04173843,2.37382299,0.89097193,0.64413272
-5.62781391,4.69095057,0.02087187,0.26932192,0.59989332,0.04188916,2.43031066,0.91766639,0.65265902
-5.62181091,4.77984379,0.02173099,0.26759580,0.63115845,0.04224135,2.49355968,0.94608235,0.66363580
-5.61580790,4.88086834,0.02275459,0.26703219,0.66389816,0.04277497,2.56203866,0.97557893,0.67674210
-5.60980490,4.99109831,0.02392610,0.26751761,0.69743868,0.04346623,2.63411464,1.00549806,0.69161373
-5.60380190,5.10746805,0.02522516,0.26891674,0.73110860,0.04428846,2.70810967,1.03518836,0.70785605
-5.59779890,5.22688057,0.02662784,0.27107732,0.76425610,0.04521280,2.78235971,1.06402951,0.72505788
-5.59179590,5.34631736,0.02810713,0.27383547,0.79626581,0.04620914,2.85527367,1.09145598,0.74280576
-5.58579290,5.46294534,0.02963339,0.27702123,0.82657478,0.04724695,2.92539020,1.11697914,0.76069841
-5.57978989,5.57421683,0.03117501,0.28046431,0.85468716,0.04829612,2.99142991,1.14020667,0.77836048
-5.57378689,5.67795814,0.03269913,0.28399955,0.88018712,0.04932781,3.05234082,1.16085849,0.79545538
-5.56778389,5.77244340,0.03417246,0.28747226,0.90274970,0.05031516,3.10733514,1.17877825,0.81169646
-5.56178089,5.85645022,0.03556209,0.29074285,0.92214908,0.05123401,3.15591549,1.19393996,0.82685620
-5.55577789,5.92929496,0.03683646,0.29369098,0.93826404,0.05206347,3.19788968,1.20644912,0.84077300
-5.54977489,5.99084596,0.03796619,0.29621881,0.95108035,0.05278643,3.23337298,1.21653848,0.85335533
-5.54377189,6.04151418,0.03892502,0.29825337,0.96068994,0.05338990,3.26277791,1.22455832,0.86458307
-5.53776888,6.08222155,0.03969051,0.29974795,0.96728669,0.05386527,3.28679175,1.23096164,0.87450583
-5.53176588,6.11434842,0.04024482,0.30068242,0.97115899,0.05420844,3.30634264,1.23628494,0.88323858
-5.52576288,6.13966209,0.04057526,0.30106268,0.97267909,0.05441978,3.32255568,1.24112526,0.89095444
-5.51975988,6.16022956,0.04067466,0.30091893,0.97228958,0.05450404,3.33670062,1.24611449,0.89787512
-5.51375688,6.17831797,0.04054167,0.30030322,0.97048724,0.05447005,3.35013347,1.25189200,0.90425929
-5.50775388,6.19628674,0.04018075,0.29928611,0.96780480,0.05433033,3.36423419,1.25907671,0.91038932
-5.50175088,6.21647596,0.03960207,0.29795268,0.96479111,0.05410067,3.38034297,1.26823983,0.91655693
-5.49574787,6.24109526,0.03882114,0.29639811,0.96199034,0.05379947,3.39969787,1.27987929,0.92304833
-5.48974487,6.27211789,0.03785834,0.29472287,0.95992099,0.05344717,3.42337597,1.29439691,0.93012937
-5.48374187,6.31118408,0.03673823,0.29302785,0.95905531,0.05306542,3.45224067,1.31207936,0.93803141
-5.47773887,6.35951758,0.03548874,0.29140952,0.95980004,0.05267644,3.48689720,1.33308345,0.94693840
-5.47173587,6.41785896,0.03414032,0.28995543,0.96247918,0.05230212,3.52765807,1.35742655,0.95697587
-5.46573287,6.48641809,0.03272495,0.28874012,0.96731951,0.05196331,3.57451993,1.38498235,0.96820208
-5.45972986,6.56484820,0.03127520,0.28782167,0.97443948,0.05167904,3.62715307,1.41548229,0.98060204
