energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,7.87753092,0.04924932,0.11861054,0.22220039,1.10878297,6.08725031,2.29019514,0.00000000
-5.99399700,8.08442300,0.04958097,0.11875907,0.22300805,1.11839982,6.29009316,2.32536094,0.00000000
-5.98799400,8.27046239,0.04960601,0.11875943,0.22260833,1.12519715,6.47819763,2.35389890,0.00000000
-5.98199100,8.43079369,0.04932246,0.11851810,0.22094833,1.12864702,6.64715252,2.37474934,0.00000000
-5.97598799,8.56115839,0.04873610,0.11796196,0.21801118,1.12833914,6.79294189,2.38703831,0.00000000
-5.96998499,8.65801861,0.04786029,0.11703877,0.21381565,1.12399085,6.91206414,2.39010252,0.00000000
-5.96398199,8.71866383,0.04671565,0.11571732,0.20841461,1.11545394,7.00163911,2.38350962,0.00000000
-5.95797899,8.74129582,0.04532947,0.11398691,0.20189239,1.10271810,7.05949855,2.36707296,0.00000000
-5.95197599,8.72508772,0.04373486,0.11185653,0.19436126,1.08591090,7.08425551,2.34086022,0.00000000
-5.94597299,8.67021387,0.04196983,0.10935347,0.18595702,1.06529406,7.07534926,2.30519513,0.00000000
-5.93996998,8.57784829,0.04007616,0.10652161,0.17683418,1.04125624,7.03306303,2.26065199,0.00000000
-5.93396698,8.45013086,0.03809819,0.10341938,0.16716068,1.01430229,6.95851348,2.20804278,0.00000000
-5.92796398,8.29010182,0.03608164,0.10011734,0.15711249,0.98503933,6.85361166,2.14839707,0.00000000
-5.92196098,8.10160656,0.03407233,0.09669559,0.14686830,0.95415997,6.72099694,2.08293511,0.00000000
-5.91595798,7.88917387,0.03211503,0.09324098,0.13660445,0.92242317,6.56394650,2.01303479,0.00000000
-5.90995498,7.65787244,0.03025232,0.08984424,0.12649024,0.89063316,6.38626410,1.94019349,0.00000000
-5.90395198,7.41315087,0.02852359,0.08659704,0.11668386,0.85961718,6.19215300,1.86598613,0.00000000
-5.89794897,7.16066765,0.02696418,0.08358909,0.10732886,0.83020256,5.98607821,1.79202059,0.00000000
-5.89194597,6.90611755,0.02560460,0.08090541,0.09855140,0.80319379,5.77262405,1.71989238,0.00000000
-5.88594297,6.65506124,0.02447001,0.07862370,0.09045821,0.77935038,5.55635266,1.65113984,0.00000000
-5.87993997,6.41276442,0.02357975,0.07681200,0.08313516,0.75936604,5.34166923,1.58720172,0.00000000
-5.87393697,6.18405244,0.02294711,0.07552668,0.07664664,0.74384983,5.13269879,1.52937848,0.00000000
-5.86793397,5.97318523,0.02257920,0.07481078,0.07103548,0.73330983,4.93317892,1.47879887,0.00000000
-5.86193097,5.78375665,0.02247707,0.07469274,0.06632342,0.72813991,4.74637172,1.43639282,0.00000000
-5.85592796,5.61862111,0.02263584,0.07518570,0.06251205,0.72860982,4.57499731,1.40287165,0.00000000
-5.84992496,5.47984885,0.02304509,0.07628714,0.05958419,0.73485915,4.42119000,1.37871624,0.00000000
-5.84392196,5.36871048,0.02368932,0.07797921,0.05750550,0.74689516,4.28647731,1.36417343,0.00000000
-5.83791896,5.28568979,0.02454856,0.08022942,0.05622640,0.76459470,4.17178101,1.35926081,0.00000000
-5.83191596,5.23052304,0.02559904,0.08299191,0.05568418,0.78771009,4.07743847,1.36377927,0.00000000
-5.82591296,5.20226181,0.02681405,0.08620921,0.05580515,0.81587886,4.00324180,1.37733296,0.00000000
-5.81990995,5.19935587,0.02816475,0.08981438,0.05650699,0.84863705,3.94849216,1.39935550,0.00000000
-5.81390695,5.21975188,0.02962118,0.09373351,0.05770109,0.88543548,3.91206564,1.42914130,0.00000000
-5.80790395,5.26100325,0.03115315,0.09788850,0.05929490,0.92565865,3.89248756,1.46588058,0.00000000
-5.80190095,5.32038642,0.03273128,0.10219999,0.06119427,0.96864540,3.88801161,1.50869645,0.00000000
-5.79589795,5.39501858,0.03432791,0.10659033,0.06330575,1.01371065,3.89670052,1.55668241,0.00000000
-5.78989495,5.48197226,0.03591798,0.11098647,0.06553879,1.06016728,3.91650529,1.60893861,0.00000000
-5.78389195,5.57838216,0.03747985,0.11532262,0.06780776,1.10734740,3.94533995,1.66460513,0.00000000
-5.77788894,5.68154028,0.03899590,0.11954258,0.07003391,1.15462194,3.98114978,1.72289086,0.00000000
-5.77188594,5.78897598,0.04045309,0.12360158,0.07214699,1.20141782,4.02197066,1.78309663,0.00000000
-5.76588294,5.89851798,0.04184317,0.12746758,0.07408662,1.24723199,4.06597836,1.84463152,0.00000000
-5.75987994,6.00833666,0.04316280,0.13112191,0.07580342,1.29164156,4.11152637,1.90702166,0.00000000
-5.75387694,6.11696528,0.04441341,0.13455920,0.07725968,1.33430965,4.15717201,1.96991119,0.00000000
-5.74787394,6.22330013,0.04560076,0.13778661,0.07842966,1.37498675,4.20169049,2.03305539,0.00000000
-5.74187094,6.32658038,0.04673438,0.14082239,0.07929953,1.41350745,4.24407736,2.09630636,0.00000000
-5.73586793,6.42634936,0.04782673,0.14369377,0.07986688,1.44978288,4.28354024,2.15959236,0.00000000
-5.72986493,6.52239996,0.04889221,0.14643439,0.08013974,1.48378926,4.31948102,2.22289172,0.00000000
-5.72386193,6.61470766,0.04994609,0.14908129,0.08013538,1.51555325,4.35147016,2.28620307,0.00000000
-5.71785893,6.70335517,0.05100332,0.15167167,0.07987869,1.54513505,4.37921518,2.34951367,0.00000000
-5.71185593,6.78845351,0.05207732,0.15423959,0.07940036,1.57261025,4.40252539,2.41276766,0.00000000
-5.70585293,6.87006422,0.05317889,0.15681283,0.07873487,1.59805151,4.42127540,2.47583639,0.00000000
-5.69984992,6.94812775,0.05431518,0.15941007,0.07791848,1.62151144,4.43536979,2.53849266,0.00000000
-5.69384692,7.02240260,0.05548888,0.16203848,0.07698717,1.64300750,4.44471128,2.60039073,0.00000000
-5.68784392,7.09241940,0.05669759,0.16469202,0.07597477,1.66251031,4.44917458,2.66105363,0.00000000
-5.68184092,7.15745333,0.05793348,0.16735048,0.07491127,1.67993589,4.44858776,2.71986892,0.00000000
-5.67583792,7.21651718,0.05918330,0.16997932,0.07382148,1.69514268,4.44272256,2.77609353,0.00000000
-5.66983492,7.26837646,0.06042861,0.17253033,0.07272399,1.70793352,4.43129451,2.82886807,0.00000000
-5.66383192,7.31158636,0.06164639,0.17494322,0.07163060,1.71806276,4.41397299,2.87724018,0.00000000
-5.65782891,7.34454926,0.06280987,0.17714785,0.07054613,1.72524808,4.39040098,2.92019602,0.00000000
-5.65182591,7.36559011,0.06388962,0.17906721,0.06946865,1.72918653,4.36022337,2.95669877,0.00000000
-5.64582291,7.37304594,0.06485486,0.18062081,0.06839015,1.72957392,4.32312207,2.98573210,0.00000000
-5.63981991,7.36536443,0.06567483,0.18172848,0.06729751,1.72612631,4.27885587,3.00634664,0.00000000
-5.63381691,7.34120634,0.06632022,0.18231424,0.06617375,1.71860258,4.22730228,3.01770699,0.00000000
-5.62781391,7.29954540,0.06676462,0.18231009,0.06499946,1.70682646,4.16849841,3.01913680,0.00000000
-5.62181091,7.23975992,0.06698580,0.18165957,0.06375442,1.69070681,4.10267805,3.01015946,0.00000000
-5.61580790,7.16171008,0.06696683,0.18032076,0.06241911,1.67025480,4.03030176,2.99053202,0.00000000
-5.60980490,7.06579580,0.06669698,0.17826879,0.06097624,1.64559674,3.95207761,2.96027045,0.00000000
-5.60380190,6.95299094,0.06617235,0.17549753,0.05941209,1.61698181,3.86896999,2.91966453,0.00000000
-5.59779890,6.82485072,0.06539611,0.17202041,0.05771758,1.58478376,3.78219522,2.86928136,0.00000000
-5.59179590,6.68349074,0.06437846,0.16787055,0.05588919,1.54949654,3.69320276,2.80995698,0.00000000
-5.58579290,6.53153744,0.06313630,0.16309986,0.05392939,1.51172358,3.60364206,2.74277615,0.00000000
-5.57978989,6.37205154,0.06169252,0.15777743,0.05184691,1.47216128,3.51531580,2.66904112,0.00000000
-5.57378689,6.20842717,0.06007505,0.15198722,0.04965654,1.43157720,3.43012093,2.59023053,0.00000000
-5.56778389,6.04427117,0.05831570,0.14582513,0.04737874,1.39078411,3.34997994,2.50795030,0.00000000
-5.56178089,5.88326786,0.05644888,0.13939567,0.04503891,1.35061085,3.27676522,2.42387875,0.00000000
-5.55577789,5.72903542,0.05451015,0.13280827,0.04266644,1.31187159,3.21222011,2.33970830,0.00000000
-5.54977489,5.58498085,0.05253487,0.12617362,0.04029359,1.27533478,3.15788017,2.25708639,0.00000000
-5.54377189,5.45416008,0.05055679,0.11959993,0.03795433,1.24169333,3.11499891,2.17755831,0.00000000
-5.53776888,5.33915021,0.04860688,0.11318947,0.03568300,1.21153746,3.08448154,2.10251440,0.00000000
-5.53176588,5.24193967,0.04671223,0.10703548,0.03351312,1.18533138,3.06683041,2.03314377,0.00000000
-5.52576288,5.16384180,0.04489527,0.10121948,0.03147612,1.16339496,3.06210518,1.97039660,0.00000000
-5.51975988,5.10543573,0.04317316,0.09580918,0.02960033,1.14589129,3.06990008,1.91495631,0.00000000
-5.51375688,5.06653740,0.04155753,0.09085695,0.02790997,1.13282039,3.08933993,1.86722265,0.00000000
-5.50775388,5.04620209,0.04005438,0.08639898,0.02642444,1.12401973,3.11909562,1.82730605,0.00000000
-5.50175088,5.04275817,0.03866439,0.08245505,0.02515767,1.11917105,3.15741877,1.79503333,0.00000000
