energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,4.00262836,0.03907067,0.12541145,0.01599530,0.00000000,0.72183829,2.08838638,0.02016511,1.79268076
-5.99399700,4.00882929,0.03929998,0.12918903,0.01565707,0.00000000,0.71759653,2.10341411,0.01984695,1.78509775
-5.98799400,4.00153308,0.03940769,0.13321070,0.01527535,0.00000000,0.71177132,2.11063305,0.01944752,1.77129901
-5.98199100,3.98080034,0.03939805,0.13748069,0.01485543,0.00000000,0.70449008,2.10988831,0.01897223,1.75140735
-5.97598799,3.94687253,0.03927681,0.14199002,0.01440294,0.00000000,0.69589275,2.10114075,0.01842728,1.72563201
-5.96998499,3.90016821,0.03905108,0.14671527,0.01392371,0.00000000,0.68612734,2.08447008,0.01781947,1.69426555
-5.96398199,3.84127683,0.03872923,0.15161806,0.01342368,0.00000000,0.67534609,2.06007547,0.01715614,1.65767975
-5.95797899,3.77094956,0.03832073,0.15664495,0.01290878,0.00000000,0.66370208,2.02827327,0.01644497,1.61632027
-5.95197599,3.69008698,0.03783598,0.16172823,0.01238485,0.00000000,0.65134655,1.98949169,0.01569394,1.57069991
-5.94597299,3.59972327,0.03728619,0.16678716,0.01185760,0.00000000,0.63842672,1.94426230,0.01491111,1.52139025
-5.93996998,3.50100702,0.03668317,0.17173002,0.01133249,0.00000000,0.62508419,1.89320850,0.01410462,1.46901166
-5.93396698,3.39517874,0.03603915,0.17645662,0.01081475,0.00000000,0.61145370,1.83703123,0.01328244,1.41422168
-5.92796398,3.28354561,0.03536656,0.18086140,0.01030928,0.00000000,0.59766244,1.77649218,0.01245240,1.35770198
-5.92196098,3.16745406,0.03467778,0.18483686,0.00982062,0.00000000,0.58382955,1.71239535,0.01162197,1.30014419
-5.91595798,3.04826112,0.03398490,0.18827734,0.00935291,0.00000000,0.57006601,1.64556736,0.01079823,1.24223492
-5.90995498,2.92730531,0.03329944,0.19108281,0.00890984,0.00000000,0.55647465,1.57683746,0.00998777,1.18464059
-5.90395198,2.80587847,0.03263205,0.19316274,0.00849460,0.00000000,0.54315043,1.50701790,0.00919659,1.12799250
-5.89794897,2.68519925,0.03199224,0.19443972,0.00810986,0.00000000,0.53018082,1.43688553,0.00843009,1.07287281
-5.89194597,2.56638962,0.03138808,0.19485275,0.00775772,0.00000000,0.51764630,1.36716532,0.00769294,1.01980195
-5.88594297,2.45045507,0.03082595,0.19436008,0.00743968,0.00000000,0.50562102,1.29851632,0.00698915,0.96922803
-5.87993997,2.33826940,0.03031032,0.19294139,0.00715666,0.00000000,0.49417343,1.23152070,0.00632194,0.92151872
-5.87393697,2.23056461,0.02984355,0.19059938,0.00690892,0.00000000,0.48336712,1.16667612,0.00569385,0.87695583
-5.86793397,2.12792610,0.02942579,0.18736048,0.00669616,0.00000000,0.47326164,1.10439150,0.00510669,0.83573300
-5.86193097,2.03079335,0.02905494,0.18327486,0.00651750,0.00000000,0.46391331,1.04498637,0.00456157,0.79795640
-5.85592796,1.93946564,0.02872668,0.17841560,0.00637151,0.00000000,0.45537616,0.98869342,0.00405901,0.76364846
-5.84992496,1.85411258,0.02843463,0.17287719,0.00625633,0.00000000,0.44770265,0.93566409,0.00359894,0.73275435
-5.84392196,1.77478856,0.02817052,0.16677323,0.00616969,0.00000000,0.44094445,0.88597663,0.00318078,0.70515098
-5.83791896,1.70145038,0.02792459,0.16023367,0.00610905,0.00000000,0.43515301,0.83964613,0.00280355,0.68065790
-5.83191596,1.63397703,0.02768590,0.15340151,0.00607165,0.00000000,0.43037989,0.79663598,0.00246593,0.65904965
-5.82591296,1.57219058,0.02744286,0.14642918,0.00605468,0.00000000,0.42667692,0.75686994,0.00216632,0.64006899
-5.81990995,1.51587718,0.02718367,0.13947476,0.00605532,0.00000000,0.42409590,0.72024451,0.00190296,0.62344033
-5.81390695,1.46480699,0.02689694,0.13269814,0.00607088,0.00000000,0.42268805,0.68664063,0.00167398,0.60888271
-5.80790395,1.41875240,0.02657213,0.12625725,0.00609889,0.00000000,0.42250301,0.65593453,0.00147749,0.59612191
-5.80190095,1.37750344,0.02620018,0.12030454,0.00613718,0.00000000,0.42358740,0.62800712,0.00131161,0.58490108
-5.79589795,1.34088006,0.02577386,0.11498378,0.00618392,0.00000000,0.42598303,0.60275158,0.00117455,0.57498950
