energy_ev,total_up,Ir_p_up,Ir_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,5.59473986,1.93026981,3.31838036,1.27349279,0.00000000,1.24478150,0.00000000
-5.99399700,5.59969015,1.88646882,3.33816924,1.25795790,0.00000000,1.25749331,0.00000000
-5.98799400,5.59988207,1.84207266,3.35468425,1.24222541,0.00000000,1.26901253,0.00000000
-5.98199100,5.59538072,1.79788862,3.36770057,1.22659049,0.00000000,1.27912242,0.00000000
-5.97598799,5.58644384,1.75471868,3.37712014,1.21133579,0.00000000,1.28768062,0.00000000
-5.96998499,5.57351227,1.71333315,3.38297396,1.19671963,0.00000000,1.29462311,0.00000000
-5.96398199,5.55719588,1.67444813,3.38542045,1.18296635,0.00000000,1.29996535,0.00000000
-5.95797899,5.53825473,1.63870742,3.38473945,1.17025941,0.00000000,1.30380059,0.00000000
-5.95197599,5.51757577,1.60666909,3.38132207,1.15873712,0.00000000,1.30629520,0.00000000
-5.94597299,5.49614531,1.57879666,3.37565646,1.14849116,0.00000000,1.30768106,0.00000000
-5.93996998,5.47501766,1.55545472,3.36830981,1.13956745,0.00000000,1.30824538,0.00000000
-5.93396698,5.45528067,1.53690822,3.35990712,1.13196914,0.00000000,1.30831812,0.00000000
-5.92796398,5.43801883,1.52332513,3.35110741,1.12566120,0.00000000,1.30825768,0.00000000
-5.92196098,5.42427502,1.51478127,3.34257804,1.12057605,0.00000000,1.30843522,0.00000000
-5.91595798,5.41501207,1.51126691,3.33496830,1.11661969,0.00000000,1.30921850,0.00000000
-5.90995498,5.41107551,1.51269417,3.32888306,1.11367778,0.00000000,1.31095584,0.00000000
-5.90395198,5.41315894,1.51890464,3.32485784,1.11162123,0.00000000,1.31396089,0.00000000
-5.89794897,5.42177357,1.52967676,3.32333616,1.11031095,0.00000000,1.31849912,0.00000000
-5.89194597,5.43722354,1.54473263,3.32465048,1.10960150,0.00000000,1.32477643,0.00000000
-5.88594297,5.45958825,1.56374403,3.32900756,1.10934363,0.00000000,1.33293068,0.00000000
-5.87993997,5.48871310,1.58633783,3.33647906,1.10938568,0.00000000,1.34302640,0.00000000
-5.87393697,5.52420937,1.61210082,3.34699816,1.10957404,0.00000000,1.35505305,0.00000000
-5.86793397,5.56546380,1.64058429,3.36036216,1.10975302,0.00000000,1.36892690,0.00000000
-5.86193097,5.61165791,1.67130869,3.37624152,1.10976435,0.00000000,1.38449642,0.00000000
-5.85592796,5.66179648,1.70376876,3.39419455,1.10944669,0.00000000,1.40155094,0.00000000
-5.84992496,5.71474416,1.73743927,3.41368751,1.10863557,0.00000000,1.41983201,0.00000000
-5.84392196,5.76926879,1.77178178,3.43411885,1.10716395,0.00000000,1.43904699,0.00000000
-5.83791896,5.82408924,1.80625232,3.45484646,1.10486364,0.00000000,1.45888399,0.00000000
-5.83191596,5.87792561,1.84031015,3.47521663,1.10156773,0.00000000,1.47902736,0.00000000
-5.82591296,5.92954915,1.87342720,3.49459292,1.09711389,0.00000000,1.49917292,0.00000000
