energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.44261315,0.00561829,0.06542235,0.00335291,1.03982075,1.12937948,0.78397849
-5.99399700,2.48297584,0.00561925,0.06818683,0.00359875,1.05745705,1.15047844,0.79517110
-5.98799400,2.51704553,0.00560100,0.07093962,0.00386560,1.07241928,1.16831658,0.80430312
-5.98199100,2.54477033,0.00556235,0.07368275,0.00415368,1.08465443,1.18287047,0.81138504
-5.97598799,2.56623628,0.00550256,0.07641822,0.00446290,1.09416177,1.19417510,0.81648202
-5.96998499,2.58165662,0.00542144,0.07914722,0.00479280,1.10098884,1.20231781,0.81971038
-5.96398199,2.59135541,0.00531933,0.08186945,0.00514252,1.10522555,1.20743018,0.82123173
-5.95797899,2.59574654,0.00519707,0.08458226,0.00551072,1.10699669,1.20967865,0.82124491
-5.95197599,2.59530930,0.00505604,0.08728005,0.00589554,1.10645332,1.20925410,0.81997612
-5.94597299,2.59056194,0.00489801,0.08995363,0.00629460,1.10376364,1.20636130,0.81766792
-5.93996998,2.58203458,0.00472514,0.09258979,0.00670497,1.09910383,1.20120864,0.81456749
-5.93396698,2.57024296,0.00453988,0.09517111,0.00712315,1.09264931,1.19399868,0.81091481
-5.92796398,2.55566440,0.00434483,0.09767582,0.00754511,1.08456693,1.18492005,0.80693143
-5.92196098,2.53871698,0.00414270,0.10007807,0.00796632,1.07500844,1.17414090,0.80281015
-5.91595798,2.51974300,0.00393621,0.10234831,0.00838181,1.06410546,1.16180426,0.79870646
-5.90995498,2.49899738,0.00372794,0.10445398,0.00878625,1.05196621,1.14802539,0.79473173
-5.90395198,2.47664133,0.00352034,0.10636034,0.00917409,1.03867394,1.13289100,0.79094878
-5.89794897,2.45274150,0.00331557,0.10803155,0.00953963,1.02428716,1.11646042,0.78736986
-5.89194597,2.42727446,0.00311554,0.10943193,0.00987723,1.00884145,1.09876837,0.78395705
-5.88594297,2.40013602,0.00292182,0.11052724,0.01018145,0.99235275,1.07982916,0.78062525
-5.87993997,2.37115497,0.00273565,0.11128617,0.01044723,0.97482184,1.05964198,0.77724729
-5.87393697,2.34011043,0.00255791,0.11168170,0.01067006,0.95623975,1.03819703,0.77366120
-5.86793397,2.30675186,0.00238920,0.11169254,0.01084619,0.93659379,1.01548198,0.76967905
-5.86193097,2.27082084,0.00222979,0.11130438,0.01097278,0.91587398,0.99148869,0.76509716
-5.85592796,2.23207369,0.00207971,0.11051110,0.01104808,0.89407942,0.96621968,0.75970699
-5.84992496,2.19030377,0.00193880,0.10931564,0.01107154,0.87122450,0.93969417,0.75330644
-5.84392196,2.14536260,0.00180671,0.10773073,0.01104394,0.84734458,0.91195344,0.74571093
-5.83791896,2.09717893,0.00168301,0.10577927,0.01096745,0.82250086,0.88306530,0.73676387
-5.83191596,2.04577479,0.00156720,0.10349441,0.01084567,0.79678444,0.85312753,0.72634594
-5.82591296,1.99127799,0.00145877,0.10091930,0.01068362,0.77031911,0.82227015,0.71438297
-5.81990995,1.93393048,0.00135722,0.09810644,0.01048765,0.74326296,0.79065641,0.70085190
-5.81390695,1.87409204,0.00126214,0.09511674,0.01026540,0.71580870,0.75848253,0.68578472
-5.80790395,1.81223934,0.00117317,0.09201822,0.01002558,0.68818243,0.72597614,0.66927016
-5.80190095,1.74896003,0.00109007,0.08888441,0.00977785,0.66064120,0.69339343,0.65145299
-5.79589795,1.68494228,0.00101272,0.08579250,0.00953255,0.63346907,0.66101520,0.63253110
-5.78989495,1.62095989,0.00094111,0.08282124,0.00930047,0.60697203,0.62914175,0.61275039
-5.78389195,1.55785363,0.00087534,0.08004876,0.00909259,0.58147174,0.59808699,0.59239768
-5.77788894,1.49650940,0.00081563,0.07755022,0.00891977,0.55729843,0.56817174,0.57179195
-5.77188594,1.43783402,0.00076230,0.07539554,0.00879250,0.53478305,0.53971663,0.55127431
-5.76588294,1.38272958,0.00071575,0.07364713,0.00872059,0.51424906,0.51303468,0.53119702
-5.75987994,1.33206733,0.00067648,0.07235780,0.00871295,0.49600415,0.48842396,0.51191209
-5.75387694,1.28666208,0.00064505,0.07156892,0.00877732,0.48033204,0.46616051,0.49375993
-5.74787394,1.24724816,0.00062207,0.07130877,0.00892011,0.46748489,0.44649175,0.47705837
-5.74187094,1.21445779,0.00060819,0.07159143,0.00914620,0.45767643,0.42963070,0.46209273
-5.73586793,1.18880265,0.00060412,0.07241590,0.00945885,0.45107612,0.41575109,0.44910702
-5.72986493,1.17065952,0.00061056,0.07376578,0.00985963,0.44780458,0.40498363,0.43829686
-5.72386193,1.16026008,0.00062824,0.07560943,0.01034838,0.44793036,0.39741337,0.42980414
-5.71785893,1.15768559,0.00065789,0.07790062,0.01092326,0.45146822,0.39307846,0.42371377
-5.71185593,1.16286610,0.00070022,0.08057960,0.01158078,0.45837876,0.39196989,0.42005239
-5.70585293,1.17558428,0.00075590,0.08357477,0.01231595,0.46856961,0.39403255,0.41878910
-5.69984992,1.19548332,0.00082557,0.08680461,0.01312239,0.48189768,0.39916715,0.41983811
-5.69384692,1.22207851,0.00090978,0.09018010,0.01399249,0.49817262,0.40723302,0.42306296
-5.68784392,1.25477153,0.00100900,0.09360727,0.01491761,0.51716101,0.41805143,0.42828218
-5.68184092,1.29286692,0.00112353,0.09699009,0.01588822,0.53859114,0.43140938,0.43527597
-5.67583792,1.33558967,0.00125355,0.10023326,0.01689413,0.56215809,0.44706349,0.44379356
-5.66983492,1.38210327,0.00139902,0.10324509,0.01792464,0.58752884,0.46474393,0.45356092
-5.66383192,1.43152729,0.00155966,0.10594018,0.01896872,0.61434724,0.48415812,0.46428847
-5.65782891,1.48295410,0.00173493,0.10824188,0.02001511,0.64223866,0.50499419,0.47567838
-5.65182591,1.53546397,0.00192400,0.11008432,0.02105250,0.67081427,0.52692423,0.48743145
-5.64582291,1.58813865,0.00212571,0.11141419,0.02206961,0.69967498,0.54960710,0.49925313
-5.63981991,1.64007300,0.00233857,0.11219186,0.02305530,0.72841497,0.57269125,0.51085876
-5.63381691,1.69038513,0.00256076,0.11239210,0.02399864,0.75662516,0.59581739,0.52197787
-5.62781391,1.73822514,0.00279014,0.11200427,0.02488897,0.78389667,0.61862138,0.53235773
-5.62181091,1.78278294,0.00302425,0.11103198,0.02571606,0.80982447,0.64073740,0.54176606
-5.61580790,1.82329570,0.00326042,0.10949231,0.02647012,0.83401160,0.66180173,0.54999330
-5.60980490,1.85905536,0.00349578,0.10741459,0.02714197,0.85607394,0.68145719,0.55685429
-5.60380190,1.88941672,0.00372733,0.10483893,0.02772317,0.87564588,0.69935832,0.56218981
-5.59779890,1.91380627,0.00395208,0.10181443,0.02820614,0.89238677,0.71517745,0.56586802
-5.59179590,1.93173210,0.00416714,0.09839728,0.02858440,0.90598822,0.72861148,0.56778580
-5.58579290,1.94279468,0.00436979,0.09464881,0.02885273,0.91618205,0.73938923,0.56787031
-5.57978989,1.94669830,0.00455767,0.09063362,0.02900740,0.92274869,0.74727918,0.56608049
-5.57378689,1.94326263,0.00472883,0.08641769,0.02904638,0.92552552,0.75209710,0.56240862
-5.56778389,1.93243365,0.00488188,0.08206681,0.02896952,0.92441489,0.75371337,0.55688176
-5.56178089,1.91429328,0.00501603,0.07764516,0.02877871,0.91939119,0.75205931,0.54956287
-5.55577789,1.88906661,0.00513123,0.07321411,0.02847803,0.91050647,0.74713229,0.54055144
-5.54977489,1.85712589,0.00522817,0.06883134,0.02807379,0.89789414,0.73899900,0.52998339
-5.54377189,1.81899043,0.00530830,0.06455013,0.02757453,0.88177028,0.72779662,0.51803004
-5.53776888,1.77532180,0.00537381,0.06041895,0.02699089,0.86243216,0.71373159,0.50489597
-5.53176588,1.72691371,0.00542761,0.05648117,0.02633549,0.84025388,0.69707579,0.49081564
-5.52576288,1.67467651,0.00547319,0.05277495,0.02562259,0.81567890,0.67816010,0.47604873
-5.51975988,1.61961643,0.00551454,0.04933326,0.02486778,0.78920968,0.65736552,0.46087416
-5.51375688,1.56280994,0.00555598,0.04618393,0.02408754,0.76139455,0.63511209,0.44558302
-5.50775388,1.50537409,0.00560199,0.04334979,0.02329873,0.73281242,0.61184590,0.43047048
-5.50175088,1.44843376,0.00565702,0.04084871,0.02251809,0.70405566,0.58802492,0.41582704
-5.49574787,1.39308730,0.00572526,0.03869379,0.02176167,0.67571202,0.56410407,0.40192945
-5.48974487,1.34037167,0.00581046,0.03689333,0.02104430,0.64834618,0.54052023,0.38903156
-5.48374187,1.29122894,0.00591575,0.03545098,0.02037906,0.62248180,0.51767791,0.37735581
-5.47773887,1.24647538,0.00604340,0.03436567,0.01977682,0.59858480,0.49593614,0.36708534
-5.47173587,1.20677470,0.00619473,0.03363173,0.01924589,0.57704858,0.47559723,0.35835752
-5.46573287,1.17261664,0.00636998,0.03323890,0.01879170,0.55818189,0.45689791,0.35125892
-5.45972986,1.14430186,0.00656820,0.03317239,0.01841664,0.54219972,0.44000311,0.34582223
-5.45372686,1.12193396,0.00678726,0.03341312,0.01812001,0.52921787,0.42500274,0.34202507
-5.44772386,1.10541890,0.00702387,0.03393788,0.01789806,0.51925101,0.41191157,0.33979100
-5.44172086,1.09447195,0.00727363,0.03471969,0.01774420,0.51221478,0.40067203,0.33899261
-5.43571786,1.08863186,0.00753118,0.03572829,0.01764929,0.50793136,0.39115991,0.33945658
-5.42971486,1.08728155,0.00779037,0.03693062,0.01760202,0.50613858,0.38319250,0.34097050
-5.42371186,1.08967452,0.00804442,0.03829152,0.01758944,0.50650201,0.37653884,0.34329128
-5.41770885,1.09496583,0.00828624,0.03977444,0.01759743,0.50862944,0.37093147,0.34615458
-5.41170585,1.10224616,0.00850861,0.04134225,0.01761132,0.51208736,0.36607927,0.34928509
-5.40570285,1.11057767,0.00870449,0.04295807,0.01761644,0.51641844,0.36168062,0.35240709
-5.39969985,1.11903017,0.00886729,0.04458611,0.01759873,0.52115953,0.35743644,0.35525481
-5.39369685,1.12671591,0.00899112,0.04619247,0.01754524,0.52585933,0.35306250,0.35758238
-5.38769385,1.13282189,0.00907097,0.04774591,0.01744463,0.53009508,0.34830048,0.35917267
-5.38169085,1.13663828,0.00910298,0.04921845,0.01728751,0.53348758,0.34292747,0.35984499
-5.37568784,1.13758194,0.00908455,0.05058600,0.01706682,0.53571410,0.33676343,0.35946109
-5.36968484,1.13521436,0.00901442,0.05182871,0.01677797,0.53651859,0.32967655,0.35792954
-5.36368184,1.12925333,0.00889275,0.05293128,0.01641899,0.53571900,0.32158630,0.35520804
-5.35767884,1.11957827,0.00872110,0.05388305,0.01599047,0.53321146,0.31246421,0.35130403
-5.35167584,1.10622921,0.00850236,0.05467804,0.01549550,0.52897128,0.30233248,0.34627321
-5.34567284,1.08939967,0.00824066,0.05531479,0.01493942,0.52305089,0.29126063,0.34021650
-5.33966983,1.06942407,0.00794119,0.05579608,0.01432961,0.51557486,0.27936039,0.33327528
-5.33366683,1.04676041,0.00761003,0.05612866,0.01367509,0.50673238,0.26677922,0.32562547
-5.32766383,1.02196908,0.00725391,0.05632278,0.01298619,0.49676760,0.25369283,0.31747044
-5.32166083,0.99568880,0.00688000,0.05639180,0.01227408,0.48596829,0.24029704,0.30903327
-5.31565783,0.96861087,0.00649566,0.05635168,0.01155041,0.47465327,0.22679936,0.30054862
-5.30965483,0.94145264,0.00610820,0.05622051,0.01082688,0.46315929,0.21341068,0.29225445
-5.30365183,0.91493127,0.00572468,0.05601803,0.01011484,0.45182776,0.20033743,0.28438395
-5.29764882,0.88973880,0.00535166,0.05576520,0.00942498,0.44099190,0.18777439,0.27715803
-5.29164582,0.86651925,0.00499508,0.05548373,0.00876699,0.43096473,0.17589853,0.27077839
-5.28564282,0.84584855,0.00466009,0.05519568,0.00814936,0.42202831,0.16486388,0.26542161
-5.27963982,0.82821766,0.00435093,0.05492304,0.00757918,0.41442458,0.15479770,0.26123423
-5.27363682,0.81401958,0.00407090,0.05468734,0.00706207,0.40834803,0.14579792,0.25832902
-5.26763382,0.80354013,0.00382229,0.05450925,0.00660205,0.40394041,0.13793183,0.25678246
-5.26163082,0.79695284,0.00360644,0.05440818,0.00620166,0.40128747,0.13123605,0.25663353
-5.25562781,0.79431787,0.00342368,0.05440190,0.00586195,0.40041790,0.12571761,0.25788363
-5.24962481,0.79558466,0.00327350,0.05450612,0.00558261,0.40130436,0.12135607,0.26049778
-5.24362181,0.80059818,0.00315458,0.05473407,0.00536219,0.40386639,0.11810647,0.26440686
-5.23761881,0.80910842,0.00306490,0.05509619,0.00519820,0.40797522,0.11590309,0.26951085
-5.23161581,0.82078256,0.00300187,0.05559970,0.00508744,0.41346005,0.11466360,0.27568299
-5.22561281,0.83521947,0.00296246,0.05624833,0.00502612,0.42011574,0.11429370,0.28277453
-5.21960980,0.85196601,0.00294334,0.05704209,0.00501022,0.42771146,0.11469194,0.29062013
-5.21360680,0.87053448,0.00294098,0.05797708,0.00503565,0.43600006,0.11575448,0.29904363
-5.20760380,0.89042079,0.00295180,0.05904544,0.00509854,0.44472788,0.11737991,0.30786395
-5.20160080,0.91112268,0.00297227,0.06023548,0.00519544,0.45364457,0.11947364,0.31690111
-5.19559780,0.93215754,0.00299903,0.06153181,0.00532354,0.46251265,0.12195205,0.32598206
