energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.59112889,0.35420203,0.29615901,0.00307103,0.12770134,0.00663583,0.76017343,0.55629731,0.32297475
-5.99399700,1.56597689,0.34291499,0.29281383,0.00334270,0.12344958,0.00671760,0.74769713,0.54738497,0.32056074
-5.98799400,1.53823923,0.33036429,0.28976598,0.00364859,0.11880548,0.00679590,0.73333546,0.53781922,0.31709592
-5.98199100,1.50857675,0.31676757,0.28706035,0.00398499,0.11383687,0.00687194,0.71748620,0.52784917,0.31275841
-5.97598799,1.47770450,0.30235865,0.28474207,0.00434754,0.10861772,0.00694664,0.70058000,0.51772816,0.30775363
-5.96998499,1.44636714,0.28737982,0.28285317,0.00473124,0.10322565,0.00702055,0.68306734,0.50770419,0.30230960
-5.96398199,1.41531462,0.27207423,0.28142943,0.00513055,0.09773940,0.00709379,0.66540563,0.49801110,0.29667178
-5.95797899,1.38527955,0.25667874,0.28049760,0.00553949,0.09223642,0.00716599,0.64804717,0.48886096,0.29109771
-5.95197599,1.35695745,0.24141753,0.28007337,0.00595175,0.08679069,0.00723631,0.63142841,0.48043821,0.28585161
-5.94597299,1.33099056,0.22649679,0.28016006,0.00636084,0.08147083,0.00730345,0.61596090,0.47289559,0.28119912
-5.93996998,1.30795588,0.21210058,0.28074831,0.00676025,0.07633867,0.00736577,0.60202431,0.46635224,0.27740229
-5.93396698,1.28835765,0.19838795,0.28181661,0.00714363,0.07144814,0.00742131,0.58996134,0.46089364,0.27471496
-5.92796398,1.27262407,0.18549144,0.28333271,0.00750496,0.06684468,0.00746797,0.58007480,0.45657351,0.27337851
-5.92196098,1.26110778,0.17351672,0.28525581,0.00783873,0.06256501,0.00750364,0.57262635,0.45341720,0.27361809
-5.91595798,1.25408967,0.16254345,0.28753921,0.00814014,0.05863729,0.00752635,0.56783691,0.45142622,0.27563928
-5.90995498,1.25178486,0.15262701,0.29013337,0.00840525,0.05508164,0.00753441,0.56588802,0.45058356,0.27962512
-5.90395198,1.25435013,0.14380097,0.29298899,0.00863112,0.05191082,0.00752660,0.56692410,0.45085925,0.28573352
-5.89794897,1.26189179,0.13608011,0.29606003,0.00881595,0.04913117,0.00750229,0.57105487,0.45221578,0.29409499
-5.89194597,1.27447307,0.12946365,0.29930626,0.00895915,0.04674359,0.00746153,0.57835773,0.45461287,0.30481051
-5.88594297,1.29212033,0.12393861,0.30269544,0.00906142,0.04474456,0.00740515,0.58887974,0.45801148,0.31794974
