energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.94862766,0.34637351,0.00303673,0.39383470,0.01815812,1.60770220,0.99712204,0.46110604
-5.99399700,3.01638292,0.33489818,0.00303349,0.40463660,0.01825002,1.64675473,1.00416319,0.47358718
-5.98799400,3.09010940,0.32434570,0.00304943,0.41627355,0.01839203,1.68883261,1.01239483,0.48734329
-5.98199100,3.16786968,0.31477235,0.00308307,0.42848206,0.01857518,1.73287218,1.02140087,0.50198884
-5.97598799,3.24750148,0.30619709,0.00313286,0.44096218,0.01878919,1.77769401,1.03071252,0.51709910
-5.96998499,3.32667943,0.29860212,0.00319712,0.45338623,0.01902268,1.82203604,1.03982441,0.53222208
-5.96398199,3.40298464,0.29193489,0.00327415,0.46540889,0.01926349,1.86459089,1.04821214,0.54689167
-5.95797899,3.47397982,0.28611155,0.00336224,0.47667805,0.01949911,1.90404609,1.05535094,0.56064155
-5.95197599,3.53728725,0.28102158,0.00345969,0.48684621,0.01971699,1.93912590,1.06073462,0.57301952
-5.94597299,3.59066686,0.27653358,0.00356494,0.49558184,0.01990503,1.96863311,1.06389422,0.58360156
-5.93996998,3.63209134,0.27250173,0.00367658,0.50258041,0.02005197,1.99148929,1.06441553,0.59200523
-5.93396698,3.65981517,0.26877284,0.00379345,0.50757451,0.02014779,2.00677178,1.06195479,0.59790188
-5.92796398,3.67243500,0.26519353,0.00391467,0.51034278,0.02018406,2.01374596,1.05625200,0.60102719
-5.92196098,3.66893859,0.26161731,0.00403971,0.51071710,0.02015429,2.01189142,1.04714114,0.60118958
-5.91595798,3.64874051,0.25791110,0.00416842,0.50858798,0.02005413,2.00092090,1.03455691,0.59827630
-5.90995498,3.61170289,0.25396108,0.00430108,0.50390775,0.01988157,1.98079124,1.01853774,0.59225685
-5.90395198,3.55814057,0.24967747,0.00443836,0.49669146,0.01963702,1.95170585,0.99922469,0.58318368
-5.89794897,3.48881046,0.24499813,0.00458132,0.48701560,0.01932330,1.91410860,0.97685661,0.57119016
-5.89194597,3.40488567,0.23989083,0.00473136,0.47501457,0.01894552,1.86866950,0.95176148,0.55648599
-5.88594297,3.30791570,0.23435405,0.00489016,0.46087521,0.01851097,1.81626278,0.92434443,0.53935020
-5.87993997,3.19977454,0.22841650,0.00505959,0.44482957,0.01802877,1.75793844,0.89507304,0.52012212
-5.87393697,3.08259891,0.22213520,0.00524160,0.42714637,0.01750963,1.69488838,0.86446047,0.49919074
-5.86793397,2.95871955,0.21559237,0.00543809,0.40812145,0.01696546,1.62840877,0.83304718,0.47698284
-5.86193097,2.83058819,0.20889140,0.00565084,0.38806772,0.01640893,1.55986002,0.80138218,0.45395043
-5.85592796,2.70070334,0.20215187,0.00588131,0.36730497,0.01585311,1.49062611,0.77000440,0.43055792
-5.84992496,2.57153770,0.19550410,0.00613060,0.34615008,0.01531098,1.42207465,0.73942522,0.40726952
-5.84392196,2.44546971,0.18908341,0.00639929,0.32490789,0.01479511,1.35551933,0.71011261,0.38453727
-5.83791896,2.32472161,0.18302425,0.00668739,0.30386316,0.01431720,1.29218569,0.68247768,0.36279002
-5.83191596,2.21130577,0.17745463,0.00699426,0.28327380,0.01388782,1.23318141,0.65686395,0.34242362
-5.82591296,2.10698064,0.17249089,0.00731860,0.26336570,0.01351609,1.17947184,0.63353978,0.32379265
-5.81990995,2.01321710,0.16823310,0.00765842,0.24432907,0.01320946,1.13186109,0.61269402,0.30720363
-5.81390695,1.93117557,0.16476123,0.00801110,0.22631650,0.01297358,1.09097898,0.59443483,0.29290994
-5.80790395,1.86169361,0.16213220,0.00837339,0.20944253,0.01281216,1.05727379,0.57879171,0.28110826
-5.80190095,1.80528369,0.16037785,0.00874159,0.19378474,0.01272700,1.03101041,0.56572012,0.27193665
-5.79589795,1.76213991,0.15950388,0.00911154,0.17938607,0.01271797,1.01227360,0.55510863,0.26547403
-5.78989495,1.73215295,0.15948983,0.00947885,0.16625824,0.01278308,1.00097572,0.54678784,0.26174100
-5.78389195,1.71493161,0.16028992,0.00983898,0.15438591,0.01291866,0.99686825,0.54054071,0.26070183
-5.77788894,1.70982998,0.16183476,0.01018738,0.14373139,0.01311948,0.99955648,0.53611377,0.26226745
-5.77188594,1.71597867,0.16403391,0.01051971,0.13423968,0.01337898,1.00851664,0.53322848,0.26629942
-5.76588294,1.73231907,0.16677902,0.01083188,0.12584348,0.01368946,1.02311493,0.53159263,0.27261453
-5.75987994,1.75763942,0.16994758,0.01112029,0.11846800,0.01404236,1.04262778,0.53091096,0.28099017
-5.75387694,1.79061181,0.17340697,0.01138189,0.11203541,0.01442849,1.06626286,0.53089501,0.29117016
-5.74787394,1.82982924,0.17701889,0.01161432,0.10646878,0.01483832,1.09318044,0.53127172,0.30287107
-5.74187094,1.87384208,0.18064385,0.01181599,0.10169535,0.01526218,1.12251464,0.53179077,0.31578886
-5.73586793,1.92119338,0.18414555,0.01198619,0.09764916,0.01569060,1.15339433,0.53223049,0.32960579
-5.72986493,1.97045245,0.18739518,0.01212511,0.09427289,0.01611449,1.18496326,0.53240237,0.34399755
-5.72386193,2.02024647,0.19027537,0.01223389,0.09151908,0.01652540,1.21639929,0.53215424,0.35864036
-5.71785893,2.06928947,0.19268364,0.01231466,0.08935061,0.01691571,1.24693225,0.53137219,0.37321807
-5.71185593,2.11640847,0.19453534,0.01237053,0.08774065,0.01727885,1.27586029,0.52998133,0.38742896
-5.70585293,2.16056628,0.19576592,0.01240557,0.08667205,0.01760945,1.30256426,0.52794552,0.40099230
-5.69984992,2.20088045,0.19633244,0.01242475,0.08613630,0.01790344,1.32651995,0.52526628,0.41365421
-5.69384692,2.23663810,0.19621434,0.01243391,0.08613214,0.01815816,1.34730771,0.52198076,0.42519294
-5.68784392,2.26730595,0.19541338,0.01243965,0.08666393,0.01837241,1.36461926,0.51815911,0.43542321
-5.68184092,2.29253544,0.19395278,0.01244921,0.08773985,0.01854643,1.37826126,0.51390115,0.44419948
-5.67583792,2.31216239,0.19187562,0.01247030,0.08936995,0.01868188,1.38815564,0.50933234,0.45141812
-5.66983492,2.32620113,0.18924259,0.01251096,0.09156427,0.01878170,1.39433625,0.50459925,0.45701824
-5.66383192,2.33483312,0.18612906,0.01257934,0.09433083,0.01885002,1.39694209,0.49986439,0.46098124
-5.65782891,2.33839007,0.18262177,0.01268341,0.09767380,0.01889194,1.39620705,0.49530051,0.46332898
-5.65182591,2.33733210,0.17881513,0.01283077,0.10159178,0.01891330,1.39244641,0.49108438,0.46412069
-5.64582291,2.33222150,0.17480735,0.01302828,0.10607610,0.01892041,1.38604051,0.48739017,0.46344864
-5.63981991,2.32369286,0.17069654,0.01328182,0.11110946,0.01891978,1.37741619,0.48438254,0.46143284
-5.63381691,2.31242070,0.16657694,0.01359597,0.11666464,0.01891781,1.36702651,0.48220964,0.45821486
-5.62781391,2.29908581,0.16253541,0.01397368,0.12270353,0.01892045,1.35532966,0.48099612,0.45395107
-5.62181091,2.28434163,0.15864833,0.01441605,0.12917642,0.01893296,1.34276783,0.48083652,0.44880555
-5.61580790,2.26878207,0.15497898,0.01492208,0.13602157,0.01895954,1.32974696,0.48178932,0.44294305
-5.60980490,2.25291224,0.15157563,0.01548848,0.14316517,0.01900318,1.31661834,0.48387185,0.43652214
-5.60380190,2.23712344,0.14847013,0.01610958,0.15052164,0.01906538,1.30366270,0.48705644,0.42968902
-5.59779890,2.22167358,0.14567735,0.01677730,0.15799440,0.01914609,1.29107776,0.49126804,0.42257209
