energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,6.16489680,0.06548187,0.51782826,0.92997122,0.89732636,0.48912762,0.07055663,2.51627136
-5.99399700,6.00493334,0.06448999,0.49650461,0.91708954,0.87181703,0.48247763,0.06824486,2.46717059
-5.98799400,5.82294966,0.06321001,0.47369159,0.90038118,0.84346688,0.47431791,0.06577849,2.40833028
-5.98199100,5.62315182,0.06167087,0.44991024,0.88024933,0.81297554,0.46485602,0.06322944,2.34112246
-5.97598799,5.40991458,0.05990518,0.42568268,0.85714171,0.78105988,0.45431045,0.06066984,2.26701499
-5.96998499,5.18765834,0.05794833,0.40151723,0.83153823,0.74843352,0.44290511,0.05816989,2.18753086
-5.96398199,4.96072985,0.05583769,0.37789434,0.80393806,0.71578741,0.43086382,0.05579584,2.10420758
-5.95797899,4.73329071,0.05361171,0.35525416,0.77484670,0.68377179,0.41840500,0.05360802,2.01855797
-5.95197599,4.50921690,0.05130912,0.33398595,0.74476330,0.65298025,0.40573659,0.05165927,1.93203353
-5.94597299,4.29201209,0.04896810,0.31441960,0.71416865,0.62393639,0.39305144,0.04999350,1.84599129
-5.93996998,4.08473687,0.04662559,0.29681966,0.68351418,0.59708316,0.38052314,0.04864473,1.76166513
-5.93396698,3.88995527,0.04431659,0.28138161,0.65321217,0.57277533,0.36830237,0.04763632,1.68014208
-5.92796398,3.70969917,0.04207363,0.26823070,0.62362763,0.55127508,0.35651406,0.04698071,1.60234411
-5.92196098,3.54545093,0.03992627,0.25742303,0.59507180,0.53275055,0.34525520,0.04667941,1.52901578
-5.91595798,3.39814347,0.03790074,0.24894872,0.56779758,0.51727752,0.33459347,0.04672340,1.46071769
-5.90995498,3.26817693,0.03601964,0.24273698,0.54199705,0.50484360,0.32456681,0.04709386,1.39782582
-5.90395198,3.15545038,0.03430176,0.23866268,0.51780085,0.49535506,0.31518389,0.04776312,1.34053636
-5.89794897,3.05940667,0.03276200,0.23655422,0.49527970,0.48864554,0.30642551,0.04869594,1.28887580
-5.89194597,2.97908827,0.03141135,0.23620215,0.47444773,0.48448652,0.29824683,0.04985094,1.24271556
-5.88594297,2.91320159,0.03025696,0.23736837,0.45526752,0.48259902,0.29058061,0.05118216,1.20179063
-5.87993997,2.86018736,0.02930226,0.23979550,0.43765668,0.48266597,0.28334099,0.05264072,1.16572136
-5.87393697,2.81829425,0.02854712,0.24321597,0.42149564,0.48434494,0.27642808,0.05417654,1.13403756
-5.86793397,2.78565323,0.02798816,0.24736076,0.40663627,0.48728076,0.26973286,0.05573989,1.10620400
-5.86193097,2.76035007,0.02761894,0.25196728,0.39291108,0.49111745,0.26314235,0.05728299,1.08164636
-5.85592796,2.74049375,0.02743029,0.25678643,0.38014256,0.49550940,0.25654491,0.05876139,1.05977674
-5.84992496,2.72427869,0.02741062,0.26158843,0.36815234,0.50013113,0.24983521,0.06013516,1.04001784
-5.84392196,2.71003907,0.02754629,0.26616754,0.35676977,0.50468570,0.24291895,0.06136986,1.02182508
-5.83791896,2.69629413,0.02782194,0.27034542,0.34583970,0.50891137,0.23571684,0.06243728,1.00470598
-5.83191596,2.68178343,0.02822085,0.27397331,0.33522906,0.51258661,0.22816797,0.06331593,0.98823630
-5.82591296,2.66549185,0.02872536,0.27693302,0.32483228,0.51553332,0.22023218,0.06399123,0.97207265
-5.81990995,2.64666438,0.02931727,0.27913672,0.31457509,0.51761843,0.21189152,0.06445548,0.95596132
-5.81390695,2.62481125,0.02997821,0.28052596,0.30441703,0.51875395,0.20315068,0.06470763,0.93974341
-5.80790395,2.59970417,0.03069011,0.28106979,0.29435231,0.51889579,0.19403654,0.06475281,0.92335638
-5.80190095,2.57136500,0.03143562,0.28076233,0.28440942,0.51804140,0.18459671,0.06460176,0.90683224
-5.79589795,2.54004797,0.03219854,0.27962006,0.27464930,0.51622666,0.17489739,0.06427009,0.89029279
-5.78989495,2.50621706,0.03296424,0.27767876,0.26516255,0.51352224,0.16502059,0.06377750,0.87394240
-5.78389195,2.47051978,0.03372008,0.27499057,0.25606564,0.51002955,0.15506090,0.06314698,0.85805865
-5.77788894,2.43375873,0.03445575,0.27162116,0.24749640,0.50587662,0.14512199,0.06240400,0.84298148
-5.77188594,2.39686205,0.03516361,0.26764705,0.23960910,0.50121404,0.13531316,0.06157571,0.82910102
-5.76588294,2.36085366,0.03583887,0.26315338,0.23256911,0.49621100,0.12574593,0.06069024,0.81684487
-5.75987994,2.32682395,0.03647983,0.25823189,0.22654758,0.49105156,0.11653094,0.05977605,0.80666475
-5.75387694,2.29590151,0.03708784,0.25297940,0.22171611,0.48593115,0.10777531,0.05886137,0.79902317
-5.74787394,2.26922596,0.03766727,0.24749642,0.21824165,0.48105323,0.09958058,0.05797375,0.79438011
-5.74187094,2.24792230,0.03822528,0.24188613,0.21628179,0.47662613,0.09204114,0.05713961,0.79318017
-5.73586793,2.23307654,0.03877156,0.23625349,0.21598043,0.47285987,0.08524341,0.05638395,0.79584008
-5.72986493,2.22571296,0.03931783,0.23070439,0.21746409,0.46996311,0.07926557,0.05573010,0.80273717
-5.72386193,2.22677291,0.03987736,0.22534487,0.22083877,0.46814001,0.07417796,0.05519945,0.81419863
-5.71785893,2.23709540,0.04046432,0.22028019,0.22618765,0.46758703,0.07004392,0.05481128,0.83049218
-5.71185593,2.25739989,0.04109318,0.21561388,0.23356945,0.46848980,0.06692110,0.05458268,0.85181812
-5.70585293,2.28827162,0.04177800,0.21144661,0.24301771,0.47102000,0.06486311,0.05452835,0.87830329
-5.69984992,2.33015009,0.04253180,0.20787489,0.25454099,0.47533239,0.06392137,0.05466054,0.90999714
-5.69384692,2.38332129,0.04336597,0.20498977,0.26812391,0.48156213,0.06414697,0.05498900,0.94687020
-5.68784392,2.44791433,0.04428979,0.20287543,0.28372915,0.48982258,0.06559257,0.05552095,0.98881516
-5.68184092,2.52390281,0.04531006,0.20160782,0.30130038,0.50020362,0.06831406,0.05626109,1.03565080
-5.67583792,2.61111159,0.04643085,0.20125343,0.32076595,0.51277067,0.07237190,0.05721168,1.08712861
-5.66983492,2.70922868,0.04765347,0.20186827,0.34204330,0.52756454,0.07783210,0.05837260,1.14294225
-5.66383192,2.81782240,0.04897650,0.20349712,0.36504389,0.54460210,0.08476661,0.05974159,1.20273924
-5.65782891,2.93636311,0.05039609,0.20617306,0.38967846,0.56387776,0.09325317,0.06131435,1.26613476
-5.65182591,3.06424854,0.05190624,0.20991755,0.41586236,0.58536575,0.10337448,0.06308486,1.33272671
-5.64582291,3.20083180,0.05349934,0.21474070,0.44352065,0.60902300,0.11521669,0.06504558,1.40211149
-5.63981991,3.34545022,0.05516660,0.22064205,0.47259265,0.63479246,0.12886719,0.06718774,1.47389952
-5.63381691,3.49745363,0.05689868,0.22761169,0.50303567,0.66260666,0.14441168,0.06950158,1.54772966
-5.62781391,3.65623015,0.05868615,0.23563150,0.53482765,0.69239115,0.16193072,0.07197654,1.62328173
-5.62181091,3.82122777,0.06051998,0.24467670,0.56796831,0.72406771,0.18149566,0.07460148,1.70028616
-5.61580790,3.99197018,0.06239192,0.25471733,0.60247882,0.75755691,0.20316416,0.07736472,1.77853022
-5.60980490,4.16806546,0.06429472,0.26571971,0.63839970,0.79277988,0.22697550,0.08025410,1.85786021
-5.60380190,4.34920678,0.06622229,0.27764762,0.67578695,0.82965915,0.25294574,0.08325693,1.93817935
-5.59779890,4.53516457,0.06816965,0.29046325,0.71470651,0.86811838,0.28106299,0.08635985,2.01944124
-5.59179590,4.72577020,0.07013275,0.30412769,0.75522713,0.90808093,0.31128299,0.08954868,2.10163919
-5.58579290,4.92089181,0.07210823,0.31860097,0.79741187,0.94946746,0.34352512,0.09280817,2.18479180
-5.57978989,5.12040335,0.07409305,0.33384162,0.84130874,0.99219252,0.37766927,0.09612176,2.26892543
-5.57378689,5.32414834,0.07608400,0.34980578,0.88694054,1.03616042,0.41355337,0.09947138,2.35405451
-5.56778389,5.53190038,0.07807734,0.36644584,0.93429475,1.08126066,0.45097214,0.10283721,2.44016071
-5.56178089,5.74332251,0.08006830,0.38370885,0.98331365,1.12736318,0.48967693,0.10619758,2.52717205
-5.55577789,5.95792793,0.08205076,0.40153459,1.03388527,1.17431371,0.52937677,0.10952896,2.61494305
-5.54977489,6.17504425,0.08401692,0.41985371,1.08583577,1.22192971,0.56974080,0.11280598,2.70323717
-5.54377189,6.39378369,0.08595718,0.43858592,1.13892346,1.26999705,0.61040189,0.11600168,2.79171244
-5.53776888,6.61302118,0.08786011,0.45763839,1.19283512,1.31826775,0.65096155,0.11908781,2.87991121
-5.53176588,6.83138197,0.08971249,0.47690461,1.24718468,1.36645902,0.69099600,0.12203528,2.96725472
-5.52576288,7.04724005,0.09149963,0.49626382,1.30151475,1.41425379,0.73006317,0.12481472,3.05304292
-5.51975988,7.25872806,0.09320566,0.51558096,1.35530092,1.46130269,0.76771060,0.12739707,3.13645999
-5.51375688,7.46375878,0.09481396,0.53470744,1.40795893,1.50722751,0.80348392,0.12975431,3.21658522
-5.50775388,7.66005803,0.09630771,0.55348252,1.45885467,1.55162621,0.83693585,0.13186010,3.29240940
-5.50175088,7.84520791,0.09767034,0.57173547,1.50731673,1.59407904,0.86763525,0.13369048,3.36285603
-5.49574787,8.01669897,0.09888608,0.58928830,1.55265118,1.63415580,0.89517617,0.13522447,3.42680676
-5.48974487,8.17198978,0.09994038,0.60595897,1.59415831,1.67142390,0.91918661,0.13644457,3.48313020
-5.48374187,8.30857143,0.10082033,0.62156504,1.63115063,1.70545687,0.93933669,0.13733718,3.53071319
-5.47773887,8.42403484,0.10151491,0.63592754,1.66297173,1.73584305,0.95534606,0.13789284,3.56849335
-5.47173587,8.51613835,0.10201516,0.64887483,1.68901539,1.76219423,0.96699033,0.13810635,3.59549176
-5.46573287,8.58287304,0.10231429,0.66024640,1.70874410,1.78415387,0.97410629,0.13797669,3.61084467
-5.45972986,8.62252347,0.10240759,0.66989648,1.72170669,1.80140461,0.97659588,0.13750686,3.61383300
-5.45372686,8.63372161,0.10229228,0.67769715,1.72755418,1.81367509,0.97442863,0.13670355,3.60390857
-5.44772386,8.61549226,0.10196738,0.68354116,1.72605343,1.82074562,0.96764262,0.13557667,3.58071608
-5.44172086,8.56728824,0.10143338,0.68734410,1.71709815,1.82245297,0.95634391,0.13413891,3.54411016
-5.43571786,8.48901463,0.10069207,0.68904617,1.70071683,1.81869393,0.94070437,0.13240513,3.49416661
-5.42971486,8.38104136,0.09974626,0.68861343,1.67707743,1.80942788,0.92095810,0.13039186,3.43118772
-5.42371186,8.24420425,0.09859965,0.68603857,1.64648871,1.79467846,0.89739645,0.12811678,3.35570139
-5.41770885,8.07979483,0.09725672,0.68134146,1.60939823,1.77453421,0.87036194,0.12559824,3.26845417
-5.41170585,7.88954002,0.09572275,0.67456926,1.56638726,1.74914866,0.84024109,0.12285493,3.17039856
-5.40570285,7.67557273,0.09400394,0.66579655,1.51816279,1.71873972,0.80745666,0.11990563,3.06267520
-5.39969985,7.44039502,0.09210762,0.65512519,1.46554716,1.68358854,0.77245927,0.11676911,2.94659061
-5.39369685,7.18683538,0.09004256,0.64268428,1.40946571,1.64403809,0.73571898,0.11346412,2.82359151
-5.38769385,6.91800195,0.08781937,0.62863000,1.35093291,1.60049131,0.69771682,0.11000957,2.69523661
-5.38169085,6.63723311,0.08545096,0.61314551,1.29103761,1.55340883,0.65893678,0.10642475,2.56316689
-5.37568784,6.34804716,0.08295294,0.59644070,1.23092769,1.50330646,0.61985830,0.10272969,2.42907551
-5.36968484,6.05409200,0.08034406,0.57875187,1.17179462,1.45075195,0.58094948,0.09894553,2.29467806
-5.36368184,5.75909595,0.07764656,0.56034101,1.11485818,1.39636130,0.54266126,0.09509498,2.16168419
-5.35767884,5.46682018,0.07488643,0.54149479,1.06135145,1.34079407,0.50542248,0.09120268,2.03177103
-5.35167584,5.18101289,0.07209346,0.52252290,1.01250627,1.28474787,0.46963597,0.08729554,1.90655900
-5.34567284,4.90536546,0.06930120,0.50375570,0.96953886,1.22895161,0.43567553,0.08340301,1.78759021
-5.33966983,4.64346996,0.06654664,0.48554101,0.93363570,1.17415754,0.40388382,0.07955718,1.67630963
-5.33366683,4.39877791,0.06386973,0.46823991,0.90593916,1.12113189,0.37457092,0.07579275,1.57404880
-5.32766383,4.17455963,0.06131270,0.45222156,0.88753288,1.07064430,0.34801344,0.07214682,1.48201207
-5.32166083,3.97386384,0.05891906,0.43785693,0.87942632,1.02345585,0.32445411,0.06865848,1.40126494
-5.31565783,3.79947723,0.05673259,0.42551155,0.88253861,0.98030617,0.30410147,0.06536828,1.33272436
-5.30965483,3.65388404,0.05479601,0.41553737,0.89768127,0.94189955,0.28712969,0.06231744,1.27715055
-5.30365183,3.53922576,0.05314965,0.40826393,0.92554011,0.90889077,0.27367831,0.05954699,1.23514015
-5.29764882,3.45726170,0.05183003,0.40398901,0.96665631,0.88187070,0.26385180,0.05709675,1.20712061
-5.29164582,3.40933120,0.05086837,0.40296921,1.02140718,0.86135240,0.25771888,0.05500425,1.19334564
-5.28564282,3.39631880,0.05028926,0.40541064,1.08998725,0.84775813,0.25531173,0.05330359,1.19389184
-5.27963982,3.41862376,0.05010936,0.41146012,1.17239027,0.84140766,0.25662494,0.05202435,1.20865672
-5.27363682,3.47613552,0.05033631,0.42119745,1.26839320,0.84250862,0.26161449,0.05119051,1.23735826
-5.26763382,3.56821686,0.05096790,0.43462890,1.37754317,0.85114903,0.27019680,0.05081949,1.27953638
-5.26163082,3.69369615,0.05199145,0.45168248,1.49914839,0.86729252,0.28224802,0.05092140,1.33455670
-5.25562781,3.85087035,0.05338361,0.47220510,1.63227408,0.89077656,0.29760384,0.05149836,1.40161683
-5.24962481,4.03751953,0.05511042,0.49596215,1.77574432,0.92131359,0.31605980,0.05254417,1.47975548
-5.24362181,4.25093380,0.05712784,0.52263943,1.92815051,0.95849540,0.33737248,0.05404413,1.56786463
-5.23761881,4.48795268,0.05938256,0.55184759,2.08786690,1.00180036,0.36126158,0.05597516,1.66470469
-5.23161581,4.74501649,0.06181327,0.58312916,2.25307331,1.05060346,0.38741291,0.05830619,1.76892257
-5.22561281,5.01822885,0.06435216,0.61596784,2.42178496,1.10418872,0.41548251,0.06099877,1.87907250
-5.21960980,5.30342874,0.06692679,0.64979999,2.59188867,1.16176363,0.44510158,0.06400795,1.99363892
-5.21360680,5.59626995,0.06946215,0.68402792,2.76118460,1.22247498,0.47588238,0.06728334,2.11106113
-5.20760380,5.89230576,0.07188285,0.71803446,2.92743231,1.28542569,0.50742473,0.07077037,2.22975883
-5.20160080,6.18707599,0.07411545,0.75119852,3.08839959,1.34969198,0.53932298,0.07441167,2.34815793
-5.19559780,6.47619359,0.07609070,0.78291087,3.24191231,1.41434039,0.57117318,0.07814851,2.46471572
-5.18959480,6.75542820,0.07774573,0.81258973,3.38590364,1.47844416,0.60258012,0.08192227,2.57794476
-5.18359180,7.02078393,0.07902601,0.83969563,3.51846070,1.54109859,0.63316400,0.08567596,2.68643478
-5.17758879,7.26856922,0.07988706,0.86374493,3.63786706,1.60143497,0.66256645,0.08935554,2.78887207
-5.17158579,7.49545701,0.08029583,0.88432156,3.74263961,1.65863301,0.69045559,0.09291125,2.88405591
-5.16558279,7.69853405,0.08023166,0.90108677,3.83155855,1.71193160,0.71653015,0.09629874,2.97091187
-5.15957979,7.87533860,0.07968689,0.91378642,3.90368969,1.76063790,0.74052230,0.09947999,3.04850198
-5.15357679,8.02388666,0.07866690,0.92225574,3.95839862,1.80413492,0.76219930,0.10242415,3.11603182
-5.14757379,8.14268701,0.07718988,0.92642160,3.99535660,1.84188771,0.78136406,0.10510801,3.17285491
-5.14157079,8.23074622,0.07528607,0.92630219,4.01453851,1.87344845,0.79785464,0.10751646,3.21847474
-5.13556778,8.28756470,0.07299669,0.92200445,4.01621344,1.89846060,0.81154286,0.10964261,3.25254494
-5.12956478,8.31312548,0.07037256,0.91371932,4.00092878,1.91666241,0.82233240,0.11148782,3.27486804
-5.12356178,8.30787698,0.06747250,0.90171524,3.96948893,1.92788994,0.83015650,0.11306158,3.28539326
-5.11755878,8.27271142,0.06436152,0.88633023,3.92292969,1.93207962,0.83497556,0.11438117,3.28421374
-5.11155578,8.20893988,0.06110900,0.86796279,3.86248960,1.92927050,0.83677500,0.11547133,3.27156327
-5.10555278,8.11826505,0.05778678,0.84706216,3.78957924,1.91960603,0.83556336,0.11636375,3.24781286
-5.09954977,8.00275207,0.05446738,0.82411802,3.70574970,1.90333519,0.83137100,0.11709652,3.21346677
-5.09354677,7.86479765,0.05122228,0.79965017,3.61266082,1.88081274,0.82424932,0.11771341,3.16915805
