energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.80435680,0.07594015,0.00000000,0.64214157,0.00000000,0.81495444,0.43870293
-5.99399700,1.82576059,0.07975607,0.00000000,0.67814330,0.00000000,0.83525782,0.44333612
-5.98799400,1.84545718,0.08379712,0.00000000,0.71593324,0.00000000,0.85593705,0.44736084
-5.98199100,1.86405983,0.08807085,0.00000000,0.75547473,0.00000000,0.87718473,0.45091757
-5.97598799,1.88213249,0.09257624,0.00000000,0.79665223,0.00000000,0.89915019,0.45413589
-5.96998499,1.90015122,0.09730209,0.00000000,0.83926106,0.00000000,0.92192236,0.45712574
-5.96398199,1.91847125,0.10222581,0.00000000,0.88300070,0.00000000,0.94551590,0.45997008
-5.95797899,1.93730158,0.10731263,0.00000000,0.92747229,0.00000000,0.96986133,0.46271929
-5.95197599,1.95668863,0.11251543,0.00000000,0.97218097,0.00000000,0.99479997,0.46538772
-5.94597299,1.97650982,0.11777511,0.00000000,1.01654298,0.00000000,1.02008397,0.46795264
-5.93996998,1.99647761,0.12302155,0.00000000,1.05989779,0.00000000,1.04538162,0.47035546
-5.93396698,2.01615362,0.12817520,0.00000000,1.10152470,0.00000000,1.07028782,0.47250542
-5.92796398,2.03497206,0.13314915,0.00000000,1.14066347,0.00000000,1.09433911,0.47428530
-5.92196098,2.05227124,0.13785173,0.00000000,1.17653818,0.00000000,1.11703269,0.47555889
-5.91595798,2.06733107,0.14218939,0.00000000,1.20838314,0.00000000,1.13784830,0.47617978
-5.90995498,2.07941462,0.14606990,0.00000000,1.23546991,0.00000000,1.15627198,0.47600090
-5.90395198,2.08781121,0.14940555,0.00000000,1.25713404,0.00000000,1.17182031,0.47488424
-5.89794897,2.09187850,0.15211645,0.00000000,1.27280029,0.00000000,1.18406395,0.47271015
-5.89194597,2.09108141,0.15413349,0.00000000,1.28200526,0.00000000,1.19264915,0.46938577
