energy_ev,total_up,Bi_p_up,Bi_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.46873796,0.75326079,0.02048101,1.31657372,1.67748202,0.00534800,0.11337497
-5.99399700,2.56657617,0.78040884,0.02126496,1.35415175,1.75416640,0.00552536,0.11179669
-5.98799400,2.65760405,0.80578921,0.02197594,1.38945076,1.82579518,0.00568422,0.11018281
-5.98199100,2.73992383,0.82877783,0.02260043,1.42163184,1.89102592,0.00581994,0.10849537
-5.97598799,2.81182763,0.84880635,0.02312666,1.44991915,1.94865406,0.00592835,0.10669973
-5.96998499,2.87185064,0.86537758,0.02354503,1.47362541,1.99765106,0.00600590,0.10476584
-5.96398199,2.91881818,0.87807931,0.02384849,1.49217524,2.03719808,0.00604981,0.10266936
-5.95797899,2.95188487,0.88659601,0.02403284,1.50512563,2.06671382,0.00605815,0.10039260
-5.95197599,2.97056423,0.89071795,0.02409696,1.51218251,2.08587545,0.00602991,0.09792531
-5.94597299,2.97474759,0.89034737,0.02404288,1.51321283,2.09463168,0.00596505,0.09526515
-5.93996998,2.96471172,0.88550153,0.02387584,1.50825151,2.09320777,0.00586449,0.09241794
-5.93396698,2.94111489,0.87631249,0.02360416,1.49750336,2.08210219,0.00573008,0.08939762
-5.92796398,2.90498185,0.86302365,0.02323911,1.48133965,2.06207547,0.00556455,0.08622591
-5.92196098,2.85767852,0.84598328,0.02279458,1.46028989,2.03413165,0.00537142,0.08293179
-5.91595798,2.80087766,0.82563527,0.02228678,1.43502911,1.99949352,0.00515487,0.07955066
-5.90995498,2.73651699,0.80250742,0.02173381,1.40636140,1.95957255,0.00491961,0.07612340
-5.90395198,2.66675162,0.77719791,0.02115522,1.37520038,1.91593491,0.00467075,0.07269529
-5.89794897,2.59390242,0.75036016,0.02057157,1.34254744,1.87026479,0.00441365,0.06931486
-5.89194597,2.52040209,0.72268691,0.02000390,1.30946843,1.82432621,0.00415374,0.06603263
-5.88594297,2.44874054,0.69489366,0.01947329,1.27706969,1.77992449,0.00389639,0.06290000
-5.87993997,2.38141089,0.66770217,0.01900038,1.24647381,1.73886808,0.00364678,0.05996808
-5.87393697,2.32085705,0.64182430,0.01860493,1.21879579,1.70293171,0.00340977,0.05728663
-5.86793397,2.26942372,0.61794650,0.01830540,1.19511987,1.67382098,0.00318979,0.05490316
-5.86193097,2.22930923,0.59671520,0.01811860,1.17647723,1.65313890,0.00299076,0.05286199
-5.85592796,2.20252145,0.57872337,0.01805927,1.16382473,1.64235436,0.00281602,0.05120355
-5.84992496,2.19083690,0.56449819,0.01813983,1.15802478,1.64277250,0.00266826,0.04996367
-5.84392196,2.19576304,0.55449012,0.01837003,1.15982622,1.65550698,0.00254952,0.04917305
-5.83791896,2.21850373,0.54906327,0.01875673,1.16984640,1.68145419,0.00246117,0.04885667
-5.83191596,2.25992817,0.54848726,0.01930364,1.18855454,1.72126933,0.00240389,0.04903337
-5.82591296,2.32054350,0.55293050,0.02001117,1.21625645,1.77534490,0.00237769,0.04971540
-5.81990995,2.40047164,0.56245515,0.02087625,1.25308109,1.84379177,0.00238195,0.05090806
-5.81390695,2.49943126,0.57701378,0.02189226,1.29896924,1.92642373,0.00241543,0.05260937
-5.80790395,2.61672574,0.59644789,0.02304898,1.35366503,2.02274619,0.00247636,0.05480980
-5.80190095,2.75123849,0.62048851,0.02433263,1.41671066,2.13195009,0.00256241,0.05749212
-5.79589795,2.90143661,0.64875908,0.02572601,1.48744540,2.25291216,0.00267083,0.06063137
-5.78989495,3.06538440,0.68078074,0.02720873,1.56500908,2.38420233,0.00279844,0.06419488
-5.78389195,3.24076758,0.71598019,0.02875746,1.64835111,2.52409947,0.00294175,0.06814262
-5.77788894,3.42492897,0.75370019,0.03034644,1.73624512,2.67061606,0.00309699,0.07242766
-5.77188594,3.61491619,0.79321270,0.03194792,1.82730976,2.82153208,0.00326022,0.07699687
-5.76588294,3.80754089,0.83373453,0.03353285,1.92003549,2.97443825,0.00342739,0.08179192
