energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.11988656,-1.35275822,0.00324727,-0.00957721,0.07345006,-0.07265690,0.53014312,-0.64035802,0.18844660,-0.17992806,0.66467132,-0.83366781,0.12529944,-0.14637959,0.63229468,-0.80392488,0.00000000,-0.00000000
-5.99399700,1.11314961,-1.30787080,0.00279623,-0.00845474,0.07604678,-0.07152401,0.52658267,-0.62342115,0.19285433,-0.17741713,0.65165797,-0.80538879,0.12573858,-0.14012353,0.62281960,-0.77499366,0.00000000,-0.00000000
-5.98799400,1.11374991,-1.26468377,0.00240217,-0.00742965,0.07933179,-0.07054012,0.52592447,-0.60654032,0.19873832,-0.17505341,0.64199706,-0.77729473,0.12722623,-0.13441338,0.61707780,-0.74691708,0.00000000,-0.00000000
-5.98199100,1.12211598,-1.22393993,0.00205937,-0.00650039,0.08334033,-0.06977308,0.52837764,-0.59011472,0.20621000,-0.17297535,0.63596069,-0.74979091,0.12977595,-0.12932487,0.61529761,-0.72009164,0.00000000,-0.00000000
-5.97598799,1.13851811,-1.18642594,0.00176238,-0.00566387,0.08809195,-0.06929510,0.53407328,-0.57456811,0.21534700,-0.17133796,0.63374121,-0.72331415,0.13338283,-0.12493190,0.61762704,-0.69493581,0.00000000,-0.00000000
-5.96998499,1.16304463,-1.15295499,0.00150613,-0.00491576,0.09358815,-0.06918117,0.54305453,-0.56033786,0.22618721,-0.17030880,0.63543938,-0.69832269,0.13802135,-0.12130543,0.62412209,-0.67188090,0.00000000,-0.00000000
-5.96398199,1.19558363,-1.12434496,0.00128596,-0.00425082,0.09981035,-0.06950714,0.55526952,-0.54786205,0.23872396,-0.17006304,0.64105591,-0.67528340,0.14364392,-0.11851196,0.63473793,-0.65135944,0.00000000,-0.00000000
-5.95797899,1.23581151,-1.10139256,0.00109763,-0.00366322,0.10671853,-0.07034739,0.57056786,-0.53756506,0.25290258,-0.17077775,0.65048665,-0.65465700,0.15017997,-0.11661152,0.64932377,-0.63379146,0.00000000,-0.00000000
-5.95197599,1.28318904,-1.08484489,0.00093734,-0.00314676,0.11425051,-0.07177240,0.58870092,-0.52984227,0.26861849,-0.17262569,0.66352178,-0.63688196,0.15753599,-0.11565538,0.66762160,-0.61956936,0.00000000,-0.00000000
-5.94597299,1.33696563,-1.07536938,0.00080166,-0.00269513,0.12232200,-0.07384598,0.60932593,-0.52504452,0.28571712,-0.17576862,0.67984922,-0.62235776,0.16559639,-0.11568360,0.68926912,-0.60904208,0.00000000,-0.00000000
