energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.42300044,0.00773248,0.21249364,0.02188737,0.00005446,0.11569018,0.05785116
-5.99399700,0.42885723,0.00749028,0.21202366,0.02395470,0.00005599,0.12236129,0.05809450
-5.98799400,0.43799983,0.00736730,0.21287941,0.02618460,0.00005797,0.12981337,0.05885905
-5.98199100,0.45047745,0.00737833,0.21512826,0.02856448,0.00006040,0.13801035,0.06017161
-5.97598799,0.46629583,0.00753842,0.21880822,0.03108126,0.00006323,0.14690645,0.06205350
-5.96998499,0.48541994,0.00786292,0.22392836,0.03372152,0.00006643,0.15644736,0.06452074
-5.96398199,0.50777763,0.00836741,0.23047014,0.03647167,0.00006996,0.16657165,0.06758420
-5.95797899,0.53326385,0.00906765,0.23838951,0.03931824,0.00007378,0.17721233,0.07124993
-5.95197599,0.56174513,0.00997930,0.24761962,0.04224797,0.00007783,0.18829851,0.07551933
-5.94597299,0.59306407,0.01111774,0.25807385,0.04524798,0.00008208,0.19975696,0.08038936
-5.93996998,0.62704331,0.01249764,0.26964912,0.04830588,0.00008647,0.21151366,0.08585265
-5.93396698,0.66348882,0.01413248,0.28222921,0.05140973,0.00009096,0.22349504,0.09189737
-5.92796398,0.70219223,0.01603403,0.29568786,0.05454803,0.00009550,0.23562899,0.09850704
-5.92196098,0.74293204,0.01821167,0.30989163,0.05770960,0.00010003,0.24784555,0.10566010
-5.91595798,0.78547364,0.02067173,0.32470231,0.06088329,0.00010453,0.26007717,0.11332933
-5.90995498,0.82956813,0.02341672,0.33997889,0.06405778,0.00010895,0.27225866,0.12148111
-5.90395198,0.87495030,0.02644466,0.35557896,0.06722120,0.00011324,0.28432675,0.13007464
-5.89794897,0.92133574,0.02974836,0.37135972,0.07036079,0.00011739,0.29621946,0.13906104
-5.89194597,0.96841768,0.03331484,0.38717856,0.07346253,0.00012134,0.30787518,0.14838259
-5.88594297,1.01586395,0.03712490,0.40289334,0.07651081,0.00012508,0.31923170,0.15797203
-5.87993997,1.06331449,0.04115282,0.41836258,0.07948816,0.00012857,0.33022538,0.16775216
-5.87393697,1.11037997,0.04536625,0.43344563,0.08237516,0.00013179,0.34079040,0.17763569
-5.86793397,1.15664207,0.04972647,0.44800304,0.08515035,0.00013472,0.35085838,0.18752559
-5.86193097,1.20165568,0.05418876,0.46189732,0.08779046,0.00013732,0.36035848,0.19731584
-5.85592796,1.24495356,0.05870319,0.47499415,0.09027067,0.00013958,0.36921800,0.20689275
-5.84992496,1.28605351,0.06321558,0.48716419,0.09256521,0.00014148,0.37736354,0.21613682
-5.84392196,1.32446805,0.06766880,0.49828550,0.09464801,0.00014299,0.38472286,0.22492517
-5.83791896,1.35971654,0.07200425,0.50824658,0.09649363,0.00014411,0.39122723,0.23313437
-5.83191596,1.39133938,0.07616355,0.51694997,0.09807818,0.00014481,0.39681424,0.24064376
-5.82591296,1.41891356,0.08009031,0.52431615,0.09938048,0.00014508,0.40143106,0.24733902
-5.81990995,1.44206909,0.08373196,0.53028771,0.10038310,0.00014491,0.40503775,0.25311585
-5.81390695,1.46050534,0.08704160,0.53483336,0.10107344,0.00014431,0.40761051,0.25788365
-5.80790395,1.47400637,0.08997956,0.53795161,0.10144469,0.00014327,0.40914476,0.26156898
-5.80190095,1.48245430,0.09251496,0.53967376,0.10149659,0.00014180,0.40965752,0.26411863
-5.79589795,1.48583982,0.09462683,0.54006584,0.10123597,0.00013991,0.40918920,0.26550205
-5.78989495,1.48426907,0.09630494,0.53922944,0.10067698,0.00013763,0.40780430,0.26571318
-5.78389195,1.47796613,0.09755022,0.53730089,0.09984104,0.00013499,0.40559115,0.26477129
-5.77788894,1.46727073,0.09837471,0.53444898,0.09875639,0.00013202,0.40266033,0.26272097
-5.77188594,1.45263098,0.09880110,0.53087084,0.09745731,0.00012876,0.39914204,0.25963116
-5.76588294,1.43459122,0.09886179,0.52678632,0.09598306,0.00012527,0.39518219,0.25559315
-5.75987994,1.41377522,0.09859756,0.52243073,0.09437643,0.00012160,0.39093762,0.25071773
-5.75387694,1.39086551,0.09805589,0.51804644,0.09268222,0.00011780,0.38657036,0.24513157
-5.74787394,1.36657956,0.09728897,0.51387346,0.09094540,0.00011393,0.38224148,0.23897296
-5.74187094,1.34164395,0.09635157,0.51013953,0.08920933,0.00011005,0.37810460,0.23238705
-5.73586793,1.31676761,0.09529872,0.50705017,0.08751398,0.00010622,0.37429954,0.22552093
-5.72986493,1.29261551,0.09418355,0.50477914,0.08589421,0.00010249,0.37094628,0.21851868
-5.72386193,1.26978385,0.09305507,0.50345983,0.08437835,0.00009892,0.36813976,0.21151657
-5.71785893,1.24877812,0.09195630,0.50317808,0.08298700,0.00009555,0.36594563,0.20463876
-5.71185593,1.22999486,0.09092265,0.50396674,0.08173223,0.00009240,0.36439716,0.19799349
-5.70585293,1.21370812,0.08998063,0.50580235,0.08061711,0.00008953,0.36349369,0.19167014
-5.69984992,1.20006101,0.08914706,0.50860425,0.07963574,0.00008693,0.36320040,0.18573706
-5.69384692,1.18906278,0.08842864,0.51223601,0.07877363,0.00008462,0.36344963,0.18024030
-5.68784392,1.18059148,0.08782209,0.51650941,0.07800854,0.00008262,0.36414359,0.17520335
-5.68184092,1.17440183,0.08731459,0.52119059,0.07731158,0.00008090,0.36515830,0.17062776
-5.67583792,1.17013793,0.08688476,0.52600835,0.07664872,0.00007945,0.36634860,0.16649457
-5.66983492,1.16735006,0.08650390,0.53066400,0.07598240,0.00007826,0.36755389,0.16276650
-5.66383192,1.16551468,0.08613755,0.53484252,0.07527338,0.00007729,0.36860445,0.15939076
-5.65782891,1.16405669,0.08574724,0.53822440,0.07448251,0.00007651,0.36932782,0.15630229
-5.65182591,1.16237286,0.08529237,0.54049766,0.07357259,0.00007589,0.36955523,0.15342726
-5.64582291,1.15985541,0.08473208,0.54136957,0.07250994,0.00007538,0.36912754,0.15068677
-5.63981991,1.15591478,0.08402708,0.54057746,0.07126589,0.00007495,0.36790060,0.14800039
-5.63381691,1.15000062,0.08314137,0.53789826,0.06981793,0.00007455,0.36574982,0.14528966
-5.62781391,1.14162034,0.08204371,0.53315632,0.06815056,0.00007415,0.36257378,0.14248112
-5.62181091,1.13035456,0.08070886,0.52622931,0.06625580,0.00007371,0.35829680,0.13950905
-5.61580790,1.11586913,0.07911851,0.51705186,0.06413339,0.00007319,0.35287047,0.13631764
