energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.21299166,-2.90570503,0.00785838,-0.01404891,0.00000000,-0.00000000,0.37870571,-1.62321697,0.32181078,-0.78333077,0.01492218,-0.01130328,0.09783628,-0.65303025,0.02000142,-0.01628541,0.63970528,-1.13720458
-5.99399700,1.21537763,-2.88093432,0.00784170,-0.01354187,0.00000000,-0.00000000,0.38146986,-1.58097741,0.31484372,-0.79830079,0.01577815,-0.01089365,0.09977506,-0.66415944,0.02099657,-0.01616702,0.64242769,-1.10543402
-5.98799400,1.22240975,-2.85199571,0.00783743,-0.01302294,0.00000000,-0.00000000,0.38770534,-1.53559114,0.30958250,-0.81161542,0.01661905,-0.01051751,0.10356923,-0.67335508,0.02198981,-0.01607974,0.64590585,-1.07319205
-5.98199100,1.23332995,-2.81931639,0.00784207,-0.01250161,0.00000000,-0.00000000,0.39693933,-1.48763597,0.30593816,-0.82303664,0.01743017,-0.01018566,0.10905713,-0.68038819,0.02296490,-0.01603136,0.64980359,-1.04106787
-5.97598799,1.24739351,-2.78331424,0.00785219,-0.01198720,0.00000000,-0.00000000,0.40870605,-1.43766034,0.30381828,-0.83234512,0.01819712,-0.00990815,0.11606993,-0.68504014,0.02390552,-0.01602892,0.65380204,-1.00962868
-5.96998499,1.26387059,-2.74439457,0.00786451,-0.01148860,0.00000000,-0.00000000,0.42254827,-1.38617603,0.30312352,-0.83934792,0.01890607,-0.00969400,0.12443043,-0.68711185,0.02479553,-0.01607857,0.65760316,-0.97940606
-5.96398199,1.28204730,-2.70294853,0.00787589,-0.01101407,0.00000000,-0.00000000,0.43801818,-1.33365351,0.30374442,-0.84388578,0.01954406,-0.00955096,0.13395187,-0.68643317,0.02561932,-0.01618545,0.66093295,-0.95088347
-5.95797899,1.30122701,-2.65935288,0.00788341,-0.01057105,0.00000000,-0.00000000,0.45467763,-1.28051971,0.30555874,-0.84583944,0.02009926,-0.00948532,0.14443702,-0.68287177,0.02636206,-0.01635362,0.66354424,-0.92448550
-5.95197599,1.32073236,-2.61397043,0.00788436,-0.01016595,0.00000000,-0.00000000,0.47209844,-1.22715797,0.30842978,-0.84513469,0.02056123,-0.00950173,0.15567787,-0.67634101,0.02701004,-0.01658592,0.66521917,-0.90056883
-5.94597299,1.33990852,-2.56715075,0.00787629,-0.00980407,0.00000000,-0.00000000,0.48986292,-1.17390963,0.31220579,-0.84174581,0.02092112,-0.00960308,0.16745604,-0.66680637,0.02755092,-0.01688398,0.66577145,-0.87941538
-5.93996998,1.35812800,-2.51923044,0.00785707,-0.00948942,0.00000000,-0.00000000,0.50756493,-1.12107691,0.31672059,-0.83569708,0.02117185,-0.00979040,0.17954396,-0.65428997,0.02797406,-0.01724813,0.66504834,-0.86122750
-5.93396698,1.37479698,-2.47053282,0.00782494,-0.00922474,0.00000000,-0.00000000,0.52481176,-1.06892654,0.32179559,-0.82706245,0.02130826,-0.01006290,0.19170721,-0.63887295,0.02827073,-0.01767743,0.66293236,-0.84612547
-5.92796398,1.38936339,-2.42136642,0.00777851,-0.00901143,0.00000000,-0.00000000,0.54122672,-1.01769370,0.32724306,-0.81596305,0.02132720,-0.01041789,0.20370757,-0.62069550,0.02843435,-0.01816962,0.65934271,-0.83414703
-5.92196098,1.40132634,-2.37202244,0.00771685,-0.00884956,0.00000000,-0.00000000,0.55645278,-0.96758593,0.33287057,-0.80256286,0.02122759,-0.01085094,0.21530721,-0.59995449,0.02846067,-0.01872121,0.65423640,-0.82524919
-5.91595798,1.41024676,-2.32277098,0.00763949,-0.00873794,0.00000000,-0.00000000,0.57015690,-0.91878669,0.33848656,-0.78706278,0.02101041,-0.01135594,0.22627353,-0.57689886,0.02834788,-0.01932748,0.64760892,-0.81931187
-5.90995498,1.41575866,-2.27385656,0.00754649,-0.00867420,0.00000000,-0.00000000,0.58203513,-0.87145831,0.34390659,-0.76969316,0.02067866,-0.01192529,0.23638462,-0.55182296,0.02809673,-0.01998253,0.63949463,-0.81614341
-5.90395198,1.41758073,-2.22549300,0.00743845,-0.00865489,0.00000000,-0.00000000,0.59181803,-0.82574430,0.34896025,-0.75070563,0.02023726,-0.01255003,0.24543512,-0.52505820,0.02771048,-0.02067942,0.62996662,-0.81548775
-5.89794897,1.41552743,-2.17785841,0.00731655,-0.00867559,0.00000000,-0.00000000,0.59927642,-0.78177107,0.35349822,-0.73036424,0.01969294,-0.01322009,0.25324220,-0.49696343,0.02719493,-0.02141017,0.61913619,-0.81703287
-5.89194597,1.40951931,-2.13109069,0.00718253,-0.00873112,0.00000000,-0.00000000,0.60422683,-0.73964889,0.35739926,-0.70893674,0.01905403,-0.01392454,0.25965125,-0.46791463,0.02655827,-0.02216593,0.60715183,-0.82042055
-5.88594297,1.39959156,-2.08528412,0.00703871,-0.00881566,0.00000000,-0.00000000,0.60653656,-0.69947259,0.36057676,-0.68668637,0.01833025,-0.01465175,0.26454120,-0.43829428,0.02581092,-0.02293711,0.59419772,-0.82525682
-5.87993997,1.38590062,-2.04048761,0.00688796,-0.00892295,0.00000000,-0.00000000,0.60612787,-0.66132179,0.36298451,-0.66386444,0.01753248,-0.01538971,0.26782896,-0.40848110,0.02496533,-0.02371344,0.58049185,-0.83112313
-5.87393697,1.36872795,-1.99670484,0.00673372,-0.00904643,0.00000000,-0.00000000,0.60298100,-0.62526119,0.36462140,-0.64070436,0.01667248,-0.01612622,0.26947288,-0.37884049,0.02403569,-0.02448419,0.56628353,-0.83758771
-5.86793397,1.34848081,-1.95389668,0.00657991,-0.00917946,0.00000000,-0.00000000,0.59713581,-0.59134082,0.36553481,-0.61741705,0.01576263,-0.01684916,0.26947491,-0.34971614,0.02303763,-0.02523827,0.55185050,-0.84421692
-5.86193097,1.32568942,-1.91198590,0.00643088,-0.00931547,0.00000000,-0.00000000,0.58869181,-0.55959659,0.36582237,-0.59418814,0.01481559,-0.01754664,0.26788144,-0.32142316,0.02198786,-0.02596442,0.53749549,-0.85058627
-5.85592796,1.30100047,-1.87086400,0.00629138,-0.00944810,0.00000000,-0.00000000,0.57780636,-0.53005115,0.36563195,-0.57117679,0.01384406,-0.01820725,0.26478249,-0.29424282,0.02090382,-0.02665137,0.52354225,-0.85629073
-5.84992496,1.27516665,-1.83039992,0.00616648,-0.00957138,0.00000000,-0.00000000,0.56469113,-0.50271512,0.36515982,-0.54851615,0.01286050,-0.01882021,0.26030958,-0.26841911,0.01980330,-0.02728798,0.51033101,-0.86095422
-5.84392196,1.24903234,-1.79045020,0.00606141,-0.00967983,0.00000000,-0.00000000,0.54960676,-0.47758876,0.36464679,-0.52631522,0.01187686,-0.01937548,0.25463193,-0.24415711,0.01870403,-0.02786345,0.49821328,-0.86423779
-5.83791896,1.22351546,-1.75086993,0.00598155,-0.00976856,0.00000000,-0.00000000,0.53285590,-0.45466386,0.36437249,-0.50466190,0.01090434,-0.01986398,0.24795144,-0.22162298,0.01762338,-0.02836749,0.48754606,-0.86584652
-5.83191596,1.19958583,-1.71152398,0.00593223,-0.00983336,0.00000000,-0.00000000,0.51477480,-0.43392595,0.36464769,-0.48362669,0.00995323,-0.02027760,0.24049645,-0.20094539,0.01657790,-0.02879047,0.47868529,-0.86553484
-5.82591296,1.17824040,-1.67229762,0.00591865,-0.00987079,0.00000000,-0.00000000,0.49572382,-0.41535648,0.36580505,-0.46326700,0.00903271,-0.02060936,0.23251456,-0.18221820,0.01558309,-0.02912362,0.47197866,-0.86311017
-5.81990995,1.16047585,-1.63310620,0.00594570,-0.00987817,0.00000000,-0.00000000,0.47607703,-0.39893498,0.36818825,-0.44363136,0.00815077,-0.02085341,0.22426479,-0.16550399,0.01465306,-0.02935918,0.46775771,-0.85843497
-5.81390695,1.14725928,-1.59390295,0.00601785,-0.00985362,0.00000000,-0.00000000,0.45621147,-0.38464086,0.37213999,-0.42476342,0.00731410,-0.02100518,0.21600933,-0.15083814,0.01380026,-0.02949054,0.46632938,-0.85142708
-5.80790395,1.13949773,-1.55468473,0.00613900,-0.00979605,0.00000000,-0.00000000,0.43649640,-0.37245485,0.37798912,-0.40670533,0.00652808,-0.02106135,0.20800520,-0.13823312,0.01303529,-0.02951243,0.46796706,-0.84205852
-5.80190095,1.13800734,-1.51549518,0.00631226,-0.00970515,0.00000000,-0.00000000,0.41728282,-0.36235978,0.38603729,-0.38950028,0.00579681,-0.02101990,0.20049620,-0.12768267,0.01236673,-0.02942103,0.47290132,-0.83035286
-5.79589795,1.14348328,-1.47642519,0.00653988,-0.00958133,0.00000000,-0.00000000,0.39889382,-0.35434063,0.39654556,-0.37319410,0.00512309,-0.02088018,0.19370524,-0.11916557,0.01180098,-0.02921407,0.48131066,-0.81638145
-5.78989495,1.15647126,-1.43761066,0.00682307,-0.00942568,0.00000000,-0.00000000,0.38161607,-0.34838388,0.40972155,-0.35783576,0.00450859,-0.02064284,0.18782751,-0.11264884,0.01134220,-0.02889091,0.49331249,-0.80025855
-5.78389195,1.17734191,-1.39922768,0.00716189,-0.00923989,0.00000000,-0.00000000,0.36569263,-0.34447596,0.42570744,-0.34347689,0.00395390,-0.02030991,0.18302459,-0.10809007,0.01099229,-0.02845265,0.50895479,-0.78213576
-5.77788894,1.20626892,-1.36148534,0.00755510,-0.00902620,0.00000000,-0.00000000,0.35131743,-0.34260094,0.44456947,-0.33017025,0.00345870,-0.01988472,0.17941969,-0.10543899,0.01075085,-0.02790210,0.52820879,-0.76219606
