energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-5.79589795,8.65576166,1.62739886,6.50183524,0.01915744,0.14089489,1.66260327,0.00000000
-5.78989495,8.42013468,1.55297367,6.33529738,0.01846778,0.13508131,1.62361210,0.00000000
-5.78389195,8.20621973,1.48587510,6.18600110,0.01783339,0.12979813,1.58647005,0.00000000
-5.77788894,8.01571316,1.42607079,6.05555442,0.01725159,0.12503927,1.55140186,0.00000000
-5.77188594,7.85012882,1.37343764,5.94540012,0.01671917,0.12079596,1.51863618,0.00000000
-5.76588294,7.71076744,1.32777156,5.85678359,0.01623273,0.11705717,1.48839994,0.00000000
-5.75987994,7.59867982,1.28879641,5.79071724,0.01578891,0.11380986,1.46091088,0.00000000
-5.75387694,7.51462586,1.25617225,5.74794295,0.01538469,0.11103896,1.43636883,0.00000000
-5.74787394,7.45903233,1.22950317,5.72889451,0.01501754,0.10872720,1.41494650,0.00000000
-5.74187094,7.43195242,1.20834485,5.73366247,0.01468549,0.10685473,1.39678041,0.00000000
-5.73586793,7.43303069,1.19221238,5.76196408,0.01438726,0.10539879,1.38196286,0.00000000
-5.72986493,7.46147684,1.18058842,5.81312077,0.01412218,0.10433333,1.37053556,0.00000000
-5.72386193,7.51605146,1.17293208,5.88604585,0.01389017,0.10362873,1.36248551,0.00000000
-5.71785893,7.59506650,1.16868854,5.97924461,0.01369170,0.10325164,1.35774357,0.00000000
-5.71185593,7.69640250,1.16729949,6.09082835,0.01352760,0.10316504,1.35618596,0.00000000
-5.70585293,7.81754348,1.16821423,6.21854357,0.01339902,0.10332852,1.35763876,0.00000000
-5.69984992,7.95562958,1.17090115,6.35981617,0.01330733,0.10369873,1.36188504,0.00000000
-5.69384692,8.10752623,1.17485930,6.51181035,0.01325399,0.10423011,1.36867458,0.00000000
-5.68784392,8.26990775,1.17962944,6.67150025,0.01324052,0.10487580,1.37773525,0.00000000
-5.68184092,8.43935196,1.18480424,6.83575202,0.01326845,0.10558868,1.38878557,0.00000000
-5.67583792,8.61244176,1.19003691,7.00141314,0.01333932,0.10632261,1.40154762,0.00000000
-5.66983492,8.78586891,1.19504795,7.16540487,0.01345468,0.10703357,1.41575942,0.00000000
-5.66383192,8.95653483,1.19962934,7.32481386,0.01361615,0.10768090,1.43118600,0.00000000
-5.65782891,9.12164329,1.20364606,7.47697819,0.01382540,0.10822846,1.44762843,0.00000000
-5.65182591,9.27877996,1.20703464,7.61956371,0.01408424,0.10864553,1.46493022,0.00000000
-5.64582291,9.42597441,1.20979864,7.75062648,0.01439463,0.10890765,1.48298047,0.00000000
-5.63981991,9.56174107,1.21200121,7.86865810,0.01475866,0.10899715,1.50171384,0.00000000
-5.63381691,9.68509667,1.21375514,7.97261126,0.01517851,0.10890338,1.52110686,0.00000000
-5.62781391,9.79555291,1.21521053,8.06190398,0.01565642,0.10862277,1.54117114,0.00000000
-5.62181091,9.89308452,1.21654092,8.13640229,0.01619454,0.10815850,1.56194359,0.00000000
-5.61580790,9.97807439,1.21792844,8.19638196,0.01679474,0.10751992,1.58347423,0.00000000
-5.60980490,10.05123847,1.21954862,8.24247146,0.01745848,0.10672184,1.60581245,0.00000000
-5.60380190,10.11353479,1.22155573,8.27557915,0.01818653,0.10578347,1.62899232,0.00000000
-5.59779890,10.16606140,1.22406935,8.29680877,0.01897871,0.10472734,1.65301794,0.00000000
-5.59179590,10.20994924,1.22716283,8.30736794,0.01983368,0.10357810,1.67784975,0.00000000
-5.58579290,10.24625601,1.23085428,8.30847487,0.02074864,0.10236134,1.70339254,0.00000000
-5.57978989,10.27586714,1.23510049,8.30126865,0.02171918,0.10110236,1.72948605,0.00000000
-5.57378689,10.29940981,1.23979420,8.28672820,0.02273903,0.09982517,1.75589877,0.00000000
-5.56778389,10.31718511,1.24476483,8.26560461,0.02380003,0.09855157,1.78232539,0.00000000
-5.56178089,10.32912237,1.24978271,8.23837068,0.02489206,0.09730044,1.80838826,0.00000000
-5.55577789,10.33475869,1.25456657,8.20519064,0.02600309,0.09608725,1.83364300,0.00000000
-5.54977489,10.33324491,1.25879404,8.16591150,0.02711938,0.09492390,1.85758803,0.00000000
-5.54377189,10.32337796,1.26211465,8.12007668,0.02822569,0.09381865,1.87967784,0.00000000
-5.53776888,10.30365784,1.26416476,8.06696060,0.02930560,0.09277649,1.89933931,0.00000000
-5.53176588,10.27236608,1.26458368,8.00562219,0.03034199,0.09179950,1.91599066,0.00000000
-5.52576288,10.22766111,1.26303038,7.93497379,0.03131746,0.09088760,1.92906192,0.00000000
-5.51975988,10.16768516,1.25919980,7.85386110,0.03221484,0.09003929,1.93801615,0.00000000
-5.51375688,10.09067634,1.25283833,7.76114916,0.03301782,0.08925251,1.94237049,0.00000000
-5.50775388,9.99507946,1.24375739,7.65580911,0.03371136,0.08852553,1.94171579,0.00000000
