energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
1.08354177,2.51223527,0.40218127,0.00000000,0.02184199,0.12674892,0.35248124,2.61058076
1.08954477,2.46124565,0.40244495,0.00000000,0.02054156,0.12349986,0.33782473,2.56668838
1.09554777,2.40223439,0.40092906,0.00000000,0.01922451,0.11983143,0.32251779,2.51396970
1.10155078,2.33533741,0.39753582,0.00000000,0.01790145,0.11576980,0.30664499,2.45243697
1.10755378,2.26085305,0.39221268,0.00000000,0.01658338,0.11134777,0.29030660,2.38228970
1.11355678,2.17923724,0.38495310,0.00000000,0.01528125,0.10660404,0.27361636,2.30391197
1.11955978,2.09109421,0.37579587,0.00000000,0.01400560,0.10158244,0.25669878,2.21786448
1.12556278,1.99716296,0.36482310,0.00000000,0.01276626,0.09633093,0.23968602,2.12487138
1.13156578,1.89829981,0.35215699,0.00000000,0.01157208,0.09090056,0.22271450,2.02580222
1.13756878,1.79545770,0.33795535,0.00000000,0.01043074,0.08534437,0.20592147,1.92164979
1.14357179,1.68966272,0.32240624,0.00000000,0.00934864,0.07971620,0.18944153,1.81350442
1.14957479,1.58198902,0.30572178,0.00000000,0.00833082,0.07406951,0.17340345,1.70252590
1.15557779,1.47353269,0.28813144,0.00000000,0.00738091,0.06845628,0.15792722,1.58991386
1.16158079,1.36538567,0.26987516,0.00000000,0.00650122,0.06292592,0.14312159,1.47687780
1.16758379,1.25861071,0.25119632,0.00000000,0.00569276,0.05752435,0.12908204,1.36460789
1.17358679,1.15421795,0.23233511,0.00000000,0.00495536,0.05229316,0.11588931,1.25424740
1.17958979,1.05314414,0.21352235,0.00000000,0.00428780,0.04726895,0.10360851,1.14686786
1.18559280,0.95623494,0.19497401,0.00000000,0.00368793,0.04248285,0.09228875,1.04344745
1.19159580,0.86423071,0.17688660,0.00000000,0.00315287,0.03796019,0.08196322,0.94485349
1.19759880,0.77775622,0.15943352,0.00000000,0.00267910,0.03372040,0.07264977,0.85182901
1.20360180,0.69731413,0.14276247,0.00000000,0.00226268,0.02977703,0.06435181,0.76498392
1.20960480,0.62328233,0.12699390,0.00000000,0.00189933,0.02613796,0.05705952,0.68479044
1.21560780,0.55591483,0.11222047,0.00000000,0.00158461,0.02280579,0.05075120,0.61158269
1.22161081,0.49534580,0.09850746,0.00000000,0.00131406,0.01977826,0.04539477,0.54556008
1.22761381,0.44159643,0.08589401,0.00000000,0.00108322,0.01704885,0.04094928,0.48679394
1.23361681,0.39458401,0.07439505,0.00000000,0.00088782,0.01460740,0.03736646,0.43523691
1.23961981,0.35413277,0.06400377,0.00000000,0.00072378,0.01244081,0.03459211,0.39073443
1.24562281,0.31998593,0.05469449,0.00000000,0.00058734,0.01053371,0.03256748,0.35303789
1.25162581,0.29181862,0.04642577,0.00000000,0.00047502,0.00886921,0.03123051,0.32181871
1.25762881,0.26925110,0.03914359,0.00000000,0.00038374,0.00742950,0.03051701,0.29668303
1.26363182,0.25186213,0.03278452,0.00000000,0.00031079,0.00619657,0.03036174,0.27718658
1.26963482,0.23920212,0.02727871,0.00000000,0.00025387,0.00515273,0.03069942,0.26284934
1.27563782,0.23080584,0.02255267,0.00000000,0.00021110,0.00428122,0.03146583,0.25316985
1.28164082,0.22620480,0.01853175,0.00000000,0.00018104,0.00356665,0.03259879,0.24763894
1.28764382,0.22493886,0.01514227,0.00000000,0.00016265,0.00299548,0.03403935,0.24575280
1.29364682,0.22656734,0.01231335,0.00000000,0.00015537,0.00255634,0.03573295,0.24702524
1.29964982,0.23067942,0.00997828,0.00000000,0.00015908,0.00224045,0.03763072,0.25099918
1.30565283,0.23690381,0.00807571,0.00000000,0.00017412,0.00204186,0.03969092,0.25725727
1.31165583,0.24491755,0.00655038,0.00000000,0.00020133,0.00195771,0.04188044,0.26543145
1.31765883,0.25445398,0.00535369,0.00000000,0.00024203,0.00198852,0.04417635,0.27521154
1.32366183,0.26530959,0.00444400,0.00000000,0.00029807,0.00213831,0.04656750,0.28635252
1.32966483,0.27734961,0.00378669,0.00000000,0.00037184,0.00241480,0.04905610,0.29868048
1.33566783,0.29051219,0.00335422,0.00000000,0.00046628,0.00282954,0.05165911,0.31209689
1.34167084,0.30481081,0.00312590,0.00000000,0.00058491,0.00339796,0.05440956,0.32658111
1.34767384,0.32033486,0.00308768,0.00000000,0.00073185,0.00413939,0.05735746,0.34219091
1.35367684,0.33724805,0.00323187,0.00000000,0.00091177,0.00507699,0.06057044,0.35906072
1.35967984,0.35578457,0.00355681,0.00000000,0.00112996,0.00623762,0.06413382,0.37739756
1.36568284,0.37624284,0.00406648,0.00000000,0.00139223,0.00765152,0.06815022,0.39747460
1.37168584,0.39897678,0.00477010,0.00000000,0.00170491,0.00935194,0.07273841,0.41962223
1.37768884,0.42438481,0.00568170,0.00000000,0.00207478,0.01137458,0.07803158,0.44421682
1.38369185,0.45289649,0.00681962,0.00000000,0.00250900,0.01375684,0.08417478,0.47166729
1.38969485,0.48495724,0.00820597,0.00000000,0.00301497,0.01653698,0.09132161,0.50239987
1.39569785,0.52101137,0.00986599,0.00000000,0.00360022,0.01975299,0.09963016,0.53684130
1.40170085,0.56148395,0.01182732,0.00000000,0.00427230,0.02344136,0.10925826,0.57540094
1.40770385,0.60676189,0.01411923,0.00000000,0.00503855,0.02763572,0.12035803,0.61845245
1.41370685,0.65717497,0.01677164,0.00000000,0.00590595,0.03236529,0.13306996,0.66631537
1.41970985,0.71297733,0.01981408,0.00000000,0.00688094,0.03765326,0.14751661,0.71923746
1.42571286,0.77433011,0.02327454,0.00000000,0.00796921,0.04351520,0.16379614,0.77737824
1.43171586,0.84128585,0.02717818,0.00000000,0.00917546,0.04995741,0.18197586,0.84079427
1.43771886,0.91377529,0.03154602,0.00000000,0.01050327,0.05697543,0.20208612,0.90942699
1.44372186,0.99159722,0.03639351,0.00000000,0.01195490,0.06455272,0.22411476,0.98309334
1.44972486,1.07441168,0.04172918,0.00000000,0.01353109,0.07265957,0.24800241,1.06147969
1.45572786,1.16173724,0.04755326,0.00000000,0.01523100,0.08125237,0.27363898,1.14413947
1.46173087,1.25295232,0.05385641,0.00000000,0.01705204,0.09027329,0.30086155,1.23049471
1.46773387,1.34730110,0.06061870,0.00000000,0.01898982,0.09965041,0.32945391,1.31984156
1.47373687,1.44390380,0.06780877,0.00000000,0.02103816,0.10929837,0.35914797,1.41135994
1.47973987,1.54177149,0.07538323,0.00000000,0.02318907,0.11911957,0.38962718,1.50412709
1.48574287,1.63982500,0.08328659,0.00000000,0.02543284,0.12900593,0.42053202,1.59713493
1.49174587,1.73691782,0.09145143,0.00000000,0.02775814,0.13884114,0.45146745,1.68931088
1.49774887,1.83186229,0.09979916,0.00000000,0.03015220,0.14850345,0.48201237,1.77954157
1.50375188,1.92345854,0.10824120,0.00000000,0.03260102,0.15786886,0.51173071,1.86669920
1.50975488,2.01052546,0.11668061,0.00000000,0.03508966,0.16681464,0.54018399,1.94966952
1.51575788,2.09193280,0.12501428,0.00000000,0.03760255,0.17522303,0.56694481,2.02738107
1.52176088,2.16663350,0.13313540,0.00000000,0.04012388,0.18298516,0.59161093,2.09883465
1.52776388,2.23369523,0.14093637,0.00000000,0.04263800,0.19000481,0.61381933,2.16313216
1.53376688,2.29233013,0.14831193,0.00000000,0.04512990,0.19620204,0.63325977,2.21950416
1.53976988,2.34192178,0.15516238,0.00000000,0.04758570,0.20151652,0.64968715,2.26733485
1.54577289,2.38204829,0.16139685,0.00000000,0.04999316,0.20591039,0.66293227,2.30618400
1.55177589,2.41250072,0.16693641,0.00000000,0.05234222,0.20937057,0.67291041,2.33580465
1.55777889,2.43329596,0.17171693,0.00000000,0.05462548,0.21191039,0.67962725,2.35615604
1.56378189,2.44468335,0.17569146,0.00000000,0.05683869,0.21357042,0.68318181,2.36741094
1.56978489,2.44714460,0.17883216,0.00000000,0.05898112,0.21441854,0.68376629,2.36995700
1.57578789,2.44138662,0.18113147,0.00000000,0.06105591,0.21454914,0.68166246,2.36439165
1.58179090,2.42832720,0.18260264,0.00000000,0.06307020,0.21408137,0.67723480,2.35151051
1.58779390,2.40907359,0.18327946,0.00000000,0.06503518,0.21315666,0.67092057,2.33228918
1.59379690,2.38489444,0.18321515,0.00000000,0.06696593,0.21193528,0.66321687,2.30785881
1.59979990,2.35718563,0.18248053,0.00000000,0.06888107,0.21059221,0.65466537,2.27947599
1.60580290,2.32743074,0.18116147,0.00000000,0.07080216,0.20931236,0.64583500,2.24848745
1.61180590,2.29715748,0.17935571,0.00000000,0.07275294,0.20828518,0.63730330,2.21629085
1.61780890,2.26789106,0.17716922,0.00000000,0.07475832,0.20769886,0.62963708,2.18429250
1.62381191,2.24110616,0.17471219,0.00000000,0.07684324,0.20773427,0.62337303,2.15386354
1.62981491,2.21817887,0.17209494,0.00000000,0.07903133,0.20855878,0.61899907,2.12629596
1.63581791,2.20034055,0.16942381,0.00000000,0.08134354,0.21032022,0.61693701,2.10275996
1.64182091,2.18863501,0.16679725,0.00000000,0.08379673,0.21314110,0.61752734,2.08426436
1.64782391,2.18388091,0.16430238,0.00000000,0.08640226,0.21711330,0.62101664,2.07162149
1.65382691,2.18664089,0.16201205,0.00000000,0.08916482,0.22229359,0.62754811,2.06541822
1.65982991,2.19719884,0.15998257,0.00000000,0.09208134,0.22869993,0.63715574,2.06599421
1.66583292,2.21554658,0.15825236,0.00000000,0.09514026,0.23630903,0.64976224,2.07342877
1.67183592,2.24138073,0.15684130,0.00000000,0.09832113,0.24505499,0.66518110,2.08753701
1.67783892,2.27411047,0.15575109,0.00000000,0.10159459,0.25482957,0.68312252,2.10787575
1.68384192,2.31287613,0.15496637,0.00000000,0.10492277,0.26548371,0.70320325,2.13375943
1.68984492,2.35657843,0.15445674,0.00000000,0.10826014,0.27683075,0.72496003,2.16428567
1.69584792,2.40391749,0.15417939,0.00000000,0.11155476,0.28865099,0.74786602,2.19836972
1.70185093,2.45344039,0.15408231,0.00000000,0.11474995,0.30069770,0.77134977,2.23478669
1.70785393,2.50359563,0.15410789,0.00000000,0.11778618,0.31270432,0.79481597,2.27222010
1.71385693,2.55279236,0.15419675,0.00000000,0.12060331,0.32439261,0.81766718,2.30931477
1.71985993,2.59946206,0.15429148,0.00000000,0.12314286,0.33548157,0.83932562,2.34473197
1.72586293,2.64212018,0.15434035,0.00000000,0.12535034,0.34569665,0.85925421,2.37720459
1.73186593,2.67942507,0.15430049,0.00000000,0.12717747,0.35477897,0.87697592,2.40558988
1.73786893,2.71023159,0.15414063,0.00000000,0.12858415,0.36249422,0.89209063,2.42891750
1.74387194,2.73363719,0.15384316,0.00000000,0.12954017,0.36864075,0.90428877,2.44643080
1.74987494,2.74901827,0.15340543,0.00000000,0.13002647,0.37305660,0.91336114,2.45761942
1.75587794,2.75605533,0.15284018,0.00000000,0.13003589,0.37562511,0.91920456,2.46224182
1.76188094,2.75474572,0.15217521,0.00000000,0.12957343,0.37627894,0.92182309,2.46033683
1.76788394,2.74540374,0.15145223,0.00000000,0.12865603,0.37500226,0.92132483,2.45222375
1.77388694,2.72864802,0.15072493,0.00000000,0.12731170,0.37183112,0.91791456,2.43849118
1.77988994,2.70537714,0.15005656,0.00000000,0.12557830,0.36685194,0.91188258,2.41997534
