energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,2.53201006,0.00284850,0.34791286,0.74808127,0.34129131,0.90920641,0.68371373,0.00479706,1.05057197
-5.99399700,2.57355980,0.00275577,0.36067293,0.75298054,0.34501773,0.91265479,0.70545500,0.00496751,1.05737374
-5.98799400,2.62062733,0.00268467,0.37373738,0.75992928,0.34939748,0.91645519,0.72882072,0.00515342,1.06720261
-5.98199100,2.67355711,0.00263527,0.38707724,0.76910656,0.35456722,0.92079155,0.75371429,0.00535636,1.08040797
-5.97598799,2.73271045,0.00260769,0.40065663,0.78069940,0.36067747,0.92587079,0.78002786,0.00557796,1.09735732
-5.96998499,2.79842952,0.00260208,0.41442928,0.79489050,0.36788610,0.93190855,0.80763703,0.00581982,1.11841677
-5.96398199,2.87099895,0.00261855,0.42833539,0.81184516,0.37635117,0.93911375,0.83639539,0.00608330,1.14392977
-5.95797899,2.95060714,0.00265716,0.44229892,0.83169788,0.38622340,0.94767271,0.86612952,0.00636940,1.17419494
-5.95197599,3.03730955,0.00271782,0.45622554,0.85453948,0.39763871,0.95773366,0.89663484,0.00667859,1.20944442
-5.94597299,3.13099610,0.00280022,0.47000153,0.88040539,0.41071109,0.96939269,0.92767282,0.00701072,1.24982350
-5.93996998,3.23136464,0.00290380,0.48349375,0.90926569,0.42552616,0.98268165,0.95896976,0.00736486,1.29537276
-5.93396698,3.33790204,0.00302769,0.49655071,0.94101742,0.44213566,0.99755897,0.99021750,0.00773925,1.34601359
-5.92796398,3.44987421,0.00317061,0.50900487,0.97547960,0.46055314,1.01390366,1.02107608,0.00813123,1.40153781
-5.92196098,3.56632578,0.00333091,0.52067598,1.01239121,0.48075107,1.03151300,1.05117850,0.00853722,1.46160205
-5.91595798,3.68608981,0.00350652,0.53137562,1.05141234,0.50265937,1.05010404,1.08013737,0.00895273,1.52572720
-5.90995498,3.80780728,0.00369494,0.54091236,1.09212841,0.52616562,1.06931882,1.10755337,0.00937244,1.59330318
-5.90395198,3.92995579,0.00389330,0.54909782,1.13405760,0.55111668,1.08873325,1.13302502,0.00979025,1.66359886
-5.89794897,4.05088637,0.00409838,0.55575287,1.17666095,0.57732189,1.10786909,1.15615953,0.01019947,1.73577698
-5.89194597,4.16886691,0.00430670,0.56071406,1.21935503,0.60455753,1.12620863,1.17658424,0.01059293,1.80891345
-5.88594297,4.28213056,0.00451458,0.56383973,1.26152675,0.63257241,1.14321139,1.19395809,0.01096318,1.88202044
-5.87993997,4.38892685,0.00471825,0.56501569,1.30254953,0.66109434,1.15833202,1.20798264,0.01130274,1.95407234
-5.87393697,4.48757374,0.00491398,0.56416004,1.34180061,0.68983717,1.17103886,1.21841214,0.01160428,2.02403362
-5.86793397,4.57650805,0.00509818,0.56122696,1.37867852,0.71850810,1.18083204,1.22506216,0.01186087,2.09088749
-5.86193097,4.65433243,0.00526752,0.55620932,1.41262033,0.74681495,1.18726062,1.22781643,0.01206623,2.15366428
-5.85592796,4.71985671,0.00541908,0.54913990,1.44311780,0.77447309,1.18993803,1.22663143,0.01221489,2.21146835
-5.84992496,4.77213198,0.00555041,0.54009121,1.46973193,0.80121174,1.18855505,1.22153863,0.01230241,2.26350246
-5.84392196,4.81047606,0.00565967,0.52917392,1.49210525,0.82677939,1.18289000,1.21264416,0.01232556,2.30908861
-5.83791896,4.83448913,0.00574567,0.51653388,1.50997134,0.85094818,1.17281575,1.20012588,0.01228236,2.34768464
-5.83191596,4.84405920,0.00580795,0.50234795,1.52316124,0.87351713,1.15830326,1.18422800,0.01217227,2.37889572
-5.82591296,4.83935718,0.00584680,0.48681883,1.53160635,0.89431413,1.13942168,1.16525339,0.01199609,2.40248059
-5.81990995,4.82082195,0.00586322,0.47016900,1.53533778,0.91319670,1.11633503,1.14355398,0.01175606,2.41835225
-5.81390695,4.78913629,0.00585892,0.45263414,1.53448216,0.93005173,1.08929573,1.11951942,0.01145569,2.42657316
-5.80790395,4.74519498,0.00583625,0.43445628,1.52925399,0.94479420,1.05863537,1.09356481,0.01109972,2.42734550
-5.80190095,4.69006661,0.00579808,0.41587691,1.51994508,0.95736518,1.02475303,1.06611764,0.01069395,2.42099695
-5.79589795,4.62495113,0.00574771,0.39713040,1.50691135,0.96772937,0.98810188,1.03760476,0.01024506,2.40796285
-5.78989495,4.55113510,0.00568872,0.37843787,1.49055781,0.97587242,0.94917456,1.00843982,0.00976040,2.38876575
-5.78389195,4.46994696,0.00562481,0.36000191,1.47132229,0.98179825,0.90848795,0.97901163,0.00924778,2.36399340
-5.77788894,4.38271428,0.00555967,0.34200218,1.44965881,0.98552672,0.86656802,0.94967409,0.00871528,2.33427637
-5.77188594,4.29072500,0.00549676,0.32459203,1.42602136,0.98709175,0.82393526,0.92073792,0.00817099,2.30026634
-5.76588294,4.19519441,0.00543925,0.30789640,1.40084884,0.98654012,0.78109138,0.89246463,0.00762286,2.26261612
-5.75987994,4.09723903,0.00538979,0.29201076,1.37455190,0.98393097,0.73850754,0.86506284,0.00707848,2.22196231
-5.75387694,3.99785835,0.00535045,0.27700133,1.34750219,0.97933606,0.69661468,0.83868710,0.00654499,2.17891117
-5.74787394,3.89792486,0.00532260,0.26290638,1.32002460,0.97284061,0.65579599,0.81343922,0.00602891,2.13402826
-5.74187094,3.79818213,0.00530687,0.24973845,1.29239254,0.96454473,0.61638186,0.78937180,0.00553610,2.08783190
-5.73586793,3.69925046,0.00530311,0.23748742,1.26482654,0.95456507,0.57864721,0.76649389,0.00507170,2.04079049
-5.72986493,3.60163902,0.00531040,0.22612426,1.23749583,0.94303652,0.54281105,0.74477828,0.00464010,1.99332323
-5.72386193,3.50576304,0.00532708,0.21560514,1.21052276,0.93011364,0.50903825,0.72417005,0.00424499,1.94580380
-5.71785893,3.41196445,0.00535084,0.20587575,1.18398946,0.91597150,0.47744303,0.70459579,0.00388938,1.89856617
-5.71185593,3.32053415,0.00537880,0.19687567,1.15794618,0.90080576,0.44809394,0.68597316,0.00357566,1.85191178
-5.70585293,3.23173393,0.00540768,0.18854239,1.13242064,0.88483160,0.42101990,0.66822000,0.00330567,1.80611713
-5.69984992,3.14581643,0.00543389,0.18081512,1.10742760,0.86828146,0.39621681,0.65126275,0.00308077,1.76144097
-5.69384692,3.06304155,0.00545372,0.17363781,1.08297803,0.85140144,0.37365443,0.63504358,0.00290191,1.71813027
-5.68784392,2.98368800,0.00546349,0.16696171,1.05908703,0.83444640,0.35328303,0.61952599,0.00276969,1.67642425
-5.68184092,2.90805924,0.00545969,0.16074704,1.03578025,0.81767384,0.33503948,0.60469856,0.00268442,1.63655611
-5.67583792,2.83648332,0.00543917,0.15496398,1.01309812,0.80133682,0.31885258,0.59057675,0.00264612,1.59875214
-5.66983492,2.76930681,0.00539921,0.14959284,0.99109776,0.78567610,0.30464731,0.57720267,0.00265457,1.56322821
-5.66383192,2.70688313,0.00533769,0.14462364,0.96985252,0.77091204,0.29234801,0.56464307,0.00270925,1.53018382
-5.65782891,2.64955644,0.00525310,0.14005502,0.94944924,0.75723646,0.28188034,0.55298554,0.00280936,1.49979423
-5.65182591,2.59764220,0.00514467,0.13589276,0.92998345,0.74480515,0.27317212,0.54233341,0.00295372,1.47220121
-5.64582291,2.55140598,0.00501231,0.13214796,0.91155300,0.73373125,0.26615325,0.53279955,0.00314078,1.44750311
-5.63981991,2.51104214,0.00485669,0.12883521,0.89425062,0.72408008,0.26075477,0.52449969,0.00336846,1.42574524
-5.63381691,2.47665418,0.00467910,0.12597068,0.87815594,0.71586563,0.25690742,0.51754545,0.00363418,1.40691117
-5.62781391,2.44823820,0.00448148,0.12357049,0.86332774,0.70904914,0.25453991,0.51203778,0.00393472,1.39091600
-5.62181091,2.42567104,0.00426627,0.12164950,0.84979684,0.70353978,0.25357714,0.50806098,0.00426620,1.37760201
-5.61580790,2.40870410,0.00403636,0.12022046,0.83756035,0.69919757,0.25393881,0.50567785,0.00462409,1.36673747
-5.60980490,2.39696365,0.00379491,0.11929386,0.82657756,0.69583845,0.25553836,0.50492616,0.00500313,1.35801884
-5.60380190,2.38995802,0.00354531,0.11887828,0.81676801,0.69324132,0.25828282,0.50581665,0.00539741,1.35107643
-5.59779890,2.38709143,0.00329102,0.11898145,0.80801169,0.69115664,0.26207332,0.50833272,0.00580041,1.34548354
-5.59179590,2.38768415,0.00303544,0.11961183,0.80015153,0.68931638,0.26680667,0.51243175,0.00620512,1.34076866
-5.58579290,2.39099794,0.00278186,0.12078071,0.79299813,0.68744466,0.27237774,0.51804812,0.00660411,1.33643023
-5.57978989,2.39626554,0.00253332,0.12250463,0.78633632,0.68526869,0.27868275,0.52509748,0.00698975,1.33195332
-5.57378689,2.40272284,0.00229256,0.12480810,0.77993332,0.68252943,0.28562323,0.53348241,0.00735435,1.32682731
-5.56778389,2.40964185,0.00206198,0.12772621,0.77354792,0.67899146,0.29311046,0.54309872,0.00769037,1.32056381
-5.56178089,2.41636292,0.00184357,0.13130720,0.76694034,0.67445161,0.30107013,0.55384238,0.00799065,1.31271387
-5.55577789,2.42232443,0.00163890,0.13561453,0.75988208,0.66874604,0.30944691,0.56561648,0.00824860,1.30288358
-5.54977489,2.42708829,0.00144914,0.14072839,0.75216530,0.66175528,0.31820863,0.57833781,0.00845841,1.29074755
-5.54377189,2.43035999,0.00127504,0.14674644,0.74361125,0.65340731,0.32734971,0.59194281,0.00861524,1.27605930
-5.53776888,2.43200205,0.00111698,0.15378348,0.73407733,0.64367844,0.33689356,0.60639219,0.00871538,1.25865853
-5.53176588,2.43204008,0.00097500,0.16197018,0.72346250,0.63259210,0.34689366,0.62167430,0.00875635,1.23847464
-5.52576288,2.43066112,0.00084881,0.17145048,0.71171075,0.62021576,0.35743313,0.63780656,0.00873701,1.21552684
-5.51975988,2.42820425,0.00073791,0.18237786,0.69881259,0.60665613,0.36862262,0.65483499,0.00865758,1.18992065
-5.51375688,2.42514378,0.00064155,0.19491037,0.68480458,0.59205317,0.38059650,0.67283173,0.00851961,1.16184142
-5.50775388,2.42206587,0.00055885,0.20920462,0.66976693,0.57657307,0.39350729,0.69189038,0.00832594,1.13154515
-5.50175088,2.41963950,0.00048880,0.22540881,0.65381946,0.56040080,0.40751863,0.71211944,0.00808057,1.09934726
-5.49574787,2.41858320,0.00043032,0.24365502,0.63711623,0.54373258,0.42279680,0.73363391,0.00778855,1.06560994
-5.48974487,2.41962901,0.00038230,0.26405116,0.61983896,0.52676863,0.43950127,0.75654551,0.00745576,1.03072884
-5.48374187,2.42348530,0.00034362,0.28667272,0.60218991,0.50970658,0.45777464,0.78095181,0.00708874,0.99511961
-5.47773887,2.43080005,0.00031318,0.31155488,0.58438429,0.49273583,0.47773232,0.80692479,0.00669443,0.95920499
-5.47173587,2.44212643,0.00028993,0.33868523,0.56664277,0.47603296,0.49945260,0.83449951,0.00628001,0.92340299
-5.46573287,2.45789195,0.00027285,0.36799755,0.54918429,0.45975843,0.52296742,0.86366334,0.00585262,0.88811643
-5.45972986,2.47837283,0.00026101,0.39936700,0.53221947,0.44405447,0.54825459,0.89434646,0.00541920,0.85372429
-5.45372686,2.50367449,0.00025353,0.43260705,0.51594488,0.42904423,0.57523163,0.92641416,0.00498628,0.82057488
-5.44772386,2.53371924,0.00024960,0.46746853,0.50053826,0.41483189,0.60375185,0.95966162,0.00455986,0.78898100
-5.44172086,2.56824152,0.00024850,0.50364076,0.48615494,0.40150379,0.63360288,0.99381138,0.00414523,0.75921686
-5.43571786,2.60679114,0.00024957,0.54075519,0.47292521,0.38913011,0.66450782,1.02851409,0.00374695,0.73151672
-5.42971486,2.64874416,0.00025219,0.57839129,0.46095300,0.37776707,0.69612920,1.06335257,0.00336874,0.70607495
-5.42371186,2.69332106,0.00025583,0.61608477,0.45031543,0.36745927,0.72807560,1.09784919,0.00301349,0.68304725
-5.41770885,2.73961144,0.00026002,0.65333784,0.44106341,0.35824199,0.75991072,1.13147655,0.00268325,0.66255270
-5.41170585,2.78660409,0.00026433,0.68963119,0.43322298,0.35014333,0.79116480,1.16367102,0.00237930,0.64467632
-5.40570285,2.83322113,0.00026839,0.72443736,0.42679729,0.34318582,0.82134763,1.19384869,0.00210217,0.62947198
-5.39969985,2.87835484,0.00027188,0.75723492,0.42176909,0.33738764,0.84996302,1.22142303,0.00185177,0.61696518
-5.39369685,2.92090544,0.00027454,0.78752303,0.41810345,0.33276322,0.87652376,1.24582370,0.00162743,0.60715577
-5.38769385,2.95981825,0.00027615,0.81483570,0.41575069,0.32932322,0.90056682,1.26651538,0.00142803,0.60002026
-5.38169085,2.99411871,0.00027652,0.83875523,0.41464924,0.32707399,0.92166780,1.28301611,0.00125210,0.59551378
-5.37568784,3.02294366,0.00027555,0.85892426,0.41472841,0.32601655,0.93945426,1.29491399,0.00109789,0.59357150
