energy_ev,total_up,Al_p_up,Al_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,3.82033922,0.88030232,0.00000000,0.73601102,2.00145064,1.11234502,0.00000000
-5.99399700,3.68039698,0.83799734,0.00000000,0.70001323,1.94493952,1.08526090,0.00000000
-5.98799400,3.54813272,0.79828627,0.00000000,0.66855509,1.89055976,1.05970016,0.00000000
-5.98199100,3.42482182,0.76149782,0.00000000,0.64214798,1.83873024,1.03603048,0.00000000
-5.97598799,3.31171093,0.72789612,0.00000000,0.62130082,1.78988522,1.01462130,0.00000000
-5.96998499,3.20999219,0.69768065,0.00000000,0.60651011,1.74446142,0.99583670,0.00000000
-5.96398199,3.12077712,0.67098804,0.00000000,0.59824891,1.70288455,0.98002782,0.00000000
-5.95797899,3.04507062,0.64789496,0.00000000,0.59695489,1.66555555,0.96752490,0.00000000
-5.95197599,2.98374498,0.62842211,0.00000000,0.60301719,1.63283701,0.95862875,0.00000000
-5.94597299,2.93751435,0.61253864,0.00000000,0.61676234,1.60503997,0.95360199,0.00000000
-5.93996998,2.90690961,0.60016681,0.00000000,0.63843915,1.58241143,0.95265986,0.00000000
-5.93396698,2.89225404,0.59118646,0.00000000,0.66820304,1.56512277,0.95596089,0.00000000
-5.92796398,2.89364013,0.58543916,0.00000000,0.70610006,1.55325930,0.96359766,0.00000000
-5.92196098,2.91090816,0.58273179,0.00000000,0.75205116,1.54681110,0.97558778,0.00000000
-5.91595798,2.94362719,0.58283949,0.00000000,0.80583747,1.54566541,0.99186546,0.00000000
-5.90995498,2.99107962,0.58550806,0.00000000,0.86708738,1.54960094,1.01227423,0.00000000
-5.90395198,3.05225038,0.59045595,0.00000000,0.93526625,1.55828415,1.03656102,0.00000000
-5.89794897,3.12582195,0.59737587,0.00000000,1.00966998,1.57126810,1.06437234,0.00000000
-5.89194597,3.21017679,0.60593651,0.00000000,1.08942303,1.58799413,1.09525290,0.00000000
-5.88594297,3.30340820,0.61578450,0.00000000,1.17348207,1.60779661,1.12864727,0.00000000
-5.87993997,3.40334096,0.62654688,0.00000000,1.26064588,1.62991139,1.16390501,0.00000000
-5.87393697,3.50756246,0.63783459,0.00000000,1.34957189,1.65348783,1.20028951,0.00000000
-5.86793397,3.61346494,0.64924691,0.00000000,1.43879973,1.67760483,1.23699087,0.00000000
-5.86193097,3.71829854,0.66037724,0.00000000,1.52678156,1.70129075,1.27314267,0.00000000
-5.85592796,3.81923478,0.67082021,0.00000000,1.61191866,1.72354693,1.30784261,0.00000000
-5.84992496,3.91343896,0.68018009,0.00000000,1.69260341,1.74337451,1.34017638,0.00000000
-5.84392196,3.99814979,0.68808036,0.00000000,1.76726542,1.75980377,1.36924441,0.00000000
-5.83791896,4.07076345,0.69417417,0.00000000,1.83442019,1.77192518,1.39419028,0.00000000
-5.83191596,4.12891937,0.69815536,0.00000000,1.89271845,1.77892118,1.41423014,0.00000000
-5.82591296,4.17058419,0.69976960,0.00000000,1.94099430,1.78009723,1.42868167,0.00000000
