energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,2.71686208,0.32629529,0.01515996,0.22459848,0.59478204,1.60518660,0.94853423,0.00000000
-5.99399700,2.70742169,0.32200072,0.01482346,0.22504175,0.57788962,1.60252393,0.94913280,0.00000000
-5.98799400,2.69710643,0.31791845,0.01446260,0.22512770,0.56076083,1.59950366,0.94920116,0.00000000
-5.98199100,2.68605297,0.31409933,0.01408168,0.22481656,0.54354844,1.59630923,0.94864411,0.00000000
-5.97598799,2.67437042,0.31057597,0.01368480,0.22407307,0.52639639,1.59309884,0.94736290,0.00000000
-5.96998499,2.66213513,0.30736232,0.01327579,0.22286685,0.50943634,1.59000070,0.94525621,0.00000000
-5.96398199,2.64938814,0.30445409,0.01285812,0.22117263,0.49278487,1.58711005,0.94222185,0.00000000
-5.95797899,2.63613512,0.30183000,0.01243486,0.21897046,0.47654146,1.58448807,0.93815909,0.00000000
-5.95197599,2.62234903,0.29945376,0.01200867,0.21624599,0.46078729,1.58216265,0.93297183,0.00000000
-5.94597299,2.60797492,0.29727664,0.01158179,0.21299072,0.44558482,1.58013071,0.92657223,0.00000000
-5.93996998,2.59293649,0.29524039,0.01115611,0.20920221,0.43097815,1.57836178,0.91888471,0.00000000
-5.93396698,2.57714395,0.29328047,0.01073321,0.20488442,0.41699403,1.57680245,0.90985010,0.00000000
-5.92796398,2.56050218,0.29132933,0.01031442,0.20004789,0.40364344,1.57538125,0.89942962,0.00000000
-5.92196098,2.54291895,0.28931958,0.00990092,0.19470998,0.39092364,1.57401362,0.88760836,0.00000000
-5.91595798,2.52431208,0.28718680,0.00949378,0.18889494,0.37882048,1.57260646,0.87439812,0.00000000
-5.90995498,2.50461546,0.28487209,0.00909409,0.18263397,0.36731093,1.57106200,0.85983919,0.00000000
-5.90395198,2.48378326,0.28232404,0.00870301,0.17596502,0.35636570,1.56928092,0.84400111,0.00000000
-5.89794897,2.46179227,0.27950013,0.00832178,0.16893252,0.34595182,1.56716441,0.82698210,0.00000000
-5.89194597,2.43864250,0.27636767,0.00795184,0.16158683,0.33603511,1.56461544,0.80890741,0.00000000
-5.88594297,2.41435608,0.27290410,0.00759480,0.15398364,0.32658255,1.56153927,0.78992649,0.00000000
-5.87993997,2.38897507,0.26909696,0.00725246,0.14618304,0.31756453,1.55784355,0.77020926,0.00000000
-5.87393697,2.36255864,0.26494332,0.00692681,0.13824854,0.30895691,1.55343822,0.74994174,0.00000000
-5.86793397,2.33518018,0.26044911,0.00662001,0.13024598,0.30074298,1.54823576,0.72932135,0.00000000
-5.86193097,2.30692516,0.25562813,0.00633436,0.12224233,0.29291531,1.54215190,0.70855214,0.00000000
-5.85592796,2.27789003,0.25050120,0.00607223,0.11430452,0.28547765,1.53510724,0.68784047,0.00000000
-5.84992496,2.24818276,0.24509520,0.00583607,0.10649825,0.27844661,1.52702992,0.66739114,0.00000000
-5.84392196,2.21792524,0.23944232,0.00562834,0.09888701,0.27185351,1.51785926,0.64740453,0.00000000
-5.83791896,2.18725750,0.23357951,0.00545143,0.09153111,0.26574606,1.50755060,0.62807470,0.00000000
-5.83191596,2.15634358,0.22754809,0.00530767,0.08448697,0.26019003,1.49608075,0.60958853,0.00000000
-5.82591296,2.12537862,0.22139359,0.00519926,0.07780659,0.25527080,1.48345401,0.59212597,0.00000000
-5.81990995,2.09459656,0.21516575,0.00512822,0.07153719,0.25109464,1.46970814,0.57586123,0.00000000
-5.81390695,2.06427766,0.20891858,0.00509641,0.06572115,0.24778968,1.45491979,0.56096454,0.00000000
-5.80790395,2.03475509,0.20271055,0.00510543,0.06039601,0.24550647,1.43920903,0.54760453,0.00000000
-5.80190095,2.00641966,0.19660459,0.00515666,0.05559474,0.24441788,1.42274219,0.53595059,0.00000000
-5.79589795,1.97972200,0.19066812,0.00525119,0.05134604,0.24471835,1.40573293,0.52617501,0.00000000
-5.78989495,1.95517162,0.18497277,0.00538984,0.04767477,0.24662223,1.38844100,0.51845468,0.00000000
-5.78389195,1.93333237,0.17959390,0.00557312,0.04460235,0.25036125,1.37116870,0.51297191,0.00000000
-5.77788894,1.91481427,0.17460981,0.00580125,0.04214716,0.25618098,1.35425504,0.50991420,0.00000000
-5.77188594,1.90026173,0.17010071,0.00607413,0.04032486,0.26433626,1.33806779,0.50947295,0.00000000
-5.76588294,1.89033858,0.16614739,0.00639137,0.03914856,0.27508566,1.32299384,0.51184094,0.00000000
-5.75987994,1.88571066,0.16282966,0.00675227,0.03862892,0.28868503,1.30942833,0.51720870,0.00000000
-5.75387694,1.88702658,0.16022469,0.00715590,0.03877405,0.30538032,1.29776323,0.52575989,0.00000000
-5.74787394,1.89489791,0.15840521,0.00760111,0.03958922,0.32539975,1.28837591,0.53766600,0.00000000
-5.74187094,1.90987960,0.15743782,0.00808655,0.04107652,0.34894581,1.28161847,0.55308055,0.00000000
-5.73586793,1.93245175,0.15738130,0.00861078,0.04323429,0.37618705,1.27780835,0.57213319,0.00000000
-5.72986493,1.96300379,0.15828524,0.00917228,0.04605655,0.40725031,1.27722071,0.59492401,0.00000000
-5.72386193,2.00182163,0.16018886,0.00976955,0.04953230,0.44221346,1.28008290,0.62151844,0.00000000
-5.71785893,2.04907862,0.16312014,0.01040118,0.05364495,0.48109912,1.28657132,0.65194298,0.00000000
-5.71185593,2.10483050,0.16709542,0.01106586,0.05837166,0.52386969,1.29681052,0.68618197,0.00000000
-5.70585293,2.16901437,0.17211915,0.01176250,0.06368288,0.57042380,1.31087441,0.72417562,0.00000000
-5.69984992,2.24145176,0.17818419,0.01249017,0.06954209,0.62059456,1.32878938,0.76581943,0.00000000
-5.69384692,2.32185503,0.18527215,0.01324814,0.07590558,0.67414973,1.35053865,0.81096476,0.00000000
-5.68784392,2.40983669,0.19335413,0.01403585,0.08272263,0.73079369,1.37606761,0.85942071,0.00000000
-5.68184092,2.50492079,0.20239142,0.01485282,0.08993582,0.79017140,1.40528929,0.91095696,0.00000000
-5.67583792,2.60655548,0.21233633,0.01569856,0.09748162,0.85187408,1.43808970,0.96530739,0.00000000
-5.66983492,2.71412593,0.22313288,0.01657243,0.10529123,0.91544635,1.47433236,1.02217414,0.00000000
-5.66383192,2.82696656,0.23471736,0.01747346,0.11329153,0.98039462,1.51386169,1.08123193,0.00000000
-5.65782891,2.94437212,0.24701870,0.01840019,0.12140632,1.04619627,1.55650507,1.14213213,0.00000000
-5.65182591,3.06560673,0.25995856,0.01935045,0.12955756,1.11230924,1.60207340,1.20450655,0.00000000
-5.64582291,3.18991075,0.27345118,0.02032116,0.13766671,1.17818163,1.65036016,1.26797053,0.00000000
-5.63981991,3.31650511,0.28740303,0.02130816,0.14565603,1.24326083,1.70113928,1.33212533,0.00000000
-5.63381691,3.44459322,0.30171222,0.02230605,0.15344988,1.30700187,1.75416199,1.39655973,0.00000000
-5.62781391,3.57336076,0.31626788,0.02330808,0.16097575,1.36887465,1.80915308,1.46085077,0.00000000
-5.62181091,3.70197379,0.33094957,0.02430607,0.16816534,1.42836996,1.86580709,1.52456401,0.00000000
-5.61580790,3.82957572,0.34562677,0.02529045,0.17495522,1.48500397,1.92378472,1.58725322,0.00000000
-5.60980490,3.95528400,0.36015872,0.02625033,0.18128748,1.53832149,1.98271009,1.64846007,0.00000000
-5.60380190,4.07818708,0.37439467,0.02717363,0.18710998,1.58789787,2.04216910,1.70771396,0.00000000
-5.59779890,4.19734268,0.38817456,0.02804735,0.19237659,1.63333994,2.10170912,1.76453242,0.00000000
-5.59179590,4.31177773,0.40133039,0.02885783,0.19704713,1.67428616,2.16084046,1.81842238,0.00000000
-5.58579290,4.42049087,0.41368824,0.02959113,0.20108719,1.71040641,2.21903933,1.86888273,0.00000000
-5.57978989,4.52245763,0.42507087,0.03023342,0.20446796,1.74140172,2.27575256,1.91540814,0.00000000
-5.57378689,4.61663885,0.43530105,0.03077140,0.20716588,1.76700429,2.33040375,1.95749460,0.00000000
