energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.11813122,0.00780329,0.01868827,0.57122931,0.00000000,0.37649594,0.09095705,0.04026474,0.78114786
-5.99399700,1.10945441,0.00787736,0.01960249,0.57298550,0.00000000,0.37798053,0.08728910,0.03871461,0.77513511
-5.98799400,1.10272055,0.00791167,0.02061148,0.57525086,0.00000000,0.37953594,0.08375905,0.03722261,0.77049448
-5.98199100,1.09811005,0.00790405,0.02171210,0.57798539,0.00000000,0.38117614,0.08041437,0.03581130,0.76736184
-5.97598799,1.09572314,0.00785407,0.02289810,0.58113896,0.00000000,0.38290375,0.07729531,0.03449914,0.76581474
-5.96998499,1.09557097,0.00776309,0.02415998,0.58464769,0.00000000,0.38470760,0.07443390,0.03330007,0.76586627
-5.96398199,1.09757154,0.00763421,0.02548496,0.58843172,0.00000000,0.38656132,0.07185340,0.03222320,0.76746222
-5.95797899,1.10155036,0.00747221,0.02685726,0.59239434,0.00000000,0.38842300,0.06956831,0.03127275,0.77048176
-5.95197599,1.10724634,0.00728352,0.02825837,0.59642286,0.00000000,0.39023599,0.06758465,0.03044814,0.77474166
-5.94597299,1.11432237,0.00707603,0.02966762,0.60039109,0.00000000,0.39193097,0.06590078,0.02974426,0.78000403
-5.93996998,1.12238052,0.00685902,0.03106287,0.60416347,0.00000000,0.39342906,0.06450853,0.02915191,0.78598717
-5.93396698,1.13098104,0.00664302,0.03242126,0.60760079,0.00000000,0.39464604,0.06339463,0.02865837,0.79237920
-5.92796398,1.13966442,0.00643960,0.03372011,0.61056708,0.00000000,0.39549736,0.06254234,0.02824808,0.79885376
-5.92196098,1.14797544,0.00626129,0.03493789,0.61293753,0.00000000,0.39590387,0.06193329,0.02790343,0.80508726
-5.91595798,1.15548814,0.00612133,0.03605509,0.61460697,0.00000000,0.39579781,0.06154925,0.02760559,0.81077662
-5.90995498,1.16183049,0.00603358,0.03705517,0.61549842,0.00000000,0.39512884,0.06137395,0.02733540,0.81565686
-5.90395198,1.16670756,0.00601232,0.03792534,0.61557139,0.00000000,0.39386993,0.06139470,0.02707416,0.81951764
-5.89794897,1.16992197,0.00607207,0.03865724,0.61482924,0.00000000,0.39202246,0.06160382,0.02680448,0.82221782
-5.89194597,1.17139069,0.00622746,0.03924747,0.61332539,0.00000000,0.38962063,0.06199977,0.02651100,0.82369748
-5.88594297,1.17115719,0.00649299,0.03969786,0.61116776,0.00000000,0.38673463,0.06258795,0.02618100,0.82398662
-5.87993997,1.16939837,0.00688289,0.04001560,0.60852136,0.00000000,0.38347251,0.06338105,0.02580493,0.82321019
-5.87393697,1.16642581,0.00741086,0.04021308,0.60560857,0.00000000,0.37998058,0.06439914,0.02537673,0.82158909
-5.86793397,1.16268123,0.00808986,0.04030754,0.60270725,0.00000000,0.37644229,0.06566918,0.02489405,0.81943708
