energy_ev,total_up,Pb_p_up,Pb_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,0.32170743,0.10312072,0.00001848,0.08886349,0.10422816,0.00050133,0.12121331
-5.99399700,0.34253784,0.10703967,0.00002147,0.09300736,0.11072112,0.00052022,0.13413026
-5.98799400,0.36262534,0.11031162,0.00002475,0.09671015,0.11693194,0.00053596,0.14752167
-5.98199100,0.38171293,0.11286932,0.00002833,0.09991044,0.12277789,0.00054820,0.16126364
-5.97598799,0.39955037,0.11465931,0.00003220,0.10255539,0.12817951,0.00055670,0.17521349
-5.96998499,0.41589965,0.11564375,0.00003634,0.10460238,0.13306244,0.00056126,0.18921158
-5.96398199,0.43054025,0.11580178,0.00004071,0.10602014,0.13735918,0.00056181,0.20308386
-5.95797899,0.44327390,0.11513027,0.00004528,0.10678965,0.14101053,0.00055831,0.21664511
-5.95197599,0.45392878,0.11364393,0.00005000,0.10690451,0.14396695,0.00055085,0.22970271
-5.94597299,0.46236311,0.11137480,0.00005481,0.10637095,0.14618957,0.00053959,0.24206100
-5.93996998,0.46846789,0.10837116,0.00005966,0.10520741,0.14765093,0.00052477,0.25352599
-5.93396698,0.47216882,0.10469584,0.00006448,0.10344372,0.14833542,0.00050669,0.26391025
-5.92796398,0.47342748,0.10042412,0.00006918,0.10112001,0.14823942,0.00048572,0.27303797
-5.92196098,0.47224163,0.09564122,0.00007369,0.09828524,0.14737117,0.00046228,0.28074976
-5.91595798,0.46864470,0.09043962,0.00007794,0.09499565,0.14575034,0.00043681,0.28690728
-5.90995498,0.46270459,0.08491620,0.00008184,0.09131303,0.14340739,0.00040979,0.29139730
-5.90395198,0.45452186,0.07916948,0.00008531,0.08730300,0.14038274,0.00038169,0.29413512
-5.89794897,0.44422728,0.07329690,0.00008830,0.08303327,0.13672573,0.00035297,0.29506725
-5.89194597,0.43197891,0.06739245,0.00009073,0.07857210,0.13249348,0.00032409,0.29417310
-5.88594297,0.41795890,0.06154458,0.00009257,0.07398688,0.12774970,0.00029545,0.29146576
-5.87993997,0.40236984,0.05583455,0.00009376,0.06934293,0.12256339,0.00026744,0.28699175
-5.87393697,0.38543107,0.05033522,0.00009429,0.06470258,0.11700759,0.00024039,0.28082971
-5.86793397,0.36737477,0.04511030,0.00009414,0.06012452,0.11115808,0.00021457,0.27308815
-5.86193097,0.34844210,0.04021405,0.00009332,0.05566334,0.10509217,0.00019022,0.26390240
-5.85592796,0.32887932,0.03569148,0.00009184,0.05136942,0.09888754,0.00016751,0.25343067
-5.84992496,0.30893413,0.03157885,0.00008973,0.04728901,0.09262122,0.00014658,0.24184962
-5.84392196,0.28885205,0.02790452,0.00008705,0.04346445,0.08636853,0.00012749,0.22934952
-5.83791896,0.26887322,0.02469007,0.00008384,0.03993460,0.08020228,0.00011029,0.21612907
-5.83191596,0.24922931,0.02195149,0.00008017,0.03673533,0.07419201,0.00009498,0.20239031
-5.82591296,0.23014085,0.01970058,0.00007611,0.03390010,0.06840331,0.00008153,0.18833357
-5.81990995,0.21181487,0.01794617,0.00007174,0.03146041,0.06289732,0.00006988,0.17415285
-5.81390695,0.19444291,0.01669539,0.00006713,0.02944636,0.05773028,0.00005996,0.16003154
-5.80790395,0.17819930,0.01595464,0.00006237,0.02788696,0.05295320,0.00005169,0.14613883
-5.80190095,0.16323984,0.01573043,0.00005753,0.02681035,0.04861156,0.00004496,0.13262675
-5.79589795,0.14970069,0.01602992,0.00005268,0.02624382,0.04474509,0.00003969,0.11962795
-5.78989495,0.13769759,0.01686103,0.00004790,0.02621362,0.04138761,0.00003577,0.10725424
-5.78389195,0.12732520,0.01823239,0.00004324,0.02674451,0.03856685,0.00003312,0.09559584
-5.77788894,0.11865659,0.02015281,0.00003875,0.02785911,0.03630428,0.00003164,0.08472137
-5.77188594,0.11174284,0.02263047,0.00003448,0.02957700,0.03461496,0.00003124,0.07467844
-5.76588294,0.10661272,0.02567182,0.00003046,0.03191356,0.03350728,0.00003187,0.06549475
-5.75987994,0.10327233,0.02928020,0.00002672,0.03487874,0.03298279,0.00003343,0.05717971
-5.75387694,0.10170478,0.03345429,0.00002327,0.03847557,0.03303590,0.00003586,0.04972629
-5.74787394,0.10186993,0.03818646,0.00002012,0.04269872,0.03365368,0.00003909,0.04311321
-5.74187094,0.10370419,0.04346109,0.00001727,0.04753301,0.03481554,0.00004307,0.03730713
-5.73586793,0.10712038,0.04925295,0.00001471,0.05295206,0.03649308,0.00004771,0.03226500
-5.72986493,0.11200788,0.05552581,0.00001245,0.05891705,0.03864992,0.00005296,0.02793620
-5.72386193,0.11823303,0.06223129,0.00001046,0.06537589,0.04124171,0.00005872,0.02426474
-5.71785893,0.12563991,0.06930809,0.00000872,0.07226266,0.04421625,0.00006493,0.02119113
-5.71185593,0.13405164,0.07668175,0.00000722,0.07949755,0.04751384,0.00007150,0.01865414
-5.70585293,0.14327229,0.08426491,0.00000594,0.08698735,0.05106785,0.00007831,0.01659231
-5.69984992,0.15308932,0.09195809,0.00000485,0.09462644,0.05480549,0.00008528,0.01494522
-5.69384692,0.16327686,0.09965122,0.00000393,0.10229844,0.05864899,0.00009228,0.01365453
-5.68784392,0.17359952,0.10722565,0.00000316,0.10987842,0.06251685,0.00009920,0.01266484
-5.68184092,0.18381693,0.11455673,0.00000252,0.11723558,0.06632554,0.00010591,0.01192430
-5.67583792,0.19368882,0.12151690,0.00000200,0.12423650,0.06999127,0.00011230,0.01138511
-5.66983492,0.20298044,0.12797912,0.00000158,0.13074863,0.07343200,0.00011823,0.01100381
-5.66383192,0.21146830,0.13382052,0.00000123,0.13664413,0.07656952,0.00012361,0.01074149
-5.65782891,0.21894587,0.13892619,0.00000096,0.14180365,0.07933158,0.00012830,0.01056388
-5.65182591,0.22522919,0.14319279,0.00000074,0.14612011,0.08165394,0.00013223,0.01044135
-5.64582291,0.23016188,0.14653201,0.00000056,0.14950216,0.08348230,0.00013531,0.01034886
-5.63981991,0.23361968,0.14887352,0.00000043,0.15187730,0.08477395,0.00013747,0.01026583
-5.63381691,0.23551399,0.15016745,0.00000032,0.15319429,0.08549917,0.00013866,0.01017601
-5.62781391,0.23579442,0.15038613,0.00000024,0.15342503,0.08564226,0.00013886,0.01006725
-5.62181091,0.23445018,0.14952506,0.00000018,0.15256554,0.08520207,0.00013807,0.00993131
-5.61580790,0.23151022,0.14760309,0.00000013,0.15063618,0.08419224,0.00013630,0.00976356
-5.60980490,0.22704215,0.14466177,0.00000010,0.14768098,0.08264080,0.00013359,0.00956278
-5.60380190,0.22114989,0.14076386,0.00000008,0.14376623,0.08058950,0.00013002,0.00933079
-5.59779890,0.21397031,0.13599118,0.00000006,0.13897827,0.07809265,0.00012564,0.00907220
-5.59179590,0.20566888,0.13044179,0.00000005,0.13342067,0.07521565,0.00012056,0.00879408
-5.58579290,0.19643458,0.12422672,0.00000004,0.12721098,0.07203321,0.00011490,0.00850562
-5.57978989,0.18647435,0.11746638,0.00000004,0.12047703,0.06862741,0.00010877,0.00821783
-5.57378689,0.17600715,0.11028674,0.00000005,0.11335315,0.06508560,0.00010230,0.00794319
-5.56778389,0.16525814,0.10281564,0.00000006,0.10597635,0.06149828,0.00009564,0.00769534
