energy_ev,total_up,Ag_p_up,Ag_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,6.32428534,1.58341660,3.73559692,0.85889956,0.60679704,0.00833670,0.44759738,0.01759992,1.41153265
-5.99399700,6.41390296,1.60432032,3.79479545,0.86052547,0.61456640,0.00844532,0.46038743,0.01714261,1.42638970
-5.98799400,6.48981634,1.62102368,3.84635126,0.86022241,0.62073511,0.00852987,0.47186025,0.01661177,1.43861105
-5.98199100,6.55125309,1.63317829,3.88985796,0.85797348,0.62525740,0.00858751,0.48182954,0.01601557,1.44807325
-5.97598799,6.59776342,1.64055270,3.92508307,0.85382034,0.62812369,0.00861573,0.49013724,0.01536327,1.45472042
-5.96998499,6.62921846,1.64303553,3.95196532,0.84786180,0.62935932,0.00861245,0.49665679,0.01466497,1.45856287
-5.96398199,6.64579563,1.64063380,3.97060504,0.84024982,0.62902202,0.00857608,0.50129546,0.01393133,1.45967268
-5.95797899,6.64795211,1.63346681,3.98124814,0.83118325,0.62719815,0.00850561,0.50399550,0.01317333,1.45817671
-5.95197599,6.63638787,1.62175599,3.98426472,0.82089947,0.62399794,0.00840067,0.50473429,0.01240195,1.45424730
-5.94597299,6.61200047,1.60581128,3.98012329,0.80966437,0.61955002,0.00826153,0.50352345,0.01162792,1.44809120
-5.93996998,6.57583397,1.58601486,3.96936216,0.79776124,0.61399542,0.00808917,0.50040693,0.01086146,1.43993743
-5.93396698,6.52902457,1.56280305,3.95255924,0.78547893,0.60748148,0.00788523,0.49545832,0.01011210,1.43002462
-5.92796398,6.47274575,1.53664729,3.93030207,0.77309990,0.60015577,0.00765195,0.48877742,0.00938844,1.41858856
-5.92196098,6.40815562,1.50803506,3.90315933,0.76088877,0.59216045,0.00739220,0.48048627,0.00869805,1.40585056
-5.91595798,6.33634883,1.47745158,3.87165531,0.74908171,0.58362716,0.00710929,0.47072488,0.00804734,1.39200716
-5.90995498,6.25831537,1.44536310,3.83624854,0.73787726,0.57467285,0.00680696,0.45964670,0.00744150,1.37722173
-5.90395198,6.17490775,1.41220239,3.79731541,0.72742893,0.56539644,0.00648922,0.44741419,0.00688445,1.36161836
-5.89794897,6.08681805,1.37835685,3.75513966,0.71783988,0.55587661,0.00616022,0.43419447,0.00637889,1.34527815
