energy_ev,total_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,3.35058675,1.32985219,1.60586627,0.00849540,1.19133177,0.54587824,0.00098661
-5.99399700,3.38628046,1.34761803,1.62345922,0.00864773,1.20521739,0.54923012,0.00100692
-5.98799400,3.41694610,1.36129497,1.64007717,0.00885065,1.21795670,0.55092524,0.00102557
-5.98199100,3.44160638,1.37050698,1.65519366,0.00910606,1.22910528,0.55087321,0.00104226
-5.97598799,3.45940226,1.37494705,1.66831802,0.00941704,1.23824136,0.54901937,0.00105671
-5.96998499,3.46962425,1.37438710,1.67901350,0.00978791,1.24497800,0.54534873,0.00106870
-5.96398199,3.47174097,1.36868618,1.68691483,0.01022435,1.24897484,0.53988877,0.00107808
-5.95797899,3.46542392,1.35779668,1.69174439,0.01073338,1.24994916,0.53271118,0.00108474
-5.95197599,3.45056722,1.34176845,1.69332621,0.01132332,1.24768565,0.52393232,0.00108867
-5.94597299,3.42730131,1.32075066,1.69159697,0.01200361,1.24204460,0.51371254,0.00108992
-5.93996998,3.39599980,1.29499130,1.68661342,0.01278464,1.23296794,0.50225421,0.00108864
-5.93396698,3.35727856,1.26483427,1.67855557,0.01367736,1.22048301,0.48979855,0.00108504
-5.92796398,3.31198674,1.23071412,1.66772524,0.01469294,1.20470363,0.47662130,0.00107943
-5.92196098,3.26118950,1.19314839,1.65453980,0.01584225,1.18582840,0.46302725,0.00107220
-5.91595798,3.20614245,1.15272780,1.63952090,0.01713529,1.16413624,0.44934382,0.00106379
-5.90995498,3.14825835,1.11010440,1.62327857,0.01858058,1.13997909,0.43591361,0.00105468
-5.90395198,3.08906692,1.06597786,1.60649091,0.02018454,1.11377212,0.42308634,0.00104541
-5.89794897,3.03016863,1.02108039,1.58988008,0.02195079,1.08598159,0.41121005,0.00103652
-5.89194597,2.97318424,0.97616044,1.57418542,0.02387956,1.05711087,0.40062204,0.00102857
