energy_ev,total_up,Mo_p_up,Mo_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,3.75373858,2.57828056,2.23378863,0.00559744,1.52786969,0.88269633,0.00000000
-5.99399700,3.72517826,2.55288317,2.23661248,0.00548852,1.53040928,0.86405797,0.00000000
-5.98799400,3.69173280,2.53086827,2.23494461,0.00540259,1.53152928,0.84313502,0.00000000
-5.98199100,3.65457098,2.51331916,2.22927946,0.00534490,1.53159683,0.82028334,0.00000000
-5.97598799,3.61498936,2.50133627,2.22020583,0.00532013,1.53102632,0.79590100,0.00000000
-5.96998499,3.57438790,2.49602648,2.20839292,0.00533226,1.53027182,0.77042018,0.00000000
-5.96398199,3.53424148,2.49848952,2.19457402,0.00538439,1.52981820,0.74429752,0.00000000
-5.95797899,3.49606749,2.50980091,2.17952817,0.00547866,1.53017091,0.71800340,0.00000000
-5.95197599,3.46139031,2.53099139,2.16406042,0.00561610,1.53184466,0.69201048,0.00000000
-5.94597299,3.43170353,2.56302289,2.14898103,0.00579658,1.53535095,0.66678179,0.00000000
-5.93996998,3.40843077,2.60676148,2.13508425,0.00601874,1.54118473,0.64275889,0.00000000
-5.93396698,3.39288636,2.66294798,2.12312718,0.00627997,1.54981050,0.62035054,0.00000000
-5.92796398,3.38623695,2.73216734,2.11380932,0.00657641,1.56164800,0.59992219,0.00000000
-5.92196098,3.38946545,2.81481786,2.10775346,0.00690303,1.57705807,0.58178683,0.00000000
-5.91595798,3.40333843,2.91108195,2.10548834,0.00725369,1.59632894,0.56619734,0.00000000
-5.90995498,3.42837842,3.02089976,2.10743383,0.00762131,1.61966355,0.55334076,0.00000000
-5.90395198,3.46484215,3.14394749,2.11388888,0.00799804,1.64716844,0.54333463,0.00000000
-5.89794897,3.51270576,3.27962184,2.12502294,0.00837547,1.67884465,0.53622538,0.00000000
-5.89194597,3.57165797,3.42703202,2.14087105,0.00874489,1.71458112,0.53198904,0.00000000
-5.88594297,3.64110169,3.58500050,2.16133290,0.00909755,1.75415122,0.53053397,0.00000000
-5.87993997,3.72016442,3.75207341,2.18617596,0.00942493,1.79721260,0.53170569,0.00000000
-5.87393697,3.80771764,3.92654085,2.21504278,0.00971909,1.84331072,0.53529342,0.00000000
-5.86793397,3.90240462,4.10646735,2.24746224,0.00997289,1.89188622,0.54103828,0.00000000
-5.86193097,4.00267622,4.28973179,2.28286442,0.01018026,1.94228598,0.54864272,0.00000000
-5.85592796,4.10683358,4.47407589,2.32059879,0.01033648,1.99377789,0.55778087,0.00000000
-5.84992496,4.21307644,4.65715982,2.35995497,0.01043833,2.04556873,0.56810953,0.00000000
-5.84392196,4.31955543,4.83662305,2.40018550,0.01048423,2.09682482,0.57927934,0.00000000
-5.83791896,4.42442655,5.01014827,2.44052966,0.01047437,2.14669461,0.59094583,0.00000000
